Index   ,Timestamp               ,Temp.(°C)       ,RH(%rh)         ,Dew Point(°C)   ,Serial Number           ,Logger Name                     
0,29/06/2017 14:04,-40,0,0,160408RHT0033827        ,Temp. and Humi. Logger          
1,29/06/2017 15:04,11.3,53.1,2.1,,
2,29/06/2017 16:04,11.2,43.4,-0.8,,
3,29/06/2017 17:04,9.4,68.7,3.9,,
4,29/06/2017 18:04,7.1,70.5,2.1,,
5,29/06/2017 19:04,7,70.6,2,,
6,29/06/2017 20:04,6.2,74.7,2,,
7,29/06/2017 21:04,5.4,85.1,3.1,,
8,29/06/2017 22:04,5.2,92.4,4.1,,
9,29/06/2017 23:04,4.6,92.3,3.5,,
10,30/06/2017 00:04,4.7,91.1,3.4,,
11,30/06/2017 01:04,5.2,93.5,4.2,,
12,30/06/2017 02:04,4.5,91,3.2,,
13,30/06/2017 03:04,3.7,96.5,3.2,,
14,30/06/2017 04:04,4.3,91.3,3,,
15,30/06/2017 05:04,3.8,95.5,3.1,,
16,30/06/2017 06:04,3.7,96.5,3.2,,
17,30/06/2017 07:04,4.4,94.5,3.6,,
18,30/06/2017 08:04,5.1,90.9,3.7,,
19,30/06/2017 09:04,7.4,78.2,3.8,,
20,30/06/2017 10:04,8.9,65.5,2.8,,
21,30/06/2017 11:04,10.1,58.9,2.4,,
22,30/06/2017 12:04,11.3,62.8,4.5,,
23,30/06/2017 13:04,9.8,67.5,4.1,,
24,30/06/2017 14:04,10.5,66.4,4.5,,
25,30/06/2017 15:04,9.2,70.1,4,,
26,30/06/2017 16:04,7,77.7,3.4,,
27,30/06/2017 17:04,9.4,65.8,3.3,,
28,30/06/2017 18:04,7.9,74.7,3.7,,
29,30/06/2017 19:04,6.4,80.5,3.3,,
30,30/06/2017 20:04,5.1,90.2,3.6,,
31,30/06/2017 21:04,3.3,91.1,2,,
32,30/06/2017 22:04,2.3,95.3,1.6,,
33,30/06/2017 23:04,2.5,98.8,2.3,,
34,01/07/2017 00:04,3,98.1,2.7,,
35,01/07/2017 01:04,3.6,95,2.9,,
36,01/07/2017 02:04,3.8,88.3,2,,
37,01/07/2017 03:04,4,86,1.9,,
38,01/07/2017 04:04,3.9,88.8,2.2,,
39,01/07/2017 05:04,3.9,87.2,2,,
40,01/07/2017 06:04,2.1,92,0.9,,
41,01/07/2017 07:04,3.2,94.1,2.3,,
42,01/07/2017 08:04,4.8,86.5,2.7,,
43,01/07/2017 09:04,6.3,79,2.9,,
44,01/07/2017 10:04,7.4,72.2,2.7,,
45,01/07/2017 11:04,9.1,67.5,3.4,,
46,01/07/2017 12:04,9.7,62.5,2.9,,
