,v_0,v_1,v_2,v_3,v_4,v_5,v_6,v_7,v_8,v_9,v_10,v_11,v_12
3012,d4b0950c35876d6cbfadda4f8507142e59142afd0dd17318469803c6f525bbcc,0,2281,239,47.0,1,0.0,0.0,0.0,-999.0,107.0,56,38
1837,8e5bbad89cf65f8b2dafea82428cd5991e2d734d6faaededa61932568a984990,0,3292,267,53.0,0,0.0,0.0,0.0,-999.0,0.0,56,38
4269,4a6d48561565e1a39c3f59970a4c559ccb2e55f7f3a3c4f4b9eba3c071e52d56,607,3564,26,28.0,1,600.0,0.0,791.0,92.0,0.0,56,26
2859,cebd1818d73b7057c21a8d495bc454a4c95dd63216b4efad0cacaeaef7e8c372,30,2062,135,63.0,1,0.0,0.0,0.0,-999.0,110.0,56,26
5010,b0d7ef4144d6052689bd4fefb413cf88782af128dcb7c5f91a5249fe9080968b,0,542,219,32.0,0,1300.0,0.0,688.0,23.0,724.0,56,38
2710,54d580e67392feb7349a27327ae6ecaaf0e55ccdef14d0dcb10ee4f154886443,66,3564,35,51.0,1,0.0,0.0,0.0,-999.0,0.0,56,38
796,6a4e27cc57abdadf8ee3974a9f8e5f4e44d47f3ee93f93c3933365cdca51818d,60,1815,59,36.0,0,3394.03,0.0,626.0,116.0,0.0,21,19
4524,53b4d766634ca013540d696d222711afd3640111b135379a60a01774f521cc17,180,154,17,25.0,1,1000.0,0.0,694.0,6.0,0.0,55,61
1555,c36bfb75106c3c6cc6ba4f8dd61558ed3390c821a4245d004726565bd000fa1a,60,1592,83,31.0,0,380.64,0.0,684.0,20.0,0.0,16,20
2296,7a31de711b81209036695b924907ac6fa4a7580c3c18ff1a233371dcff6049d3,152,1254,300,31.0,1,550.0,0.0,520.0,36.0,148.0,56,38
5521,e0420497ea25d400cd6337359d7b33e197a9a6d56accfc1a51f76400124329c2,0,1560,196,30.0,1,1300.0,0.0,633.0,34.0,369.0,56,51
5575,68b057f2b8dfb648c9037f29d7ce26782ee82ce69206bf24b4291db4cc005c40,0,2493,35,31.0,1,2100.0,0.0,777.0,39.0,851.0,56,38
2314,1cacdb76ee5e9e20a1a202d7bd4f0094a34b1720afb2260bcf34779ab81f22af,0,2550,146,28.0,0,0.0,0.0,0.0,-999.0,0.0,56,38
2405,d640ac8ea0f5c3f1bf33324d708bbb0178b2b65ee2618ca7007fd55215cfd12a,0,29,27,78.0,0,0.0,0.0,0.0,-999.0,760.0,56,26
5505,9686bc98bdaa334c6bfab093dbdc8d238126371c47cebc384bdcf25adfcda384,180,2610,316,49.0,0,900.0,0.0,622.0,29.0,159.0,56,2
4244,fd30e7af9a60934bfd60e74dc56c233dc15a9e7a62595147c0bb66e49dd78d5f,0,764,17,28.0,0,570.0,0.0,610.0,69.0,229.0,58,2
5190,ca6a09bcb4b2d3b1b978c36222904678a3aa6cb91964f50f92128a892479b755,30,98,300,39.0,1,0.0,0.0,0.0,-999.0,0.0,56,38
4338,c30ab6e7f0e8612dc9ded50bcc4b408d9cbba9dfd4b848b21d47d4fdc467424e,30,3256,167,28.0,0,380.0,0.0,711.0,25.0,1.0,56,38
4347,afb3e93cd73fa76bf602f477491107afa3e2a0c7b1f898b18b2afe33c028bfa3,30,2590,37,27.0,1,0.0,0.0,605.0,-999.0,223.0,56,38
646,ab51beafe43763d90f19121aa3db646d79cbdb8c1041cc29d432c7cef5ee3867,0,3564,77,60.0,1,512.0,0.0,811.0,97.0,177.0,19,41
3259,984c40019416e33d9ef304c7f94aa1792e7ee8bd4c94d592ae1fec5184df0286,30,2897,10,41.0,1,902.49,0.0,491.0,126.0,1.0,56,38
1281,a2e4f83e77571a3a7d668092fdbdb6d607e9a8569cfb32201c8dfee6e4d89e08,0,3564,275,44.0,0,500.0,0.0,685.0,106.0,167.0,16,20
913,8e58eaa352aeed512a393d37b8e54053cae3fe2d03bb545083e6ef8c802895d3,30,173,300,26.0,0,650.0,0.0,669.0,12.0,18.0,56,38
916,bba31edf7cd29fc781d711ad611e09cb61daea10ceb4203950aa0c0e7be64eea,0,3325,81,37.0,1,524.33,0.0,800.0,44.0,473.0,21,19
4888,409391b09999413e27bb30d6e2bb3d9464cf789d9a00e0cefc581e75f1160b2d,43,1261,146,43.0,1,0.0,0.0,0.0,-999.0,256.0,56,38
