ID_CORRELATIVO,CODMES,ATTRITION,SEXO,ESTADO_CIVIL,FLG_BANCARIZADO,RANG_INGRESO,FLAG_LIMA_PROVINCIA,EDAD,ANTIGUEDAD,RANG_SDO_PASIVO_MENOS0,FLG_NOMINA,RANG_NRO_PRODUCTOS_MENOS0,SDO_ACTIVO_MENOS0,FLG_SEGURO_MENOS0,NRO_ACCES_CANAL1_MENOS0,NRO_ACCES_CANAL2_MENOS0,NRO_ACCES_CANAL3_MENOS0,NRO_ENTID_SSFF_MENOS0,FLG_SDO_OTSSFF_MENOS0
11752,201208,0,F,Casado,1,Rang_ingreso_01,Provincia,36,0,Cero,0,Rango_01,0,0,0,0,0,2,1
98898,201208,0,F,Casado,0,Rang_ingreso_01,Lima,23,0,Rango_SDO_02,1,Rango_02,0,0,0,0,7,0,0
82206,201208,0,F,Casado,1,Rang_ingreso_02,Provincia,24,0,Rango_SDO_01,1,Rango_02,0,0,0,0,16,1,1
50435,201208,1,M,Casado,1,Rang_ingreso_01,Provincia,30,,Cero,0,Rango_02,0,1,0,0,0,5,1
79004,201208,0,F,Casado,0,,Provincia,30,0,Rango_SDO_10,0,Rango_02,0,0,0,0,1,0,0
51554,201208,1,M,Casado,1,Rang_ingreso_01,Provincia,52,0,Rango_SDO_01,1,Rango_03,0,1,1,0,0,1,0
74275,201208,1,M,Casado,1,Rang_ingreso_03,Lima,26,,Cero,0,Rango_02,0,1,0,4,0,2,1
35571,201208,0,F,Casado,1,Rang_ingreso_01,Lima,55,0,Rango_SDO_02,1,Rango_02,0,0,0,0,5,2,1
86862,201208,0,F,Casado,1,Rang_ingreso_07,Lima,38,10,Rango_SDO_11,1,Rango_04,750,1,7,0,10,4,1
16769,201208,0,F,Casado,0,Rang_ingreso_01,Lima,27,4,Rango_SDO_04,0,Rango_02,0,0,0,0,13,0,0
55759,201208,0,F,Casado,0,Rang_ingreso_02,Provincia,38,0,Rango_SDO_01,1,Rango_02,0,0,1,0,7,0,0
62625,201208,0,F,Casado,1,Rang_ingreso_01,Lima,45,1,Rango_SDO_01,0,Rango_04,3780,1,0,0,0,5,1
96414,201208,0,F,Casado,1,Rang_ingreso_09,Lima,32,8,Rango_SDO_14,0,Rango_04,616400,1,0,3,0,1,0
1487,201208,0,F,Casado,1,Rang_ingreso_02,Lima,24,2,Rango_SDO_04,1,Rango_04,2800,1,0,18,4,4,1
20400,201208,0,F,Soltero,1,Rang_ingreso_01,Lima,27,0,Rango_SDO_03,1,Rango_02,0,0,0,0,12,0,0
37535,201208,0,F,Soltero,1,Rang_ingreso_01,Lima,33,9,Rango_SDO_01,0,Rango_01,0,0,0,0,0,1,1
28432,201208,1,M,Soltero,1,Rang_ingreso_05,Lima,25,8,Cero,0,Rango_03,0,1,0,0,0,2,1
19995,201208,0,F,Soltero,1,Rang_ingreso_07,Lima,36,4,Rango_SDO_03,1,Rango_03,10,1,12,8,12,2,1
49815,201208,1,M,Soltero,1,Rang_ingreso_02,Provincia,36,0,Rango_SDO_04,0,Rango_02,0,0,0,0,8,1,0
71664,201208,0,F,Soltero,0,Rang_ingreso_01,Lima,23,0,Rango_SDO_01,1,Rango_02,0,0,0,16,9,0,0
75261,201208,0,F,Soltero,1,Rang_ingreso_03,Provincia,47,4,Cero,0,Rango_02,0,1,0,0,0,5,1
24888,201208,0,F,Soltero,1,Rang_ingreso_02,Lima,30,3,Rango_SDO_01,0,Rango_02,0,0,0,0,3,3,1
37250,201208,0,F,Soltero,1,Rang_ingreso_07,Lima,42,6,Rango_SDO_10,1,Rango_05,13610,1,10,3,16,4,1
55651,201208,0,F,Soltero,0,,Provincia,31,0,Rango_SDO_01,0,Rango_03,0,1,0,0,0,0,0
28633,201208,0,F,Soltero,1,Rang_ingreso_06,Lima,35,4,Rango_SDO_01,0,Rango_02,0,0,0,0,0,4,1
11835,201208,0,F,Soltero,1,Rang_ingreso_04,Provincia,26,0,Rango_SDO_04,0,Rango_03,10700,1,3,0,2,4,1
