ID_CORRELATIVO,CODMES,SDO_ACTIVO_MENOS0,SDO_ACTIVO_MENOS1,SDO_ACTIVO_MENOS2,SDO_ACTIVO_MENOS3,SDO_ACTIVO_MENOS4,SDO_ACTIVO_MENOS5,FLG_SEGURO_MENOS0,FLG_SEGURO_MENOS1,FLG_SEGURO_MENOS2,FLG_SEGURO_MENOS3,FLG_SEGURO_MENOS4,FLG_SEGURO_MENOS5,NRO_ACCES_CANAL1_MENOS0,NRO_ACCES_CANAL1_MENOS1,NRO_ACCES_CANAL1_MENOS2,NRO_ACCES_CANAL1_MENOS3,NRO_ACCES_CANAL1_MENOS4,NRO_ACCES_CANAL1_MENOS5,NRO_ACCES_CANAL2_MENOS0,NRO_ACCES_CANAL2_MENOS1,NRO_ACCES_CANAL2_MENOS2,NRO_ACCES_CANAL2_MENOS3,NRO_ACCES_CANAL2_MENOS4,NRO_ACCES_CANAL2_MENOS5,NRO_ACCES_CANAL3_MENOS0,NRO_ACCES_CANAL3_MENOS1,NRO_ACCES_CANAL3_MENOS2,NRO_ACCES_CANAL3_MENOS3,NRO_ACCES_CANAL3_MENOS4,NRO_ACCES_CANAL3_MENOS5,NRO_ENTID_SSFF_MENOS0,NRO_ENTID_SSFF_MENOS1,NRO_ENTID_SSFF_MENOS2,NRO_ENTID_SSFF_MENOS3,NRO_ENTID_SSFF_MENOS4,NRO_ENTID_SSFF_MENOS5,FLG_SDO_OTSSFF_MENOS0,FLG_SDO_OTSSFF_MENOS1,FLG_SDO_OTSSFF_MENOS2,FLG_SDO_OTSSFF_MENOS3,FLG_SDO_OTSSFF_MENOS4,FLG_SDO_OTSSFF_MENOS5
11752,201208,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,2,2,2,2,1,1,1,1,1,1
98898,201208,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
82206,201208,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16,19,5,8,0,0,1,1,1,1,1,1,1,1,1,1,1,1
50435,201208,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,6,5,5,4,4,1,1,1,1,1,1
79004,201208,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
51554,201208,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,0,0,0,0,0,0
74275,201208,0,0,0,0,0,0,1,1,1,1,1,1,0,1,0,0,0,0,4,9,5,4,5,5,0,0,1,0,0,1,2,3,2,2,2,2,1,1,1,1,1,1
35571,201208,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,4,0,0,0,0,2,2,2,2,2,2,1,1,1,1,1,1
86862,201208,750,410,3110,660,1720,2030,1,1,1,1,1,1,7,6,7,9,4,8,0,0,0,0,0,0,10,11,16,9,6,10,4,4,4,4,4,4,1,1,0,1,1,0
16769,201208,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,8,14,22,52,90,0,0,0,0,0,0,0,0,0,0,0,0
55759,201208,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
62625,201208,3780,3880,3980,4080,4180,4270,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,5,6,6,6,6,6,1,1,1,1,1,1
96414,201208,616400,621450,624280,40290,0,1500,1,1,1,1,1,1,0,0,0,0,0,0,3,3,0,3,3,9,0,0,2,0,0,0,1,1,1,1,0,0,0,0,0,0,0,0
1487,201208,2800,2840,2890,2940,2980,3020,1,1,1,1,1,1,0,0,0,0,0,0,18,20,10,12,12,17,4,16,11,14,7,22,4,4,5,5,5,4,1,1,1,1,1,1
20400,201208,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,12,3,3,3,0,0,0,1,1,1,1,1,0,1,1,1,1,1
37535,201208,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1
28432,201208,0,0,0,0,0,0,1,1,1,1,1,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,2,2,2,2,2,2,1,1,1,1,1,1
19995,201208,10,680,1060,1380,1470,1200,1,1,1,1,1,1,12,8,8,12,5,12,8,19,13,8,14,16,12,7,10,11,9,9,2,2,3,3,3,3,1,1,1,1,1,1
49815,201208,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,7,0,0,0,0,1,1,1,1,1,1,0,0,0,0,0,0
71664,201208,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,16,10,11,0,0,0,9,16,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
75261,201208,0,0,0,0,0,0,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,4,4,3,3,3,1,1,1,1,1,1
24888,201208,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,3,2,2,5,7,2,3,3,3,3,3,3,1,1,1,1,1,1
37250,201208,13610,13760,14850,14560,14000,16020,1,1,1,1,1,1,10,15,8,13,14,15,3,4,8,4,11,4,16,12,12,14,19,22,4,4,3,3,3,3,1,1,1,1,1,1
