CODIGO_CONGLOMERADO_CLIENTE,month,VENTA_TOTAL
002,1,4416.060868700002
002,2,1585.1869562999998
002,3,4235.4217382
002,4,1171.4130434
002,5,962.6908695999999
002,6,0.0
002,8,1453.6773913000002
002,9,782.4000000000001
002,10,1495.8608696
002,12,582.0695653
00205125067,6,144.7652173
00205125067,10,184.0318261
00205125067,11,0.0
003,2,1333.9173912
003,10,855.7826088
003,11,664.3652178000002
004,1,107640.16522210027
004,2,58839.73913130005
004,3,18341.88261029999
004,4,64890.7347834
004,5,65940.37391239997
004,6,112865.5304368
004,7,36565.417391300005
004,8,72146.40434939999
004,9,96965.87826109998
004,10,78804.0565207
004,11,93117.68261579989
004,12,75442.49130420001
010,1,1032.0217392
010,5,1753.2826084000003
012,1,111326.63045139975
012,2,199459.1181859003
012,3,70613.07826440001
012,4,108137.54531479921
012,5,113291.92609839937
012,6,135173.06956349997
012,7,110979.1608725994
012,8,47244.07130230002
012,9,133212.59130249932
012,10,123009.0347766995
012,11,210508.73477410007
012,12,180687.00433750023
018,1,23255.056522499995
018,2,15033.752173499994
018,4,14515.521739400001
018,5,33046.69130360003
018,6,15728.873912399999
018,7,19523.58260839999
018,8,23102.6617387
018,9,8908.699999999997
018,10,44365.77391210003
018,11,14164.7565218
018,12,11145.3478263
021,1,160482.14808629997
021,2,62336.98260839998
021,3,60125.79130430001
021,4,105804.0608697
021,5,373.52608699999996
021,6,139477.65651999976
021,7,43289.97826169999
021,8,6006.1999998
021,9,99578.83913100004
021,10,43335.94347690001
021,11,106822.22173830001
021,12,30041.7608697
024,1,8303.286956599999
024,2,6306.978261599997
024,3,3377.808696100001
024,4,6208.330435299998
024,5,6621.1869560999985
024,6,9309.021739899998
024,7,5510.017391200001
024,8,16068.139130399994
024,9,4189.9304353
024,10,5533.0565217
024,11,9323.6782612
025,1,21181.763224099945
025,2,2709.7965218
025,3,16787.075005000006
025,4,15280.306959399994
025,5,4886.152175800003
025,6,12805.8076535
025,7,2057.4686951
025,8,7893.591653499996
025,9,10819.846958700005
025,10,13517.951305700004
025,11,16687.85608810001
025,12,13503.788610500002
028,1,107432.04218149974
028,2,95597.76530849977
028,3,85548.58826779983
028,4,77916.80009369974
028,5,35279.2070464
028,6,19748.66617530001
028,7,27260.753567400003
028,8,65252.13087470005
028,9,44584.073045900026
028,10,114950.39287629967
028,11,97311.96548349963
028,12,103723.23374819974
029,1,18708.48000130001
029,2,132.74347820000003
029,3,24460.28208709999
029,4,10062.453652700002
029,5,5240.763304400001
029,6,1206.9871308
029,7,6216.841652699999
029,8,4356.3143482
029,9,7478.5582614
029,10,23946.720089599992
029,11,4576.751826399999
029,12,4563.1086957
031,4,516.0478261
033,3,5724.869565299997
033,4,567.2913040999999
033,6,2342.2869567000002
033,7,1299.2478259999998
033,8,3805.9434778
033,10,3908.3521737999995
033,11,3143.5130434
034,1,1409.7521725000001
034,2,818.3473055000002
034,3,367.29547879999996
034,4,1441.8565217
034,5,771.2207830000001
034,6,971.7434775000002
034,7,112.6691304
034,8,659.9173916999999
034,10,372.2565221
034,11,1354.7369557000004
034,12,1326.7814784000002
040,1,692730.6168674021
040,2,711214.2383890004
040,3,732308.8956491004
040,4,723928.1186511985
040,5,651003.3086929013
040,6,643575.2869541013
040,7,702160.3956512015
040,8,650325.3417374012
040,9,591164.1869574009
040,10,653038.0086942
040,11,681269.9913021002
040,12,641062.9304310009
045,1,9130.2782612
045,2,11594.973476000014
045,3,20815.3617397
045,4,2379.1243475
045,5,10489.692043799987
045,6,14547.720868500004
045,7,5624.212696099999
045,8,7304.4173907
045,9,3961.5052169
045,10,17597.296349299995
045,11,6490.124522000002
045,12,8358.602609700001
046,1,17863.956522799992
046,2,5694.669565699996
046,3,844.0739130000001
046,4,21578.147826499997
046,5,8890.917390800003
046,6,13560.907825899998
046,7,7035.931304199999
046,8,15152.444347899998
046,9,8055.686956899999
046,10,11990.356956599999
046,11,29398.736521299994
046,12,32515.72608750001
073,1,29519.054260800003
073,2,110841.57965639993
073,3,122783.22365270008
073,4,124388.93695750006
073,5,56069.006955500015
073,6,28518.27947989999
073,7,26018.71060790001
073,8,129353.63391569997
073,9,55108.60173919996
073,10,130018.96347650014
073,11,116405.12956580012
073,12,119665.6227837
074,1,623266.5281649058
074,2,563104.5869470977
074,3,311362.23477399943
074,4,376688.6252184988
074,5,548087.1982483994
074,6,476428.2782430983
074,7,361605.76086549717
074,8,489275.00129539764
074,9,354314.9921684992
074,10,546715.5782477998
074,11,516955.7517418003
074,12,368405.3208651996
077,1,94859.6370447999
077,2,123804.61304600006
077,3,100783.88695589997
077,4,81135.28695730006
077,5,131474.26521860002
077,6,128819.43913079999
077,7,108832.75217399998
077,8,27744.147825400007
077,9,115342.97391219987
077,10,105829.84347759998
077,11,107671.2956542999
077,12,52495.7695653
078,1,93552.85287260014
078,2,62237.25739310004
078,3,79971.30904400002
078,4,62439.8065228001
078,5,81056.93547830013
078,6,68119.17443670008
078,7,67495.05782720003
078,8,65966.5075668001
078,9,58849.77721900003
078,10,87800.6276521001
078,11,75324.68347960008
078,12,73771.62452180001
079,10,-51.5826086
098,1,352648.45217369945
098,2,200179.16521730024
098,3,222008.26956670062
098,4,241085.7304353002
098,5,193586.95478149998
098,6,197806.01739110015
098,7,201251.50000040056
098,8,153554.66956490008
098,9,191341.96956600036
098,10,177804.61347849993
098,11,205851.7413031005
098,12,274408.22173800017
100,1,13204.491307800012
100,3,15328.352176700002
100,4,19460.173913800016
100,5,3039.360870399999
100,6,0.0
100,7,15139.013046300017
100,9,10621.652176300002
100,10,18896.669566700002
100,11,255.46086959999997
100,12,14235.326088800015
10000387580,9,0.0
10000387580,10,1016.1304345
10000466315,1,14368.5086955
10000466315,2,12584.926087600003
10000466315,3,11975.3086961
10000466315,4,3328.9217391
10000466315,5,2970.9304347
10000466315,6,3682.8695651999997
10000466315,7,7777.873912999999
10000466315,9,6675.052174299999
10000466315,12,0.0
10000908954,2,1539.9565215
10000908954,4,906.9521737
10000908954,5,634.8086955
10000908954,6,1227.8956521999994
10000908954,7,3111.1347822
10000908954,9,1266.0391303000001
10000908954,10,2687.1826083999995
10000908954,12,2066.1391301999997
10001022283,1,493.73478249999994
10001022283,2,1158.3869564
10001022283,4,1052.2826085999998
10001022283,5,1035.8739131999998
10001022283,6,141.726087
10001022283,7,1039.5695652
10001022283,9,6946.634782799998
10001022283,12,-2516.7739132
10001033030,1,533.8826087
10001033030,2,1322.1304346999998
10001033030,3,1215.6782604999996
10001033030,5,5054.404346199999
10001033030,6,516.9913043
10001033030,8,483.20434779999994
10001033030,12,439.1565219
10001262497,1,1506.3043476999999
10001262497,4,1097.5565217
10001262497,5,1549.9826076999993
10001262497,6,5736.295652300002
10001262497,7,5565.730434600002
10001262497,8,2171.1695646000003
10001262497,9,2340.0782616
10001720967,1,10265.3565215
10001720967,2,2025.4347826999997
10001720967,3,14039.734781900004
10001720967,4,6719.5347827000005
10001720967,5,0.0
10001720967,6,7327.6000005
10001720967,7,4600.482608100001
10001720967,8,9183.565217399999
10001720967,9,1948.5130434
10001720967,10,12640.3608693
10001720967,11,4409.460869400001
10001720967,12,5402.473913
10001852464,4,715.9608695000001
10001852464,8,1064.247826
10002206230,1,13729.973914900002
10002206230,2,8707.360869600008
10002206230,3,7892.278259699997
10002206230,4,13250.356522299997
10002206230,5,7653.800000000001
10002206230,7,8981.021739
10002206230,8,4168.378261499998
10002206230,9,10603.486956699999
10002206230,10,3519.265217100001
10002206230,11,11548.373912200002
10002297723,1,75209.21739210004
10002297723,2,58479.83043440002
10002297723,3,94095.75652050006
10002297723,4,40897.32173929998
10002297723,5,126170.27390980015
10002297723,7,140291.2478243
10002297723,8,6297.1956522
10002297723,9,81217.50000130008
10002297723,10,62686.31304140009
10002297723,11,73890.747823
10002297723,12,74005.20869400009
10002485511,1,799.7608692000001
10002485511,2,1116.1173909
10002485511,7,766.1695648
10002487506,8,359.02173919999996
10004303909,2,3559.843478500001
10004303909,6,3460.2652176
10004303909,7,302.0391304
10004303909,8,4685.360869499998
10007915999,11,18100.847824400047
10007915999,12,176.52608700000002
10007936171,3,2135.5200007
10007936171,7,8351.788697299999
10007936171,11,17580.54348339997
10007936171,12,6851.3521726
10007967778,7,1082.4434769999991
10007967778,12,1000.3504352999998
10008181841,1,522.9478261
10008181841,4,740.9217391000001
10008280393,1,5630.130434799999
10008280393,2,1725.3521741
10008280393,3,3126.1478261
10008280393,4,2974.3608686999996
