codCliente,rangoEdad,rangoIngreso,flagGenero,flagLimaProvCliente,ubigeoCliente,rangoCtdProdAct,rangoCtdProdPas,rangoCtdProdSeg,flagBxi,saldoTcEntidad1,saldoTcEntidad2,saldoTcEntidad3,saldoTcEntidad4
24041,Rango2,Rango2,1,0,360,Rango1,Rango1,Rango1,1,,,,
9040,Rango4,Rango6,1,1,260,Rango1,Rango1,Rango1,1,Rango1,Rango1,Rango1,Rango1
18233,Rango2,Rango1,1,1,273,Rango1,Rango2,Rango1,1,Rango2,Rango1,Rango1,Rango1
7226,Rango5,Rango3,0,1,241,Rango1,Rango2,Rango1,1,Rango1,Rango2,Rango1,Rango2
21617,Rango3,Rango2,1,1,268,Rango1,Rango1,Rango1,0,,,,
9649,Rango5,Rango6,1,1,273,Rango2,Rango2,Rango2,1,Rango2,Rango1,Rango1,Rango1
24762,Rango1,Rango1,1,1,241,Rango1,Rango1,Rango1,1,,,,
2486,Rango5,Rango1,0,1,241,Rango1,Rango1,Rango1,1,Rango1,Rango1,Rango1,Rango1
26272,Rango2,Rango1,0,1,268,Rango1,Rango1,Rango1,1,Rango1,Rango1,Rango1,Rango1
13242,Rango5,Rango4,0,1,241,Rango1,Rango2,Rango2,1,Rango1,Rango1,Rango1,Rango1
17244,Rango6,Rango2,0,1,273,Rango1,Rango1,Rango1,1,,,,
7124,Rango5,Rango2,0,1,273,Rango1,Rango2,Rango1,0,,,,
23129,Rango3,Rango1,0,1,273,Rango1,Rango3,Rango1,0,Rango1,Rango1,Rango1,Rango1
815,Rango5,Rango4,0,1,268,Rango1,Rango1,Rango2,1,,,,
29390,Rango3,Rango2,1,1,273,Rango1,Rango1,Rango1,1,Rango1,Rango1,Rango1,Rango1
12808,Rango3,Rango2,1,1,268,Rango1,Rango2,Rango1,1,Rango1,Rango1,Rango1,Rango1
7479,Rango5,Rango2,1,1,268,Rango1,Rango1,Rango1,1,Rango1,Rango1,Rango1,Rango1
24676,Rango1,Rango1,0,1,241,Rango1,Rango1,Rango1,1,Rango1,Rango1,Rango1,Rango1
10580,Rango3,Rango1,0,1,273,Rango1,Rango1,Rango1,0,Rango1,Rango1,Rango1,Rango1
8071,Rango3,Rango4,0,1,241,Rango1,Rango2,Rango2,1,Rango1,Rango1,Rango1,Rango1
4715,Rango5,Rango1,0,1,260,Rango1,Rango2,Rango1,1,Rango2,Rango3,Rango1,Rango1
22208,Rango2,Rango1,1,1,260,Rango1,Rango1,Rango1,1,,,,
17221,Rango3,Rango1,1,1,273,Rango1,Rango1,Rango1,1,,,,
4828,Rango6,Rango5,0,1,273,Rango1,Rango1,Rango1,1,,,,
20896,Rango1,Rango1,1,1,243,Rango1,Rango1,Rango1,1,,,,
