ID_CORRELATIVO,ATTRITION
47411,0.3751
39861,0.34446
38898,0.04685
50927,0.04648
32969,0.09228
89661,0.18858
12197,0.20177
71520,0.038
59759,0.78987
36743,0.30735
10736,0.09267
5106,0.41825
44506,0.17521
47767,0.39648
74686,0.04866
63023,0.04759
13584,0.1978
317,0.19609
62570,0.11817
68244,0.04362
72881,0.1336
18280,0.01179
70682,0.03478
79902,0.35404
35073,0.11782
84331,0.0894
70921,0.04368
82245,0.49585
17714,0.09794
13993,0.01856
658,0.35149
33916,0.19634
92737,0.16969
22844,0.0835
93339,0.38418
29572,0.01296
24751,0.45909
37862,0.03597
26676,0.23693
8675,0.08646
64245,0.28542
57248,0.617
3531,0.02331
9834,0.04449
74246,0.06715
56683,0.11179
16847,0.10524
96617,0.15518
94167,0.02032
42800,0.41165
70106,0.16566
42486,0.33819
78076,0.10712
85819,0.52507
15786,0.17569
61483,0.00674
25630,0.04511
22501,0.03325
92447,0.29367
13795,0.0246
57101,0.05639
55077,0.28082
47600,0.26772
5924,0.69878
34900,0.13295
91990,0.20889
50268,0.38232
66401,0.23551
18014,0.02446
20006,0.35764
55391,0.38111
40304,0.18824
12832,0.3831
41746,0.04181
69384,0.1421
56225,0.62256
46522,0.0221
59922,0.15375
48609,0.05722
77235,0.6085
8082,0.03363
65539,0.01676
39769,0.21009
96098,0.06262
86925,0.38869
53370,0.46453
60773,0.04754
47138,0.14289
44098,0.02345
61301,0.06034
38956,0.06524
7585,0.74113
14240,0.09359
49732,0.08628
48849,0.07107
72202,0.11143
14480,0.29702
33035,0.01599
43985,0.26911
85217,0.02036
8121,0.38111
95484,0.08583
57781,0.02934
85281,0.05615
71928,0.18771
79044,0.02091
54020,0.32193
46617,0.18284
3924,0.535
76379,0.04136
62379,0.18841
80390,0.28635
95214,0.03618
24624,0.63407
89328,0.04651
85616,0.23932
84393,0.59459
63954,0.39661
20998,0.52152
42995,0.02346
67212,0.16396
95562,0.0678
1869,0.08311
81929,0.15824
72552,0.41416
34425,0.01351
83123,0.30144
90228,0.13238
27741,0.08909
53991,0.04725
15167,0.02795
29006,0.00867
86461,0.17419
22615,0.10927
90108,0.17671
12561,0.29164
18306,0.58688
78913,0.30993
38785,0.07405
13919,0.10052
59619,0.03514
17801,0.04737
11683,0.2535
50393,0.59494
1414,0.19036
49705,0.16032
11495,0.0955
74515,0.07671
87870,0.1091
18347,0.07958
3854,0.30605
19733,0.45038
44194,0.17757
80652,0.47299
22356,0.02933
56887,0.04844
54654,0.07407
81154,0.18882
60139,0.03583
49481,0.23144
13027,0.19609
6073,0.04494
21221,0.04639
78849,0.06785
98453,0.0635
43204,0.78274
49495,0.15194
50040,0.20332
62238,0.53388
96941,0.19644
51613,0.41066
28840,0.32111
88334,0.2323
40679,0.67206
91906,0.30335
61997,0.52164
96234,0.13823
35191,0.12153
99214,0.00533
94474,0.31929
70794,0.16253
96104,0.03264
63209,0.03256
78212,0.7166
9699,0.23699
89800,0.04218
52248,0.31166
48960,0.04093
77980,0.49747
58769,0.41622
74585,0.07877
33294,0.02437
93240,0.36084
27238,0.07975
2569,0.72694
51644,0.29965
48318,0.01311
9421,0.17939
77916,0.1977
11814,0.23793
61073,0.19295
64158,0.01245
2805,0.08905
72093,0.23432
48104,0.29508
20668,0.42205
68085,0.039
63923,0.04201
53517,0.39112
3104,0.33723
99805,0.10037
39359,0.55605
18783,0.07352
15511,0.60458
77153,0.04295
45019,0.45625
85462,0.06809
96718,0.1214
34821,0.70605
22810,0.23295
93544,0.15448
35535,0.07566
65259,0.5588
75047,0.03654
58877,0.22625
64070,0.3469
41996,0.33448
71713,0.24093
38718,0.02739
17155,0.62256
24713,0.17404
62892,0.01783
29011,0.04243
6645,0.02783
41304,0.05764
58739,0.095
23285,0.2497
48191,0.41955
97795,0.04536
6696,0.14819
64069,0.18646
82691,0.59358
18615,0.31983
62684,0.60014
9287,0.10566
6874,0.10758
22369,0.15885
92953,0.02219
84842,0.0127
28468,0.08858
30792,0.22754
13171,0.66085
17252,0.1662
40297,0.01268
98009,0.07736
15527,0.03665
7383,0.34805
5269,0.09527
31169,0.0444
23713,0.59973
93782,0.06846
33652,0.1358
50852,0.05634
62065,0.01112
58026,0.02511
75285,0.07344
14705,0.34729
47071,0.1427
37161,0.09573
77239,0.00956
24989,0.00709
90966,0.04936
76360,0.44556
94753,0.09706
84592,0.15285
67471,0.27415
41794,0.78146
31485,0.19861
91545,0.17451
53221,0.02161
8201,0.22381
60467,0.36924
68016,0.20526
38784,0.01968
55226,0.29703
65209,0.08108
75408,0.01517
85243,0.01291
79788,0.38497
61994,0.01911
79195,0.21401
46240,0.07978
22216,0.58484
70954,0.03644
84807,0.01536
46536,0.45
36753,0.07725
97859,0.09429
23760,0.19892
85723,0.06297
64710,0.45294
27733,0.03852
81034,0.42979
12401,0.15381
62556,0.25415
93553,0.11496
95020,0.45491
89411,0.0303
49025,0.56245
175,0.13149
41587,0.12685
95452,0.28552
66833,0.26559
35540,0.0565
27054,0.02554
73979,0.3908
86206,0.03142
44847,0.22348
3840,0.55126
61419,0.1711
41064,0.38444
3234,0.64265
48912,0.27155
14659,0.2446
95329,0.39649
48199,0.06774
57661,0.40947
91561,0.07772
98545,0.01277
64053,0.39863
44127,0.10074
19986,0.04659
50281,0.55081
23864,0.0498
10807,0.00358
46633,0.31165
22081,0.36326
58024,0.01794
43243,0.20979
87491,0.01329
8098,0.02356
15691,0.75927
92195,0.4957
89981,0.04853
61666,0.09651
59887,0.4026
72746,0.47043
97844,0.00393
66080,0.17046
35864,0.011
91618,0.07538
63875,0.01674
12653,0.31621
82407,0.15853
60272,0.00561
45986,0.55278
40088,0.0631
30671,0.01918
47115,0.7159
87106,0.45806
18985,0.09027
78531,0.0451
99309,0.11068
30856,0.03834
57429,0.34061
90844,0.38321
61193,0.05869
61960,0.20935
27310,0.64032
85688,0.00321
13849,0.42568
20923,0.14185
81184,0.0546
92660,0.14702
52780,0.44377
58352,0.00804
84217,0.2926
18894,0.12243
2060,0.20395
49450,0.01159
16422,0.07291
63949,0.0076
14806,0.66677
54228,0.02957
47189,0.00463
52562,0.02384
87245,0.11525
37544,0.26593
30325,0.02787
27069,0.00269
65802,0.14416
64416,0.29423
22027,0.02279
65273,0.52726
28436,0.01003
61160,0.48699
32883,0.28581
64263,0.02756
3036,0.0612
1394,0.03738
15909,0.40065
33028,0.08635
94431,0.0338
54780,0.36676
43674,0.40213
73620,0.0544
75024,0.20905
98242,0.22869
8382,0.37261
9870,0.04465
77482,0.01515
93661,0.29928
61203,0.07046
65157,0.10744
6978,0.03163
17470,0.03263
53031,0.74611
37506,0.07309
5012,0.14846
2994,0.46643
17970,0.04705
78783,0.08335
20016,0.26366
12503,0.22251
61154,0.61529
12861,0.03835
67373,0.26797
48455,0.02153
6505,0.10397
61490,0.42055
54247,0.33091
5795,0.82061
28306,0.54976
85714,0.261
82657,0.28668
44030,0.09259
65255,0.00984
64927,0.07429
75324,0.5932
6857,0.03465
11287,0.29825
35241,0.14021
34242,0.41728
69085,0.39095
71311,0.00506
36269,0.15896
14738,0.39147
549,0.45202
3479,0.16161
80866,0.47003
92323,0.31207
43887,0.34719
85023,0.21904
97922,0.16272
16440,0.14055
69117,0.59023
25539,0.40504
12828,0.09385
89828,0.21085
25600,0.02351
24291,0.50018
63983,0.25844
67518,0.00739
82104,0.1993
29260,0.04444
40004,0.22648
65199,0.07225
76117,0.00434
93827,0.46955
29395,0.02987
86252,0.25543
40938,0.50939
24209,0.02764
24037,0.08036
80880,0.12463
33040,0.02718
52215,0.28975
38125,0.27928
13173,0.29218
65774,0.30931
16691,0.01424
71372,0.40566
33821,0.66124
90285,0.04329
8425,0.67336
36687,0.25096
78613,0.2241
23269,0.09885
65699,0.15923
99079,0.09563
45348,0.02387
40929,0.55656
3792,0.12764
46357,0.5076
62600,0.18511
23863,0.08494
77937,0.50304
335,0.0853
60070,0.22885
13973,0.0667
45656,0.01285
18176,0.01803
5930,0.0112
86954,0.07831
64225,0.08292
72124,0.02547
2108,0.0872
44109,0.29459
16923,0.05463
70941,0.28552
83294,0.0794
78522,0.71288
95018,0.23457
96818,0.11696
27237,0.07999
84772,0.05632
41563,0.00641
73476,0.12218
72352,0.08472
79414,0.35722
60076,0.1616
80745,0.58502
86202,0.15259
16667,0.01487
61215,0.43316
3297,0.38311
3700,0.06641
70352,0.06067
72752,0.81482
16377,0.09127
455,0.05192
16803,0.09898
45698,0.34769
13350,0.277
76081,0.37341
77878,0.25389
72854,0.31823
36377,0.82764
64828,0.16767
5048,0.27574
20341,0.07517
93214,0.04374
70114,0.06754
22778,0.27914
24111,0.41932
91002,0.63684
41036,0.29767
84784,0.2361
77981,0.13836
62877,0.10229
75883,0.05144
65815,0.18406
9256,0.07757
43407,0.08531
2531,0.06023
27887,0.21494
12062,0.10416
20044,0.43977
65756,0.01394
93096,0.05091
22795,0.24321
87212,0.48628
35969,0.18164
16574,0.38736
86765,0.00563
15941,0.09188
90109,0.10918
48087,0.29782
58303,0.37385
94111,0.12317
58882,0.12333
68501,0.48201
15523,0.08489
32550,0.02383
66142,0.10716
34097,0.18807
65169,0.04585
97085,0.69752
56165,0.02368
86685,0.56785
70155,0.03244
94728,0.08904
18780,0.39936
94486,0.21677
39723,0.22825
53398,0.21462
49177,0.07883
61923,0.06114
72622,0.00803
78582,0.64506
55627,0.05927
52808,0.54908
26623,0.08594
68723,0.18636
15319,0.16656
33747,0.02469
73915,0.36702
92776,0.0773
49883,0.34629
98556,0.12533
88865,0.1942
97115,0.13953
54132,0.01958
9554,0.13636
70701,0.06342
5627,0.01997
80129,0.61399
8134,0.03325
69401,0.10555
27103,0.3084
30747,0.01734
83422,0.38142
3842,0.02527
2394,0.11117
6597,0.7499
11139,0.13887
57217,0.03125
3953,0.28262
79429,0.02912
60795,0.01986
56610,0.06006
81632,0.20715
69638,0.57427
86896,0.01164
75514,0.28766
66956,0.65883
70023,0.64815
14775,0.16084
63656,0.17724
86171,0.2581
53818,0.28746
75659,0.38585
60135,0.15235
3003,0.26233
62748,0.52102
48871,0.21067
68081,0.04235
10715,0.0249
18278,0.56779
11112,0.11682
10680,0.39437
39089,0.33724
92019,0.32363
23820,0.24323
28533,0.02935
61946,0.31473
68786,0.11677
50374,0.01858
32563,0.12238
91650,0.01625
54629,0.04448
38213,0.06915
23419,0.10385
5647,0.07678
25369,0.21684
61117,0.60408
90892,0.55333
56964,0.083
73556,0.77147
21316,0.61908
57187,0.67959
50543,0.05499
92908,0.05781
76663,0.3998
50791,0.11357
42964,0.42456
36473,0.28721
41795,0.07796
3005,0.06988
92387,0.54333
90232,0.06484
87360,0.15532
72062,0.22075
29388,0.04139
90178,0.06217
1090,0.44497
22898,0.06648
994,0.36677
74120,0.57616
82594,0.45011
45211,0.12841
83526,0.04408
77504,0.62326
77357,0.01124
94837,0.63661
75345,0.08675
33825,0.03643
67688,0.00572
43567,0.04623
90096,0.24107
84103,0.12715
89217,0.2498
11035,0.0743
73782,0.56293
61029,0.29724
22253,0.20804
71770,0.03897
14851,0.03065
48543,0.07903
53375,0.43604
9239,0.33541
50910,0.19113
7752,0.03769
14390,0.08848
38461,0.10868
29014,0.30974
17962,0.02062
56755,0.03068
82489,0.01383
61481,0.09645
21066,0.03491
38231,0.20135
76306,0.10798
32221,0.35335
86030,0.31495
76070,0.0036
81782,0.07243
43513,0.16552
46218,0.75561
41215,0.15012
88994,0.66286
83879,0.14921
55133,0.3027
97682,0.02374
2168,0.03872
32212,0.03732
73618,0.00885
10805,0.37643
48944,0.01112
37538,0.25169
69219,0.0115
99284,0.48399
17593,0.23003
83733,0.07782
3224,0.02397
19283,0.01584
18719,0.4737
96329,0.51326
47823,0.54323
16869,0.06554
60538,0.54881
49291,0.21935
71079,0.57314
25632,0.27058
62251,0.42277
72780,0.33388
13003,0.07195
40002,0.0516
98765,0.22319
86688,0.41159
58320,0.11393
84383,0.60099
76245,0.06303
93031,0.06093
54534,0.03061
58723,0.05226
36529,0.02906
77541,0.43927
49677,0.00909
76734,0.11205
99838,0.2647
1529,0.10984
30528,0.35701
11220,0.19153
93804,0.06625
58259,0.05045
20339,0.4538
42577,0.01022
23740,0.4401
7391,0.40896
94300,0.26736
81918,0.19892
25894,0.01763
37142,0.02642
88486,0.09342
17974,0.48113
23522,0.5954
60666,0.32888
2482,0.05353
88646,0.01764
82150,0.45189
86468,0.01152
75758,0.59028
35498,0.11118
86662,0.17396
48888,0.46863
86890,0.29947
80800,0.33862
21045,0.02382
2799,0.08202
10916,0.15862
77435,0.30906
27846,0.11839
9054,0.41731
19538,0.06232
19587,0.00964
92929,0.0367
91755,0.01072
35661,0.35721
60771,0.51718
40120,0.14517
889,0.19858
23531,0.34191
16672,0.14357
10823,0.2742
80285,0.05964
81029,0.01597
44604,0.29471
39242,0.71399
26560,0.06729
46806,0.27384
96785,0.01172
24706,0.22622
88480,0.02947
57315,0.10751
3446,0.22908
12090,0.36164
97040,0.69143
65462,0.3134
5241,0.06119
97418,0.01288
13258,0.20546
89719,0.48865
68834,0.04856
91152,0.40531
48913,0.15162
3626,0.45804
91685,0.41021
8691,0.43688
30925,0.11241
56825,0.02054
3830,0.07534
30378,0.02135
77994,0.11811
33864,0.65689
2796,0.00478
46336,0.55921
6057,0.0815
14343,0.4003
97320,0.42808
36178,0.10674
53255,0.04119
80715,0.02704
45459,0.14226
14349,0.65247
81802,0.11305
22939,0.01148
46890,0.08304
70172,0.71058
98942,0.45513
69473,0.51072
60799,0.26056
96623,0.37937
66047,0.19046
22722,0.6536
89798,0.1323
52528,0.22094
4092,0.03474
21782,0.12023
98723,0.69842
83686,0.58439
84689,0.05107
50369,0.03095
76171,0.03573
77288,0.69586
46229,0.36178
56531,0.04078
93788,0.01634
25213,0.03304
14288,0.26437
17576,0.13358
