ID_CORRELATIVO,ATTRITION
47411,0.51622
39861,0.36362
38898,0.02298
50927,0.02098
32969,0.13522
89661,0.1246
12197,0.21917
71520,0.02794
59759,0.74838
36743,0.25251
10736,0.09364
5106,0.72335
44506,0.2584
47767,0.33061
74686,0.04706
63023,0.12172
13584,0.28495
317,0.17247
62570,0.10132
68244,0.02683
72881,0.08573
18280,0.02299
70682,0.00699
79902,0.3172
35073,0.08898
84331,0.12674
70921,0.02931
82245,0.58829
17714,0.10219
13993,0.01009
658,0.51503
33916,0.17791
92737,0.19372
22844,0.10606
93339,0.29207
29572,0.00354
24751,0.56488
37862,0.03801
26676,0.24193
8675,0.10085
64245,0.23374
57248,0.59515
3531,0.00948
9834,0.20144
74246,0.18033
56683,0.1617
16847,0.20273
96617,0.15588
94167,0.06579
42800,0.38493
70106,0.35309
42486,0.35295
78076,0.10323
85819,0.51537
15786,0.10392
61483,0.00479
25630,0.04002
22501,0.03469
92447,0.20842
13795,0.03513
57101,0.06221
55077,0.17562
47600,0.20362
5924,0.85536
34900,0.16808
91990,0.22493
50268,0.48825
66401,0.18661
18014,0.00987
20006,0.38109
55391,0.37951
40304,0.06583
12832,0.28957
41746,0.02068
69384,0.12964
56225,0.56871
46522,0.0103
59922,0.12563
48609,0.08324
77235,0.61121
8082,0.03491
65539,0.01078
39769,0.23988
96098,0.05508
86925,0.27878
53370,0.40964
60773,0.07365
47138,0.22372
44098,0.00773
61301,0.0513
38956,0.07208
7585,0.59903
14240,0.0809
49732,0.04213
48849,0.02821
72202,0.12121
14480,0.2368
33035,0.01427
43985,0.22886
85217,0.00822
8121,0.37951
95484,0.09442
57781,0.12061
85281,0.0446
71928,0.15517
79044,0.00789
54020,0.438
46617,0.0385
3924,0.46292
76379,0.02511
62379,0.19131
80390,0.24017
95214,0.00994
24624,0.63858
89328,0.03092
85616,0.18899
84393,0.38543
63954,0.35453
20998,0.53353
42995,0.00845
67212,0.15819
95562,0.06214
1869,0.20564
81929,0.11712
72552,0.31157
34425,0.01213
83123,0.30746
90228,0.23667
27741,0.08534
53991,0.04688
15167,0.15861
29006,0.00382
86461,0.1784
22615,0.26458
90108,0.20688
12561,0.37995
18306,0.58446
78913,0.38314
38785,0.10936
13919,0.13058
59619,0.00693
17801,0.02745
11683,0.19913
50393,0.45595
1414,0.1567
49705,0.17669
11495,0.09652
74515,0.09489
87870,0.08432
18347,0.08166
3854,0.2989
19733,0.28354
44194,0.15367
80652,0.25133
22356,0.0196
56887,0.01001
54654,0.08494
81154,0.28237
60139,0.02226
49481,0.31243
13027,0.17247
6073,0.07723
21221,0.04665
78849,0.0587
98453,0.04797
43204,0.85801
49495,0.10961
50040,0.14798
62238,0.49838
96941,0.19539
51613,0.1925
28840,0.34185
88334,0.17391
40679,0.68231
91906,0.3337
61997,0.55576
96234,0.09191
35191,0.09858
99214,0.00471
94474,0.11866
70794,0.19274
96104,0.02642
63209,0.02767
78212,0.78992
9699,0.18356
89800,0.0311
52248,0.38125
48960,0.03162
77980,0.52264
58769,0.41207
74585,0.03848
33294,0.01885
93240,0.31061
27238,0.11006
2569,0.74554
51644,0.28221
48318,0.01517
9421,0.15732
77916,0.12957
11814,0.25183
61073,0.13734
64158,0.00286
2805,0.04299
72093,0.28003
48104,0.16343
20668,0.38175
68085,0.03819
63923,0.0132
53517,0.26788
3104,0.27721
99805,0.12599
39359,0.45027
18783,0.05314
15511,0.50025
77153,0.05329
45019,0.3816
85462,0.01452
96718,0.14378
34821,0.7048
22810,0.16856
93544,0.16036
35535,0.09866
65259,0.43068
75047,0.02004
58877,0.25718
64070,0.23896
41996,0.10478
71713,0.25984
38718,0.0404
17155,0.56871
24713,0.21491
62892,0.01372
29011,0.05247
6645,0.0209
41304,0.05424
58739,0.1049
23285,0.27688
48191,0.35873
97795,0.14006
6696,0.1857
64069,0.10155
82691,0.49323
18615,0.27414
62684,0.47803
9287,0.10451
6874,0.08538
22369,0.26369
92953,0.01571
84842,0.00484
28468,0.05871
30792,0.28231
13171,0.69142
17252,0.15296
40297,0.02675
98009,0.10227
15527,0.03215
7383,0.23083
5269,0.05607
31169,0.04851
23713,0.56715
93782,0.12
33652,0.1334
50852,0.06583
62065,0.00579
58026,0.03047
75285,0.06544
14705,0.25469
47071,0.12185
37161,0.10396
77239,0.01373
24989,0.00207
90966,0.03475
76360,0.38782
94753,0.14222
84592,0.12852
67471,0.20002
41794,0.79307
31485,0.17618
91545,0.14086
53221,0.00438
8201,0.19325
60467,0.3538
68016,0.10166
38784,0.0167
55226,0.35528
65209,0.06327
75408,0.00357
85243,0.05114
79788,0.3313
61994,0.0139
79195,0.2421
46240,0.08192
22216,0.49096
70954,0.02648
84807,0.0052
46536,0.27104
36753,0.01281
97859,0.06229
23760,0.14236
85723,0.12353
64710,0.48703
27733,0.04875
81034,0.38292
12401,0.28679
62556,0.33107
93553,0.11756
95020,0.47096
89411,0.01196
49025,0.58001
175,0.10609
41587,0.11479
95452,0.25409
66833,0.31023
35540,0.07694
27054,0.01455
73979,0.22268
86206,0.0109
44847,0.20288
3840,0.51344
61419,0.19049
41064,0.44103
3234,0.66812
48912,0.26112
14659,0.20072
95329,0.36294
48199,0.12788
57661,0.24008
91561,0.07271
98545,0.0039
64053,0.3835
44127,0.04142
19986,0.02468
50281,0.58401
23864,0.02923
10807,0.00072
46633,0.275
22081,0.3003
58024,0.00915
43243,0.13002
87491,0.00959
8098,0.13889
15691,0.5797
92195,0.35825
89981,0.02718
61666,0.08748
59887,0.35436
72746,0.37332
97844,0.00078
66080,0.1517
35864,0.00367
91618,0.091
63875,0.01308
12653,0.12501
82407,0.12674
60272,0.00532
45986,0.52158
40088,0.07203
30671,0.01046
47115,0.85216
87106,0.51184
18985,0.06257
78531,0.05437
99309,0.05776
30856,0.01944
57429,0.35811
90844,0.41602
61193,0.05436
61960,0.16214
