ID_CORRELATIVO,ATTRITION
47411,0.28165
39861,0.67608
38898,0.01806
50927,0.02571
32969,0.18151
89661,0.29356
12197,0.23337
71520,0.00566
59759,0.8205
36743,0.17265
10736,0.05353
5106,0.3898
44506,0.44971
47767,0.32602
74686,0.04498
63023,0.01861
13584,0.22603
317,0.18517
62570,0.11823
68244,0.01776
72881,0.11711
18280,0.00519
70682,0.02135
79902,0.2347
35073,0.09932
84331,0.09471
70921,0.01525
82245,0.3276
17714,0.07545
13993,0.01084
658,0.35403
33916,0.25163
92737,0.15872
22844,0.05693
93339,0.35414
29572,0.00436
24751,0.82279
37862,0.02326
26676,0.25294
8675,0.06126
64245,0.29928
57248,0.62337
3531,0.00756
9834,0.00892
74246,0.10133
56683,0.05759
16847,0.20805
96617,0.11039
94167,0.01946
42800,0.58515
70106,0.14715
42486,0.20698
78076,0.09529
85819,0.49931
15786,0.20836
61483,0.01183
25630,0.04799
22501,0.01718
92447,0.1978
13795,0.0223
57101,0.0544
55077,0.26037
47600,0.26068
5924,0.80347
34900,0.33383
91990,0.1725
50268,0.29605
66401,0.1446
18014,0.0075
20006,0.22045
55391,0.76057
40304,0.62044
12832,0.33331
41746,0.02993
69384,0.06169
56225,0.63839
46522,0.01049
59922,0.09012
48609,0.05743
77235,0.57247
8082,0.07638
65539,0.01304
39769,0.17901
96098,0.07117
86925,0.81772
53370,0.39894
60773,0.04271
47138,0.35721
44098,0.00807
61301,0.02099
38956,0.0454
7585,0.70451
14240,0.06484
49732,0.06092
48849,0.0177
72202,0.07134
14480,0.42678
33035,0.00458
43985,0.09443
85217,0.01073
8121,0.23913
95484,0.11259
57781,0.05574
85281,0.06145
71928,0.17148
79044,0.00402
54020,0.30857
46617,0.16766
3924,0.75487
76379,0.05551
62379,0.13557
80390,0.30681
95214,0.02592
24624,0.73983
89328,0.02457
85616,0.34793
84393,0.79673
63954,0.29017
20998,0.22457
42995,0.00863
67212,0.1468
95562,0.09646
1869,0.0931
81929,0.1225
72552,0.56714
34425,0.00434
83123,0.33346
90228,0.24262
27741,0.05664
53991,0.02055
15167,0.12188
29006,0.0025
86461,0.09348
22615,0.2427
90108,0.45586
12561,0.35775
18306,0.51878
78913,0.47433
38785,0.17182
13919,0.05199
59619,0.01098
17801,0.05724
11683,0.11323
50393,0.55984
1414,0.25141
49705,0.26352
11495,0.11069
74515,0.0607
87870,0.14517
18347,0.05361
3854,0.6767
19733,0.32187
44194,0.10719
80652,0.20986
22356,0.1144
56887,0.07797
54654,0.05265
81154,0.14953
60139,0.04001
49481,0.23691
13027,0.18517
6073,0.03871
21221,0.03697
78849,0.08027
98453,0.08316
43204,0.70077
49495,0.13202
50040,0.11647
62238,0.5789
96941,0.11767
51613,0.34189
28840,0.141
88334,0.24346
40679,0.67301
91906,0.18002
61997,0.44786
96234,0.08368
35191,0.15826
99214,0.00114
94474,0.33828
70794,0.18716
96104,0.01604
63209,0.0164
78212,0.60331
9699,0.18485
89800,0.0134
52248,0.19144
48960,0.04139
77980,0.64615
58769,0.36103
74585,0.0216
33294,0.0248
93240,0.313
27238,0.34705
2569,0.7349
51644,0.24287
48318,0.00783
9421,0.24736
77916,0.13275
11814,0.22848
61073,0.23327
64158,0.0038
2805,0.0404
72093,0.17257
48104,0.21831
20668,0.43446
68085,0.0353
63923,0.0151
53517,0.31982
3104,0.56006
99805,0.15747
39359,0.41689
18783,0.04569
15511,0.50983
77153,0.01846
45019,0.50122
85462,0.03135
96718,0.03928
34821,0.60489
22810,0.13814
93544,0.08476
35535,0.0451
65259,0.85249
75047,0.02613
58877,0.23879
64070,0.29025
41996,0.23073
71713,0.2274
38718,0.02403
17155,0.69453
24713,0.07491
62892,0.02203
29011,0.05457
6645,0.06094
41304,0.0283
58739,0.07851
23285,0.25493
48191,0.33514
97795,0.05567
6696,0.36759
64069,0.25565
82691,0.75043
18615,0.29222
62684,0.6707
9287,0.07466
6874,0.11725
22369,0.12357
92953,0.01311
84842,0.0037
28468,0.08997
30792,0.21778
13171,0.45152
17252,0.2702
40297,0.00854
98009,0.09979
15527,0.01361
7383,0.45118
5269,0.1223
31169,0.02394
23713,0.62292
93782,0.04784
33652,0.13711
50852,0.03881
62065,0.00406
58026,0.01101
75285,0.05853
14705,0.35517
47071,0.11
37161,0.06702
77239,0.00996
24989,0.00359
90966,0.01214
76360,0.40475
94753,0.15019
84592,0.24754
67471,0.41824
41794,0.67452
31485,0.44387
91545,0.10571
53221,0.01237
8201,0.31943
60467,0.24185
68016,0.15127
38784,0.00758
55226,0.07375
65209,0.05614
75408,0.00209
85243,0.01561
79788,0.29339
61994,0.01285
79195,0.27733
46240,0.03159
22216,0.65624
70954,0.02126
84807,0.0028
46536,0.29385
36753,0.04552
97859,0.04386
