ID_CORRELATIVO,ATTRITION
47411,0.46143
39861,0.67179
38898,0.02089
50927,0.01614
32969,0.16237
89661,0.23806
12197,0.13212
71520,0.03721
59759,0.88413
36743,0.2216
10736,0.07231
5106,0.54594
44506,0.63978
47767,0.45523
74686,0.02671
63023,0.04066
13584,0.08542
317,0.184
62570,0.09784
68244,0.02488
72881,0.04428
18280,0.01221
70682,0.00171
79902,0.14887
35073,0.13346
84331,0.20649
70921,0.01839
82245,0.43192
17714,0.03538
13993,0.00768
658,0.61452
33916,0.23732
92737,0.16875
22844,0.03416
93339,0.33762
29572,0.00235
24751,0.90697
37862,0.01132
26676,0.29825
8675,0.06148
64245,0.27833
57248,0.63757
3531,0.00657
9834,0.04346
74246,0.11216
56683,0.06178
16847,0.32379
96617,0.08609
94167,0.17268
42800,0.69519
70106,0.33179
42486,0.23504
78076,0.09455
85819,0.68126
15786,0.23869
61483,0.00395
25630,0.04579
22501,0.02072
92447,0.12969
13795,0.01642
57101,0.03528
55077,0.29847
47600,0.22823
5924,0.94174
34900,0.32338
91990,0.30165
50268,0.27412
66401,0.15337
18014,0.00554
20006,0.35786
55391,0.74929
40304,0.84911
12832,0.26831
41746,0.02944
69384,0.07055
56225,0.67541
46522,0.00511
59922,0.10993
48609,0.05334
77235,0.70661
8082,0.05534
65539,0.00224
39769,0.26322
96098,0.06063
86925,0.95532
53370,0.38569
60773,0.0872
47138,0.25514
44098,0.00497
61301,0.02595
38956,0.04285
7585,0.70441
14240,0.04302
49732,0.05259
48849,0.01101
72202,0.08832
14480,0.33409
33035,0.00586
43985,0.05367
85217,0.01016
8121,0.2766
95484,0.09838
57781,0.19417
85281,0.03276
71928,0.19675
79044,0.00079
54020,0.45589
46617,0.09949
3924,0.74482
76379,0.05165
62379,0.12078
80390,0.1668
95214,0.02056
24624,0.8096
89328,0.02939
85616,0.23183
84393,0.55824
63954,0.31184
20998,0.27818
42995,0.00573
67212,0.1779
95562,0.09778
1869,0.21113
81929,0.06282
72552,0.53441
34425,0.01164
83123,0.27927
90228,0.35844
27741,0.06153
53991,0.01429
15167,0.24693
29006,0.00108
86461,0.08779
22615,0.56734
90108,0.70162
12561,0.41882
18306,0.67172
78913,0.49325
38785,0.18866
13919,0.05531
59619,0.00263
17801,0.048
11683,0.11104
50393,0.64683
1414,0.23902
49705,0.29184
11495,0.10349
74515,0.04307
87870,0.17679
18347,0.02777
3854,0.6545
19733,0.40847
44194,0.08071
80652,0.18603
22356,0.05716
56887,0.02001
54654,0.07927
81154,0.16384
60139,0.04557
49481,0.17543
13027,0.184
6073,0.04348
21221,0.05411
78849,0.029
98453,0.07615
43204,0.86857
49495,0.16679
50040,0.08723
62238,0.67154
96941,0.12079
51613,0.20346
28840,0.16554
88334,0.0764
40679,0.67294
91906,0.09792
61997,0.717
96234,0.13959
35191,0.07782
99214,0.00061
94474,0.07446
70794,0.30553
96104,0.01617
63209,0.01512
78212,0.80884
9699,0.21355
89800,0.00753
52248,0.43662
48960,0.07184
77980,0.73145
58769,0.41261
74585,0.00532
33294,0.04398
93240,0.39036
27238,0.44495
2569,0.84913
51644,0.2216
