ID_CORRELATIVO,ATTRITION
47411,0.16
39861,0.44
38898,0.0
50927,0.0
32969,0.16
89661,0.32
12197,0.16
71520,0.08
59759,0.0
36743,0.08
10736,0.04
5106,0.08
44506,0.12
47767,0.24
74686,0.08
63023,0.04
13584,0.16
317,0.0
62570,0.0
68244,0.04
72881,0.04
18280,0.0
70682,0.0
79902,0.04
35073,0.08
84331,0.04
70921,0.04
82245,0.2
17714,0.08
13993,0.0
658,0.56
33916,0.16
92737,0.24
22844,0.28
93339,0.36
29572,0.0
24751,0.68
37862,0.0
26676,0.04
8675,0.24
64245,0.04
57248,0.32
3531,0.04
9834,0.0
74246,0.12
56683,0.12
16847,0.12
96617,0.2
94167,0.08
42800,0.48
70106,0.2
42486,0.04
78076,0.04
85819,0.04
15786,0.25
61483,0.0
25630,0.08
22501,0.08
92447,0.08
13795,0.0
57101,0.0
55077,0.12
47600,0.12
5924,0.32
34900,0.0
91990,0.12
50268,0.36
66401,0.04
18014,0.0
20006,0.04
55391,0.368
40304,0.56
12832,0.24
41746,0.0
69384,0.2
56225,0.04
46522,0.0
59922,0.04
48609,0.04
77235,0.2
8082,0.12
65539,0.12
39769,0.08
96098,0.04
86925,0.6
53370,0.24
60773,0.12
47138,0.08
44098,0.08
61301,0.04
38956,0.16
7585,0.08
14240,0.0
49732,0.08
48849,0.08
72202,0.0
14480,0.0
33035,0.16
43985,0.2
85217,0.04
8121,0.1867
95484,0.04
57781,0.0
85281,0.44
71928,0.32
79044,0.04
54020,0.08
46617,0.12
3924,0.44
76379,0.2
62379,0.08
80390,0.2
95214,0.0
24624,0.16
89328,0.04
85616,0.24
84393,0.04
63954,0.2
20998,0.12
42995,0.08
67212,0.16
95562,0.0
1869,0.0
81929,0.3324
72552,0.24
34425,0.16
83123,0.28
90228,0.04
27741,0.28
53991,0.0
15167,0.0
29006,0.04
86461,0.12
22615,0.64
90108,0.0
12561,0.16
18306,0.16
78913,0.12
38785,0.32
13919,0.1474
59619,0.04
17801,0.16
11683,0.0
50393,0.24
1414,0.12
49705,0.16
11495,0.04
74515,0.04
87870,0.2
18347,0.08
3854,0.12
19733,0.0752
44194,0.0
