ID_CORRELATIVO,ATTRITION
47411,0.12
39861,0.52
38898,0.04
50927,0.0
32969,0.0
89661,0.32
12197,0.32
71520,0.08
59759,0.08
36743,0.0
10736,0.16
5106,0.08
44506,0.12
47767,0.28
74686,0.08
63023,0.04
13584,0.08
317,0.0
62570,0.08
68244,0.08
72881,0.16
18280,0.04
70682,0.0
79902,0.08
35073,0.12
84331,0.08
70921,0.04
82245,0.48
17714,0.08
13993,0.0
658,0.56
33916,0.04
92737,0.32
22844,0.2
93339,0.28
29572,0.04
24751,0.72
37862,0.12
26676,0.24
8675,0.04
64245,0.2
57248,0.16
3531,0.0
9834,0.04
74246,0.04
56683,0.24
16847,0.04
96617,0.24
94167,0.16
42800,0.52
70106,0.28
42486,0.0
78076,0.12
85819,0.04
15786,0.4133
61483,0.04
25630,0.04
22501,0.0
92447,0.08
13795,0.0
57101,0.08
55077,0.04
47600,0.04
5924,0.32
34900,0.12
91990,0.2
50268,0.32
66401,0.04
18014,0.0
20006,0.04
55391,0.3796
40304,0.6
12832,0.16
41746,0.0
69384,0.28
56225,0.02
46522,0.0
59922,0.08
48609,0.16
77235,0.2
8082,0.04
65539,0.08
39769,0.38
96098,0.0
86925,0.72
53370,0.16
60773,0.08
47138,0.24
44098,0.08
61301,0.08
38956,0.28
7585,0.04
14240,0.0
49732,0.08
48849,0.08
72202,0.08
14480,0.04
33035,0.0
43985,0.36
85217,0.0
8121,0.196
95484,0.16
57781,0.04
85281,0.24
71928,0.16
79044,0.04
54020,0.08
46617,0.0
3924,0.36
76379,0.16
62379,0.04
80390,0.12
95214,0.0
24624,0.0
89328,0.04
85616,0.32
84393,0.32
63954,0.24
20998,0.08
42995,0.2
67212,0.24
95562,0.04
1869,0.0
81929,0.2078
72552,0.36
34425,0.12
83123,0.12
90228,0.12
27741,0.36
53991,0.0
15167,0.12
29006,0.04
86461,0.258
22615,0.52
90108,0.12
12561,0.24
18306,0.12
78913,0.2533
38785,0.28
13919,0.066
59619,0.16
17801,0.2
11683,0.04
50393,0.32
1414,0.16
49705,0.04
11495,0.16
74515,0.08
87870,0.16
18347,0.04
3854,0.12
19733,0.0817
44194,0.04
80652,0.28
22356,0.16
56887,0.08
54654,0.2
81154,0.0
60139,0.08
49481,0.2
13027,0.0
6073,0.12
21221,0.04
78849,0.0
98453,0.16
43204,0.64
49495,0.12
50040,0.08
62238,0.12
96941,0.08
51613,0.32
28840,0.24
88334,0.16
40679,0.24
91906,0.04
61997,0.24
96234,0.08
35191,0.24
99214,0.04
94474,0.16
70794,0.32
96104,0.0
63209,0.08
78212,0.44
9699,0.18
89800,0.04
52248,0.08
48960,0.0
77980,0.08
58769,0.32
74585,0.04
33294,0.0
93240,0.24
27238,0.52
2569,0.16
51644,0.08
48318,0.12
9421,0.08
77916,0.04
11814,0.2
61073,0.1333
64158,0.0
2805,0.0
72093,0.16
48104,0.32
20668,0.04
68085,0.28
63923,0.16
53517,0.32
3104,0.04
99805,0.1867
39359,0.22
18783,0.0
15511,0.32
77153,0.04
45019,0.22
85462,0.08
96718,0.08
34821,0.16
22810,0.04
93544,0.08
35535,0.04
65259,0.2
75047,0.12
58877,0.2
64070,0.146
41996,0.24
71713,0.2
38718,0.0933
17155,0.16
24713,0.2
62892,0.16
29011,0.12
6645,0.0
41304,0.16
58739,0.12
23285,0.04
48191,0.12
97795,0.04
6696,0.36
64069,0.08
82691,0.08
18615,0.16
62684,0.24
9287,0.0
6874,0.04
22369,0.5
92953,0.04
84842,0.04
28468,0.08
30792,0.28
13171,0.44
17252,0.2
40297,0.24
98009,0.08
15527,0.08
7383,0.2533
5269,0.28
31169,0.04
23713,0.12
93782,0.48
33652,0.16
50852,0.16
62065,0.04
58026,0.0
75285,0.04
14705,0.36
47071,0.0
37161,0.04
77239,0.0
24989,0.04
90966,0.04
76360,0.12
94753,0.12
84592,0.32
67471,0.24
41794,0.6336
31485,0.04
91545,0.16
53221,0.0
8201,0.16
60467,0.0
68016,0.08
38784,0.08
55226,0.04
65209,0.04
75408,0.08
85243,0.16
79788,0.16
61994,0.16
79195,0.16
46240,0.12
22216,0.08
70954,0.24
84807,0.0
46536,0.32
36753,0.0
97859,0.16
23760,0.08
85723,0.24
64710,0.32
27733,0.0
81034,0.12
12401,0.04
62556,0.32
93553,0.24
95020,0.2
89411,0.0
49025,0.44
175,0.08
41587,0.24
95452,0.04
66833,0.16
35540,0.28
27054,0.0
73979,0.04
86206,0.16
44847,0.28
3840,0.24
61419,0.12
41064,0.4
3234,0.12
48912,0.36
14659,0.4537
95329,0.52
48199,0.32
57661,0.08
91561,0.32
98545,0.04
64053,0.12
44127,0.28
19986,0.0
50281,0.16
23864,0.0
10807,0.08
46633,0.0
22081,0.08
58024,0.0
43243,0.04
87491,0.08
8098,0.0
15691,0.08
92195,0.16
89981,0.44
61666,0.28
59887,0.08
72746,0.04
97844,0.04
66080,0.12
35864,0.04
91618,0.04
63875,0.0
12653,0.16
82407,0.2
60272,0.24
45986,0.24
40088,0.2
30671,0.04
47115,0.76
87106,0.16
18985,0.04
78531,0.12
99309,0.0
30856,0.04
57429,0.2
90844,0.2
61193,0.2
61960,0.0
27310,0.2
85688,0.0
13849,0.0
20923,0.04
81184,0.5333
92660,0.08
52780,0.24
58352,0.0
84217,0.16
18894,0.52
2060,0.0
49450,0.0
16422,0.04
63949,0.12
14806,0.24
54228,0.04
47189,0.0
52562,0.04
87245,0.08
37544,0.08
30325,0.08
27069,0.0
65802,0.0
64416,0.08
22027,0.0
65273,0.16
28436,0.08
61160,0.24
32883,0.08
64263,0.08
3036,0.08
1394,0.04
15909,0.2
33028,0.0907
94431,0.08
54780,0.16
43674,0.04
73620,0.32
75024,0.16
98242,0.16
8382,0.24
9870,0.08
77482,0.12
93661,0.24
61203,0.08
65157,0.08
6978,0.04
17470,0.0
53031,0.7735
37506,0.08
5012,0.2
2994,0.32
17970,0.12
78783,0.08
20016,0.2267
12503,0.52
61154,0.2
12861,0.04
67373,0.24
48455,0.0
6505,0.04
61490,0.36
54247,0.36
5795,0.48
28306,0.24
85714,0.24
82657,0.08
44030,0.12
65255,0.0
64927,0.12
75324,0.12
6857,0.04
11287,0.08
35241,0.08
34242,0.64
69085,0.3167
71311,0.04
36269,0.2
14738,0.2273
549,0.04
3479,0.04
80866,0.12
92323,0.12
43887,0.328
85023,0.04
97922,0.08
16440,0.08
69117,0.16
25539,0.2
12828,0.2
89828,0.12
25600,0.04
24291,0.12
63983,0.32
67518,0.0
82104,0.04
29260,0.08
40004,0.08
65199,0.08
76117,0.08
93827,0.2647
29395,0.0
86252,0.1629
40938,0.52
24209,0.0
24037,0.12
80880,0.08
33040,0.12
52215,0.08
38125,0.12
13173,0.12
65774,0.16
16691,0.08
71372,0.1372
33821,0.12
90285,0.24
8425,0.2
36687,0.04
78613,0.12
23269,0.12
65699,0.0
99079,0.08
45348,0.04
40929,0.08
3792,0.08
46357,0.0
62600,0.12
23863,0.16
77937,0.08
335,0.12
60070,0.16
13973,0.0
45656,0.0
18176,0.0
5930,0.36
86954,0.0
64225,0.0
72124,0.0
2108,0.04
44109,0.28
16923,0.08
70941,0.0008
83294,0.12
78522,0.22
95018,0.04
96818,0.32
27237,0.2
84772,0.08
41563,0.0
73476,0.16
72352,0.04
79414,0.08
60076,0.28
80745,0.36
86202,0.16
16667,0.0
61215,0.04
3297,0.16
3700,0.12
70352,0.08
72752,0.84
16377,0.0
455,0.12
16803,0.0
45698,0.04
13350,0.08
76081,0.16
77878,0.0671
72854,0.0507
36377,0.8
64828,0.08
5048,0.04
20341,0.08
93214,0.0
70114,0.2
22778,0.1972
24111,0.4
91002,0.2
41036,0.08
84784,0.16
77981,0.0
62877,0.04
75883,0.04
65815,0.56
9256,0.04
43407,0.08
2531,0.04
27887,0.16
12062,0.205
20044,0.28
65756,0.08
93096,0.2
22795,0.08
87212,0.28
35969,0.16
16574,0.24
86765,0.0
15941,0.0
90109,0.16
48087,0.2
58303,0.16
94111,0.16
58882,0.04
68501,0.24
15523,0.08
32550,0.32
66142,0.08
34097,0.2
65169,0.08
97085,0.52
56165,0.04
86685,0.12
70155,0.08
94728,0.16
18780,0.096
94486,0.28
39723,0.24
53398,0.08
49177,0.12
61923,0.0
72622,0.08
78582,0.72
55627,0.16
52808,0.6
26623,0.04
68723,0.0
15319,0.12
33747,0.0
73915,0.2
92776,0.0
49883,0.24
98556,0.24
88865,0.04
97115,0.0
54132,0.0
9554,0.0
70701,0.08
5627,0.0
80129,0.16
8134,0.08
69401,0.08
27103,0.6333
30747,0.0
83422,0.04
3842,0.08
2394,0.0
6597,0.2
11139,0.32
57217,0.08
3953,0.08
79429,0.04
60795,0.0
56610,0.2
81632,0.12
69638,0.2
86896,0.0
75514,0.0
66956,0.68
70023,0.68
14775,0.4
63656,0.0
86171,0.24
53818,0.12
75659,0.0827
60135,0.68
3003,0.2
62748,0.08
48871,0.12
68081,0.0
10715,0.0
18278,0.32
11112,0.0
10680,0.24
39089,0.32
92019,0.18
23820,0.12
28533,0.2
61946,0.16
68786,0.08
50374,0.0
32563,0.24
91650,0.0
