ID_CORRELATIVO,ATTRITION
47411,0.1895
39861,0.6265
38898,0.2731
50927,0.1622
32969,0.1804
89661,0.1557
12197,0.1559
71520,0.0595
59759,0.1831
36743,0.2137
10736,0.212
5106,0.1721
44506,0.153
47767,0.1906
74686,0.1546
63023,0.1845
13584,0.1848
317,0.1876
62570,0.2128
68244,0.2895
72881,0.1369
18280,0.1741
70682,0.1868
79902,0.1445
35073,0.1704
84331,0.1463
70921,0.196
82245,0.1547
17714,0.1499
13993,0.2126
658,0.073
33916,0.1747
92737,0.1592
22844,0.1008
93339,0.1418
29572,0.1344
24751,0.7157
37862,0.2355
26676,0.182
8675,0.1842
64245,0.1878
57248,0.1843
3531,0.2057
9834,0.1626
74246,0.1741
56683,0.1839
16847,0.1624
96617,0.2166
94167,0.2216
42800,0.3828
70106,0.3457
42486,0.1404
78076,0.2489
85819,0.1877
15786,0.1914
61483,0.1314
25630,0.2207
22501,0.1777
92447,0.2158
13795,0.0788
57101,0.1256
55077,0.1764
47600,0.1757
5924,0.2029
34900,0.1882
91990,0.2064
50268,0.1982
66401,0.1755
18014,0.0311
20006,0.1738
55391,0.2049
40304,0.3555
12832,0.2141
41746,0.1689
69384,0.1825
56225,0.1843
46522,0.1889
59922,0.279
48609,0.1545
77235,0.1876
8082,0.3049
65539,0.1984
39769,0.1906
96098,0.244
86925,0.7206
53370,0.1529
60773,0.1517
47138,0.1822
44098,0.1462
61301,0.1439
38956,0.2588
7585,0.1908
14240,0.1927
49732,0.0712
48849,0.0542
72202,0.1973
14480,0.1995
33035,0.1254
43985,0.2438
85217,0.1195
8121,0.1882
95484,0.2939
57781,0.2055
85281,0.2169
71928,0.1941
79044,0.1721
54020,0.209
46617,0.1494
3924,0.5514
76379,0.1711
62379,0.1814
80390,0.1123
95214,0.1455
24624,0.2005
89328,0.135
85616,0.2116
84393,0.2027
63954,0.2034
20998,0.1432
42995,0.1499
67212,0.1813
95562,0.1669
1869,0.2187
81929,0.1878
72552,0.1986
34425,0.1752
83123,0.2039
90228,0.1706
27741,0.1829
53991,0.2341
15167,0.1655
29006,0.2392
86461,0.2033
22615,0.3107
90108,0.1648
12561,0.178
18306,0.2193
78913,0.2687
38785,0.1898
13919,0.1826
59619,0.2049
17801,0.1627
11683,0.2503
50393,0.2432
1414,0.1675
49705,0.1465
11495,0.2382
74515,0.186
87870,0.2598
18347,0.156
3854,0.2154
19733,0.1087
44194,0.2859
80652,0.1984
22356,0.1718
56887,0.1847
54654,0.1278
81154,0.1647
60139,0.2213
49481,0.1585
13027,0.1868
6073,0.148
21221,0.1125
78849,0.1646
98453,0.1532
43204,0.1687
49495,0.2281
50040,0.1477
62238,0.2355
96941,0.0982
51613,0.1801
28840,0.1279
88334,0.1903
40679,0.1842
91906,0.2049
61997,0.193
96234,0.2142
35191,0.2385
99214,0.062
94474,0.1767
70794,0.0724
96104,0.0865
63209,0.0817
78212,0.2179
9699,0.1429
89800,0.2096
52248,0.1885
48960,0.2087
77980,0.201
58769,0.1934
74585,0.0589
33294,0.1166
93240,0.2183
27238,0.2964
2569,0.1946
51644,0.1798
48318,0.1532
9421,0.1343
77916,0.1455
11814,0.171
61073,0.1655
64158,0.1554
2805,0.1491
72093,0.186
48104,0.104
20668,0.1851
68085,0.1288
63923,0.0919
53517,0.1954
3104,0.1949
99805,0.1942
39359,0.1987
18783,0.1765
15511,0.1716
77153,0.1666
45019,0.1289
85462,0.1134
96718,0.0737
34821,0.1996
22810,0.1457
93544,0.1782
35535,0.2621
65259,0.2115
75047,0.2799
58877,0.1349
64070,0.1486
41996,0.1603
71713,0.1081
38718,0.1803
17155,0.2082
24713,0.173
62892,0.0567
29011,0.2153
6645,0.1434
41304,0.2041
58739,0.2147
23285,0.1333
48191,0.2442
97795,0.1814
6696,0.3074
64069,0.1699
82691,0.2638
18615,0.2186
62684,0.1806
9287,0.1885
6874,0.2463
22369,0.1585
92953,0.2017
84842,0.1333
28468,0.2026
30792,0.1345
13171,0.2157
17252,0.2592
40297,0.1855
98009,0.1795
15527,0.1639
7383,0.1695
5269,0.0607
31169,0.1864
23713,0.1841
93782,0.1813
33652,0.1421
50852,0.1931
62065,0.1663
58026,0.213
75285,0.2628
14705,0.1242
47071,0.173
37161,0.2214
77239,0.1059
24989,0.1182
90966,0.1462
76360,0.1673
94753,0.1513
84592,0.1671
67471,0.1543
41794,0.1649
31485,0.1992
91545,0.068
53221,0.0615
8201,0.2538
60467,0.182
68016,0.1457
38784,0.1189
55226,0.1633
65209,0.1621
75408,0.1219
85243,0.1169
79788,0.214
61994,0.1523
79195,0.214
46240,0.1197
22216,0.1898
70954,0.1871
84807,0.1794
46536,0.1559
36753,0.1744
97859,0.231
23760,0.1638
85723,0.1667
64710,0.2147
27733,0.1967
81034,0.1855
12401,0.2577
62556,0.1428
93553,0.2491
95020,0.1793
89411,0.0714
49025,0.3299
175,0.1573
41587,0.2248
95452,0.1739
66833,0.1379
35540,0.1365
27054,0.3303
73979,0.1611
86206,0.0854
44847,0.194
3840,0.4365
61419,0.1244
41064,0.2071
3234,0.2138
48912,0.1722
14659,0.1782
95329,0.1926
48199,0.2156
57661,0.1952
91561,0.2231
98545,0.1898
64053,0.2078
44127,0.1842
19986,0.1844
50281,0.2008
23864,0.1748
10807,0.1313
46633,0.1425
22081,0.1601
58024,0.1937
43243,0.2162
87491,0.1738
8098,0.256
15691,0.1849
92195,0.1684
89981,0.1691
61666,0.1305
59887,0.1857
72746,0.1953
97844,0.0601
66080,0.1457
35864,0.1901
91618,0.133
63875,0.2523
12653,0.1488
82407,0.1721
60272,0.1917
45986,0.1883
40088,0.211
30671,0.26
47115,0.2648
87106,0.1832
18985,0.2134
78531,0.1192
99309,0.2042
30856,0.1253
57429,0.1985
