ID_CORRELATIVO,ATTRITION
47411,0.328
39861,0.3607
38898,0.138
50927,0.1363
32969,0.1539
89661,0.163
12197,0.1635
71520,0.0006
59759,0.1635
36743,0.1646
10736,0.2023
5106,0.154
44506,0.1554
47767,0.1787
74686,0.1147
63023,0.1585
13584,0.224
317,0.1319
62570,0.1551
68244,0.1338
72881,0.1058
18280,0.1527
70682,0.0075
79902,0.1059
35073,0.1616
84331,0.0717
70921,0.164
82245,0.1708
17714,0.1218
13993,0.1067
658,0.1736
33916,0.1639
92737,0.1971
22844,0.1052
93339,0.1648
29572,0.0326
24751,0.4681
37862,0.1828
26676,0.1327
8675,0.1596
64245,0.1932
57248,0.1785
3531,0.0528
9834,0.1634
74246,0.1644
56683,0.154
16847,0.1717
96617,0.1717
94167,0.1481
42800,0.3341
70106,0.3613
42486,0.1654
78076,0.1603
85819,0.1803
15786,0.1598
61483,0.1092
25630,0.1465
22501,0.0599
92447,0.1752
13795,0.0805
57101,0.1079
55077,0.1277
47600,0.1649
5924,0.6427
34900,0.146
91990,0.4083
50268,0.293
66401,0.1625
18014,0.1275
20006,0.1593
55391,0.1698
40304,0.4369
12832,0.1512
41746,0.1207
69384,0.1378
56225,0.1855
46522,0.1031
59922,0.1583
48609,0.0978
77235,0.1837
8082,0.1225
65539,0.0696
39769,0.1762
96098,0.1566
86925,0.9569
53370,0.1666
60773,0.0014
47138,0.1665
44098,0.1432
61301,0.0645
38956,0.168
7585,0.1691
14240,0.1485
49732,0.1373
48849,0.0169
72202,0.1644
14480,0.1673
33035,0.1267
43985,0.1627
85217,0.0571
8121,0.1646
95484,0.1553
57781,0.138
85281,0.1563
71928,0.1621
79044,0.1263
54020,0.1747
46617,0.1152
3924,0.2742
76379,0.0921
62379,0.1596
80390,0.1362
95214,0.0588
24624,0.2212
89328,0.0472
85616,0.1602
84393,0.1411
63954,0.1565
20998,0.1346
42995,0.1027
67212,0.1909
95562,0.1519
1869,0.134
81929,0.1532
72552,0.1259
34425,0.0777
83123,0.1733
90228,0.1758
27741,0.1536
53991,0.1427
15167,0.1746
29006,0.1114
86461,0.1702
22615,0.4306
90108,0.1631
12561,0.1283
18306,0.1895
78913,0.1711
38785,0.1238
13919,0.162
59619,0.1266
17801,0.0982
11683,0.1558
50393,0.1564
1414,0.17
49705,0.1502
11495,0.1623
74515,0.1213
87870,0.154
18347,0.1101
3854,0.1807
19733,0.1654
44194,0.144
80652,0.1652
22356,0.1152
56887,0.072
54654,0.0757
81154,0.17
60139,0.1787
49481,0.1664
13027,0.1339
6073,0.0792
21221,0.0798
78849,0.1548
98453,0.0575
43204,0.1762
49495,0.1585
50040,0.1439
62238,0.2209
96941,0.1699
51613,0.1549
28840,0.1159
88334,0.1685
40679,0.2364
91906,0.172
61997,0.288
96234,0.1552
35191,0.1747
99214,0.1299
94474,0.0163
70794,0.1345
96104,0.1176
63209,0.0918
78212,0.1732
9699,0.1656
89800,0.1272
52248,0.1946
48960,0.1356
77980,0.2614
58769,0.1725
74585,0.1143
33294,0.119
93240,0.1699
27238,0.2744
2569,0.2466
51644,0.1396
48318,0.1258
9421,0.1665
77916,0.1659
11814,0.1617
61073,0.1611
64158,0.118
2805,0.1136
72093,0.1714
48104,0.1558
20668,0.1642
68085,0.1632
63923,0.1789
53517,0.1637
3104,0.2664
99805,0.1647
39359,0.16
18783,0.1102
15511,0.1943
77153,0.0019
45019,0.1625
85462,0.1257
96718,0.1306
34821,0.2351
22810,0.1624
93544,0.1461
35535,0.1603
65259,0.1985
75047,0.0467
58877,0.1625
64070,0.1649
41996,0.1503
71713,0.156
38718,0.1507
17155,0.1861
24713,0.1659
62892,0.0722
29011,0.1583
6645,0.087
41304,0.1511
58739,0.1669
23285,0.164
48191,0.1473
97795,0.1325
6696,0.1618
64069,0.1613
82691,0.1972
18615,0.2194
62684,0.1709
9287,0.1449
6874,0.1581
22369,0.1729
92953,0.1235
84842,0.172
28468,0.1603
30792,0.1759
13171,0.1594
17252,0.1848
40297,0.1292
98009,0.1537
15527,0.1511
7383,0.1613
5269,0.161
31169,0.1406
23713,0.1868
93782,0.1802
33652,0.1829
50852,0.1238
62065,0.0589
58026,0.0404
75285,0.1541
14705,0.1552
47071,0.1442
37161,0.1591
77239,0.0101
24989,0.0997
90966,0.1258
76360,0.1673
94753,0.1253
84592,0.1689
67471,0.1671
41794,0.174
31485,0.1681
91545,0.183
53221,0.0571
8201,0.1927
60467,0.1508
68016,0.104
38784,0.0016
55226,0.1558
65209,0.0618
75408,0.0613
85243,0.0665
79788,0.1581
61994,0.1408
79195,0.2351
46240,0.0413
22216,0.1994
70954,0.0204
84807,0.0602
46536,0.1782
36753,0.091
97859,0.1513
23760,0.1452
85723,0.1671
64710,0.1601
27733,0.1197
81034,0.1675
12401,0.1937
62556,0.1576
93553,0.1634
95020,0.1561
89411,0.0139
49025,0.2939
175,0.0453
41587,0.1608
95452,0.1503
66833,0.1669
35540,0.1616
27054,0.0606
73979,0.1632
86206,0.022
44847,0.1719
3840,0.2845
61419,0.1606
41064,0.2989
3234,0.2523
48912,0.1556
14659,0.1616
95329,0.1683
48199,0.1512
57661,0.1658
91561,0.1648
98545,0.157
64053,0.1827
44127,0.2146
19986,0.1785
50281,0.1561
23864,0.1365
10807,0.1461
46633,0.1598
22081,0.1509
58024,0.1098
43243,0.1728
87491,0.1351
8098,0.1663
15691,0.6429
92195,0.1631
89981,0.1167
61666,0.1331
59887,0.1317
72746,0.1597
97844,0.0202
66080,0.1613
35864,0.1321
91618,0.1534
63875,0.1497
12653,0.1692
82407,0.1632
60272,0.0
45986,0.1749
40088,0.1872
30671,0.099
47115,0.1682
87106,0.1772
18985,0.1514
78531,0.1072
99309,0.1414
30856,0.1243
57429,0.1937
90844,0.1593
61193,0.1382
61960,0.1661
27310,0.184
85688,0.0928
13849,0.131
20923,0.1523
81184,0.1638
92660,0.1583
52780,0.1656
58352,0.032
84217,0.1588
18894,0.183
2060,0.1345
49450,0.0481
16422,0.1473
63949,0.13
14806,0.1606
54228,0.0163
47189,0.2103
52562,0.013
87245,0.1287
37544,0.1557
30325,0.1611
27069,0.0506
65802,0.0886
64416,0.1505
22027,0.0819
65273,0.2379
28436,0.0113
61160,0.2407
32883,0.1507
64263,0.1707
3036,0.1376
1394,0.1241
15909,0.123
33028,0.1599
94431,0.1299
54780,0.1581
43674,0.1647
73620,0.1584
75024,0.1591
98242,0.1684
8382,0.1862
9870,0.1821
77482,0.0913
93661,0.1692
61203,0.1369
65157,0.1535
6978,0.1767
17470,0.0562
53031,0.1737
37506,0.0509
5012,0.1653
2994,0.2062
17970,0.1204
78783,0.1415
20016,0.1608
12503,0.1682
61154,0.3171
12861,0.1898
67373,0.1741
48455,0.1283
6505,0.1325
61490,0.1663
54247,0.1979
5795,0.1681
28306,0.166
85714,0.1654
82657,0.1232
44030,0.2377
65255,0.1286
64927,0.1609
75324,0.1852
6857,0.1441
11287,0.1769
35241,0.1594
34242,0.3477
69085,0.1737
71311,0.0571
36269,0.1685
14738,0.1646
549,0.1713
3479,0.157
80866,0.1726
92323,0.3838
43887,0.163
85023,0.1607
97922,0.1475
16440,0.1643
69117,0.151
25539,0.1759
12828,0.0656
89828,0.0921
25600,0.1036
24291,0.1702
63983,0.1782
67518,0.0527
82104,0.1335
29260,0.1122
40004,0.1635
65199,0.0516
76117,0.0951
93827,0.1624
29395,0.1377
86252,0.1709
40938,0.1688
24209,0.0666
24037,0.2147
80880,0.1697
33040,0.0341
52215,0.1249
38125,0.1573
13173,0.1741
65774,0.165
16691,0.1248
71372,0.1649
33821,0.1017
90285,0.1578
8425,0.2571
36687,0.1582
78613,0.2432
23269,0.1565
65699,0.1578
99079,0.1551
45348,0.118
40929,0.1793
3792,0.155
46357,0.1312
62600,0.1586
23863,0.1397
77937,0.1854
335,0.1709
60070,0.16
13973,0.1382
45656,0.1142
18176,0.0576
5930,0.1077
86954,0.1694
64225,0.1936
72124,0.0907
2108,0.1495
44109,0.1589
16923,0.1659
70941,0.1681
83294,0.1247
78522,0.1839
95018,0.1602
96818,0.1408
27237,0.1601
84772,0.1904
41563,0.0428
73476,0.1638
72352,0.1656
79414,0.1636
60076,0.2035
80745,0.1618
86202,0.0889
16667,0.1242
61215,0.1642
3297,0.1658
3700,0.162
70352,0.1151
72752,0.1814
16377,0.1264
455,0.1595
16803,0.1647
45698,0.1602
13350,0.1631
76081,0.1663
77878,0.1623
72854,0.1705
36377,0.176
64828,0.2018
5048,0.1957
20341,0.1538
93214,0.0371
70114,0.2005
22778,0.1625
24111,0.1726
91002,0.2395
41036,0.1518
84784,0.1984
77981,0.139
62877,0.1617
75883,0.1612
65815,0.4688
9256,0.1295
43407,0.1093
2531,0.1506
27887,0.1631
12062,0.1723
20044,0.1574
65756,0.0555
93096,0.4284
22795,0.1588
87212,0.1629
35969,0.1629
16574,0.3519
86765,0.1482
15941,0.1599
90109,0.1599
48087,0.1619
58303,0.1417
94111,0.0337
58882,0.1043
68501,0.1604
15523,0.1023
32550,0.6417
66142,0.1265
34097,0.1219
65169,0.1628
97085,0.1651
56165,0.1175
86685,0.1871
70155,0.1614
94728,0.1675
18780,0.1624
94486,0.1632
39723,0.1623
53398,0.0999
49177,0.1486
61923,0.156
72622,0.0
78582,0.8023
55627,0.1511
52808,0.1546
26623,0.1412
68723,0.158
15319,0.1698
33747,0.1243
73915,0.0501
92776,0.116
49883,0.161
98556,0.161
88865,0.1536
97115,0.149
54132,0.1004
9554,0.1606
70701,0.1476
5627,0.1584
80129,0.2515
8134,0.0581
69401,0.1638
27103,0.1707
30747,0.0377
83422,0.1615
3842,0.1537
2394,0.1522
6597,0.3918
11139,0.1649
57217,0.1602
3953,0.1666
79429,0.1337
60795,0.1474
56610,0.1651
81632,0.1518
69638,0.171
86896,0.0339
75514,0.2011
66956,0.8542
70023,0.1639
14775,0.1674
63656,0.1554
86171,0.1646
53818,0.1454
75659,0.1779
60135,0.5528
3003,0.1709
62748,0.1617
48871,0.154
68081,0.1421
10715,0.0144
18278,0.2334
11112,0.1665
10680,0.1747
39089,0.1832
92019,0.1444
23820,0.0984
28533,0.1461
61946,0.1579
68786,0.1625
50374,0.0388
32563,0.2224
91650,0.0038
54629,0.109
38213,0.0873
23419,0.2201
5647,0.1214
25369,0.15
61117,0.1738
90892,0.2575
56964,0.166
73556,0.8528
21316,0.1767
57187,0.4509
50543,0.111
92908,0.2051
76663,0.1829
50791,0.0077
42964,0.6955
36473,0.1367
41795,0.1668
3005,0.0853
92387,0.1587
90232,0.1431
87360,0.1906
72062,0.1639
29388,0.1165
90178,0.1576
1090,0.1742
22898,0.1481
994,0.3871
74120,0.1706
82594,0.1713
45211,0.1702
83526,0.1613
77504,0.1985
77357,0.019
94837,0.2201
75345,0.1362
33825,0.1228
67688,0.1254
43567,0.0789
90096,0.123
84103,0.1735
89217,0.1611
11035,0.1603
73782,0.2348
61029,0.1686
22253,0.1408
71770,0.0946
14851,0.1418
48543,0.1285
53375,0.1659
9239,0.1652
50910,0.2356
7752,0.0962
14390,0.1672
38461,0.1726
29014,0.1175
17962,0.1685
56755,0.1034
82489,0.0364
61481,0.1503
21066,0.1435
38231,0.1422
76306,0.2177
32221,0.2065
86030,0.1801
76070,0.1107
81782,0.1625
43513,0.1483
46218,0.1792
41215,0.1619
88994,0.1636
83879,0.1312
55133,0.1825
97682,0.1399
2168,0.0685
32212,0.1171
73618,0.0962
10805,0.1724
48944,0.1397
37538,0.155
69219,0.0077
99284,0.2866
17593,0.1538
83733,0.1083
3224,0.1619
19283,0.1687
18719,0.1546
96329,0.1647
47823,0.5487
16869,0.1592
60538,0.1628
49291,0.1346
71079,0.168
25632,0.1931
62251,0.1787
72780,0.1651
13003,0.1163
40002,0.1723
98765,0.1182
86688,0.2106
58320,0.1544
84383,0.1837
76245,0.1066
93031,0.1693
54534,0.0412
58723,0.1131
36529,0.1379
77541,0.13
49677,0.0196
76734,0.1586
99838,0.1601
1529,0.0602
30528,0.224
11220,0.1645
93804,0.1584
58259,0.1178
20339,0.2336
42577,0.1539
23740,0.1613
7391,0.2423
94300,0.2193
81918,0.1554
25894,0.0718
37142,0.0584
88486,0.1635
17974,0.1453
23522,0.1767
60666,0.1544
2482,0.1123
88646,0.1633
82150,0.1553
86468,0.1133
75758,0.2452
35498,0.1581
86662,0.1643
48888,0.1692
86890,0.1761
80800,0.1646
21045,0.1384
2799,0.1639
10916,0.1285
77435,0.1745
27846,0.1275
