ID_CORRELATIVO,ATTRITION
47411,0.253
39861,0.7479
38898,0.1294
50927,0.0837
32969,0.1281
89661,0.1407
12197,0.1325
71520,0.1573
59759,0.1306
36743,0.1406
10736,0.1565
5106,0.0972
44506,0.1677
47767,0.2274
74686,0.1355
63023,0.0927
13584,0.3153
317,0.0697
62570,0.139
68244,0.1257
72881,0.1023
18280,0.0911
70682,0.1297
79902,0.0803
35073,0.1429
84331,0.132
70921,0.1078
82245,0.1553
17714,0.124
13993,0.1121
658,0.16
33916,0.1424
92737,0.1554
22844,0.1368
93339,0.156
29572,0.1117
24751,0.9817
37862,0.1481
26676,0.1089
8675,0.1394
64245,0.249
57248,0.2129
3531,0.1275
9834,0.121
74246,0.1395
56683,0.1552
16847,0.1311
96617,0.143
94167,0.1095
42800,0.7971
70106,0.2863
42486,0.1483
78076,0.1405
85819,0.2406
15786,0.1442
61483,0.1104
25630,0.1241
22501,0.1356
92447,0.1632
13795,0.1075
57101,0.1056
55077,0.0499
47600,0.1494
5924,0.96
34900,0.0762
91990,0.429
50268,0.563
66401,0.1404
18014,0.0374
20006,0.1379
55391,0.1898
40304,0.9648
12832,0.1887
41746,0.1128
69384,0.1382
56225,0.2176
46522,0.0846
59922,0.1395
48609,0.0981
77235,0.2468
8082,0.0646
65539,0.0038
39769,0.2023
96098,0.1377
86925,1.0
53370,0.1559
60773,0.1021
47138,0.1402
44098,0.1043
61301,0.132
38956,0.147
7585,0.1601
14240,0.1196
49732,0.0435
48849,0.1025
72202,0.1426
14480,0.1476
33035,0.1073
43985,0.1445
85217,0.1092
8121,0.1584
95484,0.1425
57781,0.1271
85281,0.1259
71928,0.1409
79044,0.0329
54020,0.2666
46617,0.0242
3924,0.6601
76379,0.1686
62379,0.1699
80390,0.0965
95214,0.0033
24624,0.4123
89328,0.12
85616,0.1277
84393,0.0933
63954,0.1504
20998,0.1592
42995,0.1121
67212,0.1879
95562,0.1366
1869,0.1165
81929,0.1297
72552,0.0766
34425,0.0889
83123,0.1568
90228,0.1495
27741,0.1447
53991,0.1171
15167,0.1566
29006,0.1048
86461,0.1564
22615,0.9429
90108,0.1366
12561,0.1469
18306,0.2957
78913,0.1517
38785,0.0449
13919,0.1589
59619,0.1276
17801,0.0191
11683,0.1395
50393,0.1784
1414,0.1514
49705,0.1282
11495,0.1371
74515,0.1314
87870,0.1415
18347,0.0244
3854,0.1928
19733,0.1432
44194,0.1367
80652,0.2404
22356,0.0776
56887,0.0338
54654,0.108
81154,0.1137
60139,0.1939
49481,0.1318
13027,0.0759
6073,0.0678
21221,0.1274
