ID_CORRELATIVO,ATTRITION
47411,0.42584
39861,0.44187
38898,0.00431
50927,0.00317
32969,0.29761
89661,0.32499
12197,0.03476
71520,0.13988
59759,0.5511
36743,0.03071
10736,0.17486
5106,0.45424
44506,0.0582
47767,0.2497
74686,0.0634
63023,0.0009
13584,0.32614
317,0.00452
62570,0.02554
68244,0.00611
72881,0.04609
18280,0.00375
70682,0.03177
79902,0.23736
35073,0.08112
84331,0.08435
70921,0.02053
82245,0.2853
17714,0.0432
13993,0.00835
658,0.76661
33916,0.27403
92737,0.34765
22844,0.07968
93339,0.19416
29572,0.01258
24751,0.73086
37862,0.02451
26676,0.288
8675,0.13456
64245,0.17533
57248,0.47993
3531,0.00097
9834,0.0784
74246,0.14032
56683,0.00048
16847,0.03505
96617,0.20323
94167,0.00989
42800,0.40975
70106,0.35672
42486,0.12772
78076,0.09661
85819,0.52745
15786,0.12292
61483,0.01052
25630,0.04809
22501,0.01431
92447,0.04192
13795,0.02114
57101,0.01425
55077,0.00267
47600,0.11165
5924,0.62106
34900,0.11859
91990,0.1413
50268,0.30856
66401,0.19457
18014,0.00066
20006,0.06455
55391,0.21536
40304,0.7578
12832,0.23168
41746,0.03835
69384,0.06122
56225,0.40351
46522,0.00755
59922,0.03358
48609,0.09054
77235,0.61046
8082,0.15732
65539,0.0601
39769,0.08814
96098,0.07538
86925,0.75425
53370,0.17495
60773,0.23774
47138,0.209
44098,0.00167
61301,0.0553
38956,0.01144
7585,0.42222
14240,0.04847
49732,0.01533
48849,0.06606
72202,0.03265
14480,0.05104
33035,0.00263
43985,0.18829
85217,0.01434
8121,0.28346
95484,0.04358
57781,0.02074
85281,0.00617
71928,0.12449
79044,0.00025
54020,0.18228
46617,0.00285
3924,0.49408
76379,0.06243
62379,0.19307
80390,0.1019
95214,0.00184
24624,0.50855
89328,0.06839
85616,0.28673
84393,0.18896
63954,0.27141
20998,0.23814
42995,0.00244
67212,0.17954
95562,0.03366
1869,0.12514
81929,0.0708
72552,0.10125
34425,0.00881
83123,0.21765
90228,0.12801
27741,0.05942
