ID_CORRELATIVO,ATTRITION
47411,0.42889
39861,0.4496
38898,0.0047
50927,0.00325
32969,0.30714
89661,0.33644
12197,0.0381
71520,0.13578
59759,0.55742
36743,0.02966
10736,0.18335
5106,0.45017
44506,0.06077
47767,0.24248
74686,0.05931
63023,0.00116
13584,0.32647
317,0.00463
62570,0.02322
68244,0.00816
72881,0.04924
18280,0.00337
70682,0.03334
79902,0.25111
35073,0.08366
84331,0.07945
70921,0.0216
82245,0.29
17714,0.04268
13993,0.01253
658,0.76728
33916,0.26352
92737,0.35585
22844,0.08272
93339,0.19511
29572,0.0102
24751,0.73035
37862,0.02535
26676,0.29101
8675,0.13579
64245,0.17376
57248,0.49532
3531,0.00087
9834,0.0819
74246,0.13638
56683,0.00053
16847,0.02846
96617,0.1945
94167,0.00729
42800,0.43475
70106,0.35387
42486,0.135
78076,0.0875
85819,0.52306
15786,0.1266
61483,0.00949
25630,0.04695
22501,0.01393
92447,0.03471
13795,0.02271
57101,0.01806
55077,0.00354
47600,0.10991
5924,0.61837
34900,0.10962
91990,0.14513
50268,0.31936
66401,0.19435
18014,0.00066
20006,0.06748
55391,0.20738
40304,0.75146
12832,0.23041
41746,0.04207
69384,0.05573
56225,0.39158
46522,0.00505
59922,0.03079
48609,0.09224
77235,0.60831
8082,0.15695
65539,0.0658
39769,0.07978
96098,0.08016
86925,0.73935
53370,0.16573
60773,0.23298
47138,0.22431
44098,0.00112
61301,0.06029
38956,0.01015
7585,0.43191
14240,0.04741
49732,0.01715
48849,0.06933
72202,0.03411
14480,0.05418
33035,0.0024
43985,0.20316
85217,0.01055
8121,0.28334
95484,0.05051
57781,0.01969
85281,0.00597
71928,0.13048
79044,0.00031
54020,0.18014
46617,0.00371
3924,0.48285
76379,0.06247
62379,0.2035
80390,0.09611
95214,0.00164
24624,0.51907
89328,0.05723
85616,0.29575
84393,0.17726
63954,0.28584
20998,0.2365
42995,0.00267
67212,0.19533
95562,0.03514
1869,0.1192
81929,0.07014
72552,0.09967
34425,0.01387
83123,0.21581
90228,0.13188
27741,0.06518
53991,0.02199
15167,0.08243
29006,0.03379
86461,0.07315
22615,0.49454
90108,0.01647
12561,0.32832
18306,0.46888
78913,0.46854
38785,0.10697
13919,0.00171
59619,0.07463
17801,0.08536
11683,0.07165
50393,0.50862
1414,0.12711
49705,0.10688
11495,0.04949
74515,0.11165
87870,0.27962
18347,0.04196
3854,0.28114
19733,0.22311
44194,0.06688
80652,0.26153
22356,0.0114
56887,0.05685
54654,0.04976
81154,0.01642
60139,0.03385
49481,0.38095
13027,0.00463
6073,0.03219
21221,0.12313
78849,0.02255
98453,0.01556
43204,0.88122
49495,0.10296
50040,0.19304
62238,0.31201
96941,0.27817
51613,0.28447
28840,0.0855
88334,0.26695
40679,0.70871
91906,0.13008
61997,0.60531
96234,0.03234
35191,0.08597
99214,0.00352
94474,0.01973
70794,0.07806
96104,0.00197
63209,0.02337
78212,0.74658
9699,0.25564
89800,0.0257
52248,0.30831
48960,0.04903
77980,0.492
58769,0.35889
74585,0.02822
33294,0.01516
93240,0.17024
27238,0.56158
2569,0.6712
51644,0.05207
48318,0.01916
9421,0.17939
77916,0.02585
11814,0.32006
61073,0.18028
64158,0.0003
2805,0.01086
72093,0.19995
48104,0.37686
20668,0.45132
68085,0.09375
63923,0.02111
53517,0.06459
3104,0.2813
99805,0.3128
39359,0.31993
18783,0.00142
15511,0.6322
77153,0.03428
45019,0.31176
85462,0.04548
96718,0.02639
34821,0.52098
22810,0.02265
93544,0.1336
35535,0.09434
65259,0.41657
75047,0.02301
58877,0.12981
64070,0.19515
41996,0.09261
71713,0.08115
38718,0.01133
17155,0.64991
24713,0.02824
62892,0.05281
29011,0.06623
6645,0.07267
41304,0.03263
58739,0.02457
23285,0.22539
48191,0.12743
97795,0.00611
6696,0.38999
64069,0.07163
82691,0.36378
18615,0.23035
62684,0.20128
9287,0.01112
6874,0.09782
22369,0.07869
92953,0.04179
84842,0.00582
28468,0.0719
30792,0.14548
13171,0.41059
17252,0.24096
40297,0.0763
98009,0.03936
15527,0.01735
7383,0.37185
5269,0.2757
31169,0.00019
23713,0.48256
93782,0.21585
33652,0.0738
50852,0.10719
62065,0.00072
58026,0.02102
75285,0.02741
14705,0.25755
47071,0.01079
37161,0.0469
77239,0.03959
24989,0.01385
90966,0.03841
76360,0.41142
94753,0.15188
84592,0.32727
67471,0.04161
41794,0.78609
31485,0.0922
91545,0.24895
53221,0.02538
8201,0.22368
60467,0.06242
68016,0.06685
38784,0.05102
55226,0.19042
65209,0.10177
75408,0.00019
85243,0.05877
79788,0.28286
61994,0.04368
79195,0.55558
46240,0.04962
22216,0.4556
70954,0.05222
84807,0.00161
46536,0.38214
36753,0.00486
97859,0.02207
23760,0.19526
85723,0.00942
64710,0.46124
27733,0.0
81034,0.05615
12401,0.07886
62556,0.26957
93553,0.09291
95020,0.04857
89411,0.02498
49025,0.57407
175,0.2576
41587,0.14148
95452,0.03386
66833,0.07917
35540,0.02507
27054,0.00743
73979,0.15167
86206,0.07705
44847,0.32973
3840,0.48922
61419,0.09808
41064,0.26413
3234,0.49727
48912,0.16559
14659,0.33541
95329,0.0243
48199,0.32042
57661,0.08309
91561,0.10959
98545,0.01375
64053,0.27653
44127,0.00344
19986,0.01492
50281,0.32739
23864,0.01926
10807,0.01479
46633,0.10175
22081,0.08718
58024,0.02387
43243,0.14317
87491,0.00503
8098,0.11019
15691,0.53949
92195,0.19854
89981,0.00245
61666,0.07986
59887,0.06372
72746,0.30845
97844,0.02367
66080,0.1462
35864,0.00459
91618,0.0531
63875,0.00678
12653,0.15335
82407,0.35277
60272,0.10877
45986,0.24201
40088,0.06216
30671,0.00137
47115,0.9714
87106,0.19222
18985,0.10111
78531,0.09524
99309,0.00463
30856,0.00114
57429,0.18995
90844,0.1548
61193,0.09748
61960,0.08265
27310,0.54841
85688,5e-05
13849,0.0762
20923,0.03935
81184,0.04768
92660,0.03844
52780,0.55999
58352,0.00732
84217,0.17983
18894,0.00951
2060,0.00416
49450,0.00782
16422,0.10916
63949,0.05093
14806,0.24015
54228,0.02832
47189,0.00236
52562,0.06235
87245,0.06153
37544,0.02197
30325,0.01031
27069,0.00069
65802,0.05924
64416,0.18257
22027,0.04592
65273,0.34933
28436,0.05935
61160,0.42298
32883,0.07097
64263,0.0133
3036,0.11711
1394,0.08005
15909,0.01313
33028,0.00035
94431,0.10128
54780,0.26096
43674,0.10692
73620,0.00303
75024,0.16957
98242,0.06462
8382,0.19816
9870,0.07821
77482,0.02307
93661,0.13973
61203,0.01769
65157,0.03959
6978,0.00934
17470,0.02002
53031,0.91256
37506,0.11718
5012,0.1213
2994,0.3557
17970,0.09898
78783,0.14504
20016,0.12672
12503,0.7846
61154,0.6876
12861,0.03493
67373,0.26458
48455,0.00567
6505,0.00032
61490,0.19154
54247,0.28472
5795,0.8088
28306,0.23437
85714,0.10168
82657,0.01943
44030,0.05773
65255,0.00074
64927,0.04856
75324,0.43724
6857,0.02142
11287,0.13525
35241,0.08385
34242,0.71039
69085,0.20904
71311,0.00979
36269,0.21886
14738,0.33873
549,0.48314
3479,0.08386
80866,0.40497
92323,0.22726
43887,0.34677
85023,0.13226
97922,0.15613
16440,0.13554
69117,0.65754
25539,0.34156
12828,0.12583
89828,0.09019
25600,0.00096
24291,0.53429
63983,0.35227
67518,0.02286
82104,0.00072
29260,0.02478
40004,0.09328
65199,0.02336
76117,0.02441
93827,0.24167
29395,0.0274
86252,0.05285
40938,0.48347
24209,0.01945
24037,0.2038
80880,0.03161
33040,0.03435
52215,0.07865
38125,0.08206
13173,0.09108
65774,0.17892
16691,0.01113
71372,0.3255
33821,0.61803
90285,0.26518
8425,0.6219
36687,0.1464
78613,0.06879
23269,0.09568
65699,0.04931
99079,0.02101
45348,0.00368
40929,0.33003
3792,0.0858
46357,0.28122
62600,0.00713
23863,0.12894
77937,0.49762
335,0.03916
60070,0.03352
13973,0.01288
45656,0.01173
18176,0.0058
5930,0.00607
86954,0.13916
64225,0.08145
72124,0.00131
2108,0.07128
44109,0.1736
16923,3e-05
70941,0.00325
83294,0.05594
78522,0.89297
95018,0.01784
96818,0.23086
27237,0.20259
84772,0.05473
41563,0.00389
73476,0.07609
72352,0.12052
79414,0.08831
60076,0.22581
80745,0.77968
86202,0.16787
16667,0.00203
61215,0.07897
3297,0.21873
3700,0.1105
70352,0.03317
72752,0.85159
16377,0.03296
455,0.02233
16803,0.02034
45698,0.01396
13350,0.01347
76081,0.20899
77878,0.24788
72854,0.08137
36377,0.84596
64828,0.09602
5048,0.13816
20341,0.00224
93214,0.037
70114,0.14072
22778,0.0575
24111,0.25915
91002,0.41373
41036,0.02565
84784,0.25359
77981,0.00411
62877,0.01221
75883,0.0
65815,0.47074
9256,0.08645
43407,0.03639
2531,0.0274
27887,0.028
12062,0.0
20044,0.30782
65756,0.02179
93096,0.2082
22795,0.05097
87212,0.2239
35969,0.05488
16574,0.26962
86765,0.00337
15941,0.09055
90109,0.05844
48087,0.22702
58303,0.27982
94111,0.03634
58882,0.06884
68501,0.16462
15523,0.08839
32550,0.02087
66142,0.05157
34097,0.16147
65169,0.04985
97085,0.88797
56165,0.00395
86685,0.44845
70155,0.02694
94728,0.04036
18780,0.03262
94486,0.1323
39723,0.11184
53398,0.03112
49177,0.09637
61923,0.05243
72622,0.1396
78582,0.64805
55627,0.06992
52808,0.7405
26623,0.12252
68723,0.0746
15319,0.04113
33747,0.02196
73915,0.29769
92776,0.00732
49883,0.42263
98556,0.02839
88865,0.03167
97115,0.02279
54132,0.05137
9554,0.01344
70701,0.12686
5627,0.1028
80129,0.4396
8134,0.00026
69401,0.1178
27103,0.76493
30747,0.02346
83422,0.02715
3842,0.07232
2394,0.05256
6597,0.66893
11139,0.18625
57217,0.00473
3953,0.02568
79429,0.01688
60795,0.003
56610,0.05269
81632,0.24292
69638,0.30104
86896,0.00013
75514,0.16767
66956,0.75087
70023,0.80618
14775,0.42699
63656,0.06044
86171,0.18647
53818,0.05255
75659,0.31521
60135,0.50267
3003,0.23136
62748,0.14987
48871,0.03354
68081,0.00012
10715,0.02116
18278,0.52661
11112,0.03162
10680,0.10338
39089,0.7129
92019,0.01814
23820,0.20056
28533,0.01749
61946,0.11422
68786,0.157
50374,0.01294
32563,0.16205
91650,0.00041
54629,0.00028
38213,0.04167
23419,0.0719
5647,0.03684
25369,0.23415
61117,0.23355
90892,0.68369
56964,0.02448
73556,0.65214
21316,0.47964
57187,0.56101
50543,0.02441
92908,0.39268
76663,0.50186
50791,0.43595
42964,0.76639
36473,0.00325
41795,0.11889
3005,0.05552
92387,0.41268
90232,0.3134
87360,0.29762
72062,0.00681
29388,0.00058
90178,0.02496
1090,0.1254
22898,0.01829
994,0.33495
74120,0.28349
82594,0.46301
45211,0.05286
83526,0.07187
77504,0.69108
77357,0.0167
94837,0.50487
