ID_CORRELATIVO,ATTRITION
47411,0.42371
39861,0.44491
38898,0.005
50927,0.00266
32969,0.30593
89661,0.35186
12197,0.0324
71520,0.14304
59759,0.59366
36743,0.02607
10736,0.20626
5106,0.44136
44506,0.04932
47767,0.25793
74686,0.06411
63023,0.00031
13584,0.31422
317,0.00562
62570,0.03101
68244,0.00472
72881,0.06179
18280,0.00271
70682,0.02849
79902,0.23305
35073,0.07878
84331,0.07491
70921,0.01722
82245,0.31264
17714,0.0399
13993,0.00286
658,0.77986
33916,0.27156
92737,0.38959
22844,0.09888
93339,0.18366
29572,0.00896
24751,0.75347
37862,0.02171
26676,0.31492
8675,0.13599
64245,0.17833
57248,0.50582
3531,0.00049
9834,0.07396
74246,0.1493
56683,0.00016
16847,0.02925
96617,0.19066
94167,0.00247
42800,0.46884
70106,0.38479
42486,0.16369
78076,0.0891
85819,0.52715
15786,0.11698
61483,0.01405
25630,0.04432
22501,0.01275
92447,0.03116
13795,0.02352
57101,0.01822
55077,0.00263
47600,0.1099
5924,0.63078
34900,0.13217
91990,0.13222
50268,0.34533
66401,0.20026
18014,0.0
20006,0.07773
55391,0.21248
40304,0.78452
12832,0.22667
41746,0.03488
69384,0.05737
56225,0.37125
46522,0.00623
59922,0.03505
48609,0.08214
77235,0.6161
8082,0.19632
65539,0.07355
39769,0.06758
96098,0.08713
86925,0.73668
53370,0.15146
60773,0.24702
47138,0.25846
44098,0.00224
61301,0.0675
38956,0.01259
7585,0.41471
14240,0.04578
49732,0.01545
48849,0.07295
72202,0.03135
14480,0.05973
33035,0.00256
43985,0.22964
85217,0.01848
8121,0.29681
95484,0.05026
57781,0.01994
85281,0.00691
71928,0.14857
79044,0.0
54020,0.1679
46617,0.00146
3924,0.48964
76379,0.06116
62379,0.18245
80390,0.10477
95214,0.00174
24624,0.51057
89328,0.06212
85616,0.29632
84393,0.17838
63954,0.2466
20998,0.24725
42995,0.00264
67212,0.21031
95562,0.03525
1869,0.11414
81929,0.07423
72552,0.10226
34425,0.00952
83123,0.1986
90228,0.13306
27741,0.06441
53991,0.01384
15167,0.07364
29006,0.04055
86461,0.0637
22615,0.478
90108,0.01189
12561,0.3231
18306,0.46074
78913,0.46842
38785,0.10522
13919,0.00016
59619,0.07547
17801,0.08911
11683,0.08351
50393,0.50778
1414,0.13389
49705,0.1046
11495,0.04755
74515,0.12295
87870,0.31802
18347,0.0438
3854,0.27779
19733,0.22182
44194,0.07439
80652,0.27847
22356,0.01095
56887,0.06106
54654,0.04346
81154,0.01448
60139,0.04126
49481,0.39096
13027,0.00562
6073,0.02506
21221,0.12616
78849,0.02143
