ID_CORRELATIVO,ATTRITION
47411,0.4
39861,0.61196
38898,0.145
50927,0.045
32969,0.375
89661,0.11617
12197,0.02
71520,0.08
59759,0.21993
36743,0.0
10736,0.05857
5106,0.145
44506,0.11
47767,0.27606
74686,0.415
63023,0.01102
13584,0.505
317,0.07357
62570,0.1
68244,0.035
72881,0.13
18280,0.0
70682,0.045
79902,0.30489
35073,0.325
84331,0.08
70921,0.03
82245,0.055
17714,0.085
13993,0.015
658,0.415
33916,0.105
92737,0.1454
22844,0.04
93339,0.0797
29572,0.015
24751,0.675
37862,0.03
26676,0.22833
8675,0.32
64245,0.09909
57248,0.705
3531,0.005
9834,0.08561
74246,0.09011
56683,0.13917
16847,0.085
96617,0.59508
94167,0.0
42800,0.785
70106,0.125
42486,0.32286
78076,0.095
85819,0.52869
15786,0.005
61483,0.0
25630,0.085
22501,0.01
92447,0.02
13795,0.01
57101,0.005
55077,0.06
47600,0.04274
5924,0.43417
34900,0.185
91990,0.28
50268,0.65
66401,0.30368
18014,0.01
20006,0.125
55391,0.20958
40304,0.25
12832,0.62673
41746,0.05
69384,0.445
56225,0.65811
46522,0.005
59922,0.4
48609,0.14
77235,0.395
8082,0.16
65539,0.06
39769,0.13929
96098,0.01667
86925,0.82811
53370,0.09872
60773,0.095
47138,0.28
44098,0.015
61301,0.06
38956,0.155
7585,0.65841
14240,0.18791
49732,0.135
48849,0.11
72202,0.0
14480,0.25042
33035,0.0
43985,0.09
85217,0.015
8121,0.00861
95484,0.065
57781,0.0
85281,0.015
71928,0.205
79044,0.015
54020,0.1
46617,0.01
3924,0.56277
76379,0.02
62379,0.34
80390,0.01646
95214,0.025
24624,0.465
89328,0.125
85616,0.525
84393,0.115
63954,0.19377
20998,0.74654
42995,0.025
67212,0.115
95562,0.14
1869,0.23931
81929,0.41889
72552,0.0487
34425,0.175
83123,0.21315
90228,0.23
27741,0.03
53991,0.16
15167,0.02
29006,0.005
86461,0.48043
22615,0.36
90108,0.03
12561,0.81393
18306,0.51112
78913,0.25824
38785,0.09
13919,0.13917
59619,0.4
17801,0.025
11683,0.0
50393,0.92003
1414,0.00132
49705,0.09
11495,0.135
74515,0.015
87870,0.17
18347,0.005
3854,0.47699
19733,0.37656
44194,0.17
80652,0.11
22356,0.03
56887,0.0
54654,0.04
81154,0.04
60139,0.055
49481,0.06
13027,0.07357
6073,0.09
21221,0.13
78849,0.02
98453,0.015
43204,0.88744
49495,0.065
50040,0.055
62238,0.68
96941,0.235
51613,0.385
28840,0.17449
88334,0.32
40679,0.18954
91906,0.05
61997,0.57
96234,0.55
35191,0.009
99214,0.0
94474,0.0
70794,0.135
96104,0.005
63209,0.135
78212,0.71307
9699,0.31491
89800,0.17
52248,0.13824
48960,0.05
77980,0.59513
58769,0.21259
74585,0.115
33294,0.11
93240,0.32939
27238,0.365
2569,0.795
51644,0.025
48318,0.14
9421,0.06833
77916,0.29
11814,0.39893
61073,0.0
64158,0.005
2805,0.02
72093,0.475
48104,0.85974
20668,0.24428
68085,0.055
63923,0.01
53517,0.5421
3104,0.275
99805,0.68116
39359,0.685
18783,0.005
15511,0.80817
77153,0.2
45019,0.10793
85462,0.005
96718,0.025
34821,0.565
22810,0.0
93544,0.11
35535,0.225
65259,0.33904
75047,0.085
58877,0.0
64070,0.36427
41996,0.06
71713,0.195
38718,0.0
17155,0.16342
24713,0.0
62892,0.05
29011,0.0
6645,0.15
41304,0.14
58739,0.04
23285,0.14627
48191,0.83286
97795,0.0
6696,0.25
64069,0.0
82691,0.08219
18615,0.52
62684,0.10306
9287,0.005
6874,0.145
22369,0.008
92953,0.185
84842,0.045
28468,0.25
30792,0.11707
13171,0.695
17252,0.11549
40297,0.09644
98009,0.115
15527,0.04
7383,0.61525
5269,0.69
31169,0.0
23713,0.90906
93782,0.04
33652,0.005
50852,0.06
62065,0.005
58026,0.16
75285,0.245
14705,0.26
47071,0.205
37161,0.01945
77239,0.03
24989,0.095
90966,0.095
76360,0.81615
94753,0.2
84592,0.055
67471,0.09
41794,0.96079
31485,0.02
91545,0.00227
53221,0.04
8201,0.28
60467,0.27769
68016,0.035
38784,0.045
55226,0.16
65209,0.16
75408,0.375
85243,0.06
79788,0.54534
61994,0.055
79195,0.185
46240,0.0
22216,0.055
70954,0.05
84807,0.0
46536,0.61
36753,0.045
97859,0.0
23760,0.00464
85723,0.0
64710,0.49105
27733,0.0
81034,0.0
12401,0.35076
62556,0.03385
93553,0.255
95020,0.24929
89411,0.2
49025,0.74607
175,0.019
41587,0.13
95452,0.30851
66833,0.01
35540,0.01
27054,0.17
73979,0.32
86206,0.04
44847,0.58394
3840,0.63432
61419,0.11
41064,0.21
3234,0.47429
48912,0.025
14659,0.11336
95329,0.12
48199,0.34003
57661,0.43902
91561,0.29
98545,0.065
64053,0.94342
44127,0.005
19986,0.0
50281,0.39442
23864,0.015
10807,0.0
46633,0.47688
22081,0.04319
58024,0.02
43243,0.16
87491,0.035
8098,0.0
15691,0.805
92195,0.46808
89981,0.045
61666,0.155
59887,0.65914
72746,0.19121
97844,0.0
66080,0.14337
35864,0.0
91618,0.19
63875,0.075
12653,0.025
82407,0.45015
60272,0.1
45986,0.025
40088,0.015
30671,0.0
47115,0.91381
87106,0.47586
18985,0.07
78531,0.12
99309,0.17
30856,0.005
57429,0.09
90844,0.14
61193,0.215
61960,0.12
27310,0.84908
85688,0.0
13849,0.08
20923,0.32
81184,0.02
92660,0.0
52780,0.23344
58352,0.035
84217,0.03753
18894,0.0
2060,0.0
49450,0.02
16422,0.62997
63949,0.05
14806,0.32479
54228,0.01
47189,0.255
52562,0.015
87245,0.02
37544,0.255
30325,0.035
27069,0.0
65802,0.035
64416,0.81718
22027,0.025
65273,0.945
28436,0.0
61160,0.64602
32883,0.37181
64263,0.04
3036,0.015
1394,0.07
15909,0.17
33028,0.13917
94431,0.06171
54780,0.29497
43674,0.25
73620,0.0
75024,0.27911
98242,0.67258
8382,0.065
9870,0.005
77482,0.03
93661,0.39878
61203,0.005
65157,0.105
6978,0.025
17470,0.005
53031,0.98471
37506,0.13
5012,0.58228
2994,0.215
17970,0.04
78783,0.01
20016,0.065
12503,0.99
61154,0.18
12861,0.005
67373,0.14627
48455,0.05
6505,0.0
61490,0.955
54247,0.175
5795,1.0
28306,0.42084
85714,0.13181
82657,0.0
44030,0.15661
65255,0.005
64927,0.235
75324,0.43
6857,0.03
11287,0.22232
35241,0.22
34242,0.35927
69085,0.78322
71311,0.035
36269,0.36
14738,0.87966
549,0.83774
3479,0.0
80866,0.34517
92323,0.005
43887,0.12103
85023,0.16
97922,0.01
16440,0.225
69117,0.82251
25539,0.99876
12828,0.065
89828,0.3
25600,0.0
24291,0.99
63983,0.335
67518,0.01
82104,0.07907
29260,0.105
40004,0.11079
65199,0.12
76117,0.065
93827,0.70606
29395,0.015
86252,0.0
40938,0.84361
24209,0.07
24037,0.335
80880,0.65778
33040,0.01
52215,0.66626
38125,0.53722
13173,0.015
65774,0.06033
16691,0.015
71372,0.20961
33821,0.41
90285,0.12
8425,0.28018
36687,0.6825
78613,0.355
23269,0.095
65699,0.62382
99079,0.01
45348,0.005
40929,0.335
3792,0.105
46357,0.12942
62600,0.005
23863,0.045
77937,0.195
335,0.08
60070,0.0
13973,0.15
45656,0.01
18176,0.075
5930,0.005
86954,0.79119
64225,0.03
72124,0.0
2108,0.71612
44109,0.22
16923,0.005
70941,0.26612
83294,0.1
78522,0.97722
95018,0.07
96818,0.335
27237,0.105
84772,0.065
41563,0.0
73476,0.06
72352,0.01897
79414,0.155
60076,0.15982
80745,0.83004
86202,0.065
16667,0.01
61215,0.43902
3297,0.32912
3700,0.26
70352,0.21
72752,1.0
16377,0.155
455,0.12
16803,0.0
45698,0.07477
13350,0.1961
76081,0.12
77878,0.39878
72854,0.26612
36377,1.0
64828,0.16
5048,0.035
20341,0.01
93214,0.04076
70114,0.33
22778,0.0
24111,0.40657
91002,0.515
41036,0.105
84784,0.08929
77981,0.03012
62877,0.005
75883,0.03689
65815,0.54
9256,0.02
43407,0.01939
2531,0.0
27887,0.05
12062,0.07032
20044,0.47876
65756,0.0
93096,0.105
22795,0.22
87212,0.04455
35969,0.0
16574,0.035
86765,0.0
15941,0.095
90109,0.375
48087,0.07033
58303,0.25
94111,0.03
58882,0.145
68501,0.59104
15523,0.11
32550,0.08
66142,0.155
34097,0.025
65169,0.0
97085,0.90308
56165,0.015
86685,0.5139
70155,0.065
94728,0.06101
18780,0.05564
94486,0.18471
39723,0.08
53398,0.01
49177,0.315
61923,0.045
72622,0.12
78582,0.635
55627,0.12116
52808,0.3077
26623,0.08
68723,0.0216
15319,0.03
33747,0.0
73915,0.24
92776,0.02
49883,0.16845
98556,0.02
88865,0.015
97115,0.02833
54132,0.01
9554,0.29484
70701,0.115
5627,0.0
80129,0.145
8134,0.0
69401,0.08
27103,0.79024
30747,0.065
83422,0.28875
3842,0.24
2394,0.15
6597,0.91425
11139,0.09086
57217,0.065
3953,0.26612
79429,0.0
60795,0.0
56610,0.235
81632,0.1
69638,0.237
86896,0.005
75514,0.33929
66956,0.82
70023,0.8754
14775,0.295
63656,0.26
86171,0.155
53818,0.18
75659,0.96576
60135,0.07838
3003,0.09
62748,0.13847
48871,0.52113
68081,0.13121
10715,0.015
18278,0.22
11112,0.18
10680,0.255
39089,0.48
92019,0.37181
23820,0.28
28533,0.045
61946,0.37841
68786,0.17
50374,0.015
32563,0.08
91650,0.0
54629,0.0
38213,0.17
23419,0.14
5647,0.01
25369,0.11
61117,0.16291
90892,0.565
56964,0.02
73556,0.2
21316,0.20718
57187,0.55
50543,0.135
92908,0.0827
76663,0.5645
50791,0.06
42964,0.19955
36473,0.0
41795,0.05
3005,0.06
92387,0.72855
90232,0.41
87360,0.37
72062,0.52941
29388,0.015
90178,0.255
1090,0.27769
22898,0.055
994,0.22268
74120,0.21974
82594,0.15
45211,0.21
83526,0.015
77504,0.8655
77357,0.235
94837,0.57679
75345,0.05
33825,0.025
67688,0.0
43567,0.005
90096,0.07
84103,0.34833
89217,0.39878
11035,0.01
73782,0.615
61029,0.20313
22253,0.35057
71770,0.01
14851,0.0
48543,0.0
53375,0.1002
9239,0.23127
50910,0.06
7752,0.075
14390,0.155
38461,0.005
29014,0.0
17962,0.015
56755,0.025
82489,0.005
61481,0.385
21066,0.135
38231,0.33745
76306,0.25
32221,0.0
86030,0.11827
76070,0.01
81782,0.11141
43513,0.36778
46218,0.9366
41215,0.31
88994,0.76807
83879,0.0
55133,0.095
97682,0.015
2168,0.04
32212,0.005
73618,0.015
10805,0.72907
48944,0.005
37538,0.34
69219,0.095
99284,0.28042
17593,0.05
83733,0.01
3224,0.035
19283,0.005
18719,0.12073
96329,0.09
47823,0.82
16869,0.005
60538,0.99405
49291,0.035
71079,0.125
25632,0.355
62251,0.13
72780,0.1961
13003,0.08
40002,0.0
98765,0.005
86688,0.89406
58320,0.09
84383,0.56
76245,0.17
93031,0.11
54534,0.11
58723,0.099
36529,0.05
77541,0.31698
49677,0.005
76734,0.035
99838,0.21325
1529,0.13
30528,0.645
11220,0.01125
93804,0.04298
58259,0.0
20339,0.195
42577,0.02
23740,0.4917
7391,0.34474
94300,0.22
81918,0.015
25894,0.005
37142,0.0
88486,0.05154
17974,0.04455
23522,0.53476
60666,0.87356
2482,0.015
88646,0.015
82150,0.825
86468,0.0
75758,0.47158
35498,0.1935
86662,0.49303
48888,0.45381
86890,0.35208
80800,0.23127
21045,0.005
2799,0.46574
10916,0.005
77435,0.065
27846,0.405
9054,0.57
19538,0.0
19587,0.005
92929,0.045
91755,0.145
35661,0.72907
60771,0.85272
40120,0.14351
889,0.07
23531,0.00995
16672,0.3
10823,0.29675
80285,0.0
81029,0.0
44604,0.225
39242,0.93188
26560,0.065
46806,0.005
96785,0.035
24706,0.52494
88480,0.085
57315,0.005
3446,0.33153
12090,0.0625
97040,0.13333
65462,0.027
5241,0.01
97418,0.0
13258,0.01
89719,0.78444
68834,0.05
91152,0.4825
48913,0.37206
3626,0.21214
91685,0.62249
8691,0.71
30925,0.03
56825,0.1
3830,0.0
30378,0.11
77994,0.16
33864,0.58
2796,0.025
46336,0.825
6057,0.0
14343,0.51474
97320,0.18447
36178,0.345
53255,0.005
80715,0.035
45459,0.005
14349,0.845
81802,0.135
22939,0.095
46890,0.225
70172,0.76024
98942,0.01
69473,0.1358
60799,0.455
96623,0.39148
66047,0.14
22722,0.05655
89798,0.01165
52528,0.01
4092,0.0
21782,0.085
98723,0.86079
83686,0.435
84689,0.12
50369,0.01
76171,0.28814
77288,0.11184
46229,0.135
56531,0.045
93788,0.05
25213,0.025
14288,0.055
17576,0.22
72959,0.03356
37382,0.055
24649,0.18895
62269,0.155
26285,0.84183
50918,1.0
21401,0.5421
6804,0.08
29533,0.29232
78638,0.125
58557,0.17
21840,0.0
62409,0.26
42474,0.0
97174,0.005
982,0.61255
27505,0.815
22484,0.14
93301,0.065
72723,0.005
33030,0.135
46652,0.09
18514,0.41291
91001,0.0
65553,0.03
22916,0.01
7567,0.36
63483,0.055
8040,0.46422
83390,0.02
69635,0.005
11931,0.05792
17020,0.02
82996,0.13302
66758,0.1
25451,0.01
57816,0.0
10408,0.81877
17997,0.355
20809,0.105
18073,0.65811
69408,0.01207
14232,0.0
97769,0.03985
44630,0.1
30025,0.41
67366,0.20047
47764,0.24927
75613,0.005
44568,0.7549
5465,0.57
15822,0.12
16082,0.10813
63662,0.09
691,0.005
26425,0.0
4526,0.90843
70441,0.02
71110,0.015
40833,0.43873
3148,0.07
12251,0.81555
85596,0.15355
24117,0.0
54587,0.195
54958,0.295
65105,0.9213
88867,0.215
87042,0.125
42750,0.48271
47715,0.04
3195,0.0
51160,0.14023
76544,0.005
25862,0.099
29504,0.01
5761,0.06
72804,0.015
76085,0.09
87422,0.1961
48691,0.035
95338,0.0
94674,0.03
52769,0.0
15292,0.225
62957,0.515
44601,0.03121
16786,0.15
26420,0.0285
95549,0.335
8305,0.26455
31436,0.015
83200,0.1635
35741,0.17
26488,0.265
31316,0.03
42658,0.005
33872,0.0395
75688,0.11698
59874,0.5645
66182,0.065
4113,0.065
41713,0.215
49768,0.01419
51713,0.005
85097,0.27769
76691,0.085
42735,0.07139
95616,0.72346
98805,0.085
8170,0.035
89204,0.0
3120,0.0
33883,0.0
71963,0.37585
89404,0.72389
9847,0.10264
18028,0.12
49132,0.015
21982,0.035
97709,1.0
84978,0.02
31850,0.00213
56548,0.255
80539,0.67323
99241,0.78897
38535,0.01
42777,0.0
67603,0.195
36307,0.55
47726,0.35817
7724,0.0
10449,0.055
13756,0.34
53513,0.57
135,0.32912
44481,0.05
8269,0.21288
86918,0.41222
22036,0.34
52743,0.64301
86531,0.795
45538,0.035
7858,0.0675
17820,0.09434
24329,0.08321
93490,0.07325
3773,1.0
61688,0.89455
91213,0.15871
19081,0.0
6338,0.005
82146,0.115
54100,0.045
40581,0.0
63423,0.98429
35492,0.84291
12776,0.025
95220,0.035
89419,0.35816
49734,0.005
73523,0.01
45828,0.46298
14034,0.075
8818,0.005
62695,0.045
25154,0.02
74813,0.07
15307,0.13917
21139,0.095
21770,0.01
88233,0.22
87436,0.12523
25612,0.285
13087,0.01
50474,0.035
78253,0.47699
25020,0.005
25313,0.035
42772,0.0
93344,0.075
84936,0.28
16320,0.93478
32645,0.525
93468,0.125
51213,0.02
46264,0.135
34316,0.84908
45395,0.08
46640,0.01
93362,1.0
13575,0.08668
27677,0.295
50100,0.05
65619,0.0
81487,0.55
57865,0.0
65419,0.005
67825,0.025
71586,0.025
22863,0.165
89766,0.70906
70574,0.045
71811,0.025
5842,0.16839
33790,0.34216
84614,0.27
62058,0.04
61242,0.09
96362,0.01
34256,0.17817
24093,0.59
6349,0.01422
80963,0.36277
1277,0.065
27274,0.23
30052,0.26
74559,0.67258
21971,0.46302
7210,0.045
24909,0.065
64160,0.0
23554,0.0
92260,0.05
32863,0.26612
74981,0.025
61692,0.0
52949,0.75262
47140,0.105
76773,0.05671
32269,0.005
24522,0.33195
43415,0.0
72231,0.37
50150,0.47316
65206,0.145
41333,0.0
47792,0.11
53900,0.43902
2597,0.13331
8733,0.0
37192,0.04
6257,0.52
50988,0.0
67325,0.0
69,0.04
14557,0.445
61585,0.16
23427,0.01
75131,0.26254
97212,0.3826
21120,0.09216
93224,0.02
50586,0.055
89577,0.0
21043,0.095
4301,0.35075
64783,1.0
7097,0.26612
17382,0.0
83102,0.205
61624,0.005
44450,0.028
1916,0.04
45993,0.06
70492,0.0
89779,0.21771
51504,0.0
39846,0.0
2262,0.14
37563,0.01
77292,0.2
84068,0.03454
56785,0.135
85499,0.04
70875,0.16
82180,0.18
42602,0.26612
34749,0.0
47824,0.04336
44992,0.13
17530,0.015
23070,0.5421
65432,0.0
73340,0.21
59743,0.0
68569,0.0
60831,0.135
56288,0.35405
15277,0.93429
6355,0.58424
36467,0.145
98127,0.39148
19043,0.04
15471,0.34
17289,0.35944
29652,0.00668
15210,0.37958
32959,0.23327
19064,0.12833
11996,0.0
42694,0.07907
57733,0.03
56051,0.0065
11344,0.065
15503,0.59104
22519,0.0
13034,0.025
68595,0.40917
88969,0.14
58535,0.04
85829,0.3003
78235,0.0
15897,0.0
39369,0.105
40200,0.02
66259,0.105
