ID_CORRELATIVO,ATTRITION
47411,0.65
39861,0.44
38898,0.025
50927,0.005
32969,0.47
89661,0.74118
12197,0.04
71520,0.31
59759,0.955
36743,0.01
10736,0.14
5106,0.44
44506,0.06
47767,0.24
74686,0.11
63023,0.0
13584,0.485
317,0.0
62570,0.005
68244,0.015
72881,0.07
18280,0.0
70682,0.0
79902,0.185
35073,0.065
84331,0.04
70921,0.04
82245,0.335
17714,0.05
13993,0.015
658,0.615
33916,0.35
92737,0.24604
22844,0.065
93339,0.31
29572,0.03
24751,0.97
37862,0.015
26676,0.515
8675,0.275
64245,0.28
57248,0.775
3531,0.0
9834,0.015
74246,0.135
56683,0.0
16847,0.02
96617,0.2
94167,0.0
42800,0.675
70106,0.21
42486,0.19
78076,0.205
85819,0.7
15786,0.165
61483,0.0
25630,0.12
22501,0.045
92447,0.005
13795,0.04
57101,0.015
55077,0.0
47600,0.335
5924,0.65
34900,0.25
91990,0.06
50268,0.125
66401,0.17
18014,0.0
20006,0.015
55391,0.17722
40304,0.945
12832,0.155
41746,0.13
69384,0.135
56225,0.89361
46522,0.0
59922,0.025
48609,0.08
77235,0.975
8082,0.245
65539,0.255
39769,0.0395
96098,0.074
86925,0.985
53370,0.11
60773,0.15
47138,0.27833
44098,0.005
61301,0.095
38956,0.155
7585,0.59
14240,0.05
49732,0.0
48849,0.105
72202,0.10304
14480,0.06
33035,0.0
43985,0.13
85217,0.01
8121,0.20071
95484,0.14
57781,0.0
85281,0.01
71928,0.18
79044,0.0
54020,0.3
46617,0.0
3924,0.69
76379,0.105
62379,0.185
80390,0.055
95214,0.0
24624,0.6
89328,0.1
85616,0.44
84393,0.23889
63954,0.185
20998,0.27929
42995,0.005
67212,0.385
95562,0.095
1869,0.01173
81929,0.70081
72552,0.12
34425,0.01
83123,0.04
90228,0.395
27741,0.095
53991,0.08
15167,0.145
29006,0.08
86461,0.095
22615,0.46
90108,0.005
12561,0.345
18306,0.57
78913,0.26381
38785,0.07683
13919,0.0
59619,0.07
17801,0.14
11683,0.03
50393,0.28893
1414,0.435
49705,0.2
11495,0.085
74515,0.155
87870,0.38
18347,0.015
3854,0.7845
19733,0.33863
44194,0.155
80652,0.13
22356,0.025
56887,0.095
54654,0.14
81154,0.005
60139,0.065
49481,0.295
13027,0.0
6073,0.1
21221,0.065
78849,0.01
98453,0.01
43204,0.85
49495,0.155
50040,0.32
62238,0.305
96941,0.18
51613,0.205
28840,0.015
88334,0.64
40679,0.755
91906,0.27
61997,0.585
96234,0.065
35191,0.06
99214,0.005
94474,0.0
70794,0.11
96104,0.0
63209,0.03
78212,0.745
9699,0.24
89800,0.035
52248,0.465
48960,0.055
77980,0.57
58769,0.36
74585,0.145
33294,0.0
93240,0.1
27238,0.835
2569,0.9
51644,0.0
48318,0.015
9421,0.105
77916,0.025
11814,0.21
61073,0.4606
64158,0.0
2805,0.05
72093,0.6
48104,0.34
20668,0.45906
68085,0.11
63923,0.03
53517,0.065
3104,0.46
99805,0.565
39359,0.44817
18783,0.0
15511,0.79
77153,0.0
45019,0.26
85462,0.04
96718,0.035
34821,0.92
22810,0.0
93544,0.19
35535,0.08301
65259,0.415
75047,0.07
58877,0.2
64070,0.29356
41996,0.335
71713,0.26
38718,0.01
17155,0.945
24713,0.03
62892,0.04
29011,0.12
6645,0.05
41304,0.1
58739,0.045
23285,0.24
48191,0.125
97795,0.0
6696,0.435
64069,0.225
82691,0.40847
18615,0.275
62684,0.1
9287,0.045
6874,0.065
22369,0.135
92953,0.285
84842,0.01
28468,0.035
30792,0.25
13171,0.37
17252,0.12
40297,0.19
98009,0.055
15527,0.055
7383,0.68968
5269,0.345
31169,0.005
23713,0.485
93782,0.175
33652,0.115
50852,0.13
62065,0.0
58026,0.08
75285,0.02917
14705,0.575
47071,0.005
37161,0.04
77239,0.1
24989,0.025
90966,0.135
76360,0.495
94753,0.15
84592,0.295
67471,0.065
41794,1.0
31485,0.055
91545,0.35
53221,0.055
8201,0.28
60467,0.03
68016,0.075
38784,0.075
55226,0.305
65209,0.045
75408,0.0
85243,0.09
79788,0.25
61994,0.035
79195,0.34
46240,0.09
22216,0.51
70954,0.105
84807,0.0
46536,0.435
36753,0.0
97859,0.015
23760,0.08088
85723,0.0
64710,0.805
