ID_CORRELATIVO,ATTRITION
47411,0.00301
39861,0.12536
38898,0.03585
50927,0.0049
32969,0.004
89661,0.17488
12197,0.02995
71520,0.0
59759,0.06431
36743,0.08363
10736,0.01414
5106,0.00037
44506,0.08059
47767,0.00741
74686,5e-05
63023,0.01009
13584,0.00314
317,0.12334
62570,0.02788
68244,0.0056
72881,0.01334
18280,0.00429
70682,0.0
79902,0.00018
35073,0.02588
84331,0.00011
70921,1e-05
82245,0.44351
17714,0.00271
13993,0.00169
658,0.21991
33916,0.73711
92737,0.23397
22844,0.00784
93339,0.31085
29572,0.0
24751,0.58926
37862,4e-05
26676,0.00197
8675,0.01381
64245,0.03844
57248,7e-05
3531,7e-05
9834,0.00286
74246,0.02592
56683,0.02617
16847,0.04514
96617,0.04288
94167,0.00305
42800,0.00179
70106,0.2114
42486,0.00837
78076,0.00282
85819,0.00623
15786,0.25107
61483,0.0
25630,0.0003
22501,0.03963
92447,0.0095
13795,0.00048
57101,0.00423
55077,0.00275
47600,0.40433
5924,0.01654
34900,0.00562
91990,0.94836
50268,0.96493
66401,0.06891
18014,1e-05
20006,0.0347
55391,0.73044
40304,0.55111
12832,0.14113
41746,4e-05
69384,0.63456
56225,3e-05
46522,0.00168
59922,0.0158
48609,0.00485
77235,0.00836
8082,0.0473
65539,0.00018
39769,0.02291
96098,0.00375
86925,0.92497
53370,0.26949
60773,0.00568
47138,0.0128
44098,0.00539
61301,0.11451
38956,0.01643
7585,0.26866
14240,0.0156
49732,5e-05
48849,0.00027
72202,0.10907
14480,0.01136
33035,6e-05
43985,1e-05
85217,0.0001
8121,0.74216
95484,0.08759
57781,0.0033
85281,0.04628
71928,0.38453
79044,0.04647
54020,0.0023
46617,0.00209
3924,0.41868
76379,0.03941
62379,0.15769
80390,0.00137
95214,0.0
24624,0.00577
89328,0.00127
85616,0.08621
84393,0.01958
63954,0.01958
20998,0.01063
42995,0.00094
67212,0.01591
95562,0.10166
1869,0.01693
81929,0.1141
72552,0.0253
34425,0.00741
83123,0.25162
90228,0.15065
27741,0.1045
53991,0.0
15167,0.04579
29006,0.00064
86461,0.2897
22615,0.56909
90108,0.03246
12561,0.05544
18306,0.03648
78913,0.45348
38785,0.0004
13919,0.06698
59619,0.06532
17801,0.00042
11683,0.01915
50393,0.79192
1414,0.38914
49705,0.01712
11495,0.00035
74515,1e-05
87870,0.00137
18347,0.00035
3854,0.04936
19733,0.064
44194,0.02496
80652,0.0109
22356,0.01118
56887,0.56844
54654,4e-05
81154,0.02123
60139,0.10055
49481,0.02651
13027,0.18262
6073,1e-05
21221,0.0209
78849,0.002
98453,0.00074
43204,0.48795
49495,0.0953
50040,0.03483
62238,0.40983
96941,0.26314
51613,0.18001
28840,3e-05
88334,0.00608
40679,0.0001
91906,2e-05
61997,0.46346
96234,0.03383
35191,0.00095
99214,0.01741
94474,0.0
70794,0.07425
96104,0.0025
63209,0.00011
78212,0.50276
9699,0.04389
89800,0.00061
52248,0.0168
48960,0.00132
77980,0.00232
58769,0.81163
74585,0.00174
33294,0.00117
93240,0.01414
27238,0.64535
2569,0.00536
51644,0.07907
