ID_CORRELATIVO,ATTRITION
47411,0.35592
39861,0.67762
38898,0.0846
50927,0.18455
32969,0.41525
89661,0.20598
12197,0.21411
71520,0.00232
59759,0.26057
36743,0.13811
10736,0.05852
5106,0.1444
44506,0.1907
47767,0.3734
74686,0.05539
63023,0.16752
13584,0.48332
317,0.07866
62570,0.09116
68244,0.08346
72881,0.11831
18280,0.16702
70682,0.02387
79902,0.12067
35073,0.11982
84331,0.08256
70921,0.0624
82245,0.25549
17714,0.07273
13993,0.01424
658,0.10922
33916,0.22485
92737,0.20065
22844,0.1332
93339,0.24086
29572,0.00625
24751,0.70373
37862,0.05125
26676,0.251
8675,0.12486
64245,0.37415
57248,0.5694
3531,0.01968
9834,0.00588
74246,0.11377
56683,0.26196
16847,0.19227
96617,0.13221
94167,0.03987
42800,0.5849
70106,0.67079
42486,0.22554
78076,0.1512
85819,0.36736
15786,0.16698
61483,0.01735
25630,0.03272
22501,0.02085
92447,0.24429
13795,0.02918
57101,0.05283
55077,0.07413
47600,0.26912
5924,0.61651
34900,0.1559
91990,0.31438
50268,0.35297
66401,0.17655
18014,0.00567
20006,0.11249
55391,0.42191
40304,0.39887
12832,0.31993
41746,0.04335
69384,0.26478
56225,0.58161
46522,0.03505
59922,0.07212
48609,0.19285
77235,0.37555
8082,0.03323
65539,0.01322
39769,0.36963
96098,0.10963
86925,0.80066
53370,0.27242
60773,0.0462
47138,0.29309
44098,0.02533
61301,0.03014
38956,0.14141
7585,0.23315
14240,0.07921
49732,0.01614
48849,0.01311
72202,0.11194
14480,0.30554
33035,0.13681
43985,0.20537
85217,0.01395
8121,0.20174
95484,0.11045
57781,0.02015
85281,0.22453
71928,0.10649
79044,0.03709
54020,0.55309
46617,0.07757
3924,0.64526
76379,0.14806
62379,0.12466
80390,0.28811
95214,0.0309
24624,0.59699
89328,0.0302
85616,0.29242
84393,0.20573
63954,0.41223
20998,0.11777
42995,0.11706
67212,0.16394
95562,0.1162
1869,0.01717
81929,0.14404
72552,0.21283
34425,0.0479
83123,0.23428
90228,0.21215
27741,0.10471
53991,0.02447
15167,0.07075
29006,0.01239
86461,0.2251
22615,0.62489
90108,0.18802
12561,0.38497
18306,0.35341
78913,0.25618
38785,0.20066
13919,0.26174
59619,0.13553
17801,0.28783
11683,0.0856
50393,0.34391
1414,0.21399
49705,0.12291
11495,0.19729
74515,0.10094
87870,0.13057
18347,0.07596
3854,0.26482
19733,0.1781
44194,0.1021
80652,0.20658
22356,0.20658
56887,0.08023
54654,0.07301
81154,0.19108
60139,0.14313
49481,0.25879
13027,0.07967
6073,0.03303
21221,0.05205
78849,0.05324
98453,0.1208
43204,0.15845
49495,0.08491
50040,0.14129
62238,0.39354
96941,0.15707
51613,0.23965
28840,0.06948
88334,0.46279
40679,0.56699
91906,0.17118
61997,0.42397
96234,0.06458
35191,0.30251
99214,0.00578
94474,0.07908
70794,0.1315
96104,0.01596
63209,0.13218
78212,0.14532
9699,0.09967
89800,0.03789
52248,0.36295
48960,0.03554
77980,0.59358
58769,0.26389
74585,0.07028
33294,0.08665
93240,0.21812
27238,0.56417
2569,0.51193
51644,0.10971
48318,0.0289
9421,0.2028
77916,0.12203
11814,0.16224
61073,0.17205
64158,0.00618
2805,0.03655
72093,0.34014
48104,0.09701
20668,0.24204
68085,0.07331
63923,0.0983
53517,0.16748
3104,0.58197
99805,0.2316
39359,0.24028
18783,0.03047
15511,0.41927
77153,0.02637
45019,0.38214
85462,0.02471
96718,0.02597
34821,0.50107
22810,0.08852
93544,0.23837
35535,0.12249
65259,0.43808
75047,0.05849
58877,0.19956
64070,0.15962
41996,0.27021
71713,0.20091
38718,0.05611
17155,0.56859
24713,0.09585
62892,0.04029
29011,0.15045
6645,0.0563
41304,0.17142
58739,0.17853
23285,0.24134
48191,0.14432
97795,0.05471
6696,0.6855
64069,0.23471
82691,0.62755
18615,0.38433
62684,0.31818
9287,0.04426
6874,0.12276
22369,0.23134
92953,0.09198
84842,0.05092
28468,0.12315
30792,0.2159
13171,0.20493
17252,0.20368
40297,0.02015
98009,0.22755
15527,0.06823
7383,0.2482
5269,0.19782
31169,0.11888
23713,0.5884
93782,0.33951
33652,0.16687
50852,0.06913
62065,0.00794
58026,0.01115
75285,0.09644
14705,0.21782
47071,0.02678
37161,0.11755
77239,0.00688
24989,0.01822
90966,0.01919
76360,0.23148
94753,0.12782
84592,0.09021
67471,0.25823
41794,0.17195
31485,0.27693
91545,0.10741
53221,0.01353
8201,0.32603
60467,0.23208
68016,0.10726
38784,0.01662
55226,0.10051
65209,0.05723
75408,0.01387
85243,0.06581
79788,0.25432
61994,0.04935
79195,0.20328
46240,0.04856
22216,0.49979
70954,0.37763
84807,0.00708
46536,0.27805
36753,0.03458
97859,0.08499
23760,0.12133
85723,0.1752
64710,0.18851
27733,0.0202
81034,0.18384
12401,0.3842
62556,0.20068
93553,0.13574
95020,0.09943
89411,0.00779
49025,0.67813
175,0.07466
41587,0.09037
95452,0.08615
66833,0.15746
35540,0.10643
27054,0.05573
73979,0.24232
86206,0.03016
44847,0.24965
3840,0.59074
61419,0.16185
41064,0.37328
3234,0.54238
48912,0.25146
14659,0.22145
95329,0.21158
48199,0.29189
57661,0.19419
91561,0.09372
98545,0.02426
64053,0.34066
44127,0.44386
19986,0.3554
50281,0.34723
23864,0.13091
10807,0.0106
46633,0.35025
22081,0.19517
58024,0.04713
43243,0.24615
87491,0.0333
8098,0.00973
15691,0.59846
92195,0.33463
89981,0.1405
61666,0.04975
59887,0.16585
72746,0.33394
97844,0.01649
66080,0.12378
35864,0.05118
91618,0.23719
63875,0.05965
12653,0.41597
82407,0.16736
60272,0.00707
45986,0.1914
40088,0.30174
30671,0.03119
47115,0.16083
87106,0.41914
18985,0.13986
78531,0.10759
99309,0.13513
30856,0.03272
57429,0.1971
90844,0.22765
61193,0.082
61960,0.34841
27310,0.40806
85688,0.00372
13849,0.10361
20923,0.09228
81184,0.23423
92660,0.06574
52780,0.18377
58352,0.02091
84217,0.16326
18894,0.41769
2060,0.05079
49450,0.0145
16422,0.1541
63949,0.01765
14806,0.20445
54228,0.00919
47189,0.00044
52562,0.01276
87245,0.24054
37544,0.07756
30325,0.3138
27069,0.00353
65802,0.10727
64416,0.32032
22027,0.01224
65273,0.50654
28436,0.03479
61160,0.37916
32883,0.07022
64263,0.08796
3036,0.08257
1394,0.09699
15909,0.1785
33028,0.26327
94431,0.07812
54780,0.30503
43674,0.13519
73620,0.24896
75024,0.19325
98242,0.12868
8382,0.56595
9870,0.1467
77482,0.05125
93661,0.117
61203,0.11093
65157,0.10435
6978,0.09906
17470,0.01791
53031,0.20647
37506,0.06843
5012,0.1184
2994,0.37484
17970,0.07572
78783,0.12232
20016,0.17543
12503,0.22973
61154,0.5726
12861,0.09428
67373,0.15813
48455,0.02909
6505,0.03899
61490,0.34003
54247,0.36115
5795,0.1666
28306,0.26306
85714,0.31816
82657,0.07497
44030,0.13118
65255,0.01537
64927,0.13847
75324,0.52471
6857,0.05473
11287,0.33404
35241,0.11637
34242,0.37148
69085,0.36912
71311,0.01134
36269,0.21761
14738,0.34927
549,0.4333
3479,0.08039
80866,0.22834
92323,0.49642
43887,0.23709
85023,0.21853
97922,0.1205
16440,0.32474
69117,0.36649
25539,0.22322
12828,0.14018
89828,0.11094
25600,0.07504
24291,0.18828
63983,0.30197
67518,0.00211
82104,0.07873
29260,0.02335
40004,0.12971
65199,0.03105
76117,0.0009
93827,0.23338
29395,0.05485
86252,0.24998
40938,0.1783
24209,0.03241
24037,0.05275
80880,0.12647
33040,0.0221
52215,0.10093
38125,0.24056
13173,0.26157
65774,0.22339
16691,0.02149
71372,0.18316
33821,0.20556
90285,0.02171
8425,0.46335
36687,0.14144
78613,0.41249
23269,0.14778
65699,0.15134
99079,0.05032
45348,0.01502
40929,0.37095
3792,0.06447
46357,0.11512
62600,0.08666
23863,0.05046
