ID_CORRELATIVO,ATTRITION
47411,0.3378
39861,0.1546
38898,0.3209
50927,0.2683
32969,0.1564
89661,0.4732
12197,0.3372
71520,0.3378
59759,0.1275
36743,0.1409
10736,0.2194
5106,0.3378
44506,0.2278
47767,0.1055
74686,0.3377
63023,0.1429
13584,0.3375
317,0.1673
62570,0.3378
68244,0.3097
72881,0.3378
18280,0.1733
70682,0.3378
79902,0.961
35073,0.3378
84331,0.3378
70921,0.3378
82245,0.5542
17714,0.3377
13993,0.3378
658,0.3106
33916,0.3898
92737,0.6332
22844,0.351
93339,0.1406
29572,0.3378
24751,0.3173
37862,0.3378
26676,0.3589
8675,0.3378
64245,0.1009
57248,0.1664
3531,0.3378
9834,0.3367
74246,0.3055
56683,0.0927
16847,0.3499
96617,0.1351
94167,0.3324
42800,0.3425
70106,0.3345
42486,0.1546
78076,0.3378
85819,0.3795
15786,0.2724
61483,0.3377
25630,0.3378
22501,0.3378
92447,0.3378
13795,0.3378
57101,0.3378
55077,0.4794
47600,0.1871
5924,0.3378
34900,0.3378
91990,0.3378
50268,0.3224
66401,0.1252
18014,0.3378
20006,0.3378
55391,0.0685
40304,0.3377
12832,0.5722
41746,0.3378
69384,0.3376
56225,0.1439
46522,0.3378
59922,0.3378
48609,0.3378
77235,0.6883
8082,0.3378
65539,0.3378
39769,0.5934
96098,0.3118
86925,0.3228
53370,0.1046
60773,0.3378
47138,0.3378
44098,0.3378
61301,0.3422
38956,0.3378
7585,0.1162
14240,0.1673
49732,0.3378
48849,0.3378
72202,0.8413
14480,0.122
33035,0.295
43985,0.3182
85217,0.3378
8121,0.1054
95484,0.3378
57781,0.3377
85281,0.5999
71928,0.3378
79044,0.2831
54020,0.2368
46617,0.3378
3924,0.1132
76379,0.3378
62379,0.3378
80390,0.8682
95214,0.3378
24624,0.6407
89328,0.3378
85616,0.96
84393,0.3378
63954,0.1501
20998,0.3168
42995,0.3374
67212,0.3378
95562,0.3378
1869,0.3378
81929,0.128
72552,0.3352
34425,0.3378
83123,0.1602
90228,0.3236
27741,0.3378
53991,0.3378
15167,0.337
29006,0.3378
86461,0.1096
22615,0.2872
90108,0.3385
12561,0.3386
18306,0.3529
78913,0.7126
38785,0.3379
13919,0.1371
59619,0.3378
17801,0.3378
11683,0.2281
50393,0.1078
1414,0.1409
49705,0.3378
11495,0.3378
74515,0.3378
87870,0.3378
18347,0.3378
3854,0.1378
19733,0.2318
44194,0.3378
80652,0.3378
22356,0.3305
56887,0.3378
54654,0.3359
81154,0.3305
60139,0.3381
49481,0.3334
13027,0.1695
6073,0.3378
21221,0.3378
78849,0.1969
98453,0.3378
43204,0.1584
49495,0.3378
50040,0.3371
62238,0.3378
96941,0.3378
51613,0.3378
28840,0.1732
88334,0.3215
40679,0.7961
91906,0.334
