ID_CORRELATIVO,ATTRITION
47411,0.3667
39861,0.2
38898,0.1333
50927,0.1667
32969,0.1667
89661,0.1667
12197,0.1667
71520,0.1667
59759,0.2333
36743,0.1333
10736,0.1
5106,0.2333
44506,0.2333
47767,0.2
74686,0.1333
63023,0.3333
13584,0.2667
317,0.2333
62570,0.2
68244,0.0667
72881,0.1
18280,0.1333
70682,0.2
79902,0.0667
35073,0.1667
84331,0.1333
70921,0.1
82245,0.1667
17714,0.2
13993,0.1667
658,0.1333
33916,0.2667
92737,0.0333
22844,0.1
93339,0.1667
29572,0.2
24751,0.1
37862,0.1
26676,0.1
8675,0.1333
64245,0.3
57248,0.1
3531,0.1333
9834,0.2667
74246,0.0667
56683,0.1667
16847,0.2667
96617,0.1
94167,0.1667
42800,0.3667
70106,0.2
42486,0.2333
78076,0.0667
85819,0.1
15786,0.2
61483,0.2
25630,0.1333
22501,0.1333
92447,0.0667
13795,0.2333
57101,0.1333
55077,0.3
47600,0.1
5924,0.0667
34900,0.3
91990,0.1667
50268,0.2667
66401,0.1
18014,0.1333
20006,0.2
55391,0.1
40304,0.2333
12832,0.2
41746,0.1
69384,0.3
56225,0.1
46522,0.0333
59922,0.0667
48609,0.1667
77235,0.1
8082,0.1667
65539,0.2667
39769,0.3333
96098,0.1
86925,0.2667
53370,0.2
60773,0.1
47138,0.1667
44098,0.0667
61301,0.0667
38956,0.1667
7585,0.1333
14240,0.2333
49732,0.2667
48849,0.1
72202,0.1333
14480,0.2
33035,0.1333
43985,0.1667
85217,0.2333
8121,0.1333
95484,0.1
57781,0.1667
85281,0.3333
71928,0.2
79044,0.0
54020,0.1
46617,0.2667
3924,0.1333
76379,0.1667
62379,0.0667
80390,0.2333
95214,0.3333
24624,0.1333
89328,0.1667
85616,0.2333
84393,0.2667
63954,0.1333
20998,0.1667
42995,0.1333
67212,0.1333
95562,0.2
1869,0.2333
81929,0.2333
72552,0.1667
34425,0.2
83123,0.1
90228,0.2
27741,0.0333
53991,0.0667
15167,0.0333
29006,0.1667
86461,0.0333
22615,0.1333
90108,0.3333
12561,0.2667
18306,0.0333
78913,0.0667
38785,0.3
13919,0.1667
59619,0.1
