ID_CORRELATIVO,ATTRITION
47411,0.0002
39861,0.0564
38898,0.0004
50927,0.0009
32969,0.0415
89661,0.0044
12197,0.0031
71520,0.0
59759,0.0168
36743,0.0096
10736,0.0005
5106,0.0
44506,0.001
47767,0.0786
74686,0.0
63023,0.0386
13584,0.0012
317,0.0024
62570,0.0
68244,0.0007
72881,0.0
18280,0.0441
70682,0.0
79902,0.0049
35073,0.0
84331,0.0171
70921,0.0001
82245,0.2348
17714,0.0001
13993,0.0
658,0.0074
33916,0.0045
92737,0.0045
22844,0.0044
93339,0.0584
29572,0.0
24751,0.014
37862,0.0
26676,0.0053
8675,0.0
64245,0.1154
57248,0.0367
3531,0.0
9834,0.0002
74246,0.0007
56683,0.0645
16847,0.0005
96617,0.0309
94167,0.0004
42800,0.0393
70106,0.0037
42486,0.0142
78076,0.0
85819,0.0585
15786,0.0047
61483,0.0
25630,0.0
22501,0.0
92447,0.0
13795,0.0
57101,0.0
55077,0.0057
47600,0.0055
5924,0.8821
34900,0.0
91990,0.0029
50268,0.003
66401,0.0077
18014,0.0
20006,0.0
55391,0.0585
40304,0.0027
12832,0.0109
41746,0.0
69384,0.0085
56225,0.1012
46522,0.0
59922,0.0
48609,0.0
77235,0.13
8082,0.0
65539,0.0
39769,0.037
96098,0.0056
86925,0.0493
53370,0.0607
60773,0.0005
47138,0.0
44098,0.0
61301,0.0001
38956,0.0
7585,0.0113
14240,0.0021
49732,0.0
48849,0.0
72202,0.0009
14480,0.0547
33035,0.0004
43985,0.002
85217,0.0
8121,0.0498
95484,0.0
57781,0.0001
85281,0.0354
71928,0.0
79044,0.0018
54020,0.03
46617,0.0087
3924,0.0833
76379,0.0013
62379,0.0
80390,0.024
95214,0.0075
24624,0.1273
89328,0.0
85616,0.0529
84393,0.0133
63954,0.0096
20998,0.0105
42995,0.0004
67212,0.0
95562,0.0
1869,0.0001
81929,0.0079
72552,0.0106
34425,0.0
83123,0.0762
90228,0.0008
27741,0.0
53991,0.0
15167,0.0001
29006,0.0
86461,0.0606
22615,0.005
90108,0.0019
12561,0.0012
18306,0.2559
78913,0.0268
38785,0.0034
13919,0.058
59619,0.0235
17801,0.0
11683,0.0022
50393,0.1157
1414,0.0065
49705,0.0
11495,0.0
74515,0.0
87870,0.0
18347,0.0001
3854,0.0218
19733,0.0096
44194,0.0
80652,0.0002
22356,0.0007
56887,0.0
54654,0.0001
81154,0.0006
60139,0.0141
49481,0.0104
13027,0.0025
6073,0.0
21221,0.0
78849,0.001
98453,0.0002
43204,0.0133
49495,0.0
50040,0.0008
62238,0.4819
96941,0.0
51613,0.1975
28840,0.0005
88334,0.0212
40679,0.0286
91906,0.0002
61997,0.3746
96234,0.0
35191,0.119
99214,0.0
94474,0.0083
70794,0.0036
96104,0.0024
63209,0.0
78212,0.0
9699,0.006
89800,0.0
52248,0.01
48960,0.0
77980,0.1677
58769,0.2502
74585,0.0002
33294,0.0
93240,0.024
27238,0.0708
2569,0.1951
51644,0.0022
48318,0.0
9421,0.0139
77916,0.0
11814,0.0117
61073,0.0039
64158,0.0
2805,0.0
72093,0.037
48104,0.0022
20668,0.0422
68085,0.0
63923,0.0029
53517,0.0141
3104,0.2874
99805,0.0023
39359,0.0723
18783,0.0163
15511,0.0981
77153,0.0
45019,0.0737
85462,0.0
96718,0.0
34821,0.0082
22810,0.0038
93544,0.0911
35535,0.0089
65259,0.0085
75047,0.0
58877,0.0035
64070,0.007
41996,0.0326
71713,0.0281
38718,0.0
17155,0.0652
24713,0.0019
62892,0.0
29011,0.0
6645,0.0042
41304,0.0114
58739,0.0268
23285,0.0912
48191,0.0103
97795,0.0015
6696,0.0073
64069,0.0061
82691,0.0665
18615,0.2314
62684,0.0303
9287,0.0
6874,0.0
22369,0.0277
92953,0.0007
84842,0.0
28468,0.0
30792,0.0181
13171,0.6866
17252,0.0126
40297,0.0
98009,0.0008
15527,0.0001
7383,0.0093
5269,0.0175
31169,0.0068
23713,0.0623
93782,0.0006
33652,0.0407
50852,0.0001
62065,0.0
58026,0.0
75285,0.0
14705,0.0295
47071,0.0021
37161,0.0028
77239,0.0
24989,0.0
90966,0.0
76360,0.0916
94753,0.0004
84592,0.0
67471,0.0005
41794,0.0051
31485,0.0
91545,0.027
53221,0.0
8201,0.0125
60467,0.0498
68016,0.0001
38784,0.0
55226,0.0594
65209,0.0
75408,0.0001
85243,0.0
79788,0.0997
61994,0.0001
79195,0.0005
46240,0.0
22216,0.0164
70954,0.0
84807,0.0
46536,0.0937
36753,0.0048
97859,0.0015
23760,0.0052
85723,0.0013
64710,0.0324
27733,0.0002
81034,0.0299
12401,0.0293
62556,0.0337
93553,0.0
95020,0.0105
89411,0.0
49025,0.0088
175,0.0
41587,0.0
