ID_CORRELATIVO,ATTRITION
47411,0.138
39861,0.0961
38898,0.1382
50927,0.1231
32969,0.138
89661,0.2048
12197,0.138
71520,0.138
59759,0.0752
36743,0.1396
10736,0.1356
5106,0.138
44506,0.1127
47767,0.1783
74686,0.138
63023,0.1289
13584,0.138
317,0.1102
62570,0.138
68244,0.1328
72881,0.138
18280,0.1994
70682,0.138
79902,0.1858
35073,0.138
84331,0.138
70921,0.138
82245,0.1414
17714,0.138
13993,0.138
658,0.1293
33916,0.1513
92737,0.2251
22844,0.1453
93339,0.2777
29572,0.138
24751,0.14
37862,0.138
26676,0.1415
8675,0.138
64245,0.8271
57248,0.0932
3531,0.138
9834,0.1434
74246,0.1737
56683,0.1253
16847,0.1014
96617,0.0628
94167,0.1548
42800,0.1655
70106,0.1381
42486,0.1958
78076,0.138
85819,0.1586
15786,0.1435
61483,0.138
25630,0.138
22501,0.138
92447,0.138
13795,0.138
57101,0.138
55077,0.1231
47600,0.0644
5924,0.138
34900,0.138
91990,0.138
50268,0.138
66401,0.1137
18014,0.138
20006,0.138
55391,0.1418
40304,0.138
12832,0.1605
41746,0.138
69384,0.138
56225,0.0595
46522,0.138
59922,0.138
48609,0.138
77235,0.3529
8082,0.138
65539,0.138
39769,0.5126
96098,0.1311
86925,0.138
53370,0.0644
60773,0.138
47138,0.138
44098,0.138
61301,0.138
38956,0.138
7585,0.0916
14240,0.076
49732,0.138
48849,0.138
72202,0.4665
14480,0.1242
33035,0.1314
43985,0.1381
85217,0.138
8121,0.0891
95484,0.138
57781,0.1424
85281,0.2555
71928,0.138
79044,0.1188
54020,0.1923
46617,0.138
3924,0.1302
76379,0.138
62379,0.138
80390,0.2503
95214,0.138
24624,0.4
89328,0.138
85616,0.4727
84393,0.138
63954,0.1186
20998,0.1085
42995,0.138
67212,0.138
95562,0.138
1869,0.1388
81929,0.0227
72552,0.1362
34425,0.138
83123,0.2676
90228,0.1036
27741,0.138
53991,0.138
15167,0.14
29006,0.138
86461,0.0602
22615,0.1572
90108,0.1372
12561,0.138
18306,0.1558
78913,0.2506
38785,0.1228
13919,0.1021
59619,0.138
17801,0.138
11683,0.0862
50393,0.1897
1414,0.1137
49705,0.138
11495,0.138
74515,0.138
87870,0.138
18347,0.138
3854,0.0608
19733,0.0619
44194,0.138
80652,0.138
22356,0.1368
56887,0.138
54654,0.138
81154,0.1395
60139,0.138
49481,0.1325
13027,0.1668
6073,0.138
21221,0.138
78849,0.1379
98453,0.138
43204,0.0581
49495,0.138
50040,0.138
62238,0.1396
96941,0.138
51613,0.138
28840,0.138
88334,0.152
40679,0.3025
91906,0.138
61997,0.138
96234,0.138
35191,0.0723
99214,0.138
94474,0.138
70794,0.1379
96104,0.138
63209,0.138
78212,0.138
9699,0.154
89800,0.138
52248,0.138
48960,0.138
77980,0.1573
58769,0.1666
74585,0.138
33294,0.138
93240,0.1693
27238,0.1492
2569,0.1336
51644,0.1205
48318,0.138
9421,0.1349
77916,0.138
11814,0.136
61073,0.2246
64158,0.138
2805,0.138
72093,0.0923
48104,0.138
20668,0.0603
68085,0.138
63923,0.1185
53517,0.0517
3104,0.138
99805,0.2135
39359,0.1072
18783,0.1407
15511,0.1691
77153,0.138
45019,0.077
85462,0.138
96718,0.138
34821,0.136
22810,0.1075
93544,0.1381
35535,0.2943
65259,0.0794
75047,0.138
58877,0.1471
64070,0.0251
41996,0.1383
71713,0.139
38718,0.191
17155,0.1427
24713,0.1003
62892,0.138
29011,0.138
6645,0.138
41304,0.0926
58739,0.138
23285,0.531
48191,0.0717
97795,0.1722
6696,0.1243
64069,0.0562
82691,0.0733
18615,0.138
62684,0.1435
9287,0.1384
6874,0.138
22369,0.1444
92953,0.138
84842,0.138
28468,0.138
30792,0.184
13171,0.138
17252,0.2278
40297,0.138
98009,0.138
15527,0.1379
7383,0.0932
5269,0.1395
31169,0.1296
23713,0.0644
93782,0.138
33652,0.3913
50852,0.138
62065,0.138
58026,0.138
75285,0.138
14705,0.1433
47071,0.0918
37161,0.4501
77239,0.138
24989,0.138
90966,0.138
76360,0.035
94753,0.138
84592,0.138
67471,0.138
41794,0.0325
31485,0.138
91545,0.1226
53221,0.138
8201,0.1062
60467,0.2378
68016,0.138
38784,0.138
55226,0.1381
65209,0.138
75408,0.1381
85243,0.138
79788,0.2392
61994,0.138
79195,0.1376
46240,0.138
22216,0.1371
70954,0.138
84807,0.138
46536,0.138
36753,0.138
97859,0.1491
23760,0.1589
85723,0.135
64710,0.215
27733,0.1741
81034,0.1457
12401,0.0864
62556,0.1158
93553,0.138
95020,0.048
89411,0.138
49025,0.1394
175,0.138
41587,0.138
95452,0.2188
66833,0.0828
35540,0.163
27054,0.138
73979,0.1382
86206,0.138
44847,0.2481
3840,0.1269
61419,0.138
41064,0.1381
3234,0.4348
48912,0.1437
14659,0.0639
95329,0.1078
48199,0.1778
57661,0.0548
91561,0.1424
98545,0.138
64053,0.1486
44127,0.1376
19986,0.1445
50281,0.1381
23864,0.138
10807,0.138
46633,0.0974
22081,0.1795
58024,0.138
43243,0.138
87491,0.138
8098,0.1386
15691,0.138
92195,0.1917
89981,0.1355
61666,0.138
59887,0.1149
72746,0.1385
97844,0.138
66080,0.0724
35864,0.138
91618,0.138
63875,0.1382
12653,0.138
82407,0.3398
60272,0.138
45986,0.1054
40088,0.1275
30671,0.138
47115,0.0649
87106,0.186
18985,0.138
78531,0.138
99309,0.138
30856,0.138
57429,0.138
90844,0.1373
61193,0.138
61960,0.2695
27310,0.0224
85688,0.138
13849,0.138
20923,0.138
81184,0.5336
92660,0.1991
52780,0.0265
58352,0.138
84217,0.5691
18894,0.1401
2060,0.1317
49450,0.138
16422,0.1119
63949,0.138
14806,0.084
54228,0.138
47189,0.138
52562,0.138
87245,0.138
37544,0.1505
30325,0.138
27069,0.138
65802,0.138
64416,0.4459
22027,0.138
65273,0.1497
28436,0.138
61160,0.1581
32883,0.1852
64263,0.138
3036,0.138
1394,0.138
15909,0.1352
33028,0.1218
94431,0.1417
54780,0.1068
43674,0.138
73620,0.1385
75024,0.363
98242,0.0387
8382,0.0602
9870,0.138
77482,0.138
93661,0.069
61203,0.0936
65157,0.138
6978,0.1372
17470,0.138
53031,0.0403
37506,0.138
5012,0.2822
2994,0.1381
17970,0.1372
78783,0.1373
20016,0.138
12503,0.1159
61154,0.1758
12861,0.138
67373,0.0195
48455,0.138
6505,0.1259
61490,0.1632
54247,0.0925
5795,0.039
28306,0.138
85714,0.1221
82657,0.138
44030,0.138
65255,0.138
64927,0.138
75324,0.1381
6857,0.138
11287,0.157
35241,0.1389
34242,0.138
69085,0.3781
71311,0.138
36269,0.138
14738,0.4208
549,0.4935
3479,0.1513
80866,0.2389
92323,0.138
43887,0.0969
85023,0.1194
97922,0.138
16440,0.1376
69117,0.3593
25539,0.138
12828,0.138
89828,0.138
25600,0.138
24291,0.075
63983,0.138
67518,0.138
82104,0.1341
29260,0.1385
40004,0.0913
65199,0.138
76117,0.138
93827,0.0441
29395,0.138
86252,0.0125
40938,0.1369
24209,0.138
24037,0.138
80880,0.0582
33040,0.138
52215,0.106
38125,0.0633
13173,0.138
65774,0.1531
16691,0.138
71372,0.0624
33821,0.138
90285,0.1379
8425,0.2092
36687,0.1059
78613,0.138
23269,0.138
65699,0.9818
99079,0.138
45348,0.1473
40929,0.073
3792,0.138
46357,0.065
62600,0.0612
23863,0.138
77937,0.1368
335,0.138
60070,0.2047
13973,0.138
45656,0.138
18176,0.138
5930,0.138
86954,0.1658
64225,0.138
72124,0.138
2108,0.1403
44109,0.0911
16923,0.0628
70941,0.1967
83294,0.1336
78522,0.1004
95018,0.138
96818,0.138
27237,0.1776
84772,0.138
41563,0.138
73476,0.138
72352,0.355
79414,0.1231
60076,0.1807
80745,0.0897
86202,0.138
16667,0.138
61215,0.0548
3297,0.1925
3700,0.138
70352,0.138
72752,0.0541
16377,0.138
455,0.136
16803,0.138
45698,0.0501
13350,0.2194
76081,0.1563
77878,0.1528
72854,0.2093
36377,0.0357
64828,0.138
5048,0.1341
20341,0.2725
93214,0.138
70114,0.138
22778,0.1396
24111,0.2319
91002,0.1141
41036,0.138
84784,0.138
77981,0.1325
62877,0.1381
75883,0.0729
65815,0.0735
9256,0.138
43407,0.1278
2531,0.138
27887,0.138
12062,0.0723
20044,0.1347
65756,0.138
93096,0.138
22795,0.138
87212,0.062
35969,0.1424
16574,0.138
86765,0.138
15941,0.138
90109,0.138
48087,0.2376
58303,0.1379
94111,0.138
58882,0.138
68501,0.0387
15523,0.138
32550,0.138
66142,0.1389
34097,0.1316
65169,0.1713
97085,0.0469
56165,0.138
86685,0.1601
70155,0.138
94728,0.1475
18780,0.109
94486,0.1499
39723,0.138
53398,0.1381
49177,0.138
61923,0.138
72622,0.138
78582,0.138
55627,0.0522
52808,0.1212
26623,0.138
68723,0.1854
15319,0.138
33747,0.138
73915,0.138
92776,0.138
49883,0.1266
98556,0.0301
88865,0.1117
97115,0.0862
54132,0.138
9554,0.3426
70701,0.138
5627,0.0878
80129,0.0911
8134,0.138
69401,0.138
27103,0.0562
30747,0.138
83422,0.1383
3842,0.13
2394,0.138
6597,0.138
11139,0.0774
57217,0.1384
3953,0.2009
79429,0.138
60795,0.138
56610,0.0913
81632,0.138
69638,0.1116
86896,0.138
75514,0.2466
66956,0.1381
70023,0.0616
14775,0.1867
63656,0.138
86171,0.138
53818,0.1268
75659,0.2275
60135,0.0979
3003,0.138
62748,0.0242
48871,0.0916
68081,0.1726
10715,0.138
18278,0.1462
11112,0.138
10680,0.138
39089,0.1365
92019,0.062
23820,0.1375
28533,0.138
61946,0.1711
68786,0.138
50374,0.138
32563,0.1366
91650,0.138
54629,0.1378
38213,0.138
23419,0.138
5647,0.138
25369,0.1299
61117,0.4103
90892,0.3417
56964,0.1238
73556,0.138
21316,0.0791
57187,0.137
50543,0.138
92908,0.2235
76663,0.2671
50791,0.138
42964,0.1352
36473,0.1355
41795,0.138
3005,0.138
92387,0.0945
90232,0.138
87360,0.138
72062,0.1164
29388,0.138
90178,0.138
1090,0.2116
22898,0.138
994,0.138
74120,0.1337
82594,0.1188
45211,0.138
83526,0.2362
77504,0.2533
77357,0.138
94837,0.2782
75345,0.1368
33825,0.1375
67688,0.138
43567,0.138
90096,0.138
84103,0.1391
89217,0.1476
11035,0.138
73782,0.1503
61029,0.0398
22253,0.2233
71770,0.1392
14851,0.1381
48543,0.2239
53375,0.1817
9239,0.3225
50910,0.138
7752,0.138
14390,0.1346
38461,0.144
29014,0.1401
17962,0.1378
56755,0.138
82489,0.138
61481,0.138
21066,0.138
38231,0.1489
76306,0.138
32221,0.1372
86030,0.3935
76070,0.138
81782,0.1481
43513,0.2142
46218,0.1079
41215,0.138
88994,0.0648
83879,0.1715
55133,0.1379
97682,0.138
2168,0.138
32212,0.138
73618,0.138
10805,0.1126
48944,0.138
37538,0.138
69219,0.138
99284,0.2199
17593,0.138
83733,0.1425
3224,0.1391
19283,0.138
18719,0.1011
96329,0.1371
47823,0.138
16869,0.138
60538,0.0442
49291,0.1443
71079,0.138
25632,0.138
62251,0.138
72780,0.2285
13003,0.138
40002,0.1349
98765,0.138
86688,0.138
58320,0.138
84383,0.138
76245,0.138
93031,0.138
54534,0.138
58723,0.138
36529,0.1375
77541,0.0702
49677,0.138
76734,0.138
99838,0.1368
1529,0.1386
30528,0.1381
11220,0.2163
93804,0.1359
58259,0.1346
20339,0.4018
42577,0.138
23740,0.3299
7391,0.5144
94300,0.138
81918,0.1486
25894,0.138
37142,0.138
88486,0.138
17974,0.087
23522,0.0141
60666,0.1399
2482,0.138
88646,0.0551
82150,0.138
86468,0.138
75758,0.2943
35498,0.139
86662,0.4706
48888,0.0997
86890,0.3556
80800,0.4094
21045,0.1371
2799,0.1452
10916,0.2772
77435,0.3881
27846,0.1317
9054,0.1343
19538,0.138
19587,0.138
92929,0.1386
91755,0.1379
35661,0.1919
60771,0.3393
40120,0.138
889,0.138
23531,0.0557
16672,0.06
10823,0.383
80285,0.138
81029,0.1381
44604,0.1346
39242,0.105
26560,0.1336
46806,0.138
96785,0.138
24706,0.1362
88480,0.138
57315,0.1283
3446,0.0824
12090,0.128
97040,0.0074
65462,0.1335
5241,0.138
97418,0.138
13258,0.2813
89719,0.1256
68834,0.138
91152,0.138
48913,0.0448
3626,0.1389
91685,0.259
8691,0.0698
30925,0.2236
56825,0.138
3830,0.138
30378,0.138
77994,0.138
33864,0.1364
2796,0.138
46336,0.138
6057,0.2042
14343,0.2984
97320,0.0876
36178,0.2436
53255,0.138
80715,0.138
45459,0.0794
14349,0.138
81802,0.138
22939,0.138
46890,0.138
70172,0.1794
98942,0.138
69473,0.0231
60799,0.1403
96623,0.0999
66047,0.1381
22722,0.1518
89798,0.1379
52528,0.1368
4092,0.1368
21782,0.138
98723,0.0924
83686,0.1355
84689,0.138
50369,0.138
76171,0.169
77288,0.1089
46229,0.1272
56531,0.138
93788,0.138
25213,0.1511
14288,0.0832
17576,0.1443
72959,0.2783
37382,0.1385
24649,0.1374
62269,0.138
26285,0.2585
50918,0.1045
21401,0.2177
6804,0.138
29533,0.0974
78638,0.138
58557,0.138
21840,0.138
62409,0.138
42474,0.1402
97174,0.138
982,0.128
27505,0.1396
22484,0.1465
93301,0.138
72723,0.2501
33030,0.138
46652,0.138
18514,0.2647
91001,0.1382
65553,0.138
22916,0.138
7567,0.138
63483,0.138
8040,0.3958
83390,0.138
69635,0.1527
11931,0.1207
17020,0.138
82996,0.1791
66758,0.138
25451,0.138
57816,0.1383
10408,0.0631
17997,0.138
20809,0.1248
18073,0.2919
69408,0.1541
14232,0.1976
97769,0.138
44630,0.2678
30025,0.138
67366,0.0544
47764,0.1443
75613,0.3413
44568,0.1429
5465,0.138
15822,0.2393
16082,0.1312
63662,0.1375
691,0.1693
26425,0.138
4526,0.1195
70441,0.1138
71110,0.137
40833,0.138
3148,0.1367
12251,0.138
85596,0.137
24117,0.1309
54587,0.138
54958,0.1315
65105,0.154
88867,0.138
87042,0.0935
42750,0.138
47715,0.234
3195,0.138
51160,0.075
76544,0.1753
25862,0.0956
29504,0.5
5761,0.138
72804,0.138
76085,0.138
87422,0.2009
48691,0.138
95338,0.1366
94674,0.138
52769,0.1336
15292,0.1795
62957,0.1827
44601,0.2008
16786,0.1248
26420,0.1217
95549,0.138
8305,0.0493
31436,0.138
83200,0.138
35741,0.138
26488,0.138
31316,0.138
42658,0.9596
33872,0.1216
75688,0.1491
59874,0.1399
66182,0.138
4113,0.138
41713,0.1373
49768,0.1029
51713,0.138
85097,0.0578
76691,0.138
42735,0.6493
95616,0.0487
98805,0.138
8170,0.138
89204,0.138
3120,0.1535
33883,0.138
71963,0.1475
89404,0.1763
9847,0.2461
18028,0.138
49132,0.138
21982,0.1381
97709,0.207
84978,0.138
31850,0.1984
56548,0.138
80539,0.031
99241,0.0976
38535,0.1384
42777,0.283
67603,0.138
36307,0.0873
47726,0.138
7724,0.138
10449,0.1381
13756,0.138
53513,0.138
135,0.1172
44481,0.1522
8269,0.038
86918,0.5911
22036,0.138
52743,0.2161
86531,0.138
45538,0.138
7858,0.0598
17820,0.138
24329,0.1513
93490,0.1357
3773,0.061
61688,0.1133
91213,0.0653
19081,0.1387
6338,0.138
82146,0.1138
54100,0.138
40581,0.2487
63423,0.1041
35492,0.138
12776,0.1328
95220,0.138
89419,0.3509
49734,0.138
73523,0.138
45828,0.197
14034,0.138
8818,0.1202
62695,0.138
25154,0.138
74813,0.0945
15307,0.1021
21139,0.138
21770,0.138
88233,0.138
87436,0.0952
25612,0.138
13087,0.5322
50474,0.138
78253,0.0184
25020,0.138
25313,0.138
42772,0.138
93344,0.138
84936,0.0737
16320,0.3124
32645,0.1786
93468,0.138
51213,0.1373
46264,0.138
34316,0.2602
45395,0.0881
46640,0.138
93362,0.0755
13575,0.1694
27677,0.1541
50100,0.176
65619,0.1381
81487,0.1666
57865,0.0527
65419,0.138
67825,0.138
71586,0.1508
22863,0.138
89766,0.175
70574,0.138
71811,0.138
5842,0.0596
33790,0.6717
84614,0.1372
62058,0.138
61242,0.138
96362,0.1652
34256,0.1436
24093,0.138
6349,0.138
80963,0.1883
1277,0.138
27274,0.138
30052,0.0785
74559,0.0387
21971,0.0794
7210,0.138
24909,0.1294
64160,0.138
23554,0.493
92260,0.138
32863,0.1967
74981,0.138
61692,0.036
52949,0.029
47140,0.1331
76773,0.599
32269,0.1325
24522,0.1354
43415,0.172
72231,0.1519
50150,0.1184
65206,0.138
41333,0.138
47792,0.138
53900,0.0548
2597,0.06
8733,0.1075
37192,0.138
6257,0.138
50988,0.1976
67325,0.138
69,0.138
14557,0.138
61585,0.138
23427,0.1623
75131,0.1357
97212,0.0503
21120,0.1333
93224,0.1376
50586,0.138
89577,0.1537
21043,0.138
4301,0.0999
64783,0.207
7097,0.2093
17382,0.1477
83102,0.138
61624,0.138
44450,0.2727
1916,0.0848
45993,0.138
70492,0.1394
89779,0.1379
51504,0.1349
39846,0.1456
2262,0.138
37563,0.1337
77292,0.138
84068,0.138
56785,0.138
85499,0.138
70875,0.1394
82180,0.138
42602,0.2093
34749,0.1377
47824,0.1189
44992,0.138
17530,0.138
23070,0.1483
65432,0.138
73340,0.138
59743,0.138
68569,0.1376
60831,0.138
56288,0.138
15277,0.0636
6355,0.2217
36467,0.138
98127,0.0999
19043,0.1467
15471,0.138
17289,0.1765
29652,0.0492
15210,0.1361
32959,0.1314
19064,0.1265
11996,0.138
42694,0.1341
57733,0.138
56051,0.214
11344,0.1454
15503,0.0244
22519,0.1275
13034,0.138
68595,0.138
88969,0.138
58535,0.138
85829,0.593
78235,0.138
15897,0.1372
39369,0.138
40200,0.138
66259,0.138
37608,0.1383
45387,0.156
6969,0.138
2483,0.1453
50746,0.138
32777,0.138
43125,0.2144
73421,0.0792
95861,0.138
76072,0.138
43965,0.138
24050,0.138
75752,0.0694
89934,0.1196
31063,0.0208
39122,0.111
62187,0.138
53477,0.138
91768,0.138
16641,0.138
69375,0.138
47274,0.1631
76430,0.1488
96646,0.0826
74929,0.2066
95225,0.1237
87654,0.0894
19836,0.0684
60352,0.1379
9475,0.0478
73435,0.138
18776,0.1387
64210,0.1357
30957,0.138
10149,0.138
68881,0.1121
33266,0.5307
86268,0.138
38600,0.138
96933,0.1425
94899,0.2779
40087,0.138
61947,0.0554
38751,0.1499
63111,0.1731
19745,0.138
27993,0.138
12974,0.0147
75735,0.1927
79881,0.8473
77240,0.1141
74186,0.2018
21406,0.0915
53171,0.138
55536,0.138
45520,0.1191
76780,0.138
74950,0.138
65246,0.138
49608,0.1381
88146,0.0423
46600,0.1559
10425,0.1375
49641,0.138
74502,0.1301
41576,0.1089
34546,0.138
87478,0.0972
36345,0.138
39970,0.4214
37092,0.138
99680,0.0734
46569,0.138
38252,0.138
34356,0.1338
67403,0.138
77924,0.1273
25691,0.1381
25490,0.138
19004,0.138
6966,0.138
6031,0.138
23920,0.1368
18490,0.138
1807,0.1339
75195,0.138
28244,0.0743
66979,0.138
33403,0.1459
48006,0.0363
75376,0.138
93844,0.1715
24642,0.1569
90082,1.0
83832,0.1391
47752,0.138
1489,0.138
71582,0.0661
24635,0.138
89689,0.1357
31163,0.138
2252,0.138
41274,0.1647
29995,0.1203
6396,0.0548
19070,0.0889
41886,0.138
4941,0.0611
75500,0.1878
69775,0.1372
28854,0.138
41202,0.2804
99999,0.597
19889,0.138
71850,0.138
15485,0.138
88641,0.138
98372,0.138
84762,0.3046
884,0.138
9142,0.1942
70128,0.0739
272,0.1388
64758,0.138
50225,0.1909
25950,0.138
82522,0.216
29519,0.138
17657,0.1481
93509,0.1381
30801,0.138
67344,0.0919
62510,0.138
3486,0.138
33879,0.1335
27891,0.1471
97549,0.1255
92812,0.0763
2524,0.144
36328,0.1437
59764,0.146
11321,0.138
24946,0.138
22323,0.138
63016,0.4588
88451,0.1463
41680,0.2615
80370,0.0752
25107,0.138
88022,0.138
74471,0.136
97006,0.1401
30697,0.1441
75379,0.1112
53983,0.138
48173,0.138
14548,0.138
42746,0.3143
68563,0.1361
80967,0.1368
33802,0.1378
88247,0.1172
45316,0.138
30467,0.7447
14269,0.0592
73465,0.105
60790,0.1086
24089,0.138
16600,0.138
58378,0.138
98264,0.1391
235,0.138
39014,0.1533
69284,0.0729
15088,0.138
1226,0.138
78789,0.138
91356,0.2929
44509,0.2171
14313,0.138
37485,0.1364
2997,0.4348
45356,0.0953
45934,0.1291
93516,0.1378
45473,0.138
10338,0.1386
31507,0.1306
96548,0.138
66725,0.2535
36132,0.1361
85832,0.138
90985,0.0739
69516,0.1381
44523,0.0542
90738,0.1382
88505,0.1856
80026,0.138
83908,0.135
35554,0.0537
33379,0.1368
15490,0.138
82664,0.0478
865,0.2548
8270,0.138
95606,0.151
64721,0.1295
43545,0.138
10927,0.1115
59916,0.129
65557,0.138
83438,0.2656
32314,0.1021
40054,0.138
62618,0.144
91887,0.138
8907,0.138
78287,0.138
43241,0.138
57177,0.138
77001,0.138
95608,0.1405
63324,0.138
20595,0.0147
7368,0.0586
99704,0.0636
90038,0.138
57782,0.1075
45842,0.0993
53361,0.1683
26783,0.0872
48441,0.0188
70824,0.0911
28609,0.093
72290,0.0879
98885,0.1387
56110,0.138
47657,0.138
63229,0.0736
92220,0.138
98950,0.138
88956,0.138
4396,0.138
28087,0.138
54974,0.1377
46159,0.0156
80115,0.138
91339,0.138
7588,0.138
1260,0.138
56889,0.0618
83787,0.4538
96874,0.138
75745,0.1392
81601,0.1702
71929,0.138
76787,0.138
62804,0.0599
22464,0.1376
91509,0.4047
46854,0.138
49653,0.1446
81312,0.1397
21435,0.2022
53321,0.1526
44230,0.138
6554,0.0471
68480,0.138
59691,0.137
83931,0.1392
54408,0.138
40632,0.1378
53540,0.138
55115,0.1384
71475,0.1382
39065,0.0472
98450,0.146
33927,0.138
4219,0.138
14325,0.4546
37939,0.3283
19736,0.138
79188,0.0758
297,0.133
6775,0.7543
71108,0.1381
65409,0.138
60991,0.1354
86780,0.0492
47005,0.139
28719,0.138
11194,0.138
41389,0.138
55679,0.2156
92441,0.1382
11634,0.2342
35582,0.138
93702,0.138
44188,0.138
76649,0.3024
5179,0.086
40242,0.138
93556,0.138
15453,0.1159
56711,0.1338
65792,0.138
64863,0.3942
40717,0.1144
87025,0.138
77516,0.138
85729,0.1277
69272,0.0719
71794,0.138
63948,0.0297
77829,0.138
683,0.0991
49149,0.182
1960,0.138
7498,0.1387
936,0.1379
50745,0.1112
82290,0.138
28222,0.1294
85987,0.0719
774,0.138
91718,0.138
60520,0.138
40081,0.138
75815,0.1338
62233,0.0421
94048,0.1369
98777,0.1854
90815,0.138
74492,0.138
66061,0.1425
42364,0.1659
5228,0.138
80558,0.1235
15016,0.0981
74946,0.2095
64665,0.1172
40682,0.138
30570,0.138
75675,0.1974
14492,0.138
80398,0.1381
96625,0.138
63767,0.1415
22277,0.1021
72997,0.0744
89747,0.1976
80696,0.1203
18553,0.138
45846,0.1431
24557,0.138
556,0.138
85619,0.138
35254,0.138
25166,0.1536
58885,0.1375
89145,0.138
70240,0.1381
59015,0.138
85110,0.1511
1216,0.1069
85481,0.1383
8186,0.138
10487,0.3217
58863,0.138
39116,0.138
39101,0.1471
1285,0.1275
44768,0.1383
21003,0.138
40579,0.1968
93395,0.138
82598,0.138
21790,0.1359
11,0.1387
80097,0.1387
27365,0.2021
59960,0.138
89835,0.138
3794,0.1076
51049,0.1751
55670,0.138
26552,0.1382
60694,0.138
21390,0.7775
14181,0.2054
75654,0.138
99026,0.3982
46578,0.1366
74954,0.1229
17652,0.2321
48045,0.138
43347,0.2343
8220,0.1379
42557,0.138
56712,0.1378
96863,0.138
1800,0.138
61757,0.0838
22815,0.138
4233,0.138
38358,0.1785
82246,0.1373
55472,0.0822
83396,0.138
67975,0.138
66780,0.0834
29393,0.2228
64357,0.1439
73751,0.1394
87190,0.1015
68913,0.1458
82107,0.1621
64657,0.0909
17119,0.2183
63705,0.1371
82337,0.138
93184,0.138
85148,0.1353
47761,0.137
66911,0.138
