ID_CORRELATIVO,ATTRITION
47411,0.3667
39861,0.3667
38898,0.2667
50927,0.0667
32969,0.0667
89661,0.2667
12197,0.1667
71520,0.3667
59759,0.1333
36743,0.0667
10736,0.0667
5106,0.1
44506,0.2333
47767,0.2667
74686,0.3
63023,0.2333
13584,0.1
317,0.1333
62570,0.1333
68244,0.1667
72881,0.0333
18280,0.1667
70682,0.3667
79902,0.1667
35073,0.2333
84331,0.2333
70921,0.1667
82245,0.1667
17714,0.2333
13993,0.1667
658,0.1333
33916,0.1667
92737,0.1
22844,0.1
93339,0.1667
29572,0.3
24751,0.1667
37862,0.2667
26676,0.1333
8675,0.1667
64245,0.3
57248,0.1333
3531,0.1667
9834,0.1667
74246,0.1
56683,0.1667
16847,0.1333
96617,0.1333
94167,0.1333
42800,0.2667
70106,0.2667
42486,0.2333
78076,0.0333
85819,0.2333
15786,0.1667
61483,0.1333
25630,0.2
22501,0.0667
92447,0.1
13795,0.1
57101,0.0667
55077,0.2
47600,0.1333
5924,0.2
34900,0.1
91990,0.1333
50268,0.2333
66401,0.1333
18014,0.1333
20006,0.1667
55391,0.2667
40304,0.2333
12832,0.2
41746,0.2333
69384,0.1
56225,0.1667
46522,0.0667
59922,0.0667
48609,0.1333
77235,0.2333
8082,0.2333
65539,0.2333
39769,0.3667
96098,0.0667
86925,0.2
53370,0.2
60773,0.2667
47138,0.2333
44098,0.1667
61301,0.1333
38956,0.0333
7585,0.1333
14240,0.1333
49732,0.1333
48849,0.1
72202,0.1
14480,0.2
33035,0.1
43985,0.1333
85217,0.1
8121,0.2333
95484,0.0333
57781,0.1667
85281,0.2
71928,0.1667
79044,0.0667
54020,0.0667
46617,0.2333
3924,0.2333
76379,0.2667
62379,0.0333
80390,0.2667
95214,0.2667
24624,0.1667
89328,0.2
85616,0.3667
84393,0.2667
63954,0.1333
20998,0.0667
42995,0.1667
67212,0.2
95562,0.2
1869,0.1667
81929,0.1333
72552,0.2333
34425,0.1667
83123,0.2
90228,0.2
27741,0.1
53991,0.3667
15167,0.1
29006,0.1667
86461,0.2
22615,0.1
90108,0.3
12561,0.1667
18306,0.1333
78913,0.2667
38785,0.1667
13919,0.1667
59619,0.1667
17801,0.1333
11683,0.0333
50393,0.2333
1414,0.1
49705,0.1333
11495,0.0
74515,0.1667
87870,0.0667
18347,0.1
3854,0.1333
19733,0.1
44194,0.1333
80652,0.1667
22356,0.1333
56887,0.2333
54654,0.1667
81154,0.2333
60139,0.1667
49481,0.1667
13027,0.1333
6073,0.2667
21221,0.0
78849,0.1
98453,0.1
43204,0.0333
49495,0.1667
50040,0.2333
62238,0.2
96941,0.0667
