ID_CORRELATIVO,ATTRITION
47411,0.71822
39861,0.4418
38898,0.03272
50927,0.00222
32969,0.14834
89661,0.41829
12197,0.10503
71520,0.00503
59759,0.81089
36743,0.27558
10736,0.05215
5106,0.5347
44506,0.76379
47767,0.56719
74686,0.03647
63023,0.07079
13584,0.05332
317,0.08968
62570,0.12046
68244,0.01903
72881,0.08642
18280,0.01017
70682,0.00489
79902,0.21518
35073,0.15185
84331,0.05819
70921,0.02234
82245,0.57891
17714,0.0589
13993,0.01212
658,0.83451
33916,0.22907
92737,0.07757
22844,0.10348
93339,0.3824
29572,0.00713
24751,0.84885
37862,0.03766
26676,0.25562
8675,0.08164
64245,0.38676
57248,0.78751
3531,0.00356
9834,0.04666
74246,0.12784
56683,0.05809
16847,0.31601
96617,0.06676
94167,0.05232
42800,0.77553
70106,0.79418
42486,0.3402
78076,0.10884
85819,0.74487
15786,0.22705
61483,0.00638
25630,0.03169
22501,0.04536
92447,0.30499
13795,0.01283
57101,0.06373
55077,0.23809
47600,0.15413
5924,0.91185
34900,0.27624
91990,0.14789
50268,0.71907
66401,0.08626
18014,0.00308
20006,0.22507
55391,0.59451
40304,0.87814
12832,0.23149
41746,0.04728
69384,0.0178
56225,0.69229
46522,0.00827
59922,0.13476
48609,0.12785
77235,0.85446
8082,0.10974
65539,0.00291
39769,0.23466
96098,0.0711
86925,0.94435
53370,0.44809
60773,0.0117
47138,0.34907
44098,0.0031
61301,0.01441
38956,0.03999
7585,0.78547
14240,0.02205
49732,0.04712
48849,0.00382
72202,0.06865
14480,0.56758
33035,0.01092
43985,0.08891
85217,0.00859
8121,0.43006
95484,0.09077
57781,0.13036
85281,0.15876
71928,0.23742
79044,0.00096
54020,0.38115
46617,0.04045
3924,0.52692
76379,0.03396
62379,0.0346
80390,0.12498
95214,0.00415
24624,0.80365
89328,0.02948
85616,0.32211
84393,0.29543
63954,0.56419
20998,0.04645
42995,0.00385
67212,0.16491
95562,0.08228
1869,0.1678
81929,0.05784
72552,0.4143
34425,0.01936
83123,0.39739
90228,0.39563
27741,0.0684
53991,0.01616
15167,0.12079
29006,0.00752
86461,0.09778
22615,0.74415
90108,0.41099
12561,0.29385
18306,0.81734
78913,0.77275
38785,0.07357
13919,0.03855
59619,0.007
17801,0.0176
11683,0.07621
50393,0.82906
1414,0.3364
49705,0.3015
11495,0.13198
74515,0.04753
87870,0.33384
18347,0.01807
3854,0.44614
19733,0.48626
44194,0.12515
80652,0.14839
22356,0.04077
56887,0.01747
54654,0.06523
81154,0.42444
60139,0.03811
49481,0.25482
13027,0.08968
6073,0.0545
21221,0.03457
78849,0.02751
98453,0.02204
43204,0.86672
49495,0.21184
50040,0.15226
62238,0.68057
96941,0.14952
51613,0.37713
28840,0.05498
88334,0.07703
40679,0.80804
91906,0.28073
61997,0.35334
96234,0.1692
35191,0.05899
99214,0.00262
94474,0.18946
70794,0.24194
96104,0.01355
63209,0.00992
78212,0.7752
9699,0.19318
89800,0.01075
52248,0.59131
48960,0.0359
77980,0.74037
58769,0.39985
74585,0.00809
33294,0.02871
93240,0.25129
27238,0.41384
2569,0.81261
51644,0.1091
48318,0.0084
9421,0.25978
77916,0.08694
11814,0.2919
61073,0.29927
64158,0.0007
2805,0.01196
72093,0.15323
48104,0.26288
20668,0.60735
68085,0.02222
63923,0.01299
53517,0.35871
3104,0.3561
99805,0.2634
39359,0.59393
18783,0.01571
15511,0.82983
77153,0.02875
45019,0.31547
85462,0.00852
96718,0.04086
34821,0.85702
22810,0.1334
93544,0.02245
35535,0.04761
65259,0.70006
75047,0.02433
58877,0.2841
64070,0.43509
41996,0.08036
71713,0.25329
38718,0.04194
17155,0.57926
24713,0.07614
62892,0.00657
29011,0.08954
6645,0.0059
41304,0.03277
58739,0.07505
23285,0.11411
48191,0.20601
97795,0.10021
6696,0.50657
64069,0.27971
82691,0.66115
18615,0.54657
62684,0.5427
9287,0.06018
6874,0.11992
22369,0.30935
92953,0.03718
84842,0.0027
28468,0.10523
30792,0.66976
13171,0.43122
17252,0.48643
40297,0.00517
98009,0.06882
15527,0.02218
7383,0.46671
5269,0.23807
31169,0.01173
23713,0.7618
93782,0.13566
33652,0.34315
50852,0.05057
62065,0.00332
58026,0.03069
75285,0.07143
14705,0.33308
47071,0.03317
37161,0.08653
77239,0.02035
24989,0.00143
90966,0.01303
76360,0.4267
94753,0.09029
84592,0.17121
67471,0.24201
41794,0.87237
31485,0.4384
91545,0.05869
53221,0.0031
8201,0.50492
60467,0.24183
68016,0.10182
38784,0.02234
55226,0.04284
65209,0.02019
75408,0.001
85243,0.03099
79788,0.45565
61994,0.01241
79195,0.27564
46240,0.06671
22216,0.72558
70954,0.00076
84807,0.00382
46536,0.1711
36753,0.00702
97859,0.05545
23760,0.08522
85723,0.28352
64710,0.6626
27733,0.01305
81034,0.40804
12401,0.44835
62556,0.55103
93553,0.12715
95020,0.48527
89411,0.02037
49025,0.83252
175,0.06207
41587,0.06345
95452,0.33015
66833,0.15051
35540,0.03658
27054,0.01627
73979,0.41819
86206,0.02168
44847,0.2257
3840,0.81549
61419,0.38818
41064,0.67094
3234,0.80639
48912,0.3877
14659,0.51047
95329,0.35051
48199,0.30004
57661,0.41227
91561,0.0683
98545,0.0012
64053,0.49887
44127,0.02097
19986,0.00555
50281,0.65219
23864,0.02764
10807,0.00065
46633,0.4026
22081,0.67633
58024,0.0058
43243,0.17166
87491,0.01355
8098,0.13165
15691,0.57705
92195,0.50162
89981,0.01104
61666,0.03602
59887,0.24357
72746,0.40031
97844,0.00032
66080,0.04143
35864,0.00125
91618,0.08694
63875,0.01347
12653,0.26464
82407,0.46439
60272,0.0287
45986,0.77687
40088,0.15787
30671,0.01676
47115,0.84353
87106,0.27892
18985,0.11965
78531,0.06468
99309,0.03287
30856,0.01377
57429,0.35514
90844,0.09473
61193,0.04535
61960,0.0927
27310,0.77362
85688,0.00034
13849,0.24351
20923,0.0351
81184,0.2206
92660,0.13194
52780,0.39214
58352,0.00484
84217,0.10466
18894,0.13542
2060,0.03287
49450,0.00872
16422,0.10723
63949,0.0037
14806,0.63829
54228,0.03078
47189,0.00033
52562,0.00856
87245,0.01718
37544,0.15726
30325,0.00421
27069,0.00013
65802,0.0981
64416,0.16548
22027,0.0221
65273,0.6199
28436,0.00365
61160,0.86331
32883,0.14589
64263,0.03141
3036,0.08792
1394,0.02576
15909,0.38887
33028,0.01211
94431,0.02088
54780,0.24228
43674,0.29971
73620,0.00325
75024,0.53583
98242,0.24636
8382,0.37773
9870,0.02821
77482,0.03114
93661,0.56602
61203,0.09552
65157,0.0807
6978,0.02686
17470,0.01096
53031,0.82515
37506,0.08349
5012,0.10324
2994,0.69146
17970,0.02719
78783,0.03705
20016,0.30758
12503,0.63486
61154,0.8187
12861,0.03309
67373,0.27558
48455,0.03399
6505,0.01307
61490,0.6929
54247,0.51259
5795,0.88444
28306,0.38663
85714,0.11455
82657,0.36322
44030,0.04434
65255,0.00251
64927,0.15805
75324,0.61911
6857,0.00378
11287,0.13791
35241,0.08466
34242,0.69298
69085,0.28244
71311,0.00042
36269,0.58192
14738,0.33447
549,0.35128
3479,0.11993
80866,0.74983
92323,0.18383
43887,0.48969
85023,0.07603
97922,0.09976
16440,0.06597
69117,0.7631
25539,0.28166
12828,0.03584
89828,0.03597
25600,0.01381
24291,0.49925
63983,0.7374
67518,0.00959
82104,0.03045
29260,0.00758
40004,0.22024
65199,0.02707
76117,0.00022
93827,0.42735
29395,0.01027
86252,0.3586
40938,0.64166
24209,0.02245
24037,0.25756
80880,0.05523
33040,0.00785
52215,0.0842
38125,0.42367
13173,0.12304
65774,0.21739
16691,0.00901
71372,0.35597
33821,0.08284
90285,0.3515
8425,0.77794
36687,0.20818
78613,0.73289
23269,0.10203
65699,0.07575
99079,0.0531
45348,0.04312
40929,0.40419
3792,0.08071
46357,0.36772
62600,0.26596
23863,0.15806
77937,0.66193
335,0.20559
60070,0.2846
13973,0.02815
45656,0.03915
18176,0.01558
5930,0.00189
86954,0.10673
64225,0.06482
72124,0.03192
2108,0.07625
44109,0.21643
16923,0.02366
70941,0.21277
83294,0.0196
78522,0.88553
95018,0.05717
96818,0.06393
27237,0.02257
84772,0.0499
41563,0.004
73476,0.05119
72352,0.15007
79414,0.24725
60076,0.11902
80745,0.86583
86202,0.32075
16667,0.01004
61215,0.22017
3297,0.4067
3700,0.06631
70352,0.05695
72752,0.86355
16377,0.07732
455,0.01385
16803,0.07357
45698,0.42821
13350,0.27244
76081,0.53935
77878,0.41039
72854,0.14657
36377,0.85112
64828,0.40723
5048,0.27181
20341,0.13253
93214,0.0196
70114,0.0235
22778,0.32462
24111,0.44469
91002,0.82441
41036,0.11806
84784,0.31493
77981,0.09801
62877,0.05582
75883,0.01217
65815,0.60629
9256,0.05954
43407,0.03378
2531,0.03199
27887,0.1579
12062,0.01388
20044,0.57642
65756,0.00319
93096,0.03618
22795,0.292
87212,0.43347
35969,0.25967
16574,0.64079
86765,0.00178
15941,0.12621
90109,0.10561
48087,0.67445
58303,0.24453
94111,0.37309
58882,0.02323
68501,0.49981
15523,0.03149
32550,0.10011
66142,0.04279
34097,0.28113
65169,0.32621
97085,0.60679
56165,0.00195
86685,0.75645
70155,0.02036
94728,0.07967
18780,0.39889
94486,0.30883
39723,0.22282
53398,0.32077
49177,0.14261
61923,0.07529
72622,0.00238
78582,0.95917
55627,0.09863
52808,0.82212
26623,0.14348
68723,0.04847
15319,0.06583
33747,0.07867
73915,0.0683
92776,0.02263
49883,0.59493
98556,0.05966
88865,0.17936
97115,0.03845
54132,0.0166
9554,0.08364
70701,0.06702
5627,0.32005
80129,0.78759
8134,0.01384
69401,0.08539
27103,0.85399
30747,0.03774
83422,0.28044
3842,0.21313
2394,0.07705
6597,0.82703
11139,0.35639
57217,0.0059
3953,0.14063
79429,0.02741
60795,0.01109
56610,0.03912
81632,0.21801
69638,0.72849
86896,0.01239
75514,0.34178
66956,0.95809
70023,0.81139
14775,0.29822
63656,0.16403
86171,0.47841
53818,0.08617
75659,0.57313
60135,0.7287
3003,0.09836
62748,0.59461
48871,0.14053
68081,0.01131
10715,0.03825
18278,0.72293
11112,0.10486
10680,0.78518
39089,0.77791
92019,0.19557
23820,0.06537
28533,0.02662
61946,0.39864
68786,0.15771
50374,0.00782
32563,0.10499
91650,0.00163
54629,0.00512
38213,0.0764
23419,0.09634
5647,0.07869
25369,0.23082
61117,0.74556
90892,0.81078
56964,0.03667
73556,0.93681
21316,0.6392
57187,0.86719
50543,0.04017
92908,0.49051
76663,0.28905
50791,0.26703
42964,0.90583
36473,0.18329
41795,0.10204
3005,0.04866
92387,0.67991
90232,0.04675
87360,0.26541
72062,0.07028
29388,0.0061
90178,0.0283
1090,0.471
22898,0.05836
994,0.72649
74120,0.42257
82594,0.47099
45211,0.19838
83526,0.02325
77504,0.87832
77357,0.00667
94837,0.78083
75345,0.04057
33825,0.00253
67688,0.00032
43567,0.01107
90096,0.01911
84103,0.11633
89217,0.37708
11035,0.29733
73782,0.75151
61029,0.66793
22253,0.0722
71770,0.03905
14851,0.10415
48543,0.02799
53375,0.49445
9239,0.35422
50910,0.03648
7752,0.02418
14390,0.01633
38461,0.06091
29014,0.07729
17962,0.00684
56755,0.03185
82489,0.0151
61481,0.06507
21066,0.06005
38231,0.45196
76306,0.08617
32221,0.43269
86030,0.31602
76070,0.00208
81782,0.01926
43513,0.08906
46218,0.84561
41215,0.10107
88994,0.85037
83879,0.0546
55133,0.22114
97682,0.00987
2168,0.0788
32212,0.01334
73618,0.00114
10805,0.28899
48944,0.02186
37538,0.36567
69219,0.01915
99284,0.70293
17593,0.3286
83733,0.01213
3224,0.01505
19283,0.00964
18719,0.53311
96329,0.29973
47823,0.90517
16869,0.24943
60538,0.63437
49291,0.15877
71079,0.42632
25632,0.7015
62251,0.78204
72780,0.45079
13003,0.07988
40002,0.00992
98765,0.18568
86688,0.71179
58320,0.08409
84383,0.71646
76245,0.0709
93031,0.27804
54534,0.01456
58723,0.03754
36529,0.02811
77541,0.0373
49677,0.00209
76734,0.09687
99838,0.5119
1529,0.07846
30528,0.78176
11220,0.43727
93804,0.10756
58259,0.02585
20339,0.7603
42577,0.01355
23740,0.54751
7391,0.57414
94300,0.05463
81918,0.16601
25894,0.01718
37142,0.01315
88486,0.06259
17974,0.44588
23522,0.50676
60666,0.65038
2482,0.00839
88646,0.01313
82150,0.24102
86468,0.00494
75758,0.75253
35498,0.07598
86662,0.10955
48888,0.66677
86890,0.2562
80800,0.36655
21045,0.02235
2799,0.18495
10916,0.07656
77435,0.40422
27846,0.07332
9054,0.16375
19538,0.0538
19587,0.00141
92929,0.07345
91755,0.00505
35661,0.41051
60771,0.5249
40120,0.0553
889,0.14843
23531,0.5432
16672,0.20877
10823,0.44234
80285,0.06114
81029,0.01183
44604,0.10824
39242,0.14815
26560,0.02542
46806,0.78921
96785,0.00538
24706,0.258
88480,0.02332
57315,0.02752
3446,0.26262
12090,0.18237
97040,0.75012
65462,0.55679
5241,0.07132
97418,0.01147
13258,0.17916
89719,0.67842
68834,0.02399
91152,0.35423
48913,0.24089
3626,0.35545
91685,0.35988
8691,0.78449
30925,0.02842
56825,0.00326
3830,0.04725
30378,0.02601
77994,0.05985
33864,0.8096
2796,0.00385
46336,0.89251
6057,0.04567
14343,0.56683
97320,0.18877
36178,0.09256
53255,0.03283
80715,0.00491
45459,0.18491
14349,0.56356
81802,0.07188
22939,0.00347
46890,0.06931
70172,0.87271
98942,0.56287
69473,0.52669
60799,0.0547
96623,0.24819
66047,0.17369
22722,0.83088
89798,0.07483
52528,0.39628
4092,0.01536
21782,0.0873
98723,0.71638
83686,0.64099
84689,0.02605
50369,0.02126
76171,0.10406
77288,0.85654
46229,0.63974
56531,0.03217
93788,0.00506
25213,0.03229
14288,0.52355
17576,0.10861
72959,0.11545
37382,0.09952
24649,0.24933
62269,0.05165
26285,0.69297
50918,0.82668
21401,0.32426
6804,0.15938
29533,0.83488
78638,0.04954
58557,0.07909
21840,0.00164
62409,0.11875
42474,0.02097
97174,0.27652
982,0.17027
27505,0.61755
22484,0.36526
93301,0.03576
72723,0.17997
33030,0.11518
46652,0.06138
18514,0.57596
91001,0.01322
65553,0.19087
22916,0.07054
7567,0.43544
63483,0.00709
8040,0.06134
83390,0.25522
69635,0.03509
11931,0.27292
17020,0.05147
82996,0.36668
66758,0.01774
25451,0.00525
57816,0.30507
10408,0.43888
17997,0.12689
20809,0.05936
18073,0.82299
69408,0.04902
14232,0.01197
97769,0.16425
44630,0.59118
30025,0.48562
67366,0.35213
47764,0.09501
75613,0.02083
44568,0.3514
5465,0.90956
15822,0.17305
16082,0.27159
63662,0.03427
691,0.00189
26425,0.01235
4526,0.77806
70441,0.14064
71110,0.26957
40833,0.09532
3148,0.08933
12251,0.31666
85596,0.37831
24117,0.08909
54587,0.14491
54958,0.51321
65105,0.1868
88867,0.15227
87042,0.62155
42750,0.09931
47715,0.40083
3195,0.00968
51160,0.0233
76544,0.18256
25862,0.32963
29504,0.04404
5761,0.04202
72804,0.09864
76085,0.7253
87422,0.28148
48691,0.00616
95338,0.07136
94674,0.03016
52769,0.00451
15292,0.4164
62957,0.15891
44601,0.01691
16786,0.29384
26420,0.04229
95549,0.14177
8305,0.24771
31436,0.00295
83200,0.03282
35741,0.27139
26488,0.09716
31316,0.03028
42658,0.02986
33872,0.01006
75688,0.7325
59874,0.35508
66182,0.03258
4113,0.01692
41713,0.14389
49768,0.25285
51713,0.04102
85097,0.38646
76691,0.27986
42735,0.09192
95616,0.10191
98805,0.03679
8170,0.01035
89204,0.00163
3120,0.06118
33883,0.00528
71963,0.07417
89404,0.87581
9847,0.26752
18028,0.02187
