ID_CORRELATIVO,ATTRITION
47411,0.25858
39861,0.65032
38898,0.00344
50927,9e-05
32969,0.1427
89661,0.16031
12197,0.15881
71520,1e-05
59759,0.77607
36743,0.12722
10736,0.02303
5106,0.01483
44506,0.41073
47767,0.08584
74686,0.00269
63023,0.02339
13584,0.004
317,0.02389
62570,0.05693
68244,0.03897
72881,0.00369
18280,0.00409
70682,0.0
79902,0.54245
35073,0.28234
84331,0.06155
70921,0.0166
82245,0.08563
17714,0.02206
13993,0.00135
658,0.99187
33916,0.38865
92737,0.01084
22844,0.00266
93339,0.07516
29572,0.00636
24751,0.94003
37862,0.01024
26676,0.50452
8675,0.10229
64245,0.20926
57248,0.49694
3531,0.00381
9834,0.05134
74246,0.03526
56683,0.00487
16847,0.15109
96617,0.55505
94167,0.10965
42800,0.8645
70106,0.02214
42486,0.06902
78076,0.08359
85819,0.50034
15786,0.0515
61483,3e-05
25630,0.01868
22501,0.0113
92447,0.8464
13795,0.00578
57101,0.00103
55077,0.13121
47600,0.26493
5924,0.92337
34900,0.01926
91990,0.03382
50268,0.32146
66401,0.005
18014,0.00024
20006,0.0662
55391,0.46776
40304,0.99515
12832,0.54983
41746,0.00162
69384,0.01022
56225,0.34129
46522,3e-05
59922,0.02623
48609,0.0255
77235,0.65698
8082,0.06737
65539,0.00184
39769,0.45994
96098,0.02845
86925,0.99944
53370,0.13932
60773,0.26759
47138,0.07945
44098,0.00058
61301,0.03229
38956,0.04011
7585,0.48613
14240,0.15148
49732,2e-05
48849,0.0
72202,0.03839
14480,0.49602
33035,0.0
43985,0.12368
85217,7e-05
8121,0.28298
95484,0.07145
57781,0.06301
85281,0.01442
71928,0.10909
79044,0.00059
54020,0.38729
46617,0.00143
3924,0.76931
76379,0.00074
62379,0.00028
80390,0.18368
95214,0.01759
24624,0.60317
89328,0.00046
85616,0.23728
84393,0.00559
63954,0.00023
20998,0.21941
42995,0.00017
67212,0.00969
95562,0.04571
1869,0.65926
81929,0.12997
72552,0.0972
34425,0.0
83123,0.19822
90228,0.15923
27741,0.06854
53991,0.03466
15167,0.02235
29006,0.00014
86461,0.08786
22615,0.52903
90108,0.01193
12561,0.54929
18306,0.46475
78913,0.69411
38785,0.055
13919,0.00371
59619,0.00111
17801,0.00213
11683,0.07906
50393,0.06287
1414,0.23066
49705,0.0247
11495,0.09124
74515,0.01425
87870,0.43083
18347,0.00044
3854,0.15982
19733,0.33718
44194,0.00736
80652,0.00274
22356,0.00045
56887,6e-05
54654,0.04114
81154,0.10456
60139,0.10888
49481,0.43467
13027,0.02389
6073,0.21338
21221,0.01655
78849,0.01373
98453,0.00457
43204,0.98594
49495,0.09122
50040,0.05275
62238,0.11326
96941,0.16893
51613,0.24799
28840,0.0006
88334,0.11152
40679,0.9152
91906,0.02066
61997,0.68848
96234,0.02979
35191,0.20971
99214,0.00035
94474,0.01101
70794,0.13347
96104,0.00258
63209,0.00095
78212,0.97571
9699,0.12371
89800,0.00024
52248,0.36998
48960,0.02753
77980,0.58151
58769,0.29055
74585,0.03544
33294,0.0039
93240,0.77091
27238,0.27172
2569,0.91563
51644,0.00191
48318,0.00325
9421,0.09757
77916,0.18165
11814,0.22623
61073,0.1216
64158,0.00012
2805,0.00058
72093,0.19807
48104,0.81788
20668,0.46173
68085,1e-05
63923,4e-05
53517,0.70106
3104,0.13639
99805,0.2277
39359,0.4706
18783,0.01259
15511,0.88172
77153,0.0
45019,0.77911
85462,0.02608
96718,0.0005
34821,0.95466
22810,0.16107
93544,0.00339
35535,0.01456
65259,0.69316
75047,0.00298
58877,0.07108
64070,0.18804
41996,0.08903
71713,0.01642
38718,0.04865
17155,0.49116
24713,0.01411
62892,0.00012
29011,0.06716
6645,0.00043
41304,0.03126
58739,0.02021
23285,0.10962
48191,0.00148
97795,0.01532
6696,0.19625
64069,0.02968
82691,0.20478
18615,0.27764
62684,0.48564
9287,0.01186
6874,0.37683
22369,0.09976
92953,0.05083
84842,0.00115
28468,0.06013
30792,0.43216
13171,0.51255
17252,0.14349
40297,0.00069
98009,0.02697
15527,0.03041
7383,0.22271
5269,0.50449
31169,0.04374
23713,0.45397
93782,0.08085
33652,0.14974
50852,0.00237
62065,0.00042
58026,0.00251
75285,0.01856
14705,0.32937
47071,0.04874
37161,0.03867
77239,0.06792
24989,0.00063
90966,0.06151
76360,0.0783
94753,0.00143
84592,0.18858
67471,0.56338
41794,0.95668
31485,0.05011
91545,0.06904
53221,0.00893
8201,0.03231
60467,0.19829
68016,0.11558
38784,0.0
55226,0.00649
65209,0.00052
75408,0.0
85243,0.01772
79788,0.20335
61994,0.0135
79195,0.04266
46240,0.05566
22216,0.65476
70954,0.00015
84807,0.00063
46536,0.87262
36753,0.00108
97859,0.03549
23760,0.08559
85723,0.21785
64710,0.64395
27733,0.0329
81034,0.21046
12401,0.08875
62556,0.47256
93553,0.06864
95020,0.57781
89411,0.0074
49025,0.88548
175,0.00129
41587,0.51057
95452,0.71906
66833,0.03059
35540,0.00197
27054,0.0086
73979,0.17728
86206,0.16119
44847,0.70739
3840,0.5105
61419,0.77254
41064,0.41575
3234,0.75079
48912,0.07672
14659,0.16927
95329,0.11411
48199,0.33143
57661,0.11035
91561,0.0382
98545,0.00451
64053,0.27119
44127,0.00798
19986,0.04457
50281,0.98877
23864,0.09999
10807,0.00045
46633,0.10181
22081,0.19175
58024,0.00343
43243,0.88709
87491,0.00152
8098,0.2028
15691,0.40149
92195,0.45378
89981,5e-05
61666,0.00958
59887,0.04432
72746,0.25619
97844,0.01875
66080,0.0026
35864,0.00584
91618,0.01428
63875,0.01122
12653,0.19142
82407,0.31177
60272,0.28909
45986,0.12392
40088,0.03909
30671,0.00545
47115,0.95459
87106,0.02846
18985,0.04456
78531,0.02286
99309,0.00783
30856,0.00383
57429,0.0864
90844,0.18099
61193,0.01172
61960,0.02016
27310,0.74794
85688,0.0
13849,0.33039
20923,0.00293
81184,0.06728
92660,0.08203
52780,0.22431
58352,0.04783
84217,0.19345
18894,0.01522
2060,0.01431
49450,0.00495
16422,0.24305
63949,0.00014
14806,0.12326
54228,0.01128
47189,0.0
52562,0.00046
87245,0.0003
37544,0.14042
30325,0.00519
27069,1e-05
65802,0.13832
64416,0.00854
22027,0.00028
65273,0.29271
28436,1e-05
61160,0.64477
32883,0.14961
64263,0.20691
3036,5e-05
1394,0.00574
15909,0.05667
33028,0.00099
94431,0.00806
54780,0.03996
43674,0.30413
73620,1e-05
75024,0.69477
98242,0.04983
8382,0.36295
9870,0.00046
77482,0.00148
93661,0.49459
61203,0.02524
65157,0.08383
6978,0.0747
17470,0.00132
53031,0.85835
37506,0.48714
5012,0.04881
2994,0.33844
17970,0.02428
78783,0.00588
20016,0.4457
12503,0.92364
61154,0.77126
12861,0.25016
67373,0.56351
48455,0.05702
6505,7e-05
61490,0.51851
54247,0.96586
5795,0.99785
28306,0.47847
85714,0.07299
82657,0.14228
44030,0.0019
65255,8e-05
64927,0.0611
75324,0.41133
6857,0.00136
11287,0.27674
35241,0.07591
34242,0.56385
69085,0.14496
71311,8e-05
36269,0.15726
14738,0.37413
549,0.33031
3479,0.03051
80866,0.90036
