ID_CORRELATIVO,ATTRITION
47411,1
39861,1
38898,0
50927,0
32969,1
89661,0
12197,1
71520,0
59759,1
36743,1
10736,0
5106,1
44506,0
47767,1
74686,0
63023,1
13584,1
317,1
62570,0
68244,0
72881,1
18280,1
70682,0
79902,1
35073,1
84331,1
70921,0
82245,1
17714,0
13993,0
658,1
33916,1
92737,1
22844,1
93339,1
29572,0
24751,1
37862,0
26676,1
8675,1
64245,1
57248,1
3531,0
9834,1
74246,1
56683,1
16847,1
96617,1
94167,1
42800,1
70106,0
42486,1
78076,0
85819,1
15786,1
61483,0
25630,1
22501,0
92447,1
13795,0
57101,0
55077,1
47600,1
5924,1
34900,1
91990,1
50268,1
66401,1
18014,0
20006,1
55391,1
40304,1
12832,1
41746,1
69384,1
56225,1
46522,0
59922,0
48609,1
77235,1
8082,0
65539,1
39769,1
96098,0
86925,1
53370,1
60773,0
47138,1
44098,1
61301,1
38956,1
7585,1
14240,1
49732,1
48849,0
72202,1
14480,1
33035,1
43985,1
85217,1
8121,1
95484,1
57781,1
85281,1
71928,1
79044,0
54020,1
46617,1
3924,1
76379,1
62379,1
80390,1
95214,1
24624,1
89328,0
85616,1
84393,1
63954,1
20998,1
42995,1
67212,1
95562,1
1869,1
81929,1
72552,1
34425,0
83123,1
90228,1
27741,0
53991,0
15167,1
29006,0
86461,1
22615,1
90108,0
12561,1
18306,1
78913,1
38785,1
13919,1
59619,1
17801,0
11683,0
50393,1
1414,0
49705,0
11495,0
74515,1
87870,0
18347,1
3854,1
19733,0
44194,0
80652,1
22356,1
56887,0
54654,0
81154,1
60139,1
49481,1
13027,1
6073,1
21221,0
78849,1
98453,1
43204,1
49495,1
50040,1
62238,1
96941,0
51613,1
28840,1
88334,1
40679,1
91906,1
61997,1
96234,0
35191,1
99214,0
94474,1
70794,1
96104,1
63209,1
78212,1
9699,0
89800,0
52248,1
48960,1
77980,1
58769,1
74585,0
33294,0
93240,1
27238,1
2569,1
51644,1
48318,1
9421,0
77916,1
11814,1
61073,0
64158,1
2805,1
72093,1
48104,0
20668,1
68085,1
63923,0
53517,1
3104,1
99805,0
39359,1
18783,1
15511,1
77153,0
45019,1
85462,1
96718,1
34821,1
22810,0
93544,1
35535,1
65259,1
75047,0
58877,0
64070,0
41996,1
71713,1
38718,0
17155,1
24713,1
62892,0
29011,0
6645,1
41304,1
58739,1
23285,1
48191,1
97795,1
6696,1
64069,0
82691,1
18615,1
62684,1
9287,0
6874,0
22369,1
92953,0
84842,1
28468,0
30792,1
13171,1
17252,1
40297,1
98009,1
15527,0
7383,1
5269,1
31169,1
23713,1
93782,0
33652,1
50852,0
62065,0
58026,0
75285,1
14705,1
47071,1
37161,1
77239,0
24989,0
90966,0
76360,1
94753,1
84592,0
67471,1
41794,0
31485,1
91545,0
53221,1
8201,1
60467,1
68016,0
38784,1
55226,1
65209,0
75408,0
85243,0
79788,1
61994,0
79195,1
46240,0
22216,1
70954,1
84807,0
46536,1
36753,1
97859,1
23760,0
85723,1
64710,1
27733,1
81034,1
12401,1
62556,1
93553,0
95020,1
89411,0
49025,1
175,0
41587,0
95452,1
66833,0
35540,0
27054,0
73979,1
86206,0
44847,1
3840,1
61419,0
41064,1
3234,1
48912,1
14659,1
95329,1
48199,1
57661,0
91561,1
98545,1
64053,1
44127,1
19986,1
50281,1
23864,1
10807,1
46633,1
22081,1
58024,0
43243,1
87491,0
8098,1
15691,1
92195,1
89981,1
61666,0
59887,1
72746,1
97844,0
66080,0
35864,0
91618,1
63875,0
12653,1
82407,0
60272,0
45986,0
40088,1
30671,0
47115,1
87106,1
18985,0
78531,0
99309,1
30856,1
57429,1
90844,1
61193,0
61960,1
27310,1
85688,0
13849,1
20923,0
81184,1
92660,1
52780,0
58352,0
84217,0
18894,1
2060,0
49450,0
16422,0
63949,0
14806,1
54228,0
47189,0
52562,0
87245,1
37544,0
30325,1
27069,0
65802,1
64416,1
22027,0
65273,1
28436,0
61160,1
32883,1
64263,1
3036,1
1394,1
15909,1
33028,1
94431,0
54780,1
43674,0
73620,1
75024,1
98242,0
8382,1
9870,1
77482,0
93661,0
61203,1
65157,0
6978,0
17470,0
53031,1
37506,0
5012,0
2994,1
17970,0
78783,1
20016,1
12503,1
61154,1
12861,0
