ID_CORRELATIVO,ATTRITION
47411,0.08
39861,0.08
38898,0.16
50927,0.08
32969,0.12
89661,0.2
12197,0.2
71520,0.28
59759,0.04
36743,0.04
10736,0.12
5106,0.2
44506,0.24
47767,0.04
74686,0.32
63023,0.0
13584,0.12
317,0.04
62570,0.24
68244,0.12
72881,0.2
18280,0.12
70682,0.28
79902,0.0
35073,0.12
84331,0.2
70921,0.2
82245,0.12
17714,0.16
13993,0.08
658,0.16
33916,0.24
92737,0.16
22844,0.12
93339,0.2
29572,0.28
24751,0.04
37862,0.2
26676,0.2
8675,0.44
64245,0.24
57248,0.04
3531,0.12
9834,0.0
74246,0.04
56683,0.0
16847,0.08
96617,0.08
94167,0.16
42800,0.16
70106,0.24
42486,0.2
78076,0.12
85819,0.12
15786,0.12
61483,0.28
25630,0.44
22501,0.16
92447,0.08
13795,0.28
57101,0.2
55077,0.32
47600,0.04
5924,0.16
34900,0.08
91990,0.24
50268,0.2
66401,0.08
18014,0.16
20006,0.08
55391,0.0
40304,0.32
12832,0.04
41746,0.2
69384,0.16
56225,0.0
46522,0.04
59922,0.16
48609,0.04
77235,0.12
8082,0.12
65539,0.32
39769,0.08
96098,0.16
86925,0.2
53370,0.08
60773,0.2
47138,0.12
44098,0.16
61301,0.16
38956,0.16
7585,0.0
14240,0.04
49732,0.16
48849,0.24
72202,0.24
14480,0.0
33035,0.12
43985,0.2
85217,0.28
8121,0.0
95484,0.12
57781,0.12
85281,0.16
71928,0.2
79044,0.04
54020,0.04
46617,0.36
3924,0.04
76379,0.24
62379,0.0
80390,0.16
95214,0.36
24624,0.16
89328,0.08
85616,0.08
84393,0.32
63954,0.12
20998,0.04
42995,0.2
67212,0.28
95562,0.12
1869,0.0
81929,0.04
72552,0.24
34425,0.28
83123,0.12
90228,0.12
27741,0.12
53991,0.32
15167,0.0
29006,0.2
86461,0.12
22615,0.12
90108,0.32
12561,0.12
18306,0.24
78913,0.04
38785,0.08
13919,0.0
59619,0.2
17801,0.2
11683,0.0
50393,0.0
1414,0.08
49705,0.24
11495,0.12
74515,0.28
87870,0.32
18347,0.12
3854,0.0
19733,0.0
44194,0.12
80652,0.24
22356,0.08
56887,0.2
54654,0.2
81154,0.24
