ID_CORRELATIVO,ATTRITION
47411,1.0
39861,0.96
38898,0.8
50927,0.88
32969,1.0
89661,0.84
12197,0.8
71520,0.56
59759,0.96
36743,0.76
10736,0.72
5106,0.92
44506,0.84
47767,1.0
74686,0.68
63023,1.0
13584,1.0
317,0.96
62570,0.68
68244,0.64
72881,0.84
18280,0.96
70682,0.52
79902,0.84
35073,0.88
84331,0.88
70921,0.48
82245,1.0
17714,0.56
13993,0.48
658,0.68
33916,1.0
92737,0.88
22844,0.72
93339,0.88
29572,0.56
24751,0.8
37862,0.68
26676,1.0
8675,0.76
64245,1.0
57248,1.0
3531,0.48
9834,0.88
74246,1.0
56683,1.0
16847,1.0
96617,0.92
94167,0.88
42800,1.0
70106,0.84
42486,0.92
78076,0.72
85819,1.0
15786,0.8
61483,0.92
25630,0.84
22501,0.56
92447,0.72
13795,0.64
57101,0.6
55077,0.96
47600,0.8
5924,1.0
34900,0.92
91990,1.0
50268,1.0
66401,0.64
18014,0.92
20006,0.8
55391,0.88
40304,0.84
12832,1.0
41746,1.0
69384,1.0
56225,1.0
46522,0.96
59922,0.72
48609,0.88
77235,1.0
8082,0.88
65539,0.96
39769,1.0
96098,0.6
86925,0.72
53370,1.0
60773,0.56
47138,0.88
44098,0.96
61301,0.88
38956,0.84
7585,1.0
14240,0.88
49732,0.84
48849,0.56
72202,0.68
14480,0.96
33035,0.92
43985,0.76
85217,0.96
8121,0.88
95484,0.68
57781,0.96
85281,1.0
71928,0.76
79044,0.92
54020,1.0
46617,1.0
3924,1.0
76379,0.92
62379,0.96
80390,0.92
95214,0.96
24624,1.0
89328,0.88
85616,1.0
84393,0.84
63954,0.96
20998,0.92
42995,0.88
67212,0.96
95562,0.76
1869,0.88
81929,0.88
72552,0.96
34425,0.44
83123,0.8
90228,0.8
27741,0.64
53991,0.72
15167,0.76
29006,0.6
86461,0.8
22615,0.84
90108,0.88
12561,0.96
18306,0.96
78913,0.76
38785,0.96
13919,1.0
59619,0.8
17801,0.64
11683,0.72
50393,1.0
1414,0.68
49705,0.76
11495,0.72
74515,0.72
87870,0.68
18347,0.84
3854,0.96
19733,0.68
44194,0.76
80652,1.0
22356,0.88
56887,0.96
54654,0.76
81154,0.96
60139,0.92
49481,1.0
13027,0.96
6073,1.0
21221,0.64
78849,0.96
98453,0.68
43204,0.72
49495,0.72
50040,0.96
62238,1.0
96941,0.72
51613,0.96
28840,1.0
88334,1.0
40679,1.0
91906,0.96
61997,1.0
96234,0.72
35191,0.96
99214,0.88
94474,0.96
70794,0.8
96104,0.96
63209,0.68
78212,0.72
9699,0.76
89800,0.92
52248,1.0
48960,1.0
77980,1.0
58769,0.84
74585,0.64
33294,0.68
93240,0.92
27238,1.0
2569,1.0
51644,0.96
48318,0.76
9421,0.8
77916,0.8
11814,0.8
61073,0.84
64158,0.96
2805,1.0
72093,1.0
48104,0.84
20668,0.88
68085,0.92
63923,0.68
53517,0.92
3104,1.0
99805,0.56
39359,1.0
18783,1.0
15511,0.96
77153,0.64
45019,1.0
85462,0.92
96718,0.8
34821,1.0
22810,0.76
93544,1.0
35535,0.8
65259,0.84
75047,0.6
58877,0.72
64070,0.64
41996,1.0
71713,0.8
38718,0.68
17155,1.0
24713,0.76
62892,0.52
29011,0.72
6645,0.92
41304,0.92
58739,0.8
23285,1.0
48191,0.88
97795,0.96
6696,0.92
64069,0.72
82691,1.0
18615,1.0
62684,0.96
9287,0.64
6874,0.52
22369,0.8
92953,0.56
84842,0.92
28468,0.76
30792,0.92
13171,0.96
17252,0.76
40297,0.96
98009,0.68
15527,0.6
7383,0.88
5269,0.8
31169,0.96
23713,1.0
93782,0.8
33652,0.76
50852,0.68
62065,0.44
58026,0.52
75285,0.68
14705,0.72
47071,0.96
37161,0.68
77239,0.84
24989,0.92
90966,0.72
76360,0.96
94753,1.0
84592,0.64
67471,1.0
41794,0.64
31485,0.8
91545,0.8
53221,1.0
8201,0.96
60467,0.92
68016,0.8
38784,0.72
55226,0.92
65209,0.52
75408,0.88
