ID_CORRELATIVO,ATTRITION
47411,0.4369
39861,0.26136
38898,0.0161
50927,0.01775
32969,0.06617
89661,0.27694
12197,0.30908
71520,0.20496
59759,0.12877
36743,0.01129
10736,0.10158
5106,0.12699
44506,0.03265
47767,0.40257
74686,0.50844
63023,0.06629
13584,0.17411
317,0.01764
62570,0.05458
68244,0.34421
72881,0.03999
18280,0.03243
70682,0.01005
79902,0.07983
35073,0.032
84331,0.05466
70921,0.38217
82245,0.30363
17714,0.35601
13993,0.0111
658,0.19857
33916,0.17581
92737,0.2836
22844,0.15599
93339,0.22959
29572,0.01048
24751,0.71363
37862,0.04951
26676,0.1699
8675,0.04342
64245,0.25527
57248,0.02172
3531,0.00339
9834,0.01944
74246,0.07764
56683,0.10282
16847,0.04164
96617,0.22146
94167,0.02729
42800,0.7123
70106,0.78775
42486,0.07857
78076,0.08312
85819,0.19642
15786,0.29887
61483,0.00214
25630,0.04806
22501,0.01135
92447,0.11975
13795,0.05291
57101,0.01429
55077,0.24095
47600,0.20977
5924,0.00377
34900,0.10451
91990,0.03984
50268,0.35331
66401,0.06786
18014,0.00018
20006,0.01874
55391,0.30387
40304,0.46818
12832,0.24178
41746,0.03169
69384,0.07875
56225,0.03329
46522,0.01495
59922,0.04241
48609,0.08779
77235,0.39455
8082,0.19436
65539,0.0174
39769,0.2177
96098,0.00215
86925,0.86683
53370,0.13255
60773,0.18238
47138,0.24657
44098,0.03159
61301,0.15047
38956,0.14452
7585,0.03472
14240,0.08473
49732,0.07241
48849,0.06935
72202,0.01053
14480,0.315
33035,0.03658
43985,0.20187
85217,0.02696
8121,0.22476
95484,0.03206
57781,0.00405
85281,0.3184
71928,0.15516
79044,0.00257
54020,0.0786
46617,0.32701
3924,0.28032
76379,0.27147
62379,0.0501
80390,0.24622
95214,0.02055
24624,0.00022
89328,0.04935
85616,0.1523
84393,0.03054
63954,0.08101
20998,0.13849
42995,0.10691
67212,0.08914
95562,0.15692
1869,0.0
81929,0.34038
72552,0.57387
34425,0.12399
83123,0.1739
90228,0.05674
27741,0.09757
53991,0.0092
15167,0.14542
29006,0.0191
86461,0.23535
22615,0.42074
90108,0.04754
12561,0.24036
18306,0.04455
78913,0.44551
38785,0.48865
13919,0.10282
59619,0.15523
17801,0.36678
11683,0.01432
50393,0.30926
1414,0.15476
49705,0.12863
11495,0.06117
74515,0.18864
87870,0.17674
18347,0.04916
3854,0.26874
19733,0.10312
44194,0.08521
80652,0.23538
22356,0.05281
56887,0.06729
54654,0.38961
81154,0.01988
60139,0.13406
49481,0.2466
13027,0.01764
6073,0.02357
21221,0.1424
78849,0.02072
98453,0.14674
43204,0.02459
49495,0.03648
50040,0.05158
62238,0.27742
96941,0.01034
51613,0.11828
28840,0.46108
88334,0.10386
40679,0.0
91906,0.40238
61997,0.30841
96234,0.0646
35191,0.2097
99214,0.0005
94474,0.38927
70794,0.4573
96104,0.0078
63209,0.07061
78212,0.04968
9699,0.02823
89800,0.01874
52248,0.41385
48960,0.0173
77980,0.00022
58769,0.36539
74585,0.02328
33294,0.01413
93240,0.22109
27238,0.45513
2569,0.00811
51644,0.01476
48318,0.00278
9421,0.12811
77916,0.01698
11814,0.25273
61073,0.29856
64158,0.00045
2805,0.19542
72093,0.17169
48104,0.40225
20668,0.21246
68085,0.34246
63923,0.10806
53517,0.16377
3104,0.00022
99805,0.14973
39359,0.32325
18783,0.00044
15511,0.0354
77153,0.04247
45019,0.25927
85462,0.06787
96718,0.07988
34821,0.02706
22810,0.03006
93544,0.11972
35535,0.07387
65259,0.10331
75047,0.06408
58877,0.05167
64070,0.1031
41996,0.2303
71713,0.28509
38718,0.02142
17155,0.03659
24713,0.31105
62892,0.10466
29011,0.08067
6645,0.01339
41304,0.24375
58739,0.04267
23285,0.18983
48191,0.08136
97795,0.00544
6696,0.15003
64069,0.28162
82691,0.02218
18615,0.41567
62684,0.11504
9287,0.00464
6874,0.12337
22369,0.33261
92953,0.0355
84842,0.07925
28468,0.04795
30792,0.5293
13171,0.3843
17252,0.22461
40297,0.07667
98009,0.0536
15527,0.01379
7383,0.22888
5269,0.19303
31169,0.04201
23713,0.0
93782,0.16662
33652,0.08159
50852,0.10343
62065,0.0
58026,0.00018
75285,0.0315
14705,0.25829
47071,0.03452
37161,0.00993
77239,0.02538
24989,0.0223
90966,0.06685
76360,0.21394
94753,0.10381
84592,0.13937
67471,0.25264
41794,0.10312
31485,0.15421
91545,0.1171
53221,0.00986
8201,0.12289
60467,0.25537
68016,0.27342
38784,0.28824
55226,0.53163
65209,0.01017
75408,0.0541
85243,0.20943
79788,0.24132
61994,0.01112
79195,0.21308
46240,0.2805
22216,0.00022
70954,0.03226
84807,0.01071
46536,0.30144
36753,0.00268
97859,0.01585
23760,0.121
85723,0.09579
64710,0.33911
27733,0.03026
81034,0.41785
12401,0.33363
62556,0.18018
93553,0.07852
95020,0.2679
89411,0.02168
49025,0.14446
175,0.37677
41587,0.11026
95452,0.26958
66833,0.10368
35540,0.22256
27054,0.00934
73979,0.20902
86206,0.08357
44847,0.02439
3840,0.22192
61419,0.14433
41064,0.2856
3234,0.00916
48912,0.20769
14659,0.24449
95329,0.66998
48199,0.34448
57661,0.28487
91561,0.15443
98545,0.01519
64053,0.33717
44127,0.63568
19986,0.09575
50281,0.14401
23864,0.00732
10807,0.01787
46633,0.1237
22081,0.27771
58024,0.02309
43243,0.10158
87491,0.01645
8098,0.0
15691,0.00022
92195,0.08588
89981,0.36292
61666,0.40917
59887,0.28562
72746,0.11386
97844,0.03827
66080,0.07793
35864,0.01916
91618,0.10486
63875,0.00307
12653,0.187
82407,0.15476
60272,0.0934
45986,0.17066
40088,0.32413
30671,0.00056
47115,0.03598
87106,0.06519
18985,0.07183
78531,0.07665
99309,0.04995
30856,0.0058
57429,0.35203
90844,0.33124
61193,0.07595
61960,0.04624
27310,0.03249
85688,0.00182
13849,0.0366
20923,0.30821
81184,0.37279
92660,0.01361
52780,0.32228
58352,0.00655
84217,0.00217
18894,0.41637
2060,0.34694
49450,0.05914
16422,0.01935
63949,0.0312
14806,0.06773
54228,0.02474
47189,0.0
52562,0.06064
87245,0.08746
37544,0.05274
30325,0.14441
27069,0.00151
65802,0.20518
64416,0.29106
22027,0.0164
65273,0.31351
28436,0.07104
61160,0.244
32883,0.26166
64263,0.03144
3036,0.14946
1394,0.04927
15909,0.44837
33028,0.10282
94431,0.16793
54780,0.29565
43674,0.04062
73620,0.05802
75024,0.28114
98242,0.26979
8382,0.00015
9870,0.19784
77482,0.10502
93661,0.15239
61203,0.1004
65157,0.03167
6978,0.0164
17470,0.01779
53031,0.33222
37506,0.03293
5012,0.07006
2994,0.2604
17970,0.08742
78783,0.21061
20016,0.1739
12503,0.11095
61154,0.0
12861,0.35614
67373,0.35791
48455,0.00766
6505,0.0021
61490,0.38289
54247,0.04498
5795,0.04119
28306,0.26604
85714,0.30112
82657,0.3552
44030,0.10849
65255,0.00069
64927,0.01488
75324,0.00893
6857,0.30715
11287,0.36976
35241,0.01924
34242,0.44965
69085,0.16998
71311,0.02683
36269,0.11934
14738,0.22847
549,0.00861
3479,0.03279
80866,0.34091
92323,0.0357
43887,0.35725
85023,0.04672
97922,0.23353
16440,0.11861
69117,0.3024
25539,0.14634
12828,0.23512
89828,0.34123
25600,0.14668
24291,0.12291
63983,0.33714
67518,0.05438
82104,0.0
29260,0.01993
40004,0.17676
65199,0.12541
76117,0.10428
93827,0.23611
29395,0.03025
86252,0.17444
40938,0.31827
24209,0.04786
24037,0.12797
80880,0.00856
33040,0.10165
52215,0.1268
38125,0.60543
13173,0.35198
65774,0.18885
16691,0.01602
71372,0.35194
33821,0.28292
90285,0.1827
8425,0.02837
36687,0.32712
78613,0.08132
23269,0.06785
65699,0.00715
99079,0.04861
45348,0.01157
40929,0.06195
3792,0.04041
46357,0.0405
62600,0.02184
23863,0.26697
77937,0.13074
335,0.34358
60070,0.0038
13973,0.0182
45656,0.03241
18176,0.01267
5930,0.1061
86954,0.01242
64225,0.06217
72124,0.00273
2108,0.10741
44109,0.10771
16923,0.00941
70941,0.02867
83294,0.24157
78522,0.18983
95018,0.04633
96818,0.08552
27237,0.32529
84772,0.07322
41563,0.00158
73476,0.05887
72352,0.14708
79414,0.10656
60076,0.13308
80745,0.11145
86202,0.28025
16667,0.06392
61215,0.01129
3297,0.11881
3700,0.03967
70352,0.05639
72752,0.0988
16377,0.29383
455,0.14466
16803,0.03097
45698,0.464
13350,0.15301
76081,0.30696
77878,0.24489
72854,0.02867
36377,0.24548
64828,0.09077
5048,0.00022
20341,0.36175
93214,0.0264
70114,0.22275
22778,0.28487
24111,0.44392
91002,0.00022
41036,0.32914
84784,0.05001
77981,0.34755
62877,0.05625
75883,0.10899
65815,0.51286
9256,0.06944
43407,0.02673
2531,0.17897
27887,0.04957
12062,0.32941
20044,0.36635
65756,0.02965
93096,0.13271
22795,0.03087
87212,0.7126
35969,0.27504
16574,0.34798
86765,0.00674
15941,0.01411
90109,0.065
48087,0.19554
58303,0.38835
94111,0.26918
58882,0.30824
68501,0.48774
15523,0.05676
32550,0.27551
66142,0.01035
34097,0.15456
65169,0.00535
97085,0.00457
56165,0.09734
86685,0.19228
70155,0.0027
94728,0.00457
18780,0.32197
94486,0.30474
39723,0.08774
53398,0.04924
49177,0.0615
61923,0.03699
72622,0.28068
78582,0.84096
55627,0.08688
52808,0.07785
26623,0.06898
68723,0.00715
15319,0.1353
33747,0.04353
73915,0.12686
92776,0.00634
49883,0.00702
98556,0.44747
88865,0.03034
97115,0.24046
54132,0.10229
9554,0.00993
70701,0.14698
5627,0.20228
80129,0.00022
8134,0.00224
69401,0.03865
27103,0.15111
30747,0.00362
83422,0.44134
3842,0.23272
2394,0.04249
6597,0.00811
11139,0.20135
57217,0.0665
3953,0.15301
79429,0.0222
60795,0.00812
56610,0.13478
81632,0.10024
69638,0.18546
86896,0.00493
75514,0.27044
66956,0.82539
70023,0.00457
14775,0.57164
63656,0.10604
86171,0.2564
53818,0.15199
75659,0.17532
60135,0.67589
3003,0.08201
62748,0.1313
48871,0.05953
68081,0.02544
10715,0.02338
18278,0.17705
11112,0.01646
10680,0.38137
39089,0.09524
92019,0.05758
23820,0.0582
28533,0.20143
61946,0.20665
68786,0.02062
50374,0.07615
32563,0.42231
91650,0.0
54629,0.0031
38213,0.01785
23419,0.11665
5647,0.04531
25369,0.1682
61117,0.09612
90892,0.05436
56964,0.09744
73556,0.00104
21316,0.07409
57187,0.00288
50543,0.15896
92908,0.1446
76663,0.32127
50791,0.23221
42964,0.18252
36473,0.35275
41795,0.09537
3005,0.07399
92387,0.45108
90232,0.08378
87360,0.0801
72062,0.00457
29388,0.01679
90178,0.05244
1090,0.32668
22898,0.05104
994,0.48803
74120,0.03358
82594,0.31767
45211,0.02022
83526,0.28738
77504,0.37242
77357,0.02006
94837,0.02529
75345,0.3769
33825,0.00446
67688,0.01755
43567,0.02462
90096,0.04313
84103,0.10833
89217,0.24489
11035,0.04725
73782,0.4022
61029,0.27334
22253,0.06524
71770,0.36125
14851,0.05894
48543,0.00169
53375,0.18983
9239,0.42894
50910,0.17415
7752,0.00167
14390,0.26841
38461,0.49477
29014,0.19748
17962,0.00188
56755,0.04594
82489,0.00756
61481,0.08153
21066,0.10848
38231,0.18068
76306,0.08864
32221,0.63311
86030,0.11376
76070,0.00503
81782,0.14235
43513,0.00044
46218,0.17241
41215,0.08143
88994,0.04421
83879,0.25709
55133,0.3813
97682,0.02125
2168,0.04645
32212,0.01717
73618,0.02028
10805,0.09532
48944,0.07255
37538,0.07322
69219,0.03843
99284,0.32875
17593,0.20001
83733,0.01079
3224,0.00117
19283,0.01523
18719,0.24566
96329,0.21437
47823,0.88461
16869,0.26103
60538,0.2139
49291,0.26898
71079,0.29686
25632,0.31597
62251,0.42288
72780,0.02867
13003,0.10912
40002,0.00795
98765,0.31783
86688,0.42032
58320,0.1078
84383,0.36425
76245,0.04802
93031,0.23181
54534,0.11239
58723,0.09005
36529,0.06073
77541,0.08068
49677,0.0
76734,0.07228
99838,0.08835
1529,0.30569
