ID_CORRELATIVO,ATTRITION
47411,0.36245
39861,0.65423
38898,0.08522
50927,0.27107
32969,0.43817
89661,0.20151
12197,0.20779
71520,0.00187
59759,0.33421
36743,0.14811
10736,0.0515
5106,0.24666
44506,0.13308
47767,0.3691
74686,0.05268
63023,0.19442
13584,0.45918
317,0.10324
62570,0.10608
68244,0.08939
72881,0.17107
18280,0.19603
70682,0.01683
79902,0.13626
35073,0.1204
84331,0.05136
70921,0.06494
82245,0.25982
17714,0.10422
13993,0.0214
658,0.07843
33916,0.29346
92737,0.29949
22844,0.20638
93339,0.27465
29572,0.00463
24751,0.64854
37862,0.05535
26676,0.45057
8675,0.15163
64245,0.37286
57248,0.51673
3531,0.01945
9834,0.00588
74246,0.11837
56683,0.27331
16847,0.16437
96617,0.16955
94167,0.02452
42800,0.545
70106,0.63929
42486,0.24419
78076,0.16554
85819,0.3754
15786,0.19875
61483,0.01357
25630,0.03757
22501,0.01919
92447,0.27192
13795,0.03268
57101,0.034
55077,0.09068
47600,0.22862
5924,0.57856
34900,0.16334
91990,0.256
50268,0.28634
66401,0.22403
18014,0.04248
20006,0.10386
55391,0.35758
40304,0.38943
12832,0.31888
41746,0.04384
69384,0.29702
56225,0.55054
46522,0.04521
59922,0.08405
48609,0.13057
77235,0.37809
8082,0.05237
65539,0.0194
39769,0.36749
96098,0.13267
86925,0.69134
53370,0.29081
60773,0.03128
47138,0.27607
44098,0.0484
61301,0.05129
38956,0.15054
7585,0.25036
14240,0.06213
49732,0.03559
48849,0.01423
72202,0.13264
14480,0.36761
33035,0.13857
43985,0.16262
85217,0.01649
8121,0.2397
95484,0.12875
57781,0.02232
85281,0.31877
71928,0.12491
79044,0.05413
54020,0.50528
46617,0.10893
3924,0.59957
76379,0.20648
62379,0.12205
80390,0.21399
95214,0.04227
24624,0.55623
89328,0.0273
85616,0.3947
84393,0.1721
63954,0.37118
20998,0.11697
42995,0.15783
67212,0.16081
95562,0.12079
1869,0.01099
81929,0.12481
72552,0.21882
34425,0.0522
83123,0.23558
90228,0.16372
27741,0.10696
53991,0.01992
15167,0.11101
29006,0.01114
86461,0.23038
22615,0.61241
90108,0.12269
12561,0.44526
18306,0.39981
78913,0.29318
38785,0.20914
13919,0.27331
59619,0.14041
17801,0.36586
11683,0.10828
50393,0.37573
1414,0.19546
49705,0.12695
11495,0.18411
74515,0.10377
87870,0.14831
18347,0.10399
3854,0.23893
19733,0.21857
44194,0.14168
80652,0.20197
22356,0.24438
56887,0.09998
54654,0.0437
81154,0.19211
60139,0.14755
49481,0.2886
13027,0.10324
6073,0.03562
21221,0.06989
78849,0.05928
98453,0.16289
43204,0.15699
49495,0.09545
50040,0.26269
62238,0.38205
96941,0.14549
51613,0.27225
28840,0.1012
88334,0.50423
40679,0.53736
91906,0.21871
61997,0.37754
96234,0.07386
35191,0.38386
99214,0.0168
94474,0.09871
70794,0.1631
96104,0.02928
63209,0.09752
78212,0.14833
9699,0.10501
89800,0.0495
52248,0.36621
48960,0.04302
77980,0.5541
58769,0.24361
74585,0.09697
33294,0.05782
93240,0.22489
