ID_CORRELATIVO,ATTRITION
47411,0.44723
39861,0.24055
38898,0.01919
50927,0.02329
32969,0.10135
89661,0.29648
12197,0.27988
71520,0.18729
59759,0.12105
36743,0.0205
10736,0.07478
5106,0.1145
44506,0.04375
47767,0.37002
74686,0.49324
63023,0.05592
13584,0.18219
317,0.0171
62570,0.04563
68244,0.34858
72881,0.04728
18280,0.03675
70682,0.00695
79902,0.07379
35073,0.04121
84331,0.04441
70921,0.39279
82245,0.30057
17714,0.30727
13993,0.01449
658,0.19969
33916,0.18438
92737,0.27097
22844,0.15846
93339,0.21537
29572,0.00784
24751,0.74782
37862,0.05069
26676,0.1556
8675,0.06109
64245,0.2689
57248,0.03369
3531,0.00163
9834,0.01941
74246,0.08559
56683,0.09998
16847,0.0411
96617,0.19056
94167,0.03529
42800,0.75058
70106,0.69786
42486,0.10121
78076,0.08444
85819,0.21682
15786,0.29454
61483,0.00204
25630,0.03913
22501,0.00956
92447,0.11588
13795,0.0482
57101,0.01414
55077,0.18928
47600,0.21609
5924,0.01761
34900,0.13271
91990,0.04509
50268,0.26101
66401,0.08736
18014,0.00042
20006,0.02767
55391,0.29036
40304,0.46694
12832,0.22042
41746,0.02511
69384,0.09227
56225,0.03218
46522,0.0147
59922,0.0383
48609,0.10585
77235,0.35697
8082,0.20571
65539,0.01352
39769,0.22827
96098,0.00547
86925,0.86918
53370,0.15086
60773,0.1802
47138,0.22661
44098,0.02272
61301,0.15592
38956,0.14671
7585,0.04689
14240,0.07033
49732,0.06339
48849,0.07633
72202,0.01554
14480,0.31089
33035,0.02364
43985,0.17691
85217,0.01638
8121,0.23684
95484,0.04283
57781,0.0024
85281,0.3097
71928,0.14593
79044,0.00212
54020,0.10635
46617,0.23411
3924,0.26494
76379,0.27052
62379,0.04702
80390,0.25806
95214,0.01983
24624,0.01218
89328,0.06329
85616,0.17678
84393,0.05225
63954,0.07314
20998,0.10008
42995,0.08195
67212,0.10705
95562,0.1437
1869,0.00128
81929,0.28868
72552,0.47883
34425,0.09994
83123,0.18538
90228,0.06165
27741,0.08078
53991,0.00707
15167,0.1879
29006,0.01815
86461,0.23702
22615,0.38104
90108,0.04832
12561,0.24382
18306,0.05488
78913,0.40332
38785,0.47153
13919,0.09998
59619,0.13123
17801,0.36237
11683,0.01649
50393,0.29974
1414,0.17596
49705,0.10723
11495,0.05572
74515,0.16329
87870,0.16703
18347,0.05459
3854,0.23936
19733,0.10311
44194,0.08325
80652,0.24984
22356,0.04817
56887,0.07122
54654,0.40106
81154,0.02214
60139,0.12834
49481,0.24504
13027,0.0171
6073,0.02736
21221,0.13505
78849,0.01361
98453,0.11416
43204,0.03602
49495,0.04008
50040,0.07019
62238,0.26992
96941,0.01399
51613,0.14103
28840,0.35212
88334,0.09193
40679,0.00325
91906,0.37156
61997,0.26841
96234,0.04966
35191,0.20728
99214,0.00174
94474,0.25196
70794,0.34714
96104,0.01211
63209,0.06839
78212,0.054
9699,0.01897
89800,0.02177
52248,0.39988
48960,0.01911
77980,0.01274
58769,0.35221
74585,0.01885
33294,0.00834
93240,0.21925
27238,0.52029
2569,0.01839
51644,0.0261
48318,0.00361
9421,0.1112
77916,0.02372
11814,0.21508
61073,0.29102
64158,0.00075
2805,0.18853
72093,0.15946
48104,0.38003
20668,0.20199
68085,0.32422
63923,0.1013
53517,0.15235
3104,0.01218
99805,0.1677
39359,0.27586
18783,0.00182
15511,0.03322
77153,0.0381
45019,0.24611
85462,0.07199
96718,0.06209
34821,0.03775
22810,0.04125
93544,0.11794
35535,0.07989
65259,0.11387
75047,0.05584
58877,0.07156
64070,0.09071
41996,0.22099
71713,0.26624
38718,0.02686
17155,0.07192
24713,0.32834
62892,0.10259
29011,0.09291
6645,0.01515
41304,0.21365
58739,0.06208
23285,0.19315
