ID_CORRELATIVO,ATTRITION
47411,0.51379
39861,0.60361
38898,0.08551
50927,0.0877
32969,0.46114
89661,0.15084
12197,0.05664
71520,0.05249
59759,0.2323
36743,0.1365
10736,0.01355
5106,0.03648
44506,0.05112
47767,0.65418
74686,0.02076
63023,0.08961
13584,0.44112
317,0.02852
62570,0.08701
68244,0.03029
72881,0.08138
18280,0.09985
70682,0.01226
79902,0.13345
35073,0.06848
84331,0.14539
70921,0.04241
82245,0.20076
17714,0.03487
13993,0.00905
658,0.2007
33916,0.23154
92737,0.45783
22844,0.16682
93339,0.15753
29572,0.01056
24751,0.78659
37862,0.07221
26676,0.35175
8675,0.07877
64245,0.73435
57248,0.70654
3531,0.0064
9834,0.00994
74246,0.13045
56683,0.27231
16847,0.09235
96617,0.05454
94167,0.05337
42800,0.74344
70106,0.31137
42486,0.10227
78076,0.08388
85819,0.65606
15786,0.14611
61483,0.01035
25630,0.02207
22501,0.01084
92447,0.18767
13795,0.00799
57101,0.02056
55077,0.00986
47600,0.21223
5924,0.90474
34900,0.12059
91990,0.30359
50268,0.73125
66401,0.06642
18014,0.00959
20006,0.1322
55391,0.39668
40304,0.40062
12832,0.49469
41746,0.01703
69384,0.24058
56225,0.68692
46522,0.01027
59922,0.05657
48609,0.0534
77235,0.70075
8082,0.15112
65539,0.00293
39769,0.61915
96098,0.11982
86925,0.91778
53370,0.28589
60773,0.05191
47138,0.1721
44098,0.01074
61301,0.11325
38956,0.12655
7585,0.36596
14240,0.16201
49732,0.01002
48849,0.00419
72202,0.11342
14480,0.17834
33035,0.09414
43985,0.14241
85217,0.00401
8121,0.30565
95484,0.08135
57781,0.01464
85281,0.26505
71928,0.08228
79044,0.00718
54020,0.54982
46617,0.0098
3924,0.52168
76379,0.10092
62379,0.06852
80390,0.14445
95214,0.00323
24624,0.7831
89328,0.0086
85616,0.4016
84393,0.07146
63954,0.33564
20998,0.13214
42995,0.0447
67212,0.16203
95562,0.10878
1869,0.02935
81929,0.26739
72552,0.0235
34425,0.02396
83123,0.23282
90228,0.14594
27741,0.08261
53991,0.0138
15167,0.13826
29006,0.03052
86461,0.25378
22615,0.33654
90108,0.09056
12561,0.2488
18306,0.67733
78913,0.42977
38785,0.03973
13919,0.27231
59619,0.05296
17801,0.04628
11683,0.06208
50393,0.62499
1414,0.26008
49705,0.04259
11495,0.0894
74515,0.02383
87870,0.22175
18347,0.00619
3854,0.30417
19733,0.20107
44194,0.07533
80652,0.07746
22356,0.03723
56887,0.01766
54654,0.05907
81154,0.06908
60139,0.14211
49481,0.16964
13027,0.02852
