ID_CORRELATIVO,ATTRITION
47411,0.171
39861,0.2176
38898,0.1268
50927,0.0108
32969,0.1212
89661,0.1237
12197,0.0996
71520,0.0128
59759,0.1072
36743,0.1314
10736,0.0194
5106,0.0299
44506,0.013
47767,0.6922
74686,0.028
63023,0.0084
13584,0.1512
317,0.0568
62570,0.0749
68244,0.0172
72881,0.0638
18280,0.0152
70682,0.0092
79902,0.0815
35073,0.131
84331,0.1726
70921,0.0021
82245,0.529
17714,0.0375
13993,0.0183
658,0.0738
33916,0.7333
92737,0.3592
22844,0.1534
93339,0.3521
29572,0.0016
24751,0.7417
37862,0.0602
26676,0.1571
8675,0.0618
64245,0.1977
57248,0.4617
3531,0.0047
9834,0.0014
74246,0.1378
56683,0.2809
16847,0.1479
96617,0.0891
94167,0.0465
42800,0.1579
70106,0.0421
42486,0.0679
78076,0.0811
85819,0.4122
15786,0.1751
61483,0.0046
25630,0.0484
22501,0.0353
92447,0.2112
13795,0.019
57101,0.0078
55077,0.0018
47600,0.3354
5924,0.8203
34900,0.0109
91990,0.7639
50268,0.8049
66401,0.1869
18014,0.0176
20006,0.0516
55391,0.7235
40304,0.3614
12832,0.643
41746,0.0032
69384,0.4662
56225,0.2488
46522,0.0025
59922,0.039
48609,0.086
77235,0.4015
8082,0.1996
65539,0.0031
39769,0.3641
96098,0.0547
86925,0.9597
53370,0.3351
60773,0.14
47138,0.1104
44098,0.0044
61301,0.0749
38956,0.077
7585,0.3167
14240,0.0433
49732,0.0066
48849,0.0004
72202,0.0833
14480,0.0973
33035,0.152
43985,0.123
85217,0.0018
8121,0.4621
95484,0.0976
57781,0.0051
85281,0.195
71928,0.0851
79044,0.0039
54020,0.234
46617,0.0018
3924,0.7039
76379,0.1472
62379,0.0623
80390,0.032
95214,0.0007
24624,0.3839
89328,0.0038
85616,0.1418
84393,0.0318
63954,0.4636
20998,0.2949
42995,0.1065
67212,0.5656
95562,0.0686
1869,0.0197
81929,0.1638
72552,0.0153
34425,0.0093
83123,0.6062
90228,0.3125
27741,0.086
53991,0.0042
15167,0.0517
29006,0.007
86461,0.3187
22615,0.8385
90108,0.0073
12561,0.2357
18306,0.4922
78913,0.4999
38785,0.035
13919,0.2646
59619,0.0153
17801,0.0397
11683,0.0507
50393,0.3633
1414,0.3063
49705,0.0521
11495,0.1477
74515,0.0402
87870,0.1726
18347,0.0378
3854,0.339
19733,0.0958
44194,0.0592
80652,0.3146
22356,0.0129
56887,0.0098
54654,0.0113
81154,0.0159
60139,0.1727
49481,0.2101
13027,0.0648
6073,0.0283
21221,0.0294
78849,0.0002
98453,0.0436
43204,0.3664
49495,0.1023
50040,0.1679
62238,0.6986
96941,0.2617
51613,0.4158
28840,0.0571
88334,0.1926
