ID_CORRELATIVO,ATTRITION
47411,0.2979
39861,0.5486
38898,0.1065
50927,0.2134
32969,0.4457
89661,0.2367
12197,0.1845
71520,0.0023
59759,0.3191
36743,0.1352
10736,0.0731
5106,0.1943
44506,0.1818
47767,0.338
74686,0.0488
63023,0.1981
13584,0.4487
317,0.1336
62570,0.0877
68244,0.0911
72881,0.1484
18280,0.2082
70682,0.0163
79902,0.1185
35073,0.1344
84331,0.0712
70921,0.0855
82245,0.2309
17714,0.0682
13993,0.0187
658,0.1233
33916,0.2797
92737,0.1771
22844,0.11
93339,0.2496
29572,0.0045
24751,0.56
37862,0.0458
26676,0.3419
8675,0.1292
64245,0.317
57248,0.5087
3531,0.0155
9834,0.0076
74246,0.1165
56683,0.2734
16847,0.1745
96617,0.116
94167,0.0287
42800,0.5121
70106,0.5398
42486,0.2331
78076,0.1679
85819,0.3488
15786,0.2034
61483,0.0094
25630,0.0399
22501,0.018
92447,0.2823
13795,0.0195
57101,0.0722
55077,0.1114
47600,0.2368
5924,0.5502
34900,0.1774
91990,0.2349
50268,0.2438
66401,0.1924
18014,0.0133
20006,0.1364
55391,0.3646
40304,0.467
12832,0.2812
41746,0.0567
69384,0.2605
56225,0.526
46522,0.0371
59922,0.0725
48609,0.1905
77235,0.3435
8082,0.0218
65539,0.0221
39769,0.3276
96098,0.1115
86925,0.5492
53370,0.2491
60773,0.028
47138,0.3142
44098,0.0544
61301,0.0412
38956,0.1475
7585,0.1981
14240,0.0707
49732,0.0311
48849,0.0131
72202,0.1032
14480,0.3966
33035,0.1231
43985,0.1851
85217,0.0105
8121,0.1899
95484,0.1044
57781,0.0288
85281,0.2613
71928,0.1243
79044,0.0692
54020,0.5249
46617,0.1229
3924,0.5189
76379,0.1442
62379,0.138
80390,0.3112
95214,0.0667
24624,0.5493
89328,0.0354
85616,0.3199
84393,0.2015
63954,0.3749
20998,0.1529
42995,0.1417
67212,0.1825
95562,0.1174
1869,0.0105
81929,0.1337
72552,0.2643
34425,0.0477
83123,0.2398
90228,0.1819
27741,0.1316
53991,0.0242
15167,0.0815
29006,0.0185
86461,0.218
22615,0.5529
90108,0.1721
12561,0.3792
18306,0.4127
78913,0.244
38785,0.2679
13919,0.2684
59619,0.1938
17801,0.3019
11683,0.0905
50393,0.301
1414,0.2126
49705,0.129
11495,0.1899
74515,0.1179
87870,0.1318
18347,0.1328
3854,0.2845
19733,0.1719
44194,0.1023
80652,0.2733
22356,0.2824
56887,0.0868
54654,0.0634
81154,0.1597
60139,0.1209
49481,0.2314
13027,0.1336
6073,0.0438
21221,0.0636
78849,0.0602
98453,0.1235
43204,0.1623
49495,0.0976
50040,0.1563
62238,0.3698
96941,0.1547
51613,0.2934
28840,0.0946
88334,0.4513
40679,0.5184
91906,0.2385
61997,0.3262
96234,0.0727
35191,0.27
99214,0.0139
94474,0.1203
70794,0.1679
96104,0.0367
63209,0.0922
78212,0.1554
9699,0.1338
89800,0.061
52248,0.31
48960,0.0259
77980,0.5483
58769,0.2574
74585,0.0802
33294,0.0705
93240,0.1906
27238,0.557
2569,0.4741
51644,0.1665
48318,0.0263
9421,0.2271
77916,0.1415
11814,0.1546
61073,0.1987
64158,0.0134
2805,0.0313
72093,0.3222
48104,0.0984
20668,0.2413
68085,0.0627
63923,0.1027
53517,0.1562
3104,0.5337
99805,0.1906
39359,0.2556
18783,0.0608
15511,0.4594
77153,0.0265
45019,0.3238
85462,0.0525
96718,0.0246
34821,0.3922
22810,0.1128
93544,0.2505
35535,0.1256
65259,0.44
