ID_CORRELATIVO,ATTRITION
47411,0.9992
39861,0.9992
38898,0.1379
50927,0.9943
32969,0.9903
89661,0.9981
12197,0.9937
71520,0.0
59759,0.995
36743,0.9741
10736,0.0004
5106,0.9724
44506,0.0
47767,0.9999
74686,0.9972
63023,0.9838
13584,0.9923
317,0.2329
62570,0.9567
68244,1.0
72881,0.6028
18280,0.9984
70682,0.0011
79902,0.1319
35073,1.0
84331,0.0006
70921,0.9982
82245,0.9995
17714,0.0388
13993,0.0007
658,0.0005
33916,0.1106
92737,0.9964
22844,0.6894
93339,0.9997
29572,0.0002
24751,0.9999
37862,0.0003
26676,0.9319
8675,0.5662
64245,0.9997
57248,0.9897
3531,0.0006
9834,0.1876
74246,0.9985
56683,1.0
16847,0.8408
96617,0.9997
94167,0.4536
42800,0.9979
70106,1.0
42486,0.9987
78076,0.2052
85819,0.9999
15786,1.0
61483,0.0163
25630,0.0198
22501,0.0024
92447,1.0
13795,0.0007
57101,0.1477
55077,0.994
47600,0.9783
5924,0.999
34900,0.9984
91990,0.9983
50268,0.999
66401,0.9994
18014,0.0713
20006,0.9998
55391,0.0004
40304,0.9991
12832,0.9969
41746,0.0012
69384,0.9997
56225,0.9919
46522,0.1024
59922,0.9846
48609,0.2558
77235,0.9999
8082,0.0608
65539,0.0651
39769,0.9998
96098,0.0235
86925,1.0
53370,0.9997
60773,0.0006
47138,0.9997
44098,0.0008
61301,0.9997
38956,0.8379
7585,0.9988
14240,0.2572
49732,0.2397
48849,0.001
72202,0.5201
14480,0.6374
33035,0.6661
43985,0.0005
85217,0.0005
8121,0.8976
95484,0.684
57781,0.2857
85281,1.0
71928,1.0
79044,0.985
54020,0.9993
46617,0.9868
3924,1.0
76379,0.9796
62379,0.1536
80390,0.8384
95214,0.4798
24624,0.9984
89328,0.0049
85616,1.0
84393,0.8778
63954,0.9812
20998,0.5216
42995,0.9888
67212,0.9986
95562,0.9996
1869,0.3269
81929,0.379
72552,0.9483
34425,0.0129
83123,0.0663
90228,0.8544
27741,0.0511
53991,0.0003
15167,0.9914
29006,0.2105
86461,0.0855
22615,0.9999
90108,0.0
12561,0.9932
18306,0.9999
78913,0.9998
38785,0.9636
13919,0.9999
59619,0.0002
17801,0.9941
11683,0.9998
50393,0.9991
1414,0.99
49705,1.0
11495,0.0085
74515,0.002
87870,0.1395
18347,0.9761
3854,0.995
19733,0.9881
44194,0.997
80652,0.6213
22356,0.8934
56887,0.3365
54654,0.0001
81154,0.9342
60139,0.9099
49481,0.9995
13027,0.272
6073,0.4298
21221,0.0035
78849,0.9808
98453,0.9924
43204,0.4698
49495,0.9579
50040,1.0
62238,0.9961
96941,0.0523
51613,1.0
28840,0.0012
88334,0.9985
40679,0.9916
91906,0.7926
61997,0.9997
96234,0.9999
35191,1.0
99214,0.57
94474,0.9935
70794,0.9948
96104,0.0565
63209,0.6358
78212,0.4532
9699,0.9997
89800,0.0011
52248,0.9997
48960,0.0271
77980,0.9988
58769,0.0685
74585,0.062
33294,0.1587
93240,0.9316
27238,0.9998
2569,0.9991
51644,0.8763
48318,0.8161
9421,0.9726
77916,0.9999
11814,0.9064
61073,1.0
64158,0.2366
2805,0.0125
72093,0.9999
48104,0.1991
20668,0.0633
68085,0.0004
63923,0.0
53517,1.0
3104,0.9942
99805,0.993
39359,0.0465
18783,0.1269
15511,1.0
77153,0.0005
45019,0.9378
85462,0.72
96718,0.1815
34821,0.9864
22810,0.9997
93544,0.9999
35535,0.4497
65259,0.9999
75047,0.0003
58877,0.9144
64070,0.9927
41996,0.0039
71713,0.9963
38718,0.027
17155,0.9994
24713,0.4014
62892,0.0085
29011,0.0014
6645,0.9951
41304,0.0002
58739,0.8977
23285,0.9826
48191,0.9906
97795,0.3596
6696,0.9996
64069,0.996
82691,0.9997
18615,0.9809
62684,0.9638
9287,0.9241
6874,0.2054
22369,0.9997
92953,0.101
84842,0.001
28468,0.5303
30792,0.9994
13171,0.9127
17252,0.0537
40297,0.864
98009,0.9476
15527,0.0645
7383,0.9991
5269,0.0014
31169,0.434
23713,0.9937
93782,0.9997
33652,0.9997
50852,0.0082
62065,0.0001
58026,0.0025
75285,0.5785
14705,0.8239
47071,0.3015
37161,0.3808
77239,0.0072
24989,0.0024
90966,0.0015
76360,1.0
94753,0.9908
84592,0.8356
67471,0.4201
41794,0.9971
31485,0.9997
91545,0.9999
53221,0.0001
8201,0.9998
60467,0.9971
68016,0.0001
38784,0.0
55226,0.0029
65209,0.0068
75408,0.0003
85243,0.001
79788,0.0561
61994,0.0278
79195,0.9979
46240,0.0068
22216,0.9989
70954,0.9999
84807,0.0015
46536,1.0
36753,0.2154
97859,0.7674
23760,0.002
85723,1.0
64710,0.9125
27733,0.163
81034,0.7652
12401,1.0
62556,0.9996
93553,0.3203
95020,0.0415
89411,0.0013
49025,0.9999
175,0.0237
41587,0.998
95452,1.0
66833,0.9905
35540,0.0061
27054,0.1382
73979,0.9996
86206,0.003
44847,0.9851
3840,0.9996
61419,0.9999
41064,0.9996
3234,0.998
48912,0.9985
14659,0.9993
95329,0.997
48199,0.6996
57661,1.0
91561,0.1657
98545,0.2405
64053,0.999
44127,0.9896
19986,0.9602
50281,0.9994
23864,0.2714
10807,0.0043
46633,0.9584
22081,0.9996
58024,0.0735
43243,1.0
87491,0.0463
8098,0.3013
15691,0.9847
92195,0.9009
89981,0.9989
61666,0.001
59887,0.6603
72746,0.9999
97844,0.169
66080,0.0116
35864,0.0014
91618,0.1907
63875,0.1547
12653,0.8381
82407,0.9987
60272,0.0007
45986,0.2045
40088,0.9653
30671,0.0032
47115,0.0072
87106,0.9936
18985,0.0105
78531,0.0005
99309,0.7617
30856,0.0795
57429,0.852
90844,0.0106
61193,0.2157
61960,0.9999
27310,1.0
85688,0.0029
13849,0.9966
20923,0.0109
81184,0.9981
92660,0.9999
52780,1.0
58352,0.0056
84217,0.0896
18894,0.9987
2060,0.9981
49450,0.0007
16422,0.0615
63949,0.451
14806,0.9999
54228,0.0001
47189,0.0001
52562,0.0059
