ID_CORRELATIVO,ATTRITION
47411,0.5656
39861,0.9133
38898,0.6075
50927,0.6157
32969,0.5528
89661,0.0341
12197,0.5327
71520,0.0072
59759,0.0216
36743,0.1536
10736,0.1565
5106,0.0021
44506,0.0834
47767,0.4485
74686,0.5012
63023,0.0405
13584,0.6226
317,0.0172
62570,0.17
68244,0.4871
72881,0.0075
18280,0.0169
70682,0.9837
79902,0.294
35073,0.2361
84331,0.6421
70921,0.102
82245,0.9691
17714,0.0057
13993,0.1578
658,0.7381
33916,0.8773
92737,0.0077
22844,0.0744
93339,0.7496
29572,0.0
24751,0.9654
37862,0.0325
26676,0.2603
8675,0.0881
64245,0.4312
57248,0.1304
3531,0.0211
9834,0.0054
74246,0.012
56683,0.7259
16847,0.0388
96617,0.7892
94167,0.0017
42800,0.8928
70106,0.0092
42486,0.0138
78076,0.5086
85819,0.4462
15786,0.9048
61483,0.0046
25630,0.0403
22501,0.6216
92447,0.3007
13795,0.0111
57101,0.0962
55077,0.0038
47600,0.0944
5924,0.9807
34900,0.0375
91990,0.843
50268,0.9596
66401,0.1011
18014,0.0
20006,0.0317
55391,0.6401
40304,0.6201
12832,0.2191
41746,0.0663
69384,0.2118
56225,0.2682
46522,0.0
59922,0.1846
48609,0.0197
77235,0.457
8082,0.0005
65539,0.0001
39769,0.466
96098,0.1356
86925,0.9935
53370,0.4946
60773,0.4483
47138,0.0953
44098,0.0001
61301,0.0257
38956,0.6875
7585,0.3438
14240,0.0469
49732,0.002
48849,0.0077
72202,0.5184
14480,0.4801
33035,0.007
43985,0.24
85217,0.0021
8121,0.9007
95484,0.5409
57781,0.0002
85281,0.9583
71928,0.8579
79044,0.0035
54020,0.7185
46617,0.0014
3924,0.9219
76379,0.0243
62379,0.1017
80390,0.0101
95214,0.0115
24624,0.7466
89328,0.0465
85616,0.9109
84393,0.0132
63954,0.0676
20998,0.0967
42995,0.0145
67212,0.7512
95562,0.0164
1869,0.0
81929,0.3909
72552,0.0329
34425,0.1038
83123,0.5
90228,0.0377
27741,0.8044
53991,0.0121
15167,0.0493
29006,0.1494
86461,0.3956
22615,0.5414
90108,0.0145
12561,0.0236
18306,0.7362
78913,0.887
38785,0.0925
13919,0.4619
59619,0.6152
17801,0.1012
11683,0.0717
50393,0.5446
1414,0.2873
49705,0.0016
11495,0.5912
74515,0.0249
87870,0.5843
18347,0.0047
3854,0.5439
19733,0.0596
44194,0.0866
80652,0.1159
22356,0.0021
56887,0.0007
54654,0.3733
81154,0.0217
60139,0.0388
49481,0.0948
13027,0.0425
6073,0.0496
21221,0.0161
78849,0.0003
98453,0.0292
43204,0.9842
49495,0.3699
50040,0.5232
62238,0.8023
96941,0.974
51613,1.0
28840,0.0
88334,0.2023
40679,0.6502
91906,0.0001
61997,0.9111
96234,0.3211
35191,0.2134
99214,0.0002
94474,0.0002
70794,0.0441
96104,0.0005
63209,0.0818
78212,0.9702
9699,0.0762
89800,0.023
52248,0.3652
48960,0.0216
77980,0.909
58769,0.8477
74585,0.0
33294,0.0051
93240,0.8605
27238,0.9642
2569,0.251
51644,0.0529
48318,0.7198
9421,0.0128
77916,0.0808
11814,0.5574
61073,0.3936
64158,0.0004
2805,0.0104
72093,0.462
48104,0.4679
20668,0.5803
68085,0.3504
63923,0.547
53517,0.0237
3104,0.7671
99805,0.1011
39359,0.6778
18783,0.022
15511,0.7537
77153,0.0197
45019,0.5443
85462,0.0
96718,0.001
34821,0.7697
22810,0.199
93544,0.2366
35535,0.3695
65259,0.2009
75047,0.3286
58877,0.1808
64070,0.4035
41996,0.2348
71713,0.2406
38718,0.0101
17155,0.7739
24713,0.0001
62892,0.0034
29011,0.2119
6645,0.0723
41304,0.9721
58739,0.8719
23285,0.0557
48191,0.9225
97795,0.0451
6696,0.0408
64069,0.0668
82691,0.6269
18615,0.8875
62684,0.1977
9287,0.133
6874,0.4106
22369,0.6706
92953,0.2482
84842,0.1772
28468,0.8137
30792,0.1209
13171,0.8667
17252,0.3426
40297,0.0002
98009,0.0065
