ID_CORRELATIVO,ATTRITION
47411,0.014
39861,0.044
38898,0.0353
50927,0.0885
32969,0.1266
89661,0.0154
12197,0.1138
71520,0.0025
59759,0.0769
36743,0.056
10736,0.0011
5106,0.0047
44506,0.0042
47767,0.2597
74686,0.0228
63023,0.0116
13584,0.2518
317,0.0585
62570,0.011
68244,0.0295
72881,0.0154
18280,0.0137
70682,0.0211
79902,0.0368
35073,0.0604
84331,0.1916
70921,0.14
82245,0.3328
17714,0.0232
13993,0.0076
658,0.4642
33916,0.5944
92737,0.3552
22844,0.0077
93339,0.0399
29572,0.0542
24751,0.5162
37862,0.039
26676,0.0945
8675,0.0964
64245,0.1895
57248,0.0513
3531,0.0046
9834,0.0017
74246,0.1371
56683,0.087
16847,0.1667
96617,0.2985
94167,0.0229
42800,0.083
70106,0.0172
42486,0.0306
78076,0.0719
85819,0.0496
15786,0.1447
61483,0.001
25630,0.0292
22501,0.0042
92447,0.0082
13795,0.0022
57101,0.0688
55077,0.0011
47600,0.1094
5924,0.2982
34900,0.0285
91990,0.4019
50268,0.9835
66401,0.0764
18014,0.0018
20006,0.0186
55391,0.2042
40304,0.1115
12832,0.2236
41746,0.0065
69384,0.2788
56225,0.0142
46522,0.0004
59922,0.0784
48609,0.0525
77235,0.0906
8082,0.0924
65539,0.0019
39769,0.4966
96098,0.0126
86925,0.9856
53370,0.1943
60773,0.0337
47138,0.0215
44098,0.0092
61301,0.0088
38956,0.0786
7585,0.4981
14240,0.0781
49732,0.0018
48849,0.0034
72202,0.1001
14480,0.0461
33035,0.0257
43985,0.139
85217,0.0022
8121,0.1451
95484,0.0894
57781,0.008
85281,0.4648
71928,0.0335
79044,0.0165
54020,0.084
46617,0.0014
3924,0.3857
76379,0.0246
62379,0.0658
80390,0.0566
95214,0.0028
24624,0.084
89328,0.0082
85616,0.0774
84393,0.0201
63954,0.0117
20998,0.074
42995,0.1516
67212,0.2945
95562,0.0485
1869,0.0122
81929,0.1534
72552,0.0101
34425,0.1473
83123,0.1248
90228,0.2285
27741,0.0966
53991,0.01
15167,0.0786
29006,0.0034
86461,0.0569
22615,0.2438
90108,0.0429
12561,0.1271
18306,0.0888
78913,0.2802
38785,0.0172
13919,0.0254
59619,0.0075
17801,0.043
11683,0.0088
50393,0.0627
1414,0.167
49705,0.0249
11495,0.019
74515,0.0442
87870,0.2017
18347,0.0152
3854,0.2316
19733,0.0239
44194,0.0685
80652,0.0563
22356,0.0344
56887,0.0021
54654,0.0346
81154,0.064
60139,0.1448
49481,0.163
13027,0.0601
6073,0.0227
21221,0.0341
78849,0.002
98453,0.0218
43204,0.9931
49495,0.0413
50040,0.2148
62238,0.4032
96941,0.1479
51613,0.9884
28840,0.0068
88334,0.0871
40679,0.0793
91906,0.0245
61997,0.8707
96234,0.0375
35191,0.1279
99214,0.0093
94474,0.0017
70794,0.0148
96104,0.0135
63209,0.0063
78212,0.9766
9699,0.0547
89800,0.0175
52248,0.0662
48960,0.0443
77980,0.0339
58769,0.3331
74585,0.0501
33294,0.1294
93240,0.1224
27238,0.6402
2569,0.2762
51644,0.062
48318,0.0192
9421,0.1328
77916,0.0077
11814,0.0832
61073,0.0383
64158,0.0007
2805,0.0054
72093,0.0552
48104,0.334
20668,0.1466
68085,0.0264
63923,0.1312
53517,0.1065
3104,0.0357
99805,0.1854
39359,0.132
18783,0.0058
15511,0.0259
77153,0.0009
45019,0.0726
85462,0.0035
96718,0.0002
34821,0.9714
22810,0.0109
93544,0.6953
35535,0.0407
65259,0.096
75047,0.0709
58877,0.1342
64070,0.0841
41996,0.0985
71713,0.0685
38718,0.0165
17155,0.0991
24713,0.0263
62892,0.0072
29011,0.0568
6645,0.0091
41304,0.2245
58739,0.0253
23285,0.0024
48191,0.0739
97795,0.0401
6696,0.0949
64069,0.0556
82691,0.0149
18615,0.1331
62684,0.1718
9287,0.0065
6874,0.1533
22369,0.2726
92953,0.0385
84842,0.0859
28468,0.0988
30792,0.0325
13171,0.4658
17252,0.0804
40297,0.3512
98009,0.2129
15527,0.0069
7383,0.0546
5269,0.4069
31169,0.0405
23713,0.0248
93782,0.1636
33652,0.1698
50852,0.0103
62065,0.0007
58026,0.0041
75285,0.1022
14705,0.091
47071,0.0055
37161,0.0207
77239,0.001
24989,0.0099
90966,0.0102
76360,0.0894
94753,0.0098
84592,0.3156
67471,0.0125
41794,0.8497
31485,0.0421
91545,0.0263
53221,0.0012
8201,0.0072
60467,0.004
68016,0.0071
38784,0.1092
55226,0.0238
65209,0.027
75408,0.1181
85243,0.088
79788,0.1704
61994,0.0084
79195,0.324
46240,0.0522
22216,0.0756
70954,0.0005
