,0,1
0,ID_CORRELATIVO,ATTRITION
1,47411,1
2,39861,1
3,38898,0
4,50927,0
5,32969,1
6,89661,0
7,12197,1
8,71520,0
9,59759,1
10,36743,1
11,10736,0
12,5106,1
13,44506,0
14,47767,1
15,74686,0
16,63023,1
17,13584,1
18,317,1
19,62570,0
20,68244,0
21,72881,1
22,18280,1
23,70682,0
24,79902,1
25,35073,1
26,84331,1
27,70921,0
28,82245,1
29,17714,0
30,13993,0
31,658,1
32,33916,1
33,92737,1
34,22844,1
35,93339,1
36,29572,0
37,24751,1
38,37862,0
39,26676,1
40,8675,1
41,64245,1
42,57248,1
43,3531,0
44,9834,1
45,74246,1
46,56683,1
47,16847,1
48,96617,1
49,94167,1
50,42800,1
51,70106,0
52,42486,1
53,78076,0
54,85819,1
55,15786,1
56,61483,0
57,25630,1
58,22501,0
59,92447,1
60,13795,0
61,57101,0
62,55077,1
63,47600,1
64,5924,1
65,34900,1
66,91990,1
67,50268,1
68,66401,1
69,18014,0
70,20006,1
71,55391,1
72,40304,1
73,12832,1
74,41746,1
75,69384,1
76,56225,1
77,46522,0
78,59922,0
79,48609,1
80,77235,1
81,8082,0
82,65539,1
83,39769,1
84,96098,0
85,86925,1
86,53370,1
87,60773,0
88,47138,1
89,44098,1
90,61301,1
91,38956,1
92,7585,1
93,14240,1
94,49732,1
95,48849,0
96,72202,1
97,14480,1
98,33035,1
99,43985,1
100,85217,1
101,8121,1
102,95484,1
103,57781,1
104,85281,1
105,71928,1
106,79044,0
107,54020,1
108,46617,1
109,3924,1
110,76379,1
111,62379,1
112,80390,1
113,95214,1
114,24624,1
115,89328,0
116,85616,1
117,84393,1
118,63954,1
119,20998,1
120,42995,1
121,67212,1
122,95562,1
123,1869,1
124,81929,1
125,72552,1
126,34425,0
127,83123,1
128,90228,1
129,27741,0
130,53991,0
131,15167,1
132,29006,0
133,86461,1
134,22615,1
135,90108,0
136,12561,1
137,18306,1
138,78913,1
139,38785,1
140,13919,1
141,59619,1
142,17801,0
143,11683,0
144,50393,1
145,1414,0
146,49705,0
147,11495,0
148,74515,1
149,87870,0
150,18347,1
151,3854,1
152,19733,0
153,44194,0
154,80652,1
155,22356,1
156,56887,0
157,54654,0
158,81154,1
159,60139,1
160,49481,1
161,13027,1
162,6073,1
163,21221,0
164,78849,1
165,98453,1
166,43204,1
167,49495,1
168,50040,1
169,62238,1
170,96941,0
171,51613,1
172,28840,1
173,88334,1
174,40679,1
175,91906,1
176,61997,1
177,96234,0
178,35191,1
179,99214,0
180,94474,1
181,70794,1
182,96104,1
183,63209,1
184,78212,1
185,9699,0
186,89800,0
187,52248,1
188,48960,1
189,77980,1
190,58769,1
