ID_CORRELATIVO,ATTRITION
47411,0.08792
39861,0.13701
38898,0.07824
50927,0.15521
32969,0.16703
89661,0.13109
12197,0.11639
71520,0.14144
59759,0.12316
36743,0.13157
10736,0.14358
5106,0.08812
44506,0.12948
47767,0.5953
74686,0.1349
63023,0.07913
13584,0.22272
317,0.15777
62570,0.07107
68244,0.09173
72881,0.05877
18280,0.10217
70682,0.13434
79902,0.21588
35073,0.13778
84331,0.14326
70921,0.14067
82245,0.16936
17714,0.09362
13993,0.13942
658,0.14306
33916,0.20945
92737,0.1468
22844,0.11781
93339,0.1491
29572,0.13955
24751,0.42084
37862,0.13026
26676,0.13076
8675,0.07336
64245,0.07711
57248,0.31567
3531,0.12677
9834,0.13147
74246,0.10743
56683,0.13244
16847,0.1019
96617,0.17584
94167,0.1139
42800,0.07866
70106,0.25746
42486,0.07843
78076,0.0515
85819,0.29569
15786,0.07184
61483,0.13138
25630,0.13132
22501,0.08741
92447,0.2014
13795,0.1392
57101,0.13871
55077,0.0609
47600,0.17272
5924,0.73517
34900,0.15149
91990,0.17662
50268,0.28817
66401,0.16565
18014,0.14107
20006,0.06557
55391,0.27503
40304,0.29966
12832,0.17873
41746,0.13368
69384,0.13448
56225,0.19596
46522,0.14095
59922,0.04313
48609,0.14478
77235,0.2375
8082,0.14144
65539,0.07593
39769,0.23837
96098,0.04643
86925,0.34226
53370,0.16427
60773,0.14124
47138,0.13797
44098,0.09512
61301,0.13972
38956,0.10991
7585,0.14033
14240,0.10806
49732,0.03031
48849,0.14045
72202,0.12345
14480,0.15263
33035,0.1344
43985,0.14997
85217,0.13515
8121,0.09622
95484,0.11524
57781,0.1047
85281,0.43287
71928,0.12671
79044,0.06837
54020,0.47051
46617,0.05817
3924,0.50753
76379,0.13321
62379,0.17767
80390,0.13317
95214,0.09872
24624,0.73866
89328,0.11941
85616,0.36343
84393,0.11215
63954,0.18699
20998,0.17049
42995,0.12695
67212,0.13772
95562,0.10464
1869,0.10859
81929,0.10738
72552,0.05364
34425,0.14497
83123,0.18279
90228,0.19438
27741,0.17219
53991,0.1229
15167,0.1562
29006,0.13818
86461,0.13572
22615,0.25968
90108,0.14145
12561,0.06202
18306,0.16671
78913,0.09092
38785,0.22778
13919,0.15426
59619,0.13727
17801,0.14204
11683,0.10345
50393,0.1162
1414,0.20512
49705,0.11685
11495,0.09874
74515,0.14591
87870,0.17367
18347,0.09536
3854,0.25498
19733,0.13186
44194,0.11708
80652,0.16403
22356,0.14046
56887,0.1364
54654,0.14107
81154,0.17642
60139,0.09894
49481,0.16584
13027,0.12251
6073,0.12635
21221,0.12562
78849,0.0927
98453,0.15794
43204,0.40384
49495,0.15566
50040,0.11168
62238,0.06143
96941,0.12129
51613,0.14328
28840,0.08568
88334,0.47879
40679,0.35695
91906,0.15926
61997,0.30873
96234,0.07345
35191,0.21522
99214,0.1141
94474,0.01489
70794,0.13509
96104,0.0862
63209,0.1411
78212,0.45387
9699,0.03437
89800,0.11434
52248,0.07479
48960,0.10088
77980,0.44528
58769,0.17503
74585,0.13477
33294,0.13003
93240,0.1999
27238,0.51011
2569,0.63999
51644,0.15761
48318,0.09739
9421,0.12836
77916,0.08634
11814,0.10629
61073,0.07619
64158,0.10058
2805,0.07991
72093,0.24341
48104,0.1407
20668,0.13976
68085,0.1447
63923,0.14144
53517,0.44675
3104,0.03789
99805,0.14529
39359,0.14183
18783,0.08424
15511,0.5131
77153,0.14051
45019,0.31746
85462,0.17919
96718,0.14144
34821,0.36605
22810,0.06112
93544,0.14839
35535,0.08601
65259,0.3225
75047,0.13207
58877,0.07388
64070,0.11921
41996,0.13679
71713,0.12794
38718,0.14169
17155,0.57908
24713,0.14196
62892,0.14098
29011,0.29002
6645,0.08362
41304,0.13405
58739,0.07924
23285,0.22088
48191,0.13171
97795,0.15401
6696,0.15959
64069,0.05132
82691,0.45939
18615,0.10919
62684,0.14025
9287,0.31569
6874,0.12195
22369,0.10745
92953,0.171
84842,0.09987
28468,0.19862
30792,0.1941
13171,0.12086
17252,0.27284
40297,0.13781
98009,0.34529
15527,0.10457
7383,0.18522
5269,0.1433
31169,0.11294
23713,0.17615
93782,0.14502
33652,0.16621
50852,0.10853
62065,0.11843
58026,0.13319
75285,0.18785
14705,0.09297
47071,0.10353
37161,0.13996
77239,0.13883
24989,0.27244
90966,0.11545
76360,0.27066
94753,0.09691
84592,0.14144
67471,0.06671
41794,0.67755
31485,0.32742
91545,0.21893
53221,0.12995
8201,0.15827
60467,0.18579
68016,0.10656
38784,0.14144
55226,0.08583
65209,0.14136
75408,0.13524
85243,0.11995
79788,0.13763
61994,0.13257
79195,0.15902
46240,0.13921
22216,0.56525
70954,0.1792
84807,0.14301
46536,0.14062
36753,0.06102
97859,0.06516
23760,0.23996
85723,0.28695
64710,0.10744
27733,0.06063
81034,0.04649
12401,0.15589
62556,0.24347
93553,0.0766
95020,0.11586
89411,0.14037
49025,0.85407
175,0.14138
41587,0.12899
95452,0.0612
66833,0.17043
35540,0.12637
27054,0.09375
73979,0.11347
86206,0.1412
44847,0.29305
3840,0.19747
61419,0.0656
41064,0.18894
3234,0.33653
48912,0.14206
14659,0.13928
95329,0.15688
48199,0.14696
57661,0.0956
91561,0.13756
98545,0.07838
64053,0.18259
44127,0.41272
19986,0.17012
50281,0.28755
23864,0.08817
10807,0.11022
46633,0.12536
22081,0.10187
58024,0.14118
43243,0.25994
87491,0.14332
8098,0.08175
15691,0.44822
92195,0.07403
89981,0.19472
61666,0.12621
59887,0.07386
72746,0.09212
97844,0.12745
66080,0.13588
35864,0.07336
91618,0.13104
63875,0.17822
12653,0.08696
82407,0.38346
60272,0.14302
45986,0.10014
40088,0.07351
30671,0.12501
47115,0.19821
87106,0.14251
18985,0.13401
78531,0.12175
99309,0.11926
30856,0.06113
57429,0.13726
90844,0.13963
61193,0.12118
61960,0.31507
27310,0.20277
85688,0.13025
13849,0.12277
20923,0.07563
81184,0.34513
92660,0.07069
52780,0.08153
58352,0.14137
84217,0.06703
18894,0.36005
2060,0.05699
49450,0.14144
16422,0.12917
63949,0.1046
14806,0.17721
54228,0.1387
47189,0.13724
52562,0.14109
87245,0.11451
37544,0.07693
30325,0.12322
27069,0.14064
65802,0.14198
64416,0.09307
22027,0.12353
65273,0.20437
28436,0.14142
