ID_CORRELATIVO,ATTRITION
47411,0.08096
39861,0.03179
38898,0.01147
50927,0.02209
32969,0.1427
89661,0.07799
12197,0.11499
71520,0.00041
59759,0.12975
36743,0.1589
10736,0.00366
5106,0.00433
44506,0.02196
47767,0.24168
74686,0.00062
63023,0.01019
13584,0.75256
317,0.0245
62570,0.05127
68244,0.00565
72881,0.02181
18280,0.01545
70682,1e-05
79902,0.00255
35073,0.02443
84331,0.02419
70921,0.00035
82245,0.89225
17714,0.00096
13993,0.07284
658,0.3138
33916,0.79319
92737,0.01
22844,0.14925
93339,0.0882
29572,0.0
24751,0.4499
37862,0.0001
26676,0.00049
8675,0.01029
64245,0.04072
57248,0.51501
3531,0.00192
9834,0.02729
74246,0.10799
56683,0.29282
16847,0.07541
96617,0.08362
94167,0.02301
42800,0.03118
70106,0.00039
42486,0.01568
78076,0.02249
85819,0.0974
15786,0.44781
61483,0.00051
25630,0.00029
22501,0.05498
92447,0.11395
13795,1e-05
57101,0.00124
55077,0.0002
47600,0.12693
5924,0.64425
34900,0.16499
91990,0.99251
50268,0.98703
66401,0.15948
18014,0.00031
20006,0.01159
55391,0.65115
40304,0.07485
12832,0.44712
41746,0.0
69384,0.85675
56225,0.08709
46522,4e-05
59922,0.05409
48609,0.01113
77235,0.13781
8082,0.0613
65539,0.00023
39769,0.26265
96098,0.02485
86925,0.98447
53370,0.40438
60773,0.00047
47138,0.01731
44098,0.001
61301,0.03725
38956,0.03673
7585,0.17003
14240,0.06009
49732,0.00095
48849,0.00076
72202,0.00887
14480,0.11304
33035,0.07844
43985,0.00843
85217,0.0
8121,0.39214
95484,0.06728
57781,0.02196
85281,0.1684
71928,0.03476
79044,0.00132
54020,0.18494
46617,0.00102
3924,0.57776
76379,0.01605
62379,0.09621
80390,0.0241
95214,0.00012
24624,0.14742
89328,0.0007
85616,0.15651
84393,0.03126
63954,0.30886
20998,0.06436
42995,0.00369
67212,0.58532
95562,0.03645
1869,0.00395
81929,0.11331
72552,0.00077
34425,0.19862
83123,0.34819
90228,0.06899
27741,0.06141
53991,1e-05
15167,0.05433
29006,0.01495
86461,0.45422
22615,0.31743
90108,0.00156
12561,0.03899
18306,0.70427
78913,0.58667
38785,0.01303
13919,0.07462
59619,0.29817
17801,0.0091
11683,0.00996
50393,0.21921
1414,0.16058
49705,0.00673
11495,0.1516
74515,0.00017
87870,0.27201
18347,0.00011
3854,0.17129
19733,0.04909
44194,0.24343
80652,0.24809
22356,0.11781
56887,0.0021
54654,0.00307
81154,0.00173
60139,0.14867
49481,0.02254
13027,0.02973
6073,0.00099
21221,0.01156
78849,0.00248
98453,0.03114
43204,0.61908
49495,0.37516
50040,0.11864
62238,0.69407
96941,0.14049
51613,0.88303
28840,7e-05
88334,0.14943
40679,0.48021
91906,0.00163
61997,0.38625
96234,0.09842
35191,0.03778
99214,0.0149
94474,0.00603
70794,0.00801
96104,0.00096
63209,4e-05
78212,0.41724
9699,0.03486
89800,6e-05
52248,0.04066
48960,0.00083
77980,0.40273
58769,0.28868
74585,0.00859
33294,0.01542
93240,0.00768
27238,0.79927
2569,0.07919
51644,0.20075
48318,0.0019
9421,0.26109
77916,0.01133
11814,0.12048
61073,0.13561
64158,0.00021
2805,0.00073
72093,0.21353
48104,0.27913
20668,0.5752
68085,0.55949
63923,0.01963
53517,0.05613
3104,0.01171
99805,0.33491
39359,0.30105
18783,0.00022
15511,0.23746
77153,5e-05
45019,0.35542
85462,2e-05
96718,0.11382
34821,0.98076
22810,0.09217
93544,0.80641
35535,0.08884
65259,0.0696
75047,0.0351
58877,0.15195
64070,0.10966
41996,0.07562
71713,0.01291
38718,0.01088
17155,0.22089
24713,0.00377
62892,0.00012
29011,0.00368
6645,0.01282
41304,0.26606
58739,0.40976
23285,0.00043
48191,0.00373
97795,0.0334
6696,0.00072
64069,0.05755
82691,0.30137
18615,0.02409
62684,0.14315
9287,0.04167
6874,0.05593
22369,0.52231
92953,0.04094
84842,0.00065
28468,0.04847
30792,0.03193
13171,0.74571
17252,0.66192
40297,0.02454
98009,0.01641
15527,0.04079
7383,0.11194
5269,0.00539
31169,0.01388
23713,0.22716
93782,0.00071
33652,0.07339
50852,0.00047
62065,2e-05
58026,0.00018
75285,0.03967
14705,0.17828
47071,0.00176
37161,0.01986
77239,1e-05
24989,0.01569
90966,0.00053
76360,0.1243
94753,0.01021
84592,0.01744
67471,0.32978
41794,0.85957
31485,0.49029
91545,0.0775
53221,0.0029
8201,0.29492
60467,0.00292
68016,0.00021
38784,0.00013
55226,0.00246
65209,0.00015
75408,0.00504
85243,0.01994
79788,0.23415
61994,0.0028
79195,0.87859
46240,0.00109
22216,0.07847
70954,0.0
84807,0.00033
46536,0.52336
36753,1e-05
97859,0.0623
23760,0.22793
85723,0.61057
64710,0.30529
27733,0.00538
81034,0.00074
12401,0.05782
62556,0.06401
93553,0.05392
95020,0.00846
89411,4e-05
49025,0.12739
175,0.01378
41587,0.05208
95452,0.00607
66833,0.25109
35540,0.66716
27054,0.00565
73979,0.09432
86206,0.00242
44847,0.06079
3840,0.14933
61419,0.04349
41064,0.81449
3234,0.61509
48912,0.11469
14659,0.12082
95329,0.19714
48199,0.02853
57661,0.26854
91561,0.01367
98545,0.00326
64053,0.47109
44127,0.46088
19986,0.0162
50281,0.97909
23864,0.0104
10807,0.01796
46633,0.01401
22081,0.0347
58024,0.02074
43243,0.04989
87491,0.02095
8098,0.00746
15691,0.63991
92195,0.0725
89981,0.01898
61666,0.0123
59887,0.00158
72746,0.5205
97844,0.0001
66080,0.12518
35864,0.03415
91618,0.01085
63875,0.01674
12653,0.02929
82407,0.42345
60272,0.0
45986,0.30468
40088,0.01044
30671,0.0338
47115,0.13687
87106,0.20869
18985,0.0133
78531,3e-05
99309,0.00866
30856,0.00022
57429,0.00606
90844,0.64463
61193,0.08537
61960,0.0937
27310,0.41008
85688,1e-05
13849,0.0145
20923,0.01558
81184,0.1552
92660,0.25694
52780,0.72536
58352,0.00051
84217,0.09082
18894,0.2127
2060,0.00051
49450,0.00237
16422,0.0545
63949,0.00393
14806,0.09807
54228,0.00029
47189,5e-05
52562,0.0003
87245,0.02195
37544,0.03739
30325,0.26435
27069,0.0
65802,0.08024
64416,0.11068
22027,4e-05
65273,0.80664
28436,0.0
61160,0.6769
32883,0.00854
64263,0.00438
3036,0.01234
1394,0.02195
15909,0.0016
33028,0.16067
94431,0.00552
54780,0.23909
43674,0.0336
73620,0.48692
75024,0.06442
98242,0.0619
8382,0.27028
9870,0.01616
77482,0.03065
93661,0.71987
61203,0.01796
65157,0.0297
6978,0.02927
17470,0.00923
53031,0.43612
37506,0.0114
5012,0.01621
2994,0.16532
17970,0.01241
78783,0.02689
20016,0.20778
12503,0.37734
61154,0.37126
12861,0.18583
67373,0.12329
48455,0.02597
6505,0.0001
61490,0.75699
54247,0.64066
5795,0.36809
28306,0.19207
85714,0.0682
82657,0.00013
44030,0.00067
65255,0.00044
64927,0.10415
75324,0.30123
6857,0.00146
11287,0.03288
35241,0.08942
34242,0.05564
69085,0.19372
71311,0.00026
36269,0.35807
14738,0.16221
549,0.13249
3479,0.20459
80866,0.20022
92323,0.99949
43887,0.72573
85023,0.03879
97922,0.4342
16440,0.41884
69117,0.37836
25539,0.4821
12828,0.1308
89828,0.00903
25600,0.00033
24291,0.15472
63983,0.82549
67518,5e-05
82104,0.0117
29260,0.00827
40004,0.08474
65199,0.01605
76117,3e-05
93827,0.04363
29395,0.10525
86252,0.01244
40938,0.17697
24209,0.00585
24037,0.03906
80880,0.47488
33040,0.00106
52215,0.07506
38125,0.04542
13173,0.00228
65774,0.08493
16691,0.00105
71372,0.08164
33821,0.02469
90285,0.05978
8425,0.47568
36687,0.02655
78613,0.00404
23269,0.06907
65699,0.01301
99079,0.05982
45348,0.00315
40929,0.15213
3792,0.05408
46357,0.00169
62600,0.15421
23863,0.02411
77937,0.31489
335,0.06808
60070,0.2166
13973,0.02073
45656,0.11767
18176,1e-05
5930,0.02104
86954,0.01062
64225,0.01541
72124,0.00021
2108,0.01473
44109,0.06859
16923,0.01404
70941,0.0297
83294,0.01043
78522,0.83666
95018,0.06646
96818,0.00923
27237,0.03914
84772,0.32188
41563,0.0
73476,0.03329
72352,0.04295
79414,0.0333
60076,0.00856
80745,0.07426
86202,0.98838
16667,0.00299
61215,0.02564
3297,0.07418
3700,0.03638
70352,0.01248
72752,0.96789
16377,0.02504
455,0.30103
16803,0.00343
45698,0.02122
13350,0.0013
76081,0.44835
77878,0.12338
72854,0.00988
36377,0.91611
64828,0.12258
5048,0.0877
20341,0.04778
93214,0.00177
70114,0.98638
22778,0.2713
24111,0.41342
91002,0.52277
41036,0.04792
84784,0.63399
77981,0.00508
62877,0.07941
75883,0.01138
65815,0.42257
9256,0.00103
43407,0.00273
2531,0.00295
27887,0.04023
12062,0.16392
20044,0.03426
65756,0.00025
93096,0.21166
22795,0.1512
87212,0.28685
35969,0.05979
16574,0.95462
86765,6e-05
15941,0.04685
90109,0.12207
48087,0.25466
58303,0.74807
94111,0.0024
58882,0.00034
68501,0.04469
15523,0.00041
32550,0.68514
66142,0.00202
34097,0.00829
65169,0.31997
97085,0.09693
56165,0.00032
86685,0.48058
70155,0.05654
94728,0.00575
18780,0.01346
94486,0.06597
39723,0.07405
53398,0.00037
49177,0.00183
61923,0.0629
72622,0.0
78582,0.76885
55627,0.73644
52808,0.39876
26623,0.00481
68723,0.00508
15319,0.70111
33747,9e-05
73915,0.0198
92776,3e-05
49883,0.30749
98556,0.15544
88865,0.04932
97115,0.02021
54132,0.00647
9554,0.03434
70701,0.18646
5627,0.15262
80129,0.39917
8134,0.00013
69401,0.07273
27103,0.50056
30747,0.00173
83422,0.00326
3842,0.00941
2394,0.01444
6597,0.12802
11139,0.09694
57217,0.00796
3953,0.00734
79429,0.02893
60795,0.00928
56610,0.21143
81632,0.03689
69638,0.22288
86896,0.00151
75514,0.04334
66956,0.91394
70023,0.20064
14775,0.57672
63656,0.08751
86171,0.45122
53818,0.13509
75659,0.2126
60135,0.26007
3003,0.22119
62748,0.09348
48871,0.0721
68081,0.01665
10715,4e-05
18278,0.7058
11112,0.06151
10680,0.09912
39089,0.05564
92019,0.00317
23820,0.14177
28533,0.00555
61946,0.12194
68786,0.03496
50374,0.00061
32563,0.06278
91650,0.0
54629,0.00142
38213,0.15867
23419,0.33859
5647,0.08274
25369,0.03698
61117,0.05099
90892,0.03632
56964,0.25207
73556,0.80579
21316,0.11081
57187,0.86687
50543,0.01337
92908,0.07404
76663,0.31053
50791,0.00032
42964,0.43615
36473,0.00018
41795,0.13731
3005,0.00466
92387,0.36434
90232,0.00034
87360,0.39383
72062,0.21243
29388,0.01351
90178,0.00135
1090,0.01841
22898,0.05192
994,0.9826
74120,0.0793
82594,0.18151
45211,0.16383
83526,0.42556
77504,0.33616
77357,0.0
94837,0.39992
75345,0.01209
33825,3e-05
67688,2e-05
43567,0.01523
90096,0.05737
84103,0.0946
89217,0.06342
11035,0.0608
73782,0.46191
61029,0.37334
22253,0.00284
71770,0.00261
14851,0.01319
48543,0.00706
53375,0.0021
9239,0.00126
50910,0.48459
7752,0.00602
14390,0.15033
38461,0.46575
29014,0.0001
17962,0.37413
56755,0.05503
82489,0.00043
61481,0.08364
21066,0.02932
38231,0.23866
76306,0.20284
32221,0.11378
86030,0.03561
76070,0.00302
81782,0.00566
43513,0.00155
46218,0.50864
41215,0.12675
88994,0.10224
83879,0.00038
55133,0.00186
97682,0.00335
2168,9e-05
32212,3e-05
73618,3e-05
10805,0.10972
48944,0.008
37538,0.00801
69219,0.01062
99284,0.09056
17593,0.11626
83733,0.00029
3224,0.02251
19283,0.0573
18719,0.07443
96329,0.26226
47823,0.35783
16869,0.02766
60538,0.30906
49291,0.00117
71079,0.50406
25632,0.73565
62251,0.65976
72780,0.00132
13003,0.0438
40002,0.01015
98765,0.00489
86688,0.18574
58320,0.13189
84383,0.19398
76245,0.00654
93031,0.55549
54534,0.11565
58723,0.01971
36529,0.02003
77541,0.13833
49677,0.00157
76734,0.03357
99838,0.04332
1529,0.00517
30528,0.75828
11220,0.28265
93804,0.07925
58259,0.00021
20339,0.017
42577,0.22044
23740,0.25845
7391,0.35084
94300,0.11088
81918,0.11814
25894,2e-05
37142,0.0
88486,0.03195
17974,0.03928
23522,0.07036
60666,0.08396
2482,0.00125
88646,0.07626
82150,0.17545
86468,0.00039
75758,0.47913
35498,0.07634
86662,0.03406
48888,0.27318
86890,0.08887
80800,0.00347
21045,0.00246
2799,0.3378
10916,0.04316
77435,0.2236
27846,0.04256
9054,0.0002
19538,0.00015
19587,8e-05
92929,0.012
91755,0.03907
35661,0.45399
60771,0.33374
40120,0.00777
889,0.1572
23531,0.05557
16672,0.12363
10823,0.45291
80285,0.0124
81029,0.00156
44604,0.00634
39242,0.44869
26560,0.01808
46806,0.95971
96785,0.0034
24706,0.02686
88480,0.00011
57315,0.22934
3446,0.04778
12090,0.11699
97040,0.23113
65462,0.14767
5241,0.01267
97418,0.00429
13258,0.00089
89719,0.10365
68834,1e-05
91152,0.01033
48913,0.0376
3626,0.26076
91685,0.32567
8691,0.30027
30925,0.00084
56825,1e-05
3830,0.01386
30378,0.00019
77994,0.00216
33864,0.40022
2796,2e-05
46336,0.92108
6057,0.00421
14343,0.53912
97320,0.19282
36178,0.19384
53255,0.69131
80715,0.0219
45459,0.01784
14349,0.22374
81802,0.17118
22939,0.00262
46890,0.00778
70172,0.1636
98942,0.02024
69473,0.11892
60799,0.00988
96623,0.20497
66047,0.747
22722,0.461
89798,0.07249
52528,0.12344
4092,0.28558
21782,0.04117
98723,0.11507
83686,0.05361
84689,0.00018
50369,0.00048
76171,0.01156
77288,0.07159
46229,0.30683
56531,0.00072
93788,0.00891
25213,0.00314
14288,0.00987
17576,0.01
72959,0.22357
37382,0.00305
24649,0.29849
62269,0.02461
26285,0.50815
50918,0.50876
21401,0.03973
6804,0.02162
29533,0.03095
78638,0.01004
58557,0.30922
21840,0.03008
62409,0.0372
42474,0.00245
97174,0.31702
982,0.17537
27505,0.06766
22484,0.63577
93301,0.00048
72723,0.47912
33030,0.04514
