ID_CORRELATIVO,ATTRITION
47411,0.42494
39861,0.15635
38898,0.02334
50927,0.1182
32969,0.29268
89661,0.23176
12197,0.08355
71520,0.04002
59759,0.29769
36743,0.02921
10736,0.21406
5106,0.6123
44506,0.00835
47767,0.22694
74686,0.12742
63023,0.00942
13584,0.22855
317,0.05613
62570,0.03638
68244,0.03248
72881,0.12649
18280,0.00149
70682,0.17382
79902,0.19361
35073,0.09739
84331,0.11038
70921,0.07329
82245,0.1357
17714,0.00632
13993,0.00097
658,0.50036
33916,0.11661
92737,0.31713
22844,0.24146
93339,0.11308
29572,0.0051
24751,0.27689
37862,0.00547
26676,0.15185
8675,0.07411
64245,0.15051
57248,0.12579
3531,0.00412
9834,0.16908
74246,0.01897
56683,0.08212
16847,0.06001
96617,0.05471
94167,0.02847
42800,0.20193
70106,0.12145
42486,0.10746
78076,0.07483
85819,0.57266
15786,0.0612
61483,0.01332
25630,0.01116
22501,0.03411
92447,0.13955
13795,0.00821
57101,0.08053
55077,0.00752
47600,0.13719
5924,0.24102
34900,0.22161
91990,0.15489
50268,0.2276
66401,0.27222
18014,0.00727
20006,0.17956
55391,0.09345
40304,0.02923
12832,0.18761
41746,0.01048
69384,0.17178
56225,0.28234
46522,0.00286
59922,0.0659
48609,0.08653
77235,0.51721
8082,0.31711
65539,0.08065
39769,0.21224
96098,0.03703
86925,0.08542
53370,0.13225
60773,0.16534
47138,0.28308
44098,0.00057
61301,0.04673
38956,0.18337
7585,0.26079
14240,0.0869
49732,0.01054
48849,0.15904
72202,0.084
14480,0.07533
33035,0.00954
43985,0.38095
85217,0.00233
8121,0.09345
95484,0.09328
57781,0.02684
85281,0.01775
71928,0.27479
79044,0.0005
54020,0.35708
46617,0.0
3924,0.49248
76379,0.0302
62379,0.07842
80390,0.1237
95214,0.01625
24624,0.1053
89328,0.04695
85616,0.24368
84393,0.15984
63954,0.28915
20998,0.44157
42995,0.05418
67212,0.14876
95562,0.02182
1869,0.05413
81929,0.14378
72552,0.13257
34425,0.03223
83123,0.23618
90228,0.08352
27741,0.02917
53991,0.0128
15167,0.05545
29006,0.00033
86461,0.17065
22615,0.10497
90108,0.08405
12561,0.48563
18306,0.09162
78913,0.17685
38785,0.01056
13919,0.06326
59619,0.12913
