ID_CORRELATIVO,ATTRITION
47411,0.45462
39861,0.53873
38898,0.02536
50927,0.00714
32969,0.35689
89661,0.30477
12197,0.096
71520,0.00556
59759,0.39746
36743,0.01489
10736,0.16863
5106,0.52342
44506,0.16278
47767,0.24603
74686,0.11027
63023,0.00601
13584,0.29307
317,0.09115
62570,0.01105
68244,0.0466
72881,0.09079
18280,0.00148
70682,0.03587
79902,0.25864
35073,0.14772
84331,0.08739
70921,0.07945
82245,0.23116
17714,0.04953
13993,0.00174
658,0.63913
33916,0.13765
92737,0.19994
22844,0.08551
93339,0.17273
29572,0.01299
24751,0.50012
37862,0.02365
26676,0.17339
8675,0.06027
64245,0.21571
57248,0.38368
3531,0.00944
9834,0.15479
74246,0.19932
56683,0.0783
16847,0.01082
96617,0.04491
94167,0.00766
42800,0.49963
70106,0.3197
42486,0.09928
78076,0.09308
85819,0.5772
15786,0.34432
61483,0.01741
25630,0.03312
22501,0.03645
92447,0.07884
13795,0.00924
57101,0.04496
55077,0.02313
47600,0.3622
5924,0.45727
34900,0.16515
91990,0.17714
50268,0.38239
66401,0.29572
18014,0.00234
20006,0.08229
55391,0.41577
40304,0.48656
12832,0.19542
41746,0.0143
69384,0.15614
56225,0.4183
46522,0.00562
59922,0.07722
48609,0.08466
77235,0.56681
8082,0.20675
65539,0.07573
39769,0.12255
96098,0.06219
86925,0.41855
53370,0.1562
60773,0.18728
47138,0.29386
44098,0.00352
61301,0.08862
38956,0.00628
7585,0.58993
14240,0.10674
49732,0.0649
48849,0.03487
72202,0.0651
14480,0.06456
33035,0.00506
43985,0.05754
85217,0.0076
8121,0.20857
95484,0.0821
57781,0.00912
85281,0.00974
71928,0.26903
79044,0.0
54020,0.27043
46617,0.02706
3924,0.49018
76379,0.03602
62379,0.09012
80390,0.07083
95214,0.00768
24624,0.3747
89328,0.02857
85616,0.3156
84393,0.14057
63954,0.2586
20998,0.23289
42995,0.00607
67212,0.12332
95562,0.004
1869,0.02824
81929,0.12903
72552,0.11329
34425,0.07848
83123,0.23594
90228,0.12672
27741,0.03295
53991,0.01088
15167,0.14874
29006,0.0034
86461,0.16306
22615,0.30237
90108,0.04296
12561,0.49284
18306,0.32592
78913,0.44929
38785,0.01389
13919,0.06077
59619,0.12294
17801,0.07362
11683,0.06918
50393,0.50389
1414,0.3514
49705,0.33092
11495,0.08086
74515,0.04955
87870,0.25477
18347,0.02888
3854,0.26853
19733,0.25107
44194,0.12435
80652,0.21568
22356,0.03339
56887,0.04199
54654,0.05657
81154,0.0454
60139,0.02224
49481,0.34474
13027,0.09115
6073,0.0791
21221,0.02943
78849,0.01017
98453,0.03349
43204,0.84304
49495,0.1384
50040,0.19632
62238,0.37612
96941,0.37648
51613,0.35948
28840,0.09619
88334,0.24651
40679,0.28526
91906,0.04578
61997,0.67316
96234,0.03953
35191,0.0986
99214,0.00347
94474,0.01084
70794,0.1282
96104,0.00239
63209,0.07146
78212,0.85592
9699,0.34971
89800,0.05677
52248,0.31023
48960,0.03192
77980,0.3787
58769,0.47601
74585,0.05487
33294,0.01688
93240,0.26377
27238,0.34717
2569,0.43406
51644,0.04606
48318,0.00884
9421,0.19154
77916,0.10145
11814,0.2695
61073,0.27801
64158,0.00102
2805,0.019
72093,0.23886
48104,0.12538
20668,0.43763
68085,0.08354
63923,0.0048
53517,0.35039
3104,0.32807
99805,0.54404
39359,0.20279
18783,0.00165
15511,0.33397
77153,0.02596
45019,0.32413
85462,0.04367
96718,0.02948
34821,0.42746
22810,0.06385
93544,0.17628
35535,0.18069
65259,0.49599
75047,0.033
58877,0.1067
64070,0.13114
41996,0.07056
71713,0.08368
38718,0.01408
17155,0.34247
24713,0.0243
62892,0.045
29011,0.01152
6645,0.09992
41304,0.03236
58739,0.07878
23285,0.19211
48191,0.13126
97795,0.04517
6696,0.37715
64069,0.35591
82691,0.21147
18615,0.33281
62684,0.31096
9287,0.01515
6874,0.07449
22369,0.10256
92953,0.01795
84842,0.00065
28468,0.04568
30792,0.21334
13171,0.41508
17252,0.20018
40297,0.04994
98009,0.07806
15527,0.01213
7383,0.4026
5269,0.17541
31169,0.00427
23713,0.37563
93782,0.08291
33652,0.13985
50852,0.07687
62065,0.0018
58026,0.0222
75285,0.06458
14705,0.38108
47071,0.06318
37161,0.12493
77239,0.00917
24989,0.03637
90966,0.02915
76360,0.31043
94753,0.25983
84592,0.23664
67471,0.05939
41794,0.79632
31485,0.15787
91545,0.20863
53221,0.03516
8201,0.23174
60467,0.11439
68016,0.05284
38784,0.03208
55226,0.12255
65209,0.03835
75408,0.00359
85243,0.06171
79788,0.26397
61994,0.00758
79195,0.34016
46240,0.04423
22216,0.08535
70954,0.03247
84807,0.00337
46536,0.41112
36753,0.00442
97859,0.06751
23760,0.17262
85723,0.01737
64710,0.53291
27733,0.00025
