ID_CORRELATIVO,ATTRITION
47411,0.29967
39861,0.71914
38898,0.02535
50927,0.01714
32969,0.07128
89661,0.20252
12197,0.16143
71520,0.01937
59759,0.79879
36743,0.20485
10736,0.07374
5106,0.44542
44506,0.4762
47767,0.38959
74686,0.0272
63023,0.03252
13584,0.16024
317,0.16693
62570,0.08281
68244,0.06574
72881,0.11859
18280,0.00568
70682,0.01908
79902,0.28433
35073,0.10291
84331,0.06997
70921,0.02356
82245,0.45261
17714,0.09878
13993,0.01345
658,0.46072
33916,0.26904
92737,0.14682
22844,0.13402
93339,0.37607
29572,0.00849
24751,0.78646
37862,0.0554
26676,0.2512
8675,0.07313
64245,0.33272
57248,0.65032
3531,0.01822
9834,0.0272
74246,0.1009
56683,0.08448
16847,0.09856
96617,0.10731
94167,0.01427
42800,0.61228
70106,0.31069
42486,0.29721
78076,0.0978
85819,0.56158
15786,0.23349
61483,0.00604
25630,0.04805
22501,0.01695
92447,0.25555
13795,0.02917
57101,0.03851
55077,0.3052
47600,0.30924
5924,0.7544
34900,0.20467
91990,0.15409
50268,0.40495
66401,0.24295
18014,0.01749
20006,0.33325
55391,0.73487
40304,0.53637
12832,0.38047
41746,0.02166
69384,0.11264
56225,0.65701
46522,0.00939
59922,0.12019
48609,0.10831
77235,0.656
8082,0.0567
65539,0.01227
39769,0.2027
96098,0.06755
86925,0.84242
53370,0.42194
60773,0.03181
47138,0.22738
44098,0.02213
61301,0.06928
38956,0.03452
7585,0.76162
14240,0.06957
49732,0.10556
48849,0.03204
72202,0.0797
14480,0.34136
33035,0.01871
43985,0.13147
85217,0.01031
8121,0.35761
95484,0.10385
57781,0.03008
85281,0.04487
71928,0.18785
79044,0.01512
54020,0.31607
46617,0.2119
3924,0.80514
76379,0.075
62379,0.12697
80390,0.20327
95214,0.03747
24624,0.67042
89328,0.03034
85616,0.34319
84393,0.63367
63954,0.44025
20998,0.39439
42995,0.01712
67212,0.10325
95562,0.06791
1869,0.05853
81929,0.12943
72552,0.37251
34425,0.00973
83123,0.36995
90228,0.14535
27741,0.06159
53991,0.03395
15167,0.07157
29006,0.00566
86461,0.16359
22615,0.19014
90108,0.51029
12561,0.31754
18306,0.52597
78913,0.44114
38785,0.05072
13919,0.06964
59619,0.03013
17801,0.03916
11683,0.16477
50393,0.56627
1414,0.29846
49705,0.29327
11495,0.13529
74515,0.09402
87870,0.10877
18347,0.05252
3854,0.45901
19733,0.37939
44194,0.12212
80652,0.2163
22356,0.0469
56887,0.04669
54654,0.05184
81154,0.11999
60139,0.02088
49481,0.17296
13027,0.16693
6073,0.03321
21221,0.04189
78849,0.07441
98453,0.05615
43204,0.77845
49495,0.13055
50040,0.13565
62238,0.58813
96941,0.15212
51613,0.3394
28840,0.2317
88334,0.18794
40679,0.69625
91906,0.29237
61997,0.59557
96234,0.11679
35191,0.19217
99214,0.00309
94474,0.37028
70794,0.17143
96104,0.0173
63209,0.02115
78212,0.65764
9699,0.16132
89800,0.04288
52248,0.24566
48960,0.03264
77980,0.56513
58769,0.41452
74585,0.07726
33294,0.01801
93240,0.3126
27238,0.14269
2569,0.75518
51644,0.31059
48318,0.01112
9421,0.23466
77916,0.10256
11814,0.23711
61073,0.24936
64158,0.00835
2805,0.04834
72093,0.21966
48104,0.28764
20668,0.38575
68085,0.03089
63923,0.02287
53517,0.32734
3104,0.35449
99805,0.11593
39359,0.45046
18783,0.04838
15511,0.56298
77153,0.07513
45019,0.38868
85462,0.05896
96718,0.05555
34821,0.74007
22810,0.15173
93544,0.13005
35535,0.03627
65259,0.87926
75047,0.02011
58877,0.19899
64070,0.38163
41996,0.26649
71713,0.1914
38718,0.02913
17155,0.6297
24713,0.07435
62892,0.0181
29011,0.05682
6645,0.03801
41304,0.05118
58739,0.12218
23285,0.27862
48191,0.42775
97795,0.04291
6696,0.3734
64069,0.18925
82691,0.68389
18615,0.32812
