ID_CORRELATIVO,ATTRITION
47411,0.3537
39861,0.53457
38898,0.01508
50927,0.00872
32969,0.11843
89661,0.10177
12197,0.17237
71520,0.0408
59759,0.78069
36743,0.1213
10736,0.08498
5106,0.83933
44506,0.47621
47767,0.24687
74686,0.0378
63023,0.08246
13584,0.15568
317,0.12711
62570,0.09896
68244,0.0125
72881,0.05168
18280,0.01457
70682,0.03437
79902,0.23174
35073,0.21925
84331,0.06095
70921,0.03568
82245,0.34526
17714,0.0994
13993,0.00847
658,0.76169
33916,0.2462
92737,0.21647
22844,0.33835
93339,0.23057
29572,0.00716
24751,0.76101
37862,0.03325
26676,0.26612
8675,0.06814
64245,0.24997
57248,0.60493
3531,0.00242
9834,0.13047
74246,0.10974
56683,0.09281
16847,0.14449
96617,0.07731
94167,0.09211
42800,0.56491
70106,0.227
42486,0.23092
78076,0.06939
85819,0.46904
15786,0.11159
61483,0.00144
25630,0.04011
22501,0.02645
92447,0.11051
13795,0.03727
57101,0.03805
55077,0.20817
47600,0.1742
5924,0.82161
34900,0.17252
91990,0.21217
50268,0.43794
66401,0.26841
18014,0.00238
20006,0.3353
55391,0.50798
40304,0.59956
12832,0.24215
41746,0.01224
69384,0.10304
56225,0.52596
46522,0.00637
59922,0.0819
48609,0.06911
77235,0.51065
8082,0.01388
65539,0.00499
39769,0.15229
96098,0.04053
86925,0.91706
53370,0.33593
60773,0.04993
47138,0.21109
44098,0.0014
61301,0.05725
38956,0.03475
7585,0.54914
14240,0.04666
49732,0.04305
48849,0.00921
72202,0.08373
14480,0.24793
33035,0.00969
43985,0.07183
85217,0.00962
8121,0.31325
95484,0.11872
57781,0.09251
85281,0.03078
71928,0.12485
79044,0.0026
54020,0.47704
46617,0.078
3924,0.55353
76379,0.01847
62379,0.17322
80390,0.2272
95214,0.02893
24624,0.61549
89328,0.02243
85616,0.21824
84393,0.46389
63954,0.25871
20998,0.29413
42995,0.00236
67212,0.09476
95562,0.06954
1869,0.12575
81929,0.06387
72552,0.29027
34425,0.0098
83123,0.27948
90228,0.18235
27741,0.06104
53991,0.04191
15167,0.20441
29006,0.00253
86461,0.13427
22615,0.43379
90108,0.44631
12561,0.38587
18306,0.61573
78913,0.3615
38785,0.04522
13919,0.08666
59619,0.00333
17801,0.02565
11683,0.13825
50393,0.5461
1414,0.16072
49705,0.16747
11495,0.07682
74515,0.07896
87870,0.18855
18347,0.08463
3854,0.21193
19733,0.26354
44194,0.2326
80652,0.10959
22356,0.04063
56887,0.0096
54654,0.05636
81154,0.1531
60139,0.03236
49481,0.19151
13027,0.12711
6073,0.06466
21221,0.04596
78849,0.03772
98453,0.01897
43204,0.87182
49495,0.09238
50040,0.14228
62238,0.42252
96941,0.2
51613,0.10485
28840,0.24747
88334,0.15631
40679,0.7286
91906,0.29868
61997,0.58794
96234,0.08016
35191,0.07592
99214,0.0021
94474,0.0879
70794,0.14569
96104,0.02525
63209,0.02935
78212,0.84935
9699,0.19841
89800,0.00413
52248,0.28435
48960,0.02427
77980,0.44933
