ID_CORRELATIVO,ATTRITION
47411,0.1327
39861,0.9042
38898,0.1925
50927,0.141
32969,0.0977
89661,0.1738
12197,0.1652
71520,0.1635
59759,0.1672
36743,0.1798
10736,0.1481
5106,0.1037
44506,0.1683
47767,0.2347
74686,0.1511
63023,0.1041
13584,0.163
317,0.1272
62570,0.173
68244,0.1698
72881,0.123
18280,0.1
70682,0.0565
79902,0.1243
35073,0.1678
84331,0.122
70921,0.0948
82245,0.1533
17714,0.1347
13993,0.185
658,0.1214
33916,0.1657
92737,0.2037
22844,0.0985
93339,0.1508
29572,0.0511
24751,0.9471
37862,0.1481
26676,0.0834
8675,0.1822
64245,0.1872
57248,0.1691
3531,0.1542
9834,0.0726
74246,0.2178
56683,0.1811
16847,0.177
96617,0.1837
94167,0.1275
42800,0.5582
70106,0.6135
42486,0.1311
78076,0.1908
85819,0.2295
15786,0.1716
61483,0.0689
25630,0.1539
22501,0.1798
92447,0.1438
13795,0.0993
57101,0.1203
55077,0.1205
47600,0.1812
5924,0.3177
34900,0.1089
91990,0.1948
50268,0.2131
66401,0.1674
18014,0.0068
20006,0.155
55391,0.2148
40304,0.5945
12832,0.2006
41746,0.1134
69384,0.1553
56225,0.1881
46522,0.1546
59922,0.1855
48609,0.1298
77235,0.239
8082,0.0909
65539,0.0728
39769,0.2128
96098,0.1854
86925,0.9972
53370,0.1487
60773,0.1375
47138,0.1461
44098,0.1103
61301,0.1175
38956,0.1954
7585,0.1732
14240,0.1278
49732,0.0201
48849,0.1391
72202,0.1711
14480,0.1713
33035,0.1006
43985,0.1809
85217,0.0699
8121,0.1906
95484,0.2103
57781,0.0998
85281,0.1609
71928,0.168
79044,0.0991
54020,0.202
46617,0.1155
3924,0.8808
76379,0.1588
62379,0.1462
80390,0.1035
95214,0.0314
24624,0.2237
89328,0.1062
85616,0.1504
84393,0.1536
63954,0.1811
20998,0.1253
42995,0.1275
67212,0.1642
95562,0.1622
1869,0.1318
81929,0.1322
72552,0.1407
34425,0.144
83123,0.2103
90228,0.1777
27741,0.157
53991,0.1633
15167,0.1441
29006,0.1181
86461,0.1978
22615,0.7924
90108,0.1211
12561,0.115
18306,0.185
78913,0.1991
38785,0.0633
13919,0.1984
59619,0.1526
17801,0.1068
11683,0.1551
50393,0.1825
1414,0.2017
49705,0.1523
11495,0.1669
74515,0.1692
87870,0.1882
18347,0.0721
3854,0.2144
19733,0.1679
44194,0.1883
80652,0.2322
22356,0.0513
56887,0.086
54654,0.0816
81154,0.1335
60139,0.1917
49481,0.1505
13027,0.1272
6073,0.0795
21221,0.0994
78849,0.0554
98453,0.1338
43204,0.1645
49495,0.1901
50040,0.0886
62238,0.2318
96941,0.1396
51613,0.1954
28840,0.1559
88334,0.189
40679,0.2004
91906,0.1619
61997,0.2461
96234,0.1573
35191,0.0707
99214,0.0085
94474,0.0944
70794,0.117
96104,0.0187
63209,0.0337
78212,0.1795
9699,0.1613
89800,0.1677
52248,0.1538
48960,0.1358
77980,0.2413
58769,0.1977
74585,0.0712
33294,0.0561
93240,0.1668
27238,0.523
2569,0.2509
51644,0.0956
48318,0.0912
9421,0.1959
77916,0.1591
11814,0.1513
61073,0.1457
64158,0.0297
2805,0.1145
72093,0.2234
48104,0.1594
20668,0.1903
68085,0.1629
63923,0.0648
53517,0.1606
3104,0.1473
99805,0.1648
39359,0.2012
18783,0.0684
15511,0.1472
77153,0.0883
45019,0.1278
85462,0.0404
96718,0.0939
34821,0.1999
22810,0.1709
93544,0.1761
35535,0.1807
65259,0.2714
75047,0.1319
58877,0.1744
64070,0.1838
41996,0.1707
71713,0.1257
38718,0.1992
17155,0.2158
