ID_CORRELATIVO,ATTRITION
47411,0.43488
39861,0.44291
38898,0.00518
50927,0.0038
32969,0.28963
89661,0.32054
12197,0.03541
71520,0.14291
59759,0.55237
36743,0.03204
10736,0.17295
5106,0.44121
44506,0.05535
47767,0.25214
74686,0.05772
63023,0.00081
13584,0.31724
317,0.00455
62570,0.02944
68244,0.00649
72881,0.04527
18280,0.00384
70682,0.025
79902,0.2344
35073,0.08203
84331,0.08098
70921,0.02159
82245,0.29773
17714,0.04307
13993,0.00646
658,0.76317
33916,0.27214
92737,0.36261
22844,0.08501
93339,0.18699
29572,0.01248
24751,0.72432
37862,0.02421
26676,0.28439
8675,0.13977
64245,0.17243
57248,0.48573
3531,0.00116
9834,0.07869
74246,0.14425
56683,0.00014
16847,0.03653
96617,0.2101
94167,0.00796
42800,0.41033
70106,0.35173
42486,0.13665
78076,0.09783
85819,0.52006
15786,0.12992
61483,0.01087
25630,0.04291
22501,0.01743
92447,0.04073
13795,0.02236
57101,0.01344
55077,0.00309
47600,0.10252
5924,0.62451
34900,0.11892
91990,0.14309
50268,0.33679
66401,0.19307
18014,0.00012
20006,0.06333
55391,0.22924
40304,0.76525
12832,0.21782
41746,0.0337
69384,0.06437
56225,0.40101
46522,0.00965
59922,0.0326
48609,0.09226
77235,0.61117
8082,0.16601
65539,0.05764
39769,0.089
96098,0.07992
86925,0.7367
53370,0.17946
60773,0.24254
47138,0.21169
44098,0.00195
61301,0.0554
38956,0.01382
7585,0.43771
14240,0.04777
49732,0.0162
48849,0.06379
72202,0.03453
14480,0.04909
33035,0.00351
43985,0.19743
85217,0.01457
8121,0.29147
95484,0.0484
57781,0.02125
85281,0.00602
71928,0.12189
79044,0.00021
54020,0.18343
46617,0.00308
3924,0.49437
76379,0.06219
62379,0.18678
80390,0.10315
95214,0.00166
24624,0.51179
89328,0.06752
85616,0.27744
84393,0.19307
63954,0.27217
20998,0.22823
42995,0.00162
67212,0.18677
95562,0.03554
1869,0.12342
81929,0.0714
72552,0.10189
34425,0.00972
83123,0.21527
90228,0.13044
27741,0.0613
53991,0.02031
15167,0.07654
29006,0.0326
86461,0.07231
22615,0.48403
90108,0.01387
12561,0.31702
18306,0.46491
78913,0.47085
38785,0.09374
13919,0.00323
59619,0.07359
17801,0.08103
11683,0.08064
50393,0.54382
1414,0.1177
49705,0.09404
11495,0.04789
74515,0.09901
87870,0.30339
18347,0.04268
3854,0.28381
19733,0.23056
44194,0.07546
80652,0.27119
22356,0.01634
56887,0.05429
54654,0.04994
81154,0.01392
60139,0.0341
49481,0.39567
13027,0.00455
6073,0.0308
21221,0.11966
78849,0.01987
98453,0.01724
43204,0.88415
49495,0.09649
50040,0.20402
62238,0.31894
96941,0.24403
51613,0.28542
28840,0.07902
88334,0.25841
40679,0.69822
91906,0.13559
61997,0.60234
96234,0.04153
35191,0.08008
99214,0.00347
94474,0.01678
70794,0.06899
96104,0.00132
63209,0.02292
78212,0.76877
9699,0.25156
89800,0.02729
52248,0.30409
48960,0.05362
77980,0.49275
58769,0.35557
74585,0.03038
33294,0.01331
93240,0.16609
27238,0.56558
2569,0.64897
51644,0.05799
48318,0.02082
9421,0.18092
77916,0.02828
11814,0.30023
61073,0.18352
64158,0.00051
2805,0.0158
72093,0.19044
48104,0.36455
20668,0.43744
68085,0.10101
63923,0.029
53517,0.06657
3104,0.29788
99805,0.32042
39359,0.32508
18783,0.00139
15511,0.6386
77153,0.03132
45019,0.30724
85462,0.04338
96718,0.022
34821,0.51736
22810,0.02372
93544,0.12733
35535,0.08456
65259,0.41991
75047,0.02293
58877,0.13906
64070,0.2064
41996,0.09258
71713,0.0779
38718,0.01214
17155,0.64537
24713,0.0211
62892,0.05277
29011,0.06747
6645,0.07122
41304,0.02756
58739,0.02381
23285,0.22446
48191,0.12981
97795,0.00812
6696,0.39832
64069,0.0617
82691,0.3914
18615,0.2201
62684,0.21075
9287,0.0107
6874,0.12018
22369,0.0854
92953,0.04055
84842,0.00456
28468,0.0629
30792,0.14578
13171,0.41966
17252,0.22948
40297,0.08048
98009,0.04098
15527,0.01659
7383,0.3726
5269,0.27589
31169,7e-05
23713,0.46213
93782,0.20636
33652,0.07414
50852,0.12245
62065,0.00229
58026,0.03103
75285,0.02997
14705,0.24177
47071,0.00728
37161,0.05147
77239,0.03485
24989,0.01216
90966,0.04759
76360,0.41279
94753,0.16082
84592,0.34308
67471,0.0429
41794,0.78693
31485,0.09263
91545,0.25783
53221,0.02665
8201,0.22418
60467,0.05961
68016,0.06915
38784,0.03653
55226,0.18549
65209,0.09001
75408,0.0
85243,0.05227
79788,0.28837
61994,0.04075
79195,0.55717
46240,0.05369
22216,0.45412
70954,0.04368
84807,0.00084
46536,0.39013
36753,0.00629
97859,0.0216
23760,0.1975
85723,0.0088
64710,0.44023
27733,0.0
81034,0.05038
12401,0.0849
62556,0.27583
93553,0.08374
95020,0.04296
89411,0.01711
49025,0.58627
175,0.26939
41587,0.13889
95452,0.03326
66833,0.08028
35540,0.02787
27054,0.00653
73979,0.16112
86206,0.0719
44847,0.3345
3840,0.4799
61419,0.10435
41064,0.2618
3234,0.47852
48912,0.16884
14659,0.32219
95329,0.02285
48199,0.31657
57661,0.08721
91561,0.11609
98545,0.01361
64053,0.29042
44127,0.00291
19986,0.01412
50281,0.31725
23864,0.02528
10807,0.01772
46633,0.10421
22081,0.08185
58024,0.01841
43243,0.15106
87491,0.00829
8098,0.1096
15691,0.55131
92195,0.19424
89981,0.00223
61666,0.08277
59887,0.05971
72746,0.32696
97844,0.03283
66080,0.15693
35864,0.00469
91618,0.04997
63875,0.00631
12653,0.16622
82407,0.34997
60272,0.11284
45986,0.25357
40088,0.06458
30671,0.00115
47115,0.96851
87106,0.19319
18985,0.11408
78531,0.0747
99309,0.00547
30856,0.00125
57429,0.21039
90844,0.14653
61193,0.08872
61960,0.09031
27310,0.52127
85688,0.00013
13849,0.06117
20923,0.02568
81184,0.05047
92660,0.04387
52780,0.55255
58352,0.00639
84217,0.17178
18894,0.01158
2060,0.00362
49450,0.0093
16422,0.09382
63949,0.0533
14806,0.23935
54228,0.03129
47189,0.00135
52562,0.05929
87245,0.06642
37544,0.01856
30325,0.01306
27069,0.00144
65802,0.06075
64416,0.20053
22027,0.04756
65273,0.35292
28436,0.04877
61160,0.44629
32883,0.06365
64263,0.01235
3036,0.11926
1394,0.06264
15909,0.00966
33028,0.0
94431,0.10171
54780,0.25122
43674,0.11377
73620,0.00262
75024,0.16677
98242,0.07088
8382,0.18936
9870,0.0882
77482,0.02634
93661,0.13404
61203,0.01709
65157,0.03526
6978,0.00808
17470,0.02063
53031,0.90947
37506,0.10511
5012,0.11447
2994,0.36933
17970,0.11217
78783,0.14473
20016,0.12683
12503,0.77551
61154,0.6842
12861,0.02971
67373,0.27761
48455,0.00361
6505,0.0002
61490,0.20715
54247,0.25563
5795,0.79278
28306,0.22635
85714,0.10218
82657,0.01967
44030,0.06413
65255,0.00096
64927,0.04441
75324,0.43139
6857,0.0224
11287,0.14762
35241,0.07231
34242,0.70631
69085,0.20648
71311,0.00895
36269,0.21365
14738,0.32609
549,0.48489
3479,0.08425
80866,0.41667
92323,0.23851
43887,0.34046
85023,0.12834
97922,0.14624
16440,0.13569
69117,0.67199
25539,0.33677
12828,0.12616
89828,0.0901
25600,0.00117
24291,0.53881
63983,0.32297
67518,0.01339
82104,0.00024
29260,0.02263
40004,0.1
65199,0.02379
76117,0.0252
93827,0.23188
29395,0.02721
86252,0.0578
40938,0.47841
24209,0.01739
24037,0.19238
80880,0.03607
33040,0.03451
52215,0.07041
38125,0.08553
13173,0.07943
65774,0.17443
16691,0.01348
71372,0.32961
33821,0.60912
90285,0.26443
8425,0.62402
36687,0.14089
78613,0.06798
23269,0.09255
65699,0.0488
99079,0.02428
45348,0.00369
40929,0.33417
3792,0.07534
46357,0.2766
62600,0.01244
23863,0.12928
77937,0.49752
335,0.035
60070,0.03777
13973,0.01254
45656,0.01509
18176,0.00877
5930,0.0025
86954,0.12634
64225,0.08053
72124,0.00187
2108,0.08208
44109,0.17516
16923,0.0
70941,0.00459
83294,0.05111
78522,0.89558
95018,0.01404
96818,0.19366
27237,0.19403
84772,0.06274
41563,0.00372
73476,0.08191
72352,0.10941
79414,0.09504
60076,0.21738
80745,0.77069
86202,0.17057
16667,0.00235
61215,0.06889
3297,0.22333
3700,0.10291
70352,0.03112
72752,0.84672
16377,0.02734
455,0.02315
16803,0.01602
45698,0.01743
13350,0.0176
76081,0.21493
77878,0.24172
72854,0.08118
36377,0.83662
64828,0.09766
5048,0.14616
20341,0.00371
93214,0.03271
70114,0.12211
22778,0.05166
24111,0.23831
91002,0.43732
41036,0.02754
84784,0.25151
77981,0.00401
62877,0.01601
75883,0.0
65815,0.43513
9256,0.09082
43407,0.03141
2531,0.02639
27887,0.0251
12062,0.0
20044,0.3174
65756,0.02409
93096,0.22724
22795,0.05469
87212,0.23147
35969,0.05798
16574,0.26468
86765,0.00224
15941,0.08566
90109,0.05178
48087,0.22895
58303,0.30223
94111,0.03881
58882,0.06067
68501,0.16873
15523,0.09135
32550,0.01967
66142,0.04773
34097,0.16457
65169,0.05595
97085,0.8851
56165,0.00403
86685,0.45191
70155,0.0338
94728,0.0371
18780,0.02993
94486,0.13416
39723,0.11109
53398,0.0301
49177,0.07289
61923,0.04492
72622,0.14206
78582,0.68471
55627,0.05327
52808,0.72546
26623,0.1343
68723,0.06778
15319,0.03506
33747,0.01717
73915,0.31597
92776,0.00728
49883,0.42493
98556,0.02889
88865,0.03429
97115,0.02778
54132,0.05314
9554,0.01141
70701,0.11629
5627,0.1096
80129,0.42614
8134,4e-05
69401,0.12839
27103,0.76983
30747,0.01748
83422,0.02597
3842,0.08488
2394,0.0485
6597,0.65522
11139,0.19082
57217,0.00392
3953,0.02857
79429,0.0156
60795,0.00193
56610,0.05201
81632,0.22705
69638,0.29449
86896,0.00016
75514,0.18126
66956,0.74042
70023,0.79979
14775,0.42533
63656,0.06197
86171,0.16595
53818,0.05589
75659,0.31743
60135,0.48128
3003,0.2217
62748,0.15046
48871,0.0387
68081,7e-05
10715,0.01677
18278,0.53166
11112,0.01796
10680,0.10577
39089,0.71098
92019,0.01655
23820,0.19879
28533,0.01575
61946,0.10836
68786,0.156
50374,0.01809
32563,0.16122
91650,0.00068
54629,0.00042
38213,0.04994
23419,0.0782
5647,0.04095
25369,0.21433
61117,0.24662
90892,0.65682
56964,0.02697
73556,0.66499
21316,0.4755
57187,0.56009
50543,0.02014
92908,0.37743
76663,0.5071
50791,0.40916
42964,0.78125
36473,0.00343
41795,0.13291
3005,0.04442
92387,0.43651
90232,0.29342
87360,0.28652
72062,0.00669
29388,0.00066
90178,0.02969
1090,0.12351
22898,0.01836
994,0.34636
74120,0.26533
82594,0.45363
45211,0.05061
83526,0.0739
77504,0.68369
77357,0.02148
94837,0.48068
75345,0.0203
33825,0.00023
67688,0.00183
43567,0.00523
90096,0.26197
84103,0.06649
89217,0.18703
11035,0.00966
73782,0.41807
61029,0.40697
22253,0.00957
71770,0.03236
14851,0.00574
48543,0.00445
53375,0.03834
9239,0.05118
50910,0.09745
7752,0.01203
14390,0.02306
38461,0.00453
29014,0.00549
17962,0.00176
56755,0.00628
82489,0.01039
61481,0.10398
21066,0.14575
38231,0.29453
76306,0.10968
32221,0.06115
86030,0.28618
76070,0.01614
81782,0.00985
43513,0.00599
46218,0.74047
41215,0.21698
88994,0.39499
83879,0.00041
55133,0.01509
97682,0.00315
2168,0.03995
32212,0.00918
73618,0.01772
10805,0.09811
48944,0.01516
37538,0.12465
69219,0.05832
99284,0.54857
17593,0.21647
83733,0.04231
3224,0.00392
19283,0.00625
18719,0.20764
96329,0.28257
47823,0.78113
16869,0.22056
60538,0.70657
49291,0.00082
71079,0.23412
25632,0.38062
62251,0.25742
72780,0.02749
13003,0.20509
40002,0.0
98765,0.05582
86688,0.33148
58320,0.1057
84383,0.47201
76245,0.04399
93031,0.18992
54534,0.04819
58723,0.1042
36529,0.01271
77541,0.28534
49677,0.00043
76734,0.08219
99838,0.11763
1529,0.0108
30528,0.51191
11220,0.29071
93804,0.0985
58259,0.0002
20339,0.31702
42577,0.05856
23740,0.39046
7391,0.19657
94300,0.11792
81918,0.01418
25894,0.01005
37142,0.01661
88486,0.08584
17974,0.11221
23522,0.49257
60666,0.84909
2482,0.05478
88646,0.00731
82150,0.14826
86468,0.00557
75758,0.45131
35498,0.19435
86662,0.13804
48888,0.33935
86890,0.23319
80800,0.02059
21045,0.00189
2799,0.08469
10916,0.29323
77435,0.10459
27846,0.07003
9054,0.27562
19538,0.0
19587,0.01476
92929,0.08154
91755,0.01515
35661,0.17935
60771,0.36246
40120,0.53962
889,0.07649
23531,0.33032
16672,0.08628
10823,0.36421
80285,0.03498
81029,0.00723
44604,0.10679
39242,0.37873
26560,0.00813
46806,0.0995
96785,0.01183
24706,0.38813
88480,0.01436
57315,0.00119
3446,0.06773
12090,0.14365
97040,0.63192
65462,0.3353
5241,0.03607
97418,0.00936
13258,0.0093
89719,0.36807
68834,0.01658
91152,0.13257
48913,0.08145
3626,0.40703
91685,0.31319
8691,0.63127
30925,0.00476
56825,0.30737
3830,0.02431
30378,0.037
77994,0.18578
33864,0.6596
2796,0.00274
46336,0.61203
6057,0.00808
14343,0.22132
97320,0.15293
36178,0.1488
53255,0.10107
80715,0.05123
45459,0.13787
14349,0.30356
81802,0.05313
22939,0.02703
46890,0.16577
70172,0.62966
98942,0.14677
69473,0.32305
60799,0.28432
96623,0.16984
66047,0.05256
22722,0.68707
89798,0.07177
52528,0.1231
4092,0.00691
21782,0.05648
98723,0.55457
83686,0.20093
84689,0.00555
50369,0.01383
76171,0.0013
77288,0.6112
46229,0.32033
56531,0.06539
93788,0.00673
25213,0.02358
14288,0.12654
17576,0.15328
72959,0.12549
37382,0.08038
24649,0.08307
62269,0.02594
26285,0.48977
50918,0.64642
21401,0.06101
6804,0.02381
29533,0.65738
78638,0.12926
58557,0.05173
21840,0.01421
62409,0.05549
42474,0.04054
97174,0.12771
982,0.16399
27505,0.51627
22484,0.2745
93301,0.03818
72723,0.10879
33030,0.20344
46652,0.07303
18514,0.49653
91001,0.00134
65553,0.02912
22916,0.10455
7567,0.07868
63483,0.04026
8040,0.03668
83390,0.04618
69635,0.04543
11931,0.22659
17020,0.05273
82996,0.20468
66758,0.01595
25451,0.00162
57816,0.0051
10408,0.24104
17997,0.09931
20809,0.01524
18073,0.67517
69408,0.10833
14232,9e-05
97769,0.16312
44630,0.06678
30025,0.38685
67366,0.0609
47764,0.04745
75613,4e-05
44568,0.12007
5465,0.7342
15822,0.00098
16082,0.12488
63662,0.00724
691,0.01703
26425,0.07453
4526,0.80628
70441,0.03746
71110,0.00333
40833,0.06711
3148,0.02614
12251,0.34299
85596,0.31454
24117,0.03593
54587,0.04284
54958,0.39023
65105,0.44731
88867,0.17532
87042,0.42971
42750,0.05679
47715,0.08596
3195,0.01089
51160,0.09844
76544,0.05516
25862,0.01183
29504,0.07178
5761,0.04525
72804,0.01269
76085,0.33036
87422,0.01803
48691,0.02899
95338,0.02568
94674,0.03862
52769,0.0
15292,0.00234
62957,0.29071
44601,0.01246
16786,0.43538
26420,0.04801
95549,0.22947
8305,0.09164
31436,0.0033
83200,0.11337
35741,0.12922
26488,0.12031
31316,0.12422
42658,0.01489
33872,0.00331
75688,0.3103
59874,0.37517
66182,0.09066
4113,0.04118
41713,0.08519
49768,0.23003
51713,0.2245
85097,0.03296
76691,0.21865
42735,0.03574
95616,0.16483
98805,0.06543
8170,0.02716
89204,0.00596
3120,0.02263
33883,0.00288
71963,0.00132
89404,0.68803
9847,0.05128
18028,0.03673
49132,0.01208
21982,0.00891
97709,0.24525
84978,0.07735
31850,0.03793
56548,0.07916
80539,0.62716
99241,0.56374
38535,0.02219
42777,0.00016
67603,0.1579
36307,0.00353
47726,0.18347
7724,0.01897
10449,0.06521
13756,0.09404
53513,0.48306
135,0.21923
44481,0.19091
8269,0.17113
86918,0.28139
22036,0.05562
52743,0.22379
86531,0.32344
45538,0.10999
7858,0.23658
17820,0.0651
24329,0.23591
93490,0.15255
3773,0.81039
61688,0.70906
91213,0.41661
19081,0.0
6338,0.06609
82146,0.0
54100,0.12355
40581,0.00342
63423,0.91429
35492,0.48848
12776,0.0281
95220,0.09983
89419,0.1673
49734,0.00522
73523,0.05823
45828,0.19164
14034,0.18796
8818,0.00447
62695,0.02727
25154,0.00962
74813,0.01132
15307,0.03016
21139,0.20033
21770,0.05642
88233,0.12897
87436,0.05625
25612,0.28449
13087,0.00172
50474,0.00494
78253,0.17498
25020,0.02399
25313,0.01669
42772,0.03745
93344,0.00883
84936,0.03216
16320,0.97097
32645,0.55364
93468,0.07021
51213,0.50774
46264,0.13876
34316,0.67146
45395,0.11658
46640,0.02383
93362,0.86505
13575,0.11694
27677,0.00981
50100,0.00698
65619,0.00419
81487,0.45429
57865,0.05627
65419,0.0114
67825,0.05667
71586,0.35473
22863,0.07147
89766,0.63285
70574,0.08303
71811,0.01881
5842,0.02897
33790,0.33347
84614,0.1098
62058,0.00265
61242,0.05767
96362,0.00217
34256,0.18249
24093,0.38443
6349,0.15547
80963,0.18805
1277,0.02975
27274,0.06046
30052,0.0783
74559,0.01861
21971,0.40921
7210,0.01023
24909,0.15541
64160,0.00089
23554,0.01305
92260,0.06679
32863,0.04395
74981,0.03849
61692,0.06167
52949,0.30649
47140,0.00673
76773,0.19781
32269,0.07251
24522,0.03089
43415,0.02953
72231,0.28898
50150,0.15957
65206,0.02707
41333,0.00054
47792,0.07715
53900,0.02732
2597,0.01388
8733,0.01297
37192,0.24032
6257,0.10307
50988,9e-05
67325,0.00802
69,0.01676
14557,0.06855
61585,0.0476
23427,0.12536
75131,0.41957
97212,0.2918
21120,0.10154
93224,0.06474
50586,0.03562
89577,0.18828
21043,0.03111
4301,0.03653
64783,0.14686
7097,0.04383
17382,0.03092
83102,0.2772
61624,0.00234
44450,0.35677
1916,0.11193
45993,0.14618
70492,0.00047
89779,0.2148
51504,0.01614
39846,0.00247
2262,0.12417
37563,0.02512
77292,0.20909
84068,0.05515
56785,0.05139
85499,0.06131
70875,0.24661
82180,0.20973
42602,0.00271
34749,0.0
47824,0.2275
44992,0.20698
17530,0.01064
23070,0.16208
65432,0.01183
73340,0.1681
59743,0.00173
68569,0.0093
60831,0.05075
56288,0.34072
15277,0.91678
6355,0.23012
36467,0.00637
98127,0.22063
19043,0.04968
15471,0.41666
17289,0.0963
29652,0.0053
15210,0.27067
32959,0.09654
19064,0.04697
11996,0.00099
42694,0.02858
57733,0.01235
56051,0.04461
11344,0.30262
15503,0.21128
22519,0.01515
13034,0.05713
68595,0.70198
88969,0.09291
58535,0.10481
85829,0.39424
78235,0.00125
15897,0.02086
39369,0.01983
40200,0.08069
66259,0.0411
37608,0.00776
45387,0.08292
6969,0.02439
2483,0.00658
50746,0.02249
32777,0.00426
43125,0.06541
73421,0.18098
95861,0.15725
76072,0.0101
43965,0.0309
24050,0.08296
75752,0.05432
89934,0.00164
31063,0.24844
39122,0.11743
62187,0.14625
53477,0.12179
91768,0.13177
16641,0.12328
69375,0.07522
47274,0.32657
76430,0.11796
96646,0.19606
74929,0.2806
95225,0.06786
87654,0.5505
19836,0.40087
60352,0.05386
9475,0.91368
73435,0.11164
18776,0.25636
64210,0.01707
30957,0.0767
10149,0.03269
68881,0.34559
33266,0.58781
86268,0.00875
38600,0.07273
96933,0.01469
94899,0.03126
40087,0.00124
61947,0.00085
38751,0.02148
63111,0.00123
19745,0.21402
27993,0.41373
12974,0.08787
75735,0.14499
79881,0.2108
77240,0.92403
74186,0.02998
21406,0.52523
53171,0.19365
55536,0.02198
45520,0.03307
76780,0.03256
74950,0.05352
65246,0.0766
49608,0.00335
88146,0.19227
46600,0.32815
10425,0.09399
49641,0.01365
74502,0.09909
41576,0.05616
34546,0.01435
87478,0.16357
36345,0.0047
39970,0.25714
37092,0.07
99680,0.18173
46569,0.04281
38252,0.6229
34356,0.00227
67403,0.03929
77924,0.26368
25691,0.14945
25490,0.0087
19004,0.02299
6966,0.23621
6031,0.27941
23920,0.00545
18490,0.01439
1807,0.03332
75195,0.0107
28244,4e-05
66979,0.00152
33403,0.00791
48006,0.48806
75376,0.03755
93844,0.20904
24642,0.61245
90082,0.45539
83832,0.13077
47752,0.02672
1489,0.23175
71582,0.06557
24635,0.04927
89689,0.01598
31163,0.03345
2252,0.03281
41274,0.06491
29995,0.1616
6396,0.06207
19070,0.94851
41886,0.05883
4941,0.00917
75500,0.09021
69775,0.6301
28854,0.09098
41202,0.44939
99999,0.05787
19889,0.11078
71850,0.01899
15485,0.56115
88641,0.02758
98372,0.00708
84762,0.0525
884,0.71523
9142,0.15771
70128,0.13507
272,0.2454
64758,0.13045
50225,0.44068
25950,0.01024
82522,0.0429
29519,0.15538
17657,0.02208
93509,0.02672
30801,0.26823
67344,0.26809
62510,0.04876
3486,0.03569
33879,0.45794
27891,0.07318
97549,0.16842
92812,0.09673
2524,0.01401
36328,0.53277
59764,0.09304
11321,0.04602
24946,0.20259
22323,0.01808
63016,0.31714
88451,0.08494
41680,0.08214
80370,0.56773
25107,0.816
88022,0.31011
74471,0.5788
97006,0.09457
30697,0.49423
75379,0.21886
53983,0.00183
48173,0.02614
14548,0.02081
42746,0.39782
68563,0.30317
80967,0.20292
33802,0.46253
88247,0.29957
45316,0.035
30467,0.21755
14269,0.29114
73465,0.17727
60790,0.09183
24089,0.27112
16600,0.48563
58378,0.14104
98264,0.14108
235,0.23029
39014,0.76069
69284,0.0
15088,0.14439
1226,0.23456
78789,0.08243
91356,0.54266
44509,0.04648
14313,0.0142
37485,0.01952
2997,0.46269
45356,0.48063
45934,0.01607
93516,0.14549
45473,0.00927
10338,0.1018
31507,0.52641
96548,0.49064
66725,0.04987
36132,0.06449
85832,0.20437
90985,0.22718
69516,0.06492
44523,0.2633
90738,0.06735
88505,0.18805
80026,0.06402
83908,0.01977
35554,0.13791
33379,0.01489
15490,0.07137
82664,0.41084
865,0.08475
8270,0.21869
95606,0.19994
64721,0.69537
43545,0.57393
10927,0.07589
59916,0.72941
65557,0.31727
83438,0.14923
32314,0.14173
40054,0.03382
62618,0.3887
91887,0.23422
8907,0.0148
78287,0.12092
43241,0.00552
57177,0.0203
77001,0.25868
95608,0.00026
63324,8e-05
20595,0.40673
7368,0.01407
99704,0.87335
90038,0.1272
57782,0.10871
45842,0.00122
53361,0.63845
26783,0.41969
48441,0.18404
70824,0.89776
28609,0.23558
72290,0.02019
98885,0.08731
56110,0.0312
47657,0.01569
63229,0.83442
92220,0.05474
98950,0.11295
88956,0.18356
4396,0.36824
28087,0.08107
54974,0.11559
46159,0.14513
80115,0.06831
91339,0.13007
7588,0.0
1260,0.00338
56889,0.00385
83787,0.06475
96874,0.02112
75745,0.1369
81601,0.90729
71929,0.58218
76787,0.00067
62804,0.40522
22464,0.33547
91509,0.39173
46854,0.35987
49653,0.23813
81312,0.31261
21435,0.00847
53321,0.00614
44230,0.08778
6554,0.027
68480,0.07609
59691,0.04993
83931,0.20531
54408,0.03954
40632,0.0266
53540,0.65051
55115,0.07734
71475,0.37643
39065,0.30782
98450,0.5148
33927,0.06286
4219,0.22033
14325,0.00533
37939,0.1451
19736,0.17491
79188,0.8421
297,0.01912
6775,0.00164
71108,0.04334
65409,0.13498
60991,0.04359
86780,0.11384
47005,0.31137
28719,0.03059
11194,0.14037
41389,0.06334
55679,0.5212
92441,0.06829
11634,0.18095
35582,0.10082
93702,0.1612
44188,0.01963
76649,0.22334
5179,0.25121
40242,0.21632
93556,0.00571
15453,0.41043
56711,0.01528
65792,0.07752
64863,0.32841
40717,0.18781
87025,0.05385
77516,0.35568
85729,0.47547
69272,0.03981
71794,0.50395
63948,0.1422
77829,0.01676
683,0.19043
49149,0.39039
1960,0.03531
7498,0.09095
936,0.12734
50745,0.26815
82290,0.00167
28222,0.0
85987,0.08163
774,0.09725
91718,0.01767
60520,0.18219
40081,0.06256
75815,0.00413
62233,0.3676
94048,0.74637
98777,0.29442
90815,0.24529
74492,0.04062
66061,0.38147
42364,0.24677
5228,0.09032
80558,0.01163
15016,0.01851
74946,0.09633
64665,0.03556
40682,0.01722
30570,0.11314
75675,0.04793
14492,0.0761
80398,0.10932
96625,0.02164
63767,0.10212
22277,0.02072
