ID_CORRELATIVO,ATTRITION
47411,0.42268
39861,0.45232
38898,0.00447
50927,0.00413
32969,0.29694
89661,0.32289
12197,0.03369
71520,0.13485
59759,0.5504
36743,0.03008
10736,0.18553
5106,0.44279
44506,0.05899
47767,0.24587
74686,0.06296
63023,0.00108
13584,0.32073
317,0.00482
62570,0.02423
68244,0.00766
72881,0.05152
18280,0.00327
70682,0.03136
79902,0.23092
35073,0.08462
84331,0.08191
70921,0.02258
82245,0.2791
17714,0.04193
13993,0.01052
658,0.76305
33916,0.27514
92737,0.35153
22844,0.07941
93339,0.19649
29572,0.01319
24751,0.71783
37862,0.0257
26676,0.29442
8675,0.13258
64245,0.16915
57248,0.47832
3531,0.0007
9834,0.07754
74246,0.13762
56683,0.00035
16847,0.03284
96617,0.20227
94167,0.00966
42800,0.40909
70106,0.3511
42486,0.13278
78076,0.09239
85819,0.53149
15786,0.13214
61483,0.00814
25630,0.0454
22501,0.01378
92447,0.04282
13795,0.02018
57101,0.01568
55077,0.00295
47600,0.11478
5924,0.62428
34900,0.113
91990,0.15125
50268,0.31163
66401,0.19949
18014,0.00048
20006,0.06153
55391,0.22261
40304,0.7512
12832,0.23103
41746,0.04012
69384,0.05966
56225,0.40488
46522,0.00647
59922,0.031
48609,0.08806
77235,0.61053
8082,0.15267
65539,0.05718
39769,0.08574
96098,0.07125
86925,0.74432
53370,0.17899
60773,0.23103
47138,0.20708
44098,0.00156
61301,0.05801
38956,0.0119
7585,0.4219
14240,0.04684
49732,0.01523
48849,0.06497
72202,0.03514
14480,0.05277
33035,0.00191
43985,0.19195
85217,0.01357
8121,0.28615
95484,0.04322
57781,0.02101
85281,0.00677
71928,0.12064
79044,0.00029
54020,0.1849
46617,0.00322
3924,0.49135
76379,0.0618
62379,0.19317
80390,0.1007
95214,0.0016
24624,0.51198
89328,0.06488
85616,0.28701
84393,0.18646
63954,0.28414
20998,0.23706
42995,0.0024
67212,0.18681
95562,0.03374
1869,0.11924
81929,0.06854
72552,0.10363
34425,0.00971
83123,0.22402
90228,0.12866
27741,0.06544
53991,0.02146
15167,0.08295
29006,0.02866
86461,0.07228
22615,0.49508
90108,0.01598
12561,0.33268
18306,0.46532
78913,0.47856
38785,0.09486
13919,0.00266
59619,0.07372
17801,0.07809
11683,0.07346
50393,0.53345
1414,0.12666
49705,0.10801
11495,0.04876
74515,0.10416
87870,0.28012
18347,0.04392
3854,0.28679
19733,0.22475
44194,0.07744
80652,0.26417
22356,0.01236
56887,0.0516
54654,0.05289
81154,0.01393
60139,0.03011
49481,0.39626
13027,0.00482
6073,0.03395
21221,0.1199
78849,0.02445
98453,0.01648
43204,0.87468
49495,0.10069
50040,0.1882
62238,0.31642
96941,0.25541
51613,0.28817
28840,0.07659
88334,0.26064
40679,0.701
91906,0.1346
61997,0.61505
96234,0.03598
35191,0.08406
99214,0.00251
94474,0.01762
70794,0.07176
96104,0.00161
63209,0.03058
78212,0.75722
9699,0.25929
89800,0.02579
52248,0.30346
48960,0.04911
77980,0.49562
58769,0.36025
74585,0.0252
33294,0.01448
93240,0.17304
27238,0.5572
2569,0.65724
51644,0.05454
48318,0.02074
9421,0.17659
77916,0.02771
11814,0.31664
61073,0.18461
64158,0.00033
2805,0.01485
72093,0.20198
48104,0.36836
20668,0.45003
68085,0.09273
63923,0.02501
53517,0.06844
3104,0.27677
99805,0.30708
39359,0.32423
18783,0.00198
15511,0.62074
77153,0.02859
45019,0.31754
85462,0.04706
96718,0.01977
34821,0.50109
22810,0.02324
93544,0.14051
35535,0.08724
65259,0.4204
75047,0.02645
58877,0.14281
64070,0.19432
41996,0.09312
71713,0.07797
38718,0.01171
17155,0.64373
24713,0.02511
62892,0.05175
29011,0.06702
6645,0.07335
41304,0.02951
58739,0.02535
23285,0.21301
48191,0.12005
97795,0.00733
6696,0.39769
64069,0.07323
82691,0.37185
18615,0.23011
62684,0.20353
9287,0.00988
6874,0.10969
22369,0.08256
92953,0.03777
84842,0.00566
28468,0.07066
30792,0.14565
13171,0.40162
17252,0.24037
40297,0.07392
98009,0.04178
15527,0.01618
7383,0.36158
5269,0.27827
31169,8e-05
23713,0.46982
93782,0.2071
33652,0.06758
50852,0.11058
62065,0.00125
58026,0.02583
75285,0.03027
14705,0.25118
47071,0.01063
37161,0.04809
77239,0.0359
24989,0.01215
90966,0.04499
76360,0.41474
94753,0.15074
84592,0.33178
67471,0.04425
41794,0.77705
31485,0.09239
91545,0.24308
53221,0.02887
8201,0.21622
60467,0.05516
68016,0.06275
38784,0.03784
55226,0.18257
65209,0.09662
75408,0.00033
85243,0.05636
79788,0.28647
61994,0.04223
79195,0.55894
46240,0.0525
22216,0.4565
70954,0.04691
84807,0.00115
46536,0.38205
36753,0.00621
97859,0.02268
23760,0.19981
85723,0.00673
64710,0.44585
27733,0.0
81034,0.05286
12401,0.08573
62556,0.27446
93553,0.09583
95020,0.04635
89411,0.02629
49025,0.57635
175,0.26672
41587,0.13892
95452,0.03541
66833,0.08314
35540,0.02892
27054,0.00768
73979,0.15519
86206,0.07408
44847,0.33525
3840,0.48179
61419,0.09971
41064,0.26189
3234,0.47477
48912,0.16651
14659,0.33052
95329,0.02461
48199,0.31958
57661,0.09078
91561,0.11483
98545,0.01361
64053,0.28837
44127,0.00347
19986,0.01325
50281,0.33542
23864,0.02084
10807,0.01828
46633,0.10254
22081,0.07963
58024,0.02117
43243,0.14629
87491,0.00773
8098,0.10875
15691,0.55503
92195,0.19883
89981,0.0018
61666,0.07956
59887,0.05947
72746,0.32526
97844,0.02796
66080,0.14873
35864,0.00458
91618,0.05591
63875,0.00786
12653,0.16902
82407,0.34277
60272,0.10494
45986,0.25229
40088,0.06675
30671,0.00199
47115,0.97268
87106,0.19622
18985,0.11196
78531,0.08952
99309,0.00427
30856,0.00087
57429,0.19261
90844,0.14906
61193,0.09589
61960,0.08422
27310,0.53296
85688,0.00021
13849,0.07374
20923,0.03585
81184,0.05095
92660,0.04003
52780,0.54521
58352,0.00642
84217,0.16765
18894,0.01021
2060,0.0034
49450,0.00892
16422,0.09985
63949,0.05546
14806,0.23467
54228,0.02994
47189,0.00253
52562,0.05927
87245,0.06046
37544,0.02192
30325,0.01179
27069,0.00115
65802,0.06319
64416,0.18385
22027,0.04518
65273,0.36027
28436,0.05368
61160,0.42764
32883,0.06993
64263,0.01193
3036,0.12188
1394,0.07207
15909,0.01286
33028,0.0
94431,0.10329
54780,0.26495
43674,0.10739
73620,0.00282
75024,0.18087
98242,0.06952
8382,0.19133
9870,0.08027
77482,0.02682
93661,0.12574
61203,0.01565
65157,0.04148
6978,0.00728
17470,0.01901
53031,0.90385
37506,0.11697
5012,0.12301
2994,0.36864
17970,0.11063
78783,0.15184
20016,0.12731
12503,0.78386
61154,0.69609
12861,0.036
67373,0.27269
48455,0.00437
6505,0.00037
61490,0.20738
54247,0.26797
5795,0.80203
28306,0.22427
85714,0.09961
82657,0.0217
44030,0.06198
65255,0.00106
64927,0.04947
75324,0.43211
6857,0.02334
11287,0.13661
35241,0.08652
34242,0.70779
69085,0.20882
71311,0.00849
36269,0.20091
14738,0.34053
549,0.48271
3479,0.0822
80866,0.40697
92323,0.21861
43887,0.33452
85023,0.13001
97922,0.14713
16440,0.14461
69117,0.67494
25539,0.34817
12828,0.12228
89828,0.08884
25600,0.00121
24291,0.53988
63983,0.33788
67518,0.01568
82104,0.00027
29260,0.02256
40004,0.09145
65199,0.02996
76117,0.02497
93827,0.22597
29395,0.0251
86252,0.05214
40938,0.48357
24209,0.01651
24037,0.18661
80880,0.03128
33040,0.03286
52215,0.07508
38125,0.08036
13173,0.08547
65774,0.17467
16691,0.01132
71372,0.33038
33821,0.64003
90285,0.27333
8425,0.62406
36687,0.15083
78613,0.06475
23269,0.09534
65699,0.04531
99079,0.02225
45348,0.00268
40929,0.33059
3792,0.07155
46357,0.27742
62600,0.00774
23863,0.13086
77937,0.50523
335,0.03941
60070,0.03654
13973,0.01448
45656,0.01217
18176,0.0062
5930,0.00532
86954,0.12981
64225,0.08307
72124,0.00107
2108,0.08019
44109,0.17166
16923,3e-05
70941,0.00467
83294,0.04732
78522,0.89638
95018,0.01771
96818,0.21829
27237,0.19076
84772,0.06264
41563,0.00375
73476,0.0793
72352,0.11676
79414,0.09976
60076,0.21852
80745,0.77241
86202,0.15232
16667,0.00236
61215,0.07303
3297,0.2094
3700,0.10456
70352,0.03229
72752,0.8492
16377,0.03415
455,0.0217
16803,0.0202
45698,0.01332
13350,0.01667
76081,0.21229
77878,0.24234
72854,0.08062
36377,0.83479
64828,0.09667
5048,0.13379
20341,0.00261
93214,0.03613
70114,0.13818
22778,0.06217
24111,0.25652
91002,0.44181
41036,0.02793
84784,0.27367
77981,0.00355
62877,0.01587
75883,0.0
65815,0.4245
9256,0.09231
43407,0.03403
2531,0.02856
27887,0.02579
12062,0.0
20044,0.3082
65756,0.02343
93096,0.21876
22795,0.04941
87212,0.22043
35969,0.05401
16574,0.2547
86765,0.0022
15941,0.08571
90109,0.06508
48087,0.22876
58303,0.29331
94111,0.0391
58882,0.06219
68501,0.16675
15523,0.08943
32550,0.02189
66142,0.05143
34097,0.16689
65169,0.05196
97085,0.88386
56165,0.00378
86685,0.4571
70155,0.02639
94728,0.03535
18780,0.02979
94486,0.12869
39723,0.10319
53398,0.03311
49177,0.08651
61923,0.05388
72622,0.14256
78582,0.66779
55627,0.05519
52808,0.73508
26623,0.12726
68723,0.06878
15319,0.0376
33747,0.01828
73915,0.32176
92776,0.00913
49883,0.42269
98556,0.02882
88865,0.03106
97115,0.02588
54132,0.05249
9554,0.01321
70701,0.11641
5627,0.10929
80129,0.44247
8134,0.00057
69401,0.12404
