ID_CORRELATIVO,ATTRITION
47411,0.4309
39861,0.44334
38898,0.00463
50927,0.00362
32969,0.29645
89661,0.32149
12197,0.0351
71520,0.14475
59759,0.5457
36743,0.03147
10736,0.17128
5106,0.45191
44506,0.05683
47767,0.2501
74686,0.06075
63023,0.00092
13584,0.32182
317,0.00453
62570,0.02744
68244,0.00668
72881,0.04668
18280,0.00355
70682,0.02977
79902,0.23504
35073,0.08165
84331,0.08103
70921,0.02048
82245,0.29002
17714,0.04012
13993,0.00622
658,0.76445
33916,0.27478
92737,0.35915
22844,0.08131
93339,0.19294
29572,0.01244
24751,0.72045
37862,0.02204
26676,0.29153
8675,0.13392
64245,0.16816
57248,0.48115
3531,0.0011
9834,0.0787
74246,0.14006
56683,0.00054
16847,0.03805
96617,0.20969
94167,0.00937
42800,0.40792
70106,0.35639
42486,0.12973
78076,0.09612
85819,0.52715
15786,0.12547
61483,0.00976
25630,0.04513
22501,0.01534
92447,0.04169
13795,0.02153
57101,0.01488
55077,0.0028
47600,0.11047
5924,0.61259
34900,0.11525
91990,0.13891
50268,0.31595
66401,0.20019
18014,0.00031
20006,0.06184
55391,0.22188
40304,0.76295
12832,0.23351
41746,0.03549
69384,0.0623
56225,0.39738
46522,0.00859
59922,0.03206
48609,0.09478
77235,0.60791
8082,0.16267
65539,0.05952
39769,0.08727
96098,0.07508
86925,0.74248
53370,0.17799
60773,0.24858
47138,0.2083
44098,0.00187
61301,0.05242
38956,0.01221
7585,0.42877
14240,0.0478
49732,0.01638
48849,0.06783
72202,0.03229
14480,0.04994
33035,0.00301
43985,0.19374
85217,0.01452
8121,0.28155
95484,0.04474
57781,0.02196
85281,0.00641
71928,0.12278
79044,0.00028
54020,0.18457
46617,0.00315
3924,0.49444
76379,0.06365
62379,0.19135
80390,0.10643
95214,0.00173
24624,0.50533
89328,0.07208
85616,0.28454
84393,0.19506
63954,0.2648
20998,0.23531
42995,0.00273
67212,0.17914
95562,0.03478
1869,0.12271
81929,0.07039
72552,0.10021
34425,0.00954
83123,0.21702
90228,0.12798
27741,0.05587
53991,0.02058
15167,0.08115
29006,0.02999
86461,0.07465
22615,0.49125
90108,0.01322
12561,0.32043
18306,0.46254
78913,0.47783
38785,0.09354
13919,0.00292
59619,0.07279
17801,0.08279
11683,0.07844
50393,0.5424
1414,0.12391
49705,0.10384
11495,0.05174
74515,0.10184
87870,0.29407
18347,0.04269
3854,0.28246
19733,0.22848
44194,0.07708
80652,0.27127
22356,0.01472
56887,0.05067
54654,0.05028
81154,0.01425
60139,0.03227
49481,0.39428
13027,0.00453
6073,0.03215
21221,0.12085
78849,0.02159
98453,0.01598
43204,0.88011
49495,0.09893
50040,0.20006
62238,0.31684
96941,0.25112
51613,0.28744
28840,0.08053
88334,0.25733
40679,0.69386
91906,0.13585
61997,0.59985
96234,0.03947
35191,0.08183
99214,0.00346
94474,0.01792
70794,0.06893
96104,0.00113
63209,0.02664
78212,0.76594
9699,0.2552
89800,0.02908
52248,0.30078
48960,0.0491
77980,0.50184
58769,0.34848
74585,0.02713
33294,0.0143
93240,0.16425
27238,0.55656
2569,0.64112
51644,0.05536
48318,0.02
9421,0.17872
77916,0.02815
11814,0.30619
61073,0.1807
64158,0.00044
2805,0.0142
72093,0.19393
48104,0.36513
20668,0.43417
68085,0.09868
63923,0.02602
53517,0.0673
3104,0.28299
99805,0.31837
39359,0.33104
18783,0.00176
15511,0.62285
77153,0.03131
45019,0.31157
85462,0.0468
96718,0.01964
34821,0.5056
22810,0.0243
93544,0.13016
35535,0.08454
65259,0.4281
75047,0.02239
58877,0.13824
64070,0.20066
41996,0.09321
71713,0.0748
38718,0.01152
17155,0.6362
24713,0.02291
62892,0.05286
29011,0.06846
6645,0.06886
41304,0.02629
58739,0.02243
23285,0.22317
48191,0.12649
97795,0.00766
6696,0.39772
64069,0.07137
82691,0.38375
18615,0.21891
62684,0.21245
9287,0.00986
6874,0.11593
22369,0.0843
92953,0.03843
84842,0.00471
28468,0.06407
30792,0.14184
13171,0.41025
17252,0.23456
40297,0.07623
98009,0.04158
15527,0.01951
7383,0.36835
5269,0.28858
31169,6e-05
23713,0.46128
93782,0.21047
33652,0.07171
50852,0.12518
62065,0.00196
58026,0.0275
75285,0.02908
14705,0.24683
47071,0.00721
37161,0.05198
77239,0.03441
24989,0.00986
90966,0.04437
76360,0.41636
94753,0.15339
84592,0.33179
67471,0.04341
41794,0.78398
31485,0.09061
91545,0.25482
53221,0.03041
8201,0.21803
60467,0.05792
68016,0.07165
38784,0.03543
55226,0.18089
65209,0.09325
75408,0.00029
85243,0.04876
79788,0.27687
61994,0.04007
79195,0.56034
46240,0.05324
22216,0.45047
70954,0.04423
84807,0.00076
46536,0.38347
36753,0.00641
97859,0.02279
23760,0.18912
85723,0.00801
64710,0.44403
27733,0.0
81034,0.05035
12401,0.08605
62556,0.28142
93553,0.08581
95020,0.04415
89411,0.01964
49025,0.58146
175,0.26245
41587,0.13399
95452,0.03237
66833,0.07995
35540,0.02786
27054,0.0059
73979,0.16017
86206,0.0741
44847,0.33285
3840,0.49119
61419,0.10286
41064,0.26124
3234,0.47182
48912,0.17055
14659,0.32438
95329,0.02326
48199,0.32414
57661,0.08894
91561,0.11782
98545,0.01293
64053,0.29168
44127,0.00348
19986,0.01382
50281,0.32149
23864,0.02385
10807,0.01625
46633,0.10568
22081,0.08108
58024,0.0176
43243,0.14594
87491,0.00773
8098,0.10843
15691,0.54021
92195,0.19212
89981,0.0024
61666,0.07738
59887,0.059
72746,0.32783
97844,0.02979
66080,0.15784
35864,0.0044
91618,0.05332
63875,0.0056
12653,0.17149
82407,0.34819
60272,0.11693
45986,0.25134
40088,0.06579
30671,0.00116
47115,0.9688
87106,0.19761
18985,0.11146
78531,0.08364
99309,0.00483
30856,0.00107
57429,0.20228
90844,0.14931
61193,0.09151
61960,0.08768
27310,0.51559
85688,0.00012
13849,0.0637
20923,0.02929
81184,0.05022
92660,0.04147
52780,0.55585
58352,0.00648
84217,0.16891
18894,0.01132
2060,0.00355
49450,0.00926
16422,0.09872
63949,0.05278
14806,0.23629
54228,0.02995
47189,0.00138
52562,0.0578
87245,0.06392
37544,0.01874
30325,0.01323
27069,0.00124
65802,0.06244
64416,0.1981
22027,0.04572
65273,0.35925
28436,0.05178
61160,0.42385
32883,0.0666
64263,0.01196
3036,0.12142
1394,0.06009
15909,0.01069
33028,0.0
94431,0.10377
54780,0.25895
43674,0.11495
73620,0.0031
75024,0.17429
98242,0.0696
8382,0.19088
9870,0.08644
77482,0.02495
93661,0.12955
61203,0.01646
65157,0.03904
6978,0.00812
17470,0.02117
53031,0.90859
37506,0.10533
5012,0.11191
2994,0.37137
17970,0.11478
78783,0.15093
20016,0.12175
12503,0.77422
61154,0.67505
12861,0.03567
