ID_CORRELATIVO,ATTRITION
47411,0.40997
39861,0.4496
38898,0.00329
50927,0.00277
32969,0.305
89661,0.34542
12197,0.03263
71520,0.14778
59759,0.61573
36743,0.03197
10736,0.20457
5106,0.4643
44506,0.04207
47767,0.24732
74686,0.07229
63023,0.00016
13584,0.31787
317,0.00412
62570,0.03561
68244,0.00233
72881,0.05774
18280,0.0016
70682,0.02176
79902,0.22106
35073,0.06989
84331,0.08908
70921,0.01965
82245,0.33814
17714,0.03173
13993,0.00307
658,0.7779
33916,0.28168
92737,0.37664
22844,0.09673
93339,0.20218
29572,0.0154
24751,0.71864
37862,0.03184
26676,0.29571
8675,0.13156
64245,0.21723
57248,0.52095
3531,0.00083
9834,0.08238
74246,0.1297
56683,0.0
16847,0.02676
96617,0.21669
94167,0.00335
42800,0.50979
70106,0.37249
42486,0.14697
78076,0.08703
85819,0.49565
15786,0.11995
61483,0.01866
25630,0.04421
22501,0.01193
92447,0.03689
13795,0.01507
57101,0.02003
55077,0.0027
47600,0.09653
5924,0.61966
34900,0.12532
91990,0.15263
50268,0.30881
66401,0.23112
18014,0.0
20006,0.07733
55391,0.21381
40304,0.80893
12832,0.24841
41746,0.03402
69384,0.04831
56225,0.37491
46522,0.00687
59922,0.02757
48609,0.09846
77235,0.63576
8082,0.19978
65539,0.05829
39769,0.05969
96098,0.07606
86925,0.67106
53370,0.15322
60773,0.21653
47138,0.27058
44098,0.0047
61301,0.06196
38956,0.01304
7585,0.4142
14240,0.04906
49732,0.01278
48849,0.06658
72202,0.03769
14480,0.05174
33035,0.0
43985,0.17514
85217,0.0025
8121,0.28876
95484,0.04954
57781,0.01597
85281,0.00388
71928,0.1626
79044,0.0
54020,0.1381
46617,0.00344
3924,0.47608
76379,0.04598
62379,0.19247
80390,0.08756
95214,0.00178
24624,0.51368
89328,0.08835
85616,0.30175
84393,0.17233
63954,0.26726
20998,0.24624
42995,0.00023
67212,0.21412
95562,0.0359
1869,0.11372
81929,0.07998
72552,0.10376
34425,0.01824
83123,0.20663
90228,0.13589
27741,0.08065
53991,0.01689
15167,0.08236
29006,0.03407
86461,0.0548
22615,0.46899
90108,0.00401
12561,0.34055
18306,0.48556
78913,0.49536
38785,0.09515
13919,0.0
59619,0.08677
17801,0.09946
11683,0.08456
50393,0.50812
1414,0.13823
49705,0.10318
11495,0.04962
74515,0.11652
87870,0.27332
18347,0.03675
3854,0.28283
19733,0.22744
44194,0.08148
80652,0.25343
22356,0.02166
56887,0.0742
54654,0.03665
81154,0.01585
60139,0.03498
49481,0.4069
13027,0.00412
6073,0.02542
21221,0.11674
78849,0.03009
98453,0.02295
43204,0.86119
49495,0.09271
50040,0.15663
62238,0.30434
96941,0.27775
51613,0.27093
28840,0.09303
88334,0.23293
40679,0.71946
91906,0.14181
61997,0.63438
96234,0.02252
35191,0.08518
99214,0.00227
94474,0.02111
70794,0.07704
96104,0.00056
63209,0.01792
78212,0.74183
9699,0.29092
89800,0.04072
52248,0.29596
48960,0.08535
77980,0.49318
58769,0.30702
74585,0.03862
33294,0.00338
93240,0.17285
27238,0.61685
2569,0.68751
51644,0.09182
48318,0.02096
9421,0.20481
77916,0.03172
11814,0.26954
61073,0.19586
64158,0.00071
2805,0.01331
72093,0.19523
48104,0.35001
20668,0.51484
68085,0.07217
63923,0.03427
53517,0.06382
3104,0.2814
99805,0.39227
39359,0.36996
18783,0.0
15511,0.65003
77153,0.02197
45019,0.29167
85462,0.04265
96718,0.02293
34821,0.55351
22810,0.02019
93544,0.10601
35535,0.0599
65259,0.45224
75047,0.03508
58877,0.16727
64070,0.20397
41996,0.0868
71713,0.08449
38718,0.01696
17155,0.6488
24713,0.02565
62892,0.05173
29011,0.05451
6645,0.07303
41304,0.02752
58739,0.03199
23285,0.26491
48191,0.14922
97795,0.00256
6696,0.40927
64069,0.06205
82691,0.38272
18615,0.2266
62684,0.19649
9287,0.00657
6874,0.08077
22369,0.09288
92953,0.04246
84842,0.00683
28468,0.10991
30792,0.14746
13171,0.42533
17252,0.24464
40297,0.09768
98009,0.03378
15527,0.01998
7383,0.40705
5269,0.31959
31169,0.0003
23713,0.46491
93782,0.24142
33652,0.05324
50852,0.12174
62065,0.0
58026,0.01815
75285,0.02224
14705,0.3047
47071,0.00914
37161,0.05076
77239,0.03145
24989,0.01182
90966,0.04056
76360,0.41081
94753,0.14276
84592,0.32361
67471,0.03317
41794,0.8072
31485,0.09971
91545,0.2976
53221,0.02298
8201,0.19933
60467,0.07373
68016,0.057
38784,0.05029
55226,0.1755
65209,0.11433
75408,0.0
85243,0.09422
79788,0.33656
61994,0.04898
79195,0.60971
46240,0.03766
22216,0.46198
70954,0.04493
84807,0.00083
46536,0.37294
36753,0.00599
97859,0.01926
23760,0.18738
85723,0.00071
64710,0.49432
27733,0.0
81034,0.05258
12401,0.05282
62556,0.24991
93553,0.05032
95020,0.03815
89411,0.01001
49025,0.6016
175,0.26354
41587,0.14608
95452,0.03123
66833,0.06895
35540,0.02201
27054,0.00244
73979,0.15399
86206,0.07132
44847,0.3524
3840,0.49167
61419,0.09621
41064,0.26052
3234,0.5002
48912,0.17014
14659,0.35856
95329,0.00993
48199,0.32994
57661,0.04614
91561,0.10157
98545,0.01555
64053,0.2687
44127,0.00254
19986,0.01294
50281,0.33296
23864,0.02307
10807,0.01028
46633,0.10282
22081,0.09947
58024,0.0168
43243,0.16691
87491,0.00371
8098,0.11281
15691,0.49382
92195,0.17883
89981,0.00149
61666,0.05865
59887,0.05313
72746,0.32005
97844,0.03662
66080,0.12822
35864,0.00495
91618,0.05735
63875,0.00397
12653,0.13112
82407,0.38954
60272,0.09039
45986,0.24158
40088,0.05701
30671,0.0004
47115,0.9818
87106,0.19195
18985,0.09661
78531,0.06257
99309,0.00364
30856,0.0014
57429,0.1863
90844,0.16128
61193,0.07966
61960,0.06878
27310,0.54042
85688,0.0
13849,0.07972
20923,0.02242
81184,0.04551
92660,0.03096
52780,0.55465
58352,0.00299
84217,0.17687
18894,0.00507
2060,0.00694
49450,0.00381
16422,0.08547
63949,0.08719
14806,0.20945
54228,0.029
47189,0.0
52562,0.06649
87245,0.05346
37544,0.03215
30325,0.00869
27069,0.00067
65802,0.05237
64416,0.20477
22027,0.03049
65273,0.31795
28436,0.06427
61160,0.43583
32883,0.07283
64263,0.0281
3036,0.10202
1394,0.08432
15909,0.00911
33028,0.0
94431,0.13183
54780,0.25865
43674,0.11807
73620,0.00273
75024,0.16944
98242,0.0471
8382,0.20559
9870,0.09907
77482,0.00686
93661,0.1221
61203,0.01807
65157,0.05156
6978,0.00177
17470,0.02929
53031,0.9397
37506,0.11162
5012,0.17038
2994,0.31578
17970,0.12451
78783,0.18164
20016,0.13441
12503,0.78598
61154,0.71592
12861,0.02656
67373,0.24181
48455,0.00328
6505,0.0
61490,0.2237
54247,0.29006
5795,0.81162
28306,0.2438
85714,0.10535
82657,0.02543
44030,0.06241
65255,0.0
64927,0.03689
75324,0.39221
6857,0.01854
11287,0.14016
35241,0.06837
34242,0.73073
69085,0.19524
71311,0.01109
36269,0.2511
14738,0.36371
549,0.52191
3479,0.07573
80866,0.3974
92323,0.25399
43887,0.33634
85023,0.10741
97922,0.16596
16440,0.12072
69117,0.65505
25539,0.32694
12828,0.15814
89828,0.09931
25600,0.00147
24291,0.48197
63983,0.34264
67518,0.01564
82104,0.0
29260,0.04284
40004,0.10773
65199,0.04307
76117,0.01327
93827,0.26357
29395,0.02988
86252,0.04746
40938,0.50049
24209,0.01498
24037,0.21616
80880,0.0206
33040,0.0289
52215,0.07194
38125,0.10688
13173,0.12659
65774,0.17828
16691,0.01341
71372,0.31879
33821,0.58888
90285,0.2119
8425,0.65261
36687,0.15826
78613,0.06206
23269,0.06272
65699,0.04807
99079,0.01845
45348,0.00335
40929,0.32774
3792,0.09557
46357,0.30745
62600,0.01793
23863,0.14657
77937,0.50956
335,0.02975
60070,0.03273
13973,0.01204
45656,0.00343
18176,0.00528
5930,0.00428
86954,0.15539
64225,0.06348
72124,0.00057
2108,0.07054
44109,0.19595
16923,0.0
70941,0.00022
83294,0.04421
78522,0.88213
95018,0.00662
96818,0.21892
27237,0.17337
84772,0.09244
41563,0.00346
73476,0.08989
72352,0.11716
79414,0.08905
60076,0.20657
80745,0.7341
86202,0.19599
16667,0.00067
61215,0.066
3297,0.24113
3700,0.10647
70352,0.03781
72752,0.87047
16377,0.02849
455,0.01685
16803,0.00792
45698,0.02487
13350,0.01091
76081,0.23718
77878,0.23783
72854,0.07145
36377,0.87331
64828,0.10846
5048,0.14868
20341,0.0
93214,0.04117
70114,0.13373
22778,0.0406
24111,0.25579
91002,0.43743
41036,0.01327
84784,0.25288
77981,0.0069
62877,0.00556
75883,0.0
65815,0.56185
9256,0.1139
43407,0.04914
2531,0.02687
27887,0.01809
12062,0.0
20044,0.29512
65756,0.01343
93096,0.26859
22795,0.07075
87212,0.25078
35969,0.064
16574,0.2768
86765,0.0055
15941,0.09318
90109,0.05017
48087,0.25328
58303,0.30715
94111,0.03738
58882,0.08042
68501,0.17233
15523,0.08499
32550,0.01898
66142,0.05122
34097,0.16321
65169,0.03912
97085,0.90339
56165,0.00661
86685,0.44444
70155,0.03641
94728,0.04163
18780,0.04759
94486,0.12873
39723,0.12277
53398,0.03384
49177,0.07449
61923,0.05288
72622,0.13649
78582,0.62744
55627,0.05576
52808,0.68552
26623,0.14644
68723,0.08325
15319,0.02116
33747,0.02377
73915,0.2911
92776,0.00488
49883,0.44094
98556,0.02656
88865,0.03282
97115,0.02047
54132,0.0613
9554,0.00982
70701,0.12227
5627,0.10576
80129,0.43089
8134,0.0
69401,0.14737
27103,0.74169
30747,0.02981
83422,0.04955
3842,0.05579
2394,0.07373
6597,0.6842
11139,0.18875
57217,0.00019
3953,0.02868
79429,0.01218
60795,0.00138
56610,0.06258
81632,0.254
69638,0.33682
86896,0.0
75514,0.19433
66956,0.70208
70023,0.79275
14775,0.46879
63656,0.0469
86171,0.21884
53818,0.04709
75659,0.30326
60135,0.5146
3003,0.23329
62748,0.11356
48871,0.03224
68081,0.0
10715,0.00952
18278,0.5598
11112,0.01691
10680,0.10946
39089,0.66165
92019,0.02694
23820,0.20798
28533,0.01434
61946,0.10334
68786,0.13401
50374,0.00594
32563,0.14146
91650,0.00027
54629,0.0
38213,0.03964
23419,0.09093
5647,0.03772
25369,0.21417
61117,0.20428
90892,0.68218
56964,0.02259
73556,0.67236
21316,0.4769
57187,0.54923
50543,0.01422
92908,0.40481
76663,0.50727
50791,0.41324
42964,0.78448
36473,0.00245
41795,0.11494
3005,0.04989
92387,0.4365
90232,0.3364
87360,0.29057
72062,0.00083
29388,0.00073
90178,0.01813
1090,0.13976
22898,0.01122
994,0.30283
74120,0.27403
82594,0.47285
45211,0.04145
83526,0.06419
77504,0.71228
77357,0.0231
94837,0.52905
75345,0.01813
33825,0.00045
67688,0.00071
43567,0.00524
90096,0.27289
84103,0.06319
89217,0.18204
11035,0.01692
73782,0.43803
61029,0.41757
22253,0.0072
71770,0.0436
14851,0.00209
48543,0.00765
53375,0.04429
9239,0.05993
50910,0.08335
7752,0.01549
14390,0.01803
38461,0.00508
29014,0.00846
17962,0.00269
56755,0.00615
82489,0.0074
61481,0.12994
21066,0.1351
38231,0.27196
76306,0.11932
32221,0.06349
86030,0.29776
76070,0.01314
81782,0.0107
43513,0.00366
46218,0.77544
41215,0.2011
88994,0.4931
83879,0.0
55133,0.02349
97682,0.00036
2168,0.04802
32212,0.01452
73618,0.0157
10805,0.08431
48944,0.01948
37538,0.12058
69219,0.06321
99284,0.5375
17593,0.24668
83733,0.04405
3224,0.00424
19283,0.00034
18719,0.20117
96329,0.31666
47823,0.7644
16869,0.28313
60538,0.75687
49291,0.00048
71079,0.26918
25632,0.39605
62251,0.31802
72780,0.0238
13003,0.19511
40002,0.0
98765,0.05964
86688,0.36264
58320,0.14506
84383,0.48599
76245,0.05344
