ID_CORRELATIVO,ATTRITION
47411,0.41039
39861,0.45804
38898,0.0062
50927,0.00233
32969,0.30271
89661,0.35427
12197,0.03529
71520,0.1379
59759,0.62277
36743,0.02883
10736,0.19727
5106,0.45068
44506,0.05055
47767,0.25061
74686,0.06973
63023,0.00011
13584,0.30457
317,0.00355
62570,0.02793
68244,0.00425
72881,0.05051
18280,0.00135
70682,0.02342
79902,0.21427
35073,0.07974
84331,0.07044
70921,0.02074
82245,0.3199
17714,0.04011
13993,0.00232
658,0.77696
33916,0.30057
92737,0.37251
22844,0.09838
93339,0.19819
29572,0.01158
24751,0.75552
37862,0.02884
26676,0.31793
8675,0.12805
64245,0.19636
57248,0.53139
3531,0.00056
9834,0.07474
74246,0.14531
56683,0.0
16847,0.02888
96617,0.19817
94167,0.00344
42800,0.49768
70106,0.38616
42486,0.16007
78076,0.08394
85819,0.49956
15786,0.1233
61483,0.01917
25630,0.05254
22501,0.00968
92447,0.02803
13795,0.01657
57101,0.02531
55077,0.0022
47600,0.1037
5924,0.61868
34900,0.13552
91990,0.13325
50268,0.33779
66401,0.21784
18014,0.0
20006,0.08556
55391,0.20235
40304,0.78149
12832,0.22771
41746,0.03833
69384,0.04799
56225,0.37672
46522,0.00687
59922,0.03358
48609,0.09668
77235,0.63474
8082,0.19075
65539,0.06702
39769,0.05556
96098,0.0852
86925,0.72422
53370,0.15717
60773,0.22034
47138,0.25268
44098,0.00374
61301,0.0573
38956,0.01128
7585,0.4132
14240,0.04623
49732,0.01359
48849,0.06588
72202,0.03447
14480,0.05558
33035,0.00033
43985,0.20127
85217,0.00556
8121,0.28134
95484,0.04476
57781,0.01765
85281,0.00395
71928,0.16024
79044,0.0
54020,0.14926
46617,0.00229
3924,0.47632
76379,0.05566
62379,0.18253
80390,0.09462
95214,0.00133
24624,0.51275
89328,0.0663
85616,0.30659
84393,0.18228
63954,0.24624
20998,0.25222
42995,0.00371
67212,0.2234
95562,0.03216
1869,0.1087
81929,0.07539
72552,0.10334
34425,0.01392
83123,0.20295
90228,0.135
27741,0.0664
53991,0.01475
15167,0.07979
29006,0.03597
86461,0.06311
22615,0.48219
90108,0.00367
12561,0.34112
18306,0.4752
78913,0.49946
38785,0.10853
13919,0.0
59619,0.07735
17801,0.09448
11683,0.09869
50393,0.53965
1414,0.13397
49705,0.12112
11495,0.04206
74515,0.12004
87870,0.29951
18347,0.04003
3854,0.26673
19733,0.23026
44194,0.08135
80652,0.2581
22356,0.01547
56887,0.06265
54654,0.04498
81154,0.01745
60139,0.04877
49481,0.40373
13027,0.00355
6073,0.02223
21221,0.13441
78849,0.02598
98453,0.01792
43204,0.87666
49495,0.09319
50040,0.15741
62238,0.31102
96941,0.25312
51613,0.25615
28840,0.09026
88334,0.22924
40679,0.73086
91906,0.14058
61997,0.60023
96234,0.02994
35191,0.0923
99214,0.00432
94474,0.01824
70794,0.07769
96104,0.00105
63209,0.02019
78212,0.73806
9699,0.28326
89800,0.03834
52248,0.29115
48960,0.07534
77980,0.51956
58769,0.32955
74585,0.03582
33294,0.00689
93240,0.16964
27238,0.59073
2569,0.69961
51644,0.07663
48318,0.01846
9421,0.21547
77916,0.02742
11814,0.32299
61073,0.19346
64158,0.00074
2805,0.01489
72093,0.19531
48104,0.37233
20668,0.49656
68085,0.0853
63923,0.02285
53517,0.07036
3104,0.27924
99805,0.34796
39359,0.34803
18783,0.00047
15511,0.67724
77153,0.02652
45019,0.3147
85462,0.04946
96718,0.0229
34821,0.56054
22810,0.02394
93544,0.10515
35535,0.07168
65259,0.43309
75047,0.02742
58877,0.16262
64070,0.19558
41996,0.08238
71713,0.09495
38718,0.01518
17155,0.67969
24713,0.032
62892,0.04933
29011,0.06645
6645,0.0784
41304,0.03582
58739,0.03292
23285,0.23635
48191,0.14845
97795,0.00401
6696,0.41815
64069,0.05989
82691,0.38617
18615,0.22073
62684,0.19979
9287,0.01141
6874,0.08204
22369,0.08748
92953,0.0387
84842,0.00545
28468,0.09808
30792,0.16367
13171,0.42193
17252,0.2489
40297,0.07823
98009,0.03819
15527,0.01915
7383,0.41936
5269,0.28227
31169,0.00034
23713,0.46914
93782,0.23325
33652,0.07917
50852,0.12077
62065,0.00058
