ID_CORRELATIVO,ATTRITION
47411,0.39375
39861,0.51381
38898,0.01982
50927,0.00861
32969,0.46514
89661,0.63465
12197,0.02353
71520,0.04911
59759,0.88459
36743,0.01875
10736,0.19361
5106,0.53745
44506,0.14682
47767,0.51173
74686,0.1094
63023,0.08469
13584,0.62247
317,0.05561
62570,0.01619
68244,0.0051
72881,0.07675
18280,0.06795
70682,0.04166
79902,0.21094
35073,0.24551
84331,0.16066
70921,0.02952
82245,0.30926
17714,0.05711
13993,0.00652
658,0.73488
33916,0.2094
92737,0.53088
22844,0.08165
93339,0.22422
29572,0.00452
24751,0.92522
37862,0.01291
26676,0.35283
8675,0.03542
64245,0.18973
57248,0.69062
3531,0.00264
9834,0.05112
74246,0.11369
56683,0.02463
16847,0.10625
96617,0.09606
94167,0.19579
42800,0.57541
70106,0.16817
42486,0.1321
78076,0.08308
85819,0.50229
15786,0.37552
61483,0.12362
25630,0.03108
22501,0.06673
92447,0.12118
13795,0.03197
57101,0.15248
55077,0.04731
47600,0.45576
5924,0.65982
34900,0.06904
91990,0.20275
50268,0.24374
66401,0.17115
18014,0.00094
20006,0.05484
55391,0.45946
40304,0.50064
12832,0.30309
41746,0.1037
69384,0.1654
56225,0.59338
46522,0.00546
59922,0.04814
48609,0.06802
77235,0.77823
8082,0.25741
65539,0.12714
39769,0.17773
96098,0.06191
86925,0.93505
53370,0.22187
60773,0.20596
47138,0.17619
44098,0.00056
61301,0.08872
38956,0.01329
7585,0.43197
14240,0.05161
49732,0.05074
48849,0.03523
72202,0.14492
14480,0.20395
33035,0.00985
43985,0.19563
85217,0.00864
8121,0.2948
95484,0.075
57781,0.18053
85281,0.07061
71928,0.18523
79044,0.0
54020,0.40236
46617,0.03093
3924,0.62866
76379,0.15143
62379,0.13471
80390,0.10035
95214,0.1112
24624,0.87294
89328,0.02343
85616,0.33423
84393,0.34635
63954,0.35526
20998,0.27473
42995,0.00963
67212,0.17488
95562,0.0871
1869,0.31162
81929,0.09301
72552,0.40801
34425,0.0132
83123,0.32043
90228,0.37983
27741,0.05325
53991,0.01905
15167,0.14967
29006,0.00942
86461,0.0991
22615,0.63819
90108,0.10746
12561,0.37764
18306,0.68791
78913,0.4557
38785,0.14239
13919,0.02463
59619,0.06306
17801,0.13187
11683,0.03874
50393,0.60782
1414,0.43467
49705,0.231
11495,0.10369
74515,0.09827
