ID_CORRELATIVO,ATTRITION
47411,0.365
39861,0.435
38898,0.045
50927,0.0
32969,0.445
89661,0.59728
12197,0.04
71520,0.1
59759,0.69489
36743,0.0
10736,0.155
5106,0.475
44506,0.05
47767,0.28
74686,0.185
63023,0.0
13584,0.555
317,0.03864
62570,0.005
68244,0.03
72881,0.15
18280,0.0
70682,0.01
79902,0.205
35073,0.1585
84331,0.12
70921,0.095
82245,0.325
17714,0.07
13993,0.015
658,0.72
33916,0.25
92737,0.37267
22844,0.045
93339,0.245
29572,0.01
24751,0.935
37862,0.01
26676,0.475
8675,0.1
64245,0.24
57248,0.825
3531,0.0
9834,0.03417
74246,0.1
56683,0.0
16847,0.02
96617,0.01
94167,0.0
42800,0.7
70106,0.215
42486,0.17
78076,0.205
85819,0.57854
15786,0.22
61483,0.025
25630,0.055
22501,0.03
92447,0.225
13795,0.025
57101,0.07
55077,0.005
47600,0.495
5924,0.625
34900,0.14
91990,0.06
50268,0.285
66401,0.085
18014,0.0
20006,0.105
55391,0.1
40304,0.635
12832,0.165
41746,0.08
69384,0.115
56225,0.63697
46522,0.0
59922,0.08
48609,0.085
77235,0.99
8082,0.29
65539,0.195
39769,0.03508
96098,0.035
86925,0.92
53370,0.16
60773,0.14
47138,0.375
44098,0.015
61301,0.105
38956,0.0
7585,0.49
14240,0.05454
49732,0.02
48849,0.07
72202,0.13829
14480,0.025
33035,0.0
43985,0.12
85217,0.01
8121,0.2535
95484,0.07
57781,0.02
85281,0.03
71928,0.195
79044,0.0
54020,0.4
46617,0.0
3924,0.52994
76379,0.055
62379,0.03194
80390,0.085
95214,0.005
24624,0.58
89328,0.1
85616,0.5
84393,0.31
63954,0.15
20998,0.20762
42995,0.0
67212,0.315
95562,0.005
1869,0.0
81929,0.64211
72552,0.235
34425,0.035
83123,0.1
90228,0.415
27741,0.025
53991,0.045
15167,0.065
29006,0.02
86461,0.215
22615,0.44
90108,0.04
12561,0.29
18306,0.55
78913,0.23715
38785,0.19895
13919,0.0
59619,0.105
17801,0.155
11683,0.105
50393,0.30823
1414,0.49
49705,0.36
11495,0.06
74515,0.1
87870,0.29
18347,0.0
3854,0.56618
19733,0.48645
44194,0.04
80652,0.245
22356,0.05
56887,0.13
54654,0.14
81154,0.015
60139,0.05
49481,0.215
13027,0.03864
6073,0.02
21221,0.025
78849,0.0
98453,0.005
43204,0.895
49495,0.12
50040,0.325
62238,0.235
96941,0.12
