ID_CORRELATIVO,ATTRITION
47411,0.50478
39861,0.50987
38898,0.00233
50927,0.01484
32969,0.37282
89661,0.68308
12197,0.02753
71520,0.1905
59759,0.88291
36743,0.17406
10736,0.33291
5106,0.5289
44506,0.18624
47767,0.43901
74686,0.06163
63023,0.00852
13584,0.60683
317,0.00756
62570,0.03227
68244,0.00136
72881,0.03962
18280,0.0103
70682,0.03803
79902,0.27275
35073,0.121
84331,0.13095
70921,0.02093
82245,0.34891
17714,0.02713
13993,0.01025
658,0.77171
33916,0.29713
92737,0.3761
22844,0.07692
93339,0.2293
29572,0.0035
24751,0.93223
37862,0.03368
26676,0.28629
8675,0.05354
64245,0.16894
57248,0.69733
3531,0.00064
9834,0.0249
74246,0.15777
56683,0.00159
16847,0.08386
96617,0.18005
94167,0.13767
42800,0.41491
70106,0.09479
42486,0.13303
78076,0.09812
85819,0.60701
15786,0.29429
61483,0.04224
25630,0.03961
22501,0.01532
92447,0.13351
13795,0.02372
57101,0.02908
55077,0.03705
47600,0.34852
5924,0.86624
34900,0.16656
91990,0.26504
50268,0.23153
66401,0.13737
18014,0.00028
20006,0.12211
55391,0.30608
40304,0.50417
12832,0.24923
41746,0.05824
69384,0.11612
56225,0.73947
46522,0.01565
59922,0.11857
48609,0.10154
77235,0.74258
8082,0.34704
65539,0.02588
39769,0.24061
96098,0.08275
86925,0.9489
53370,0.23006
60773,0.25384
47138,0.23311
44098,0.00147
61301,0.0594
38956,0.05393
7585,0.57499
14240,0.08289
49732,0.03759
48849,0.05554
72202,0.0502
14480,0.20254
33035,0.00108
43985,0.21781
85217,0.01429
8121,0.31465
95484,0.06468
57781,0.10912
85281,0.01109
71928,0.19137
79044,0.0
54020,0.40648
46617,0.02295
3924,0.53602
76379,0.08592
62379,0.12613
80390,0.09314
95214,0.04345
24624,0.82638
89328,0.01157
85616,0.3353
84393,0.26507
63954,0.386
20998,0.26073
42995,0.00331
67212,0.16154
95562,0.07642
1869,0.37371
81929,0.14321
72552,0.3155
34425,0.00226
83123,0.24455
90228,0.29906
27741,0.04191
53991,0.01817
15167,0.1213
29006,0.03142
86461,0.08095
22615,0.87835
90108,0.1242
12561,0.42552
18306,0.60732
78913,0.51889
38785,0.16905
13919,0.0037
59619,0.04097
17801,0.06657
11683,0.18578
50393,0.6435
1414,0.34264
49705,0.19273
11495,0.08692
74515,0.13024
87870,0.28662
18347,0.05788
3854,0.75574
19733,0.54878
44194,0.04189
80652,0.28595
22356,0.03047
56887,0.09308
54654,0.0317
81154,0.0088
60139,0.07962
49481,0.49993
13027,0.00756
6073,0.04186
21221,0.1162
78849,0.06533
98453,0.03453
43204,0.96655
49495,0.08863
50040,0.21393
62238,0.30209
96941,0.25984
51613,0.16347
28840,0.10849
88334,0.34602
40679,0.9304
91906,0.06621
61997,0.51786
96234,0.11154
35191,0.1284
99214,0.00027
94474,0.04136
70794,0.04968
96104,0.00689
63209,0.06605
78212,0.8487
9699,0.21656
89800,0.02944
52248,0.42079
48960,0.02692
77980,0.68451
58769,0.21468
74585,0.02713
33294,0.01248
93240,0.3232
27238,0.47181
2569,0.84753
51644,0.1376
48318,0.01225
9421,0.3925
77916,0.03088
11814,0.33004
61073,0.28065
64158,0.00521
2805,0.00597
72093,0.42136
48104,0.42512
20668,0.6945
68085,0.0877
63923,0.02475
53517,0.14687
3104,0.30573
99805,0.48741
39359,0.41464
18783,0.02664
15511,0.74485
77153,0.04985
45019,0.64509
85462,0.08394
96718,0.04988
34821,0.74808
22810,0.05305
93544,0.26149
35535,0.10757
65259,0.62055
75047,0.23814
58877,0.33994
64070,0.57261
41996,0.07785
71713,0.07266
38718,0.00667
17155,0.88848
24713,0.12984
62892,0.29234
29011,0.09081
6645,0.03355
41304,0.03599
58739,0.0251
23285,0.28248
48191,0.16736
97795,0.01705
6696,0.41314
64069,0.29153
82691,0.44252
18615,0.28839
62684,0.31929
9287,0.00753
6874,0.16565
22369,0.16278
92953,0.05661
84842,0.00926
28468,0.05292
30792,0.09858
13171,0.54441
17252,0.36459
40297,0.05985
98009,0.04575
15527,0.03974
7383,0.79238
5269,0.18955
31169,0.00773
23713,0.68287
93782,0.18703
33652,0.08017
50852,0.05905
62065,0.0
58026,0.15249
75285,0.05065
14705,0.29759
47071,0.03219
37161,0.0559
77239,0.02781
24989,0.03431
90966,0.07571
76360,0.43793
94753,0.20741
84592,0.20136
67471,0.0988
41794,0.9721
31485,0.21843
91545,0.18361
53221,0.03404
8201,0.20831
60467,0.12434
68016,0.05196
38784,0.06953
55226,0.27268
65209,0.14351
75408,0.00269
85243,0.04186
79788,0.27189
61994,0.06088
79195,0.63717
46240,0.06912
22216,0.71963
70954,0.05458
84807,0.00145
46536,0.34151
36753,0.02505
97859,0.02834
23760,0.19874
85723,0.01642
64710,0.73103
27733,0.00773
81034,0.092
12401,0.07904
62556,0.4265
93553,0.08083
95020,0.10041
89411,0.07224
49025,0.58637
175,0.41763
41587,0.12656
95452,0.07895
66833,0.04283
35540,0.07516
27054,0.00569
73979,0.14781
86206,0.14891
44847,0.46722
3840,0.6875
61419,0.14857
41064,0.28764
3234,0.74001
48912,0.35892
14659,0.53966
95329,0.03042
48199,0.30586
57661,0.1796
91561,0.06009
98545,0.01562
64053,0.26357
44127,0.02091
19986,0.02127
50281,0.44464
23864,0.06649
10807,0.06351
46633,0.79189
22081,0.30902
58024,0.06649
43243,0.18886
87491,0.01365
8098,0.29569
15691,0.65866
92195,0.3908
89981,0.00023
61666,0.03774
59887,0.08007
72746,0.34526
97844,0.0207
66080,0.1303
35864,0.00597
91618,0.08291
63875,0.00345
12653,0.2105
82407,0.63827
60272,0.01792
45986,0.30763
40088,0.02859
30671,0.00379
47115,0.98201
87106,0.24935
18985,0.09274
78531,0.09967
99309,0.04841
30856,0.02231
57429,0.14827
90844,0.12284
61193,0.11656
61960,0.24981
27310,0.84353
85688,0.00028
13849,0.11324
20923,0.02941
81184,0.02473
92660,0.16904
52780,0.39889
58352,0.00697
84217,0.17724
18894,0.05172
2060,0.01672
49450,0.01121
16422,0.09862
63949,0.01604
14806,0.3033
54228,0.0326
47189,0.00036
52562,0.03664
87245,0.07263
37544,0.03361
30325,0.04432
27069,0.0
65802,0.04883
64416,0.21847
22027,0.02327
65273,0.40552
28436,0.0507
61160,0.58193
32883,0.09327
64263,0.14036
3036,0.1456
1394,0.13469
15909,0.01598
33028,0.00187
94431,0.13126
54780,0.38004
43674,0.12173
73620,0.00015
75024,0.21922
98242,0.16009
8382,0.38669
9870,0.10413
77482,0.05187
93661,0.27335
61203,0.04485
65157,0.08309
6978,0.04244
17470,0.00366
53031,0.96718
37506,0.28026
5012,0.14053
2994,0.54114
17970,0.15769
78783,0.13078
20016,0.2413
12503,0.87444
61154,0.85987
12861,0.11203
67373,0.40886
48455,0.00258
6505,0.02312
61490,0.34096
54247,0.38641
5795,0.77138
28306,0.3245
85714,0.08457
82657,0.0493
44030,0.07198
65255,0.00022
64927,0.07897
75324,0.51998
6857,0.01232
11287,0.12115
35241,0.15316
34242,0.54779
69085,0.39484
71311,0.00346
36269,0.30647
14738,0.45297
549,0.78025
3479,0.23065
80866,0.49328
92323,0.3631
43887,0.39322
85023,0.10123
97922,0.12129
16440,0.13519
69117,0.89827
25539,0.46736
12828,0.10937
89828,0.04895
25600,0.00261
24291,0.47629
63983,0.41124
67518,0.02041
82104,0.00756
29260,0.13982
40004,0.15396
65199,0.04804
76117,0.01985
93827,0.80372
29395,0.04346
86252,0.25514
40938,0.71779
24209,0.07563
24037,0.22724
80880,0.04364
33040,0.03168
52215,0.19594
38125,0.14148
13173,0.14095
65774,0.18369
16691,0.00578
71372,0.27251
33821,0.50456
90285,0.06993
8425,0.83236
36687,0.23626
78613,0.20401
23269,0.0685
65699,0.04905
99079,0.02296
45348,0.01116
40929,0.34682
3792,0.18582
46357,0.43772
62600,0.13057
23863,0.21781
77937,0.71535
335,0.02719
60070,0.14851
13973,0.04867
45656,0.03836
18176,0.06581
5930,0.01883
86954,0.09767
64225,0.06744
72124,0.00491
2108,0.16833
44109,0.2355
16923,0.00784
70941,0.80958
83294,0.05156
78522,0.9456
95018,0.01447
96818,0.22931
27237,0.09408
84772,0.05575
41563,0.00309
73476,0.12201
72352,0.23853
79414,0.16963
60076,0.33139
80745,0.92669
86202,0.1353
16667,0.0294
61215,0.28131
3297,0.25556
3700,0.14187
70352,0.14708
72752,0.91345
16377,0.09444
455,0.01938
16803,0.0913
45698,0.15166
13350,0.79749
76081,0.4711
77878,0.50105
72854,0.68496
36377,0.99693
64828,0.13202
5048,0.15376
20341,0.00618
93214,0.11912
70114,0.15839
22778,0.24078
24111,0.36691
91002,0.66617
41036,0.01381
84784,0.4117
77981,0.01465
62877,0.01992
75883,0.00784
65815,0.42188
9256,0.07782
43407,0.06278
2531,0.02561
27887,0.15661
12062,0.00784
20044,0.41133
65756,0.01607
93096,0.21846
22795,0.13036
87212,0.38183
35969,0.00345
16574,0.41971
86765,0.00586
15941,0.12902
90109,0.06201
48087,0.27114
58303,0.32011
94111,0.04536
58882,0.06218
68501,0.67668
15523,0.08441
32550,0.17334
66142,0.0085
34097,0.35107
65169,0.10677
97085,0.96143
56165,0.005
86685,0.49733
70155,0.02974
94728,0.03754
18780,0.20177
94486,0.17199
39723,0.15011
53398,0.45048
49177,0.13733
61923,0.04778
72622,0.2122
78582,0.88841
55627,0.04797
52808,0.78827
26623,0.10457
68723,0.1463
15319,0.06809
33747,0.02442
73915,0.27823
92776,0.00479
49883,0.65183
98556,0.04858
88865,0.07562
97115,0.06477
54132,0.20593
