ID_CORRELATIVO,ATTRITION
47411,0.50709
39861,0.49893
38898,0.00222
50927,0.01108
32969,0.36033
89661,0.67926
12197,0.02616
71520,0.18533
59759,0.8887
36743,0.16351
10736,0.34074
5106,0.5335
44506,0.16091
47767,0.41805
74686,0.06061
63023,0.0098
13584,0.60969
317,0.00813
62570,0.03617
68244,0.00182
72881,0.03733
18280,0.01425
70682,0.04066
79902,0.26037
35073,0.13465
84331,0.1214
70921,0.02029
82245,0.36689
17714,0.01992
13993,0.01185
658,0.77076
33916,0.29525
92737,0.37749
22844,0.08523
93339,0.22147
29572,0.00707
24751,0.93477
37862,0.03154
26676,0.28231
8675,0.05784
64245,0.17123
57248,0.6961
3531,0.00042
9834,0.02394
74246,0.14273
56683,0.00213
16847,0.0808
96617,0.18615
94167,0.14189
42800,0.41743
70106,0.09575
42486,0.14332
78076,0.09498
85819,0.60321
15786,0.26991
61483,0.03939
25630,0.0438
22501,0.01667
92447,0.13237
13795,0.02349
57101,0.03063
55077,0.04372
47600,0.33993
5924,0.86425
34900,0.15779
91990,0.2476
50268,0.23952
66401,0.13404
18014,0.00019
20006,0.11721
55391,0.30463
40304,0.49234
12832,0.24507
41746,0.06857
69384,0.11776
56225,0.72692
46522,0.01887
59922,0.11968
48609,0.10009
77235,0.73491
8082,0.35789
65539,0.02733
39769,0.24338
96098,0.07508
86925,0.95641
53370,0.22931
60773,0.2516
47138,0.22768
44098,0.00128
61301,0.06666
38956,0.04636
7585,0.55867
14240,0.0804
49732,0.03212
48849,0.05087
72202,0.05124
14480,0.20231
33035,0.00176
43985,0.21396
85217,0.01255
8121,0.31651
95484,0.0598
57781,0.11797
85281,0.01282
71928,0.18136
79044,0.0
54020,0.4099
46617,0.03125
3924,0.54406
76379,0.07373
62379,0.12891
80390,0.10217
95214,0.06061
24624,0.82417
89328,0.00931
85616,0.32313
84393,0.2643
63954,0.39676
20998,0.2598
42995,0.00251
67212,0.16218
95562,0.0797
1869,0.36202
81929,0.14294
72552,0.31745
34425,0.00383
83123,0.26073
90228,0.3011
27741,0.0478
53991,0.02269
15167,0.11696
29006,0.02546
86461,0.07433
22615,0.86227
90108,0.11847
12561,0.41093
18306,0.62193
78913,0.52129
38785,0.17056
13919,0.00381
59619,0.03505
17801,0.06742
11683,0.17968
50393,0.64494
1414,0.32931
49705,0.19548
11495,0.09697
74515,0.12328
87870,0.27439
18347,0.06103
3854,0.75254
