ID_CORRELATIVO,ATTRITION
47411,0.32709
39861,0.25782
38898,0.03531
50927,0.01157
32969,0.19013
89661,0.1559
12197,0.34362
71520,0.18587
59759,0.05226
36743,0.10298
10736,0.12882
5106,0.07361
44506,0.02495
47767,0.51325
74686,0.34925
63023,0.04418
13584,0.14679
317,0.0
62570,0.03095
68244,0.31213
72881,0.04114
18280,0.04194
70682,0.01243
79902,0.04837
35073,0.07774
84331,0.10589
70921,0.22132
82245,0.30993
17714,0.2121
13993,0.01371
658,0.46204
33916,0.24963
92737,0.27942
22844,0.03821
93339,0.19125
29572,0.0088
24751,0.62841
37862,0.06755
26676,0.17293
8675,0.04552
64245,0.09207
57248,0.02104
3531,0.00264
9834,0.02539
74246,0.08529
56683,0.02091
16847,0.05004
96617,0.38683
94167,0.01944
42800,0.25276
70106,0.57649
42486,0.18355
78076,0.10278
85819,0.02104
15786,0.28228
61483,0.00597
25630,0.02976
22501,0.00594
92447,0.0255
13795,0.04334
57101,0.02778
55077,0.20002
47600,0.09306
5924,0.03279
34900,0.08396
91990,0.26024
50268,0.3973
66401,0.17204
18014,0.0026
20006,0.11963
55391,0.42351
40304,0.57663
12832,0.40953
41746,0.01485
69384,0.4613
56225,0.02616
46522,0.0341
59922,0.04744
48609,0.13356
77235,0.11718
8082,0.18625
65539,0.0061
39769,0.31748
96098,0.01254
86925,0.65122
53370,0.23652
60773,0.20382
47138,0.24725
44098,0.023
61301,0.0897
38956,0.16158
7585,0.0225
14240,0.02201
49732,0.06805
48849,0.05527
72202,0.07584
14480,0.34163
33035,0.01482
43985,0.27932
85217,0.0168
8121,0.16485
95484,0.0515
57781,0.00222
85281,0.34891
71928,0.14083
79044,0.00213
54020,0.05423
46617,0.31354
3924,0.26702
76379,0.15331
62379,0.01763
80390,0.17775
95214,0.00285
24624,0.00366
89328,0.08673
85616,0.24885
84393,0.07719
63954,0.08248
20998,0.35042
42995,0.17741
67212,0.36767
95562,0.10623
1869,0.00475
81929,0.08293
72552,0.55709
34425,0.09049
83123,0.40837
90228,0.11193
27741,0.21843
53991,0.00817
15167,0.18078
29006,0.02214
86461,0.22092
22615,0.4143
90108,0.04906
12561,0.24793
18306,0.03737
78913,0.12264
38785,0.4816
13919,0.01098
59619,0.11409
17801,0.29411
11683,0.05043
50393,0.28688
1414,0.09057
49705,0.10538
11495,0.06302
74515,0.08992
87870,0.17743
18347,0.01133
3854,0.27642
19733,0.05904
44194,0.06927
80652,0.24094
22356,0.05193
56887,0.06967
54654,0.41799
81154,0.05815
60139,0.14284
49481,0.11346
13027,0.0
6073,0.01778
21221,0.11652
78849,0.04099
98453,0.11697
43204,0.48735
49495,0.12229
50040,0.02636
62238,0.01103
96941,0.06588
51613,0.23829
28840,0.39923
88334,0.08631
40679,0.08997
91906,0.37521
61997,0.48279
96234,0.07099
35191,0.10205
99214,0.0004
94474,0.3547
70794,0.40411
96104,0.0
63209,0.08852
78212,0.4669
9699,0.13635
89800,0.04141
52248,0.1429
48960,0.00618
77980,0.00216
58769,0.31481
74585,0.03671
33294,0.00413
93240,0.15059
27238,0.26722
2569,0.0974
51644,0.02353
48318,0.00057
9421,0.21765
77916,0.02305
11814,0.06701
61073,0.16094
64158,0.0016
2805,0.20752
72093,0.0078
48104,0.41875
20668,0.25142
68085,0.66185
63923,0.25834
53517,0.15479
3104,0.0735
99805,0.03693
39359,0.21442
18783,0.00702
15511,0.05757
77153,0.05131
45019,0.32552
85462,0.16496
96718,0.07734
34821,0.14051
22810,0.10978
93544,0.30859
35535,0.05722
65259,0.13571
75047,0.14698
58877,0.2098
64070,0.03785
41996,0.20138
71713,0.29793
38718,0.00418
17155,0.10862
24713,0.33378
62892,0.08254
29011,0.12725
6645,0.00778
41304,0.30855
58739,0.05004
23285,0.21207
48191,0.0913
97795,0.00328
6696,0.21884
64069,0.15936
82691,0.02786
18615,0.10303
62684,0.16182
9287,0.00769
6874,0.19191
22369,0.33789
92953,0.04196
84842,0.07127
28468,0.09486
30792,0.20082
13171,0.39653
17252,0.21119
40297,0.089
98009,0.07197
15527,0.01863
7383,0.17648
5269,0.23217
31169,0.0
23713,0.04234
93782,0.25584
33652,0.07538
50852,0.07726
62065,0.00615
58026,0.0
75285,0.05315
14705,0.27593
47071,0.02107
37161,0.01215
77239,0.02168
24989,0.02251
90966,0.04915
76360,0.02947
94753,0.08858
84592,0.12199
67471,0.28928
41794,0.74114
31485,0.16725
91545,0.20765
53221,0.01462
8201,0.16554
60467,0.2405
68016,0.35372
38784,0.323
55226,0.46613
65209,0.05339
75408,0.11844
85243,0.24788
79788,0.35208
61994,0.03375
79195,0.13108
46240,0.15206
22216,0.02401
70954,0.06438
84807,0.0036
46536,0.41032
36753,0.0
97859,0.02724
23760,0.0973
85723,0.07163
64710,0.18607
27733,0.0
81034,0.38506
12401,0.21167
62556,0.36439
93553,0.11053
95020,0.24157
89411,0.03373
49025,0.20294
175,0.32296
41587,0.14668
95452,0.20778
66833,0.05575
35540,0.44408
