ID_CORRELATIVO,ATTRITION
47411,0.18557
39861,0.12931
38898,0.01536
50927,0.01991
32969,0.46656
89661,0.02512
12197,0.02673
71520,0.0
59759,0.12274
36743,0.09985
10736,0.00061
5106,0.0014
44506,0.02076
47767,0.21279
74686,0.00011
63023,0.01201
13584,0.96143
317,0.03403
62570,0.03773
68244,0.00062
72881,0.0427
18280,0.03444
70682,0.0
79902,0.0004
35073,0.01714
84331,0.00053
70921,8e-05
82245,0.98601
17714,0.0
13993,0.10589
658,0.73383
33916,0.88641
92737,0.00346
22844,0.19365
93339,0.08136
29572,0.0
24751,0.25131
37862,0.0
26676,6e-05
8675,0.00546
64245,0.02122
57248,0.26024
3531,3e-05
9834,0.27048
74246,0.13784
56683,0.27192
16847,0.04475
96617,0.10037
94167,0.06289
42800,0.08056
70106,0.00011
42486,0.02397
78076,0.00449
85819,0.04545
15786,0.35595
61483,7e-05
25630,8e-05
22501,0.01204
92447,0.11534
13795,0.0
57101,3e-05
55077,0.00018
47600,0.14037
5924,0.84872
34900,0.19351
91990,0.99599
50268,0.99742
66401,0.12577
18014,0.00068
20006,0.00133
55391,0.86008
40304,0.07557
12832,0.53083
41746,0.0
69384,0.95424
56225,0.07438
46522,2e-05
59922,0.02249
48609,0.03499
77235,0.0774
8082,0.04516
65539,6e-05
39769,0.21939
96098,0.00187
86925,0.9973
53370,0.51318
60773,0.0
47138,0.01663
44098,6e-05
61301,0.00099
38956,0.01189
7585,0.14678
14240,0.28456
49732,0.00062
48849,3e-05
72202,0.08816
14480,0.38244
33035,0.2525
43985,0.00229
85217,0.0
8121,0.37197
95484,0.15373
57781,0.02935
85281,0.17433
71928,0.02422
79044,0.00029
54020,0.08381
46617,0.00015
3924,0.51013
76379,0.16052
62379,0.10405
80390,0.00996
95214,0.00014
24624,0.03326
89328,0.0002
85616,0.25935
84393,0.026
63954,0.29494
20998,0.11393
42995,0.00073
67212,0.43445
95562,0.01161
1869,0.08513
81929,0.20055
72552,0.00609
34425,0.59078
83123,0.50795
90228,0.02655
27741,0.09685
53991,1e-05
15167,0.0759
29006,0.00093
86461,0.52451
22615,0.33554
90108,0.00053
12561,0.28243
18306,0.86353
78913,0.49863
38785,0.06748
13919,0.15817
59619,0.08924
17801,0.0005
11683,0.00146
50393,0.1506
1414,0.10354
49705,0.00066
11495,0.13798
74515,6e-05
87870,0.20356
18347,3e-05
3854,0.22954
19733,0.01046
44194,0.18427
80652,0.05354
22356,0.03079
56887,6e-05
54654,0.00218
81154,0.00033
60139,0.19599
49481,0.00716
13027,0.04205
6073,0.00145
21221,0.00369
78849,0.00032
98453,0.00877
43204,0.83342
49495,0.15859
50040,0.2426
62238,0.85329
96941,0.18664
51613,0.87367
28840,0.0
88334,0.11129
40679,0.67808
91906,0.00013
61997,0.59
96234,0.01663
35191,0.06076
99214,0.00334
94474,0.00028
70794,0.00412
96104,0.00056
63209,1e-05
78212,0.38179
9699,0.00959
89800,0.0
52248,0.02978
48960,0.00206
77980,0.26606
58769,0.51705
74585,0.00819
33294,0.02085
93240,0.00068
27238,0.79725
2569,0.09462
51644,0.30244
48318,0.00088
9421,0.12319
77916,0.00124
11814,0.53926
61073,0.0444
64158,7e-05
2805,8e-05
72093,0.09507
48104,0.03413
20668,0.58597
68085,0.28765
63923,0.00307
53517,0.04879
3104,0.02759
99805,0.40142
39359,0.20701
18783,0.0001
15511,0.07697
77153,0.0
45019,0.35198
85462,0.0
96718,0.37799
34821,0.99959
22810,0.03498
93544,0.98531
35535,0.0538
65259,0.01658
75047,0.00127
58877,0.06478
64070,0.03828
41996,0.05535
71713,0.00309
38718,0.0183
17155,0.23525
24713,0.00077
62892,0.0
29011,0.00051
6645,0.00444
41304,0.1488
58739,0.7806
23285,0.00062
48191,0.00108
97795,0.13924
6696,0.00283
64069,0.02068
82691,0.17893
18615,0.06669
62684,0.07463
9287,0.00205
6874,0.04471
22369,0.65846
92953,0.02303
84842,0.0001
28468,0.07598
30792,0.01867
13171,0.89669
17252,0.71574
40297,0.00057
98009,0.00257
15527,0.00368
7383,0.02689
5269,0.00403
31169,0.02739
23713,0.15511
93782,0.0
33652,0.06023
50852,2e-05
62065,0.0
58026,0.0
75285,0.29583
14705,0.08912
47071,0.00252
37161,0.02962
77239,0.0
24989,0.00588
90966,3e-05
76360,0.17802
94753,0.00142
84592,0.00041
67471,0.0592
41794,0.92411
31485,0.43267
91545,0.03184
53221,0.00047
8201,0.94151
60467,0.00237
68016,0.0
38784,0.0
55226,0.00014
65209,0.0
75408,3e-05
85243,0.00158
