ID_CORRELATIVO,ATTRITION
47411,0.61583
39861,0.26888
38898,0.02466
50927,0.22656
32969,0.41165
89661,0.10335
12197,0.1015
71520,0.01273
59759,0.43499
36743,0.07237
10736,0.00342
5106,0.15866
44506,0.07054
47767,0.94206
74686,0.01702
63023,0.00926
13584,0.77713
317,0.04544
62570,0.06499
68244,0.02004
72881,0.03345
18280,0.02515
70682,0.00056
79902,0.07126
35073,0.102
84331,0.06059
70921,0.01305
82245,0.71001
17714,0.0392
13993,0.00718
658,0.42472
33916,0.5536
92737,0.20831
22844,0.03315
93339,0.20058
29572,0.00185
24751,0.9203
37862,0.02424
26676,0.03357
8675,0.07231
64245,0.58581
57248,0.88525
3531,0.00394
9834,0.00534
74246,0.19597
56683,0.32757
16847,0.21843
96617,0.06491
94167,0.02939
42800,0.51439
70106,0.14043
42486,0.08386
78076,0.05679
85819,0.8787
15786,0.13403
61483,0.00377
25630,0.00753
22501,0.0173
92447,0.16133
13795,0.00486
57101,0.01092
55077,0.01065
47600,0.34236
5924,0.98139
34900,0.12635
91990,0.81994
50268,0.89659
66401,0.08076
18014,0.00448
20006,0.04421
55391,0.64942
40304,0.50032
12832,0.802
41746,0.00512
69384,0.47816
56225,0.75167
46522,0.00234
59922,0.06678
48609,0.03026
77235,0.90731
8082,0.76096
65539,0.00442
39769,0.91039
96098,0.07431
86925,0.9765
53370,0.55231
60773,0.05553
47138,0.12137
44098,0.0034
61301,0.10237
38956,0.13545
7585,0.42046
14240,0.10084
49732,0.03123
48849,0.00064
72202,0.07317
14480,0.03764
33035,0.02402
43985,0.53211
85217,0.00123
8121,0.50968
95484,0.10482
57781,0.05766
85281,0.09779
71928,0.15743
79044,0.00577
54020,0.91056
46617,0.01297
3924,0.86002
76379,0.06498
62379,0.11164
80390,0.0735
95214,0.00072
24624,0.93721
89328,0.00299
85616,0.09614
84393,0.05445
63954,0.59737
20998,0.44253
42995,0.02524
67212,0.17402
95562,0.05241
1869,0.0148
81929,0.26659
72552,0.0252
34425,0.00674
83123,0.19338
90228,0.1489
27741,0.12264
53991,0.00257
15167,0.11121
29006,0.00486
86461,0.26216
22615,0.50564
90108,0.01869
12561,0.47384
18306,0.53029
78913,0.53337
38785,0.03094
13919,0.3993
59619,0.02114
17801,0.07332
11683,0.01691
50393,0.79533
1414,0.34684
49705,0.02128
11495,0.15533
74515,0.04125
87870,0.27642
18347,0.00383
3854,0.27373
19733,0.08711
