ID_CORRELATIVO,ATTRITION
47411,0.2847
39861,0.0925
38898,0.282
50927,0.2097
32969,0.1617
89661,0.3076
12197,0.2846
71520,0.2847
59759,0.1009
36743,0.1079
10736,0.2596
5106,0.2847
44506,0.2587
47767,0.1386
74686,0.2845
63023,0.1355
13584,0.2847
317,0.0811
62570,0.2847
68244,0.245
72881,0.2847
18280,0.1185
70682,0.2847
79902,0.5614
35073,0.2847
84331,0.2847
70921,0.2847
82245,0.3086
17714,0.2847
13993,0.2847
658,0.2226
33916,0.4764
92737,0.9716
22844,0.2928
93339,0.1967
29572,0.2847
24751,0.263
37862,0.2847
26676,0.3704
8675,0.2847
64245,0.3189
57248,0.1318
3531,0.2847
9834,0.2798
74246,0.2312
56683,0.1063
16847,0.3187
96617,0.1801
94167,0.2622
42800,0.3545
70106,0.2747
42486,0.2106
78076,0.2847
85819,0.3725
15786,0.294
61483,0.2842
25630,0.2847
22501,0.2847
92447,0.2847
13795,0.2847
57101,0.2847
55077,0.3782
47600,0.1323
5924,0.2848
34900,0.2847
91990,0.2847
50268,0.2847
66401,0.1357
18014,0.2847
20006,0.2847
55391,0.0608
40304,0.2844
12832,0.3635
41746,0.2847
69384,0.2846
56225,0.128
46522,0.2847
59922,0.2847
48609,0.2847
77235,0.5408
8082,0.2847
65539,0.2847
39769,0.9024
96098,0.2497
86925,0.2837
53370,0.0726
60773,0.2847
47138,0.2847
44098,0.2845
61301,0.2846
38956,0.2847
7585,0.0662
14240,0.1059
49732,0.2847
48849,0.2847
72202,0.9792
14480,0.1266
33035,0.2265
43985,0.2839
85217,0.2847
8121,0.0716
95484,0.2847
57781,0.2836
85281,0.7713
71928,0.2847
79044,0.1795
54020,0.1481
46617,0.2842
3924,0.0947
76379,0.2847
62379,0.2847
80390,0.6751
95214,0.2846
24624,0.402
89328,0.2847
85616,0.9827
84393,0.2847
63954,0.2175
20998,0.2768
42995,0.2846
67212,0.2847
95562,0.2847
1869,0.2843
81929,0.0703
72552,0.3014
34425,0.2847
83123,0.1737
90228,0.2881
27741,0.2847
53991,0.2847
15167,0.2766
29006,0.2847
86461,0.0958
22615,0.2537
90108,0.2824
12561,0.2845
18306,0.3228
78913,0.7991
38785,0.2647
13919,0.1334
59619,0.2847
17801,0.2847
11683,0.1366
50393,0.1138
1414,0.1156
49705,0.2847
11495,0.2847
74515,0.2847
87870,0.2847
18347,0.2847
3854,0.0703
19733,0.1788
44194,0.2847
80652,0.2847
22356,0.2672
56887,0.2847
54654,0.2847
81154,0.2767
60139,0.2851
49481,0.2566
13027,0.0944
6073,0.2847
21221,0.2847
78849,0.1668
98453,0.2847
43204,0.1244
49495,0.2847
50040,0.2835
62238,0.2924
96941,0.2847
51613,0.2847
28840,0.2847
88334,0.4649
40679,0.8267
91906,0.2847
61997,0.2847
96234,0.2841
35191,0.0841
99214,0.2839
94474,0.2847
70794,0.2838
96104,0.2842
63209,0.2847
78212,0.2847
9699,0.2552
89800,0.2847
52248,0.2824
48960,0.2847
77980,0.0107
58769,0.4385
74585,0.2846
33294,0.2847
93240,0.563
27238,0.1139
2569,0.2861
51644,0.227
48318,0.2847
9421,0.2288
77916,0.2847
11814,0.2873
61073,0.2885
64158,0.2847
2805,0.2847
72093,0.0852
48104,0.2847
20668,0.0945
68085,0.2847
63923,0.1956
53517,0.1189
3104,0.2845
99805,0.1477
39359,0.0253
18783,0.2977
15511,0.0986
77153,0.2847
45019,0.1371
85462,0.2847
96718,0.2847
34821,0.232
22810,0.2413
93544,0.2853
35535,0.2761
65259,0.1374
75047,0.2847
58877,0.3387
64070,0.1481
41996,0.2771
71713,0.2876
38718,0.3137
17155,0.1373
24713,0.2134
62892,0.2847
29011,0.2847
6645,0.2847
41304,0.0446
58739,0.2846
23285,0.109
48191,0.0818
97795,0.2249
6696,0.3144
64069,0.1348
82691,0.1248
18615,0.2572
62684,0.1348
9287,0.2842
6874,0.2847
22369,0.1301
92953,0.2847
84842,0.2847
28468,0.2847
30792,0.4421
13171,0.2847
17252,0.2545
40297,0.2846
98009,0.2847
15527,0.284
7383,0.1093
5269,0.286
31169,0.0708
23713,0.1103
93782,0.2847
33652,0.1827
50852,0.2847
62065,0.2847
58026,0.2847
75285,0.2846
14705,0.3198
47071,0.077
37161,0.4077
77239,0.2847
24989,0.2847
90966,0.2847
76360,0.0532
94753,0.2847
84592,0.2847
67471,0.2847
41794,0.1154
31485,0.2847
91545,0.264
53221,0.2847
8201,0.1926
60467,0.1712
68016,0.2847
38784,0.2847
55226,0.2849
65209,0.2847
75408,0.2845
85243,0.2847
79788,0.3167
61994,0.2846
79195,0.2929
46240,0.2847
22216,0.2753
70954,0.2847
84807,0.2847
46536,0.2755
36753,0.284
97859,0.2817
23760,0.152
85723,0.3203
64710,0.7467
27733,0.2569
81034,0.3085
12401,0.0862
62556,0.1624
93553,0.2847
95020,0.1212
89411,0.2847
49025,0.2654
175,0.2847
41587,0.2847
95452,0.2531
66833,0.3117
35540,0.4087
27054,0.2841
73979,0.2924
86206,0.2847
44847,0.1849
3840,0.5158
61419,0.2847
41064,0.2847
3234,0.5161
48912,0.0804
14659,0.1988
95329,0.1088
48199,0.4727
57661,0.0907
91561,0.2849
98545,0.2847
64053,0.2422
44127,0.2732
19986,0.2307
50281,0.2844
23864,0.2847
10807,0.2847
46633,0.1087
22081,0.1286
58024,0.2847
43243,0.2847
87491,0.2842
8098,0.2846
15691,0.2847
92195,0.101
89981,0.2606
61666,0.2847
59887,0.0656
