ID_CORRELATIVO,ATTRITION
47411,0.8333
39861,0.6667
38898,0.7
50927,0.3333
32969,0.9667
89661,0.5333
12197,0.5333
71520,0.2667
59759,0.7667
36743,0.6667
10736,0.2333
5106,0.6333
44506,0.4333
47767,0.5
74686,0.3
63023,0.9
13584,0.6667
317,0.7667
62570,0.3667
68244,0.2333
72881,0.3667
18280,0.7667
70682,0.2667
79902,0.2333
35073,0.5333
84331,0.6333
70921,0.1
82245,0.5
17714,0.4333
13993,0.1333
658,0.5667
33916,0.6
92737,0.3333
22844,0.2
93339,0.6333
29572,0.2
24751,0.4333
37862,0.1333
26676,0.7333
8675,0.2667
64245,0.8667
57248,0.3667
3531,0.1333
9834,0.6333
74246,0.4667
56683,0.8333
16847,0.6667
96617,0.6333
94167,0.7333
42800,0.8667
70106,0.5333
42486,0.3667
78076,0.2667
85819,0.6333
15786,0.7
61483,0.2333
25630,0.3333
22501,0.1333
92447,0.3667
13795,0.3667
57101,0.2667
55077,0.6667
47600,0.3333
5924,0.7
34900,0.5
91990,0.5333
50268,0.5
66401,0.2
18014,0.6667
20006,0.6
55391,0.5667
40304,0.5333
12832,0.5667
41746,0.5
69384,0.7
56225,0.7
46522,0.0333
59922,0.3333
48609,0.4333
77235,0.6333
8082,0.5333
65539,0.6667
39769,0.7667
96098,0.2333
86925,0.2667
53370,0.5667
60773,0.1
47138,0.4667
44098,0.5333
61301,0.2333
38956,0.5333
7585,0.6333
14240,0.7333
49732,0.6333
48849,0.2667
72202,0.5333
14480,0.6667
33035,0.4333
43985,0.5
85217,0.2667
8121,0.5667
95484,0.2333
57781,0.8
85281,0.8667
71928,0.5333
79044,0.5667
54020,0.7667
46617,0.6667
3924,0.6667
76379,0.6333
62379,0.3
80390,0.8333
95214,0.6667
24624,0.6667
89328,0.1667
85616,0.7667
84393,0.6
63954,0.4333
20998,0.5
42995,0.6333
67212,0.3333
95562,0.5
1869,0.7333
81929,0.7333
72552,0.6333
34425,0.1
83123,0.4333
90228,0.5333
27741,0.4333
53991,0.2333
15167,0.3
29006,0.2667
86461,0.4
22615,0.5667
90108,0.5
12561,0.5667
18306,0.2667
78913,0.5
38785,0.6
13919,0.8667
59619,0.5
17801,0.4
11683,0.3333
50393,0.6667
1414,0.3333
49705,0.5
11495,0.4
74515,0.4333
87870,0.3667
18347,0.3667
3854,0.6667
19733,0.4
44194,0.2333
80652,0.6667
22356,0.5667
56887,0.5
54654,0.2
81154,0.5
60139,0.3333
49481,0.6
13027,0.7667
6073,0.4667
21221,0.2667
78849,0.6
98453,0.1
43204,0.5667
49495,0.4667
50040,0.4333
62238,0.6333
96941,0.3667
51613,0.6667
28840,0.5667
88334,0.7
40679,0.7333
91906,0.6
61997,0.6333
96234,0.5
35191,0.7
99214,0.5333
94474,0.6667
70794,0.5333
96104,0.6667
63209,0.2667
78212,0.4333
9699,0.5667
89800,0.5
52248,0.8333
48960,0.2667
77980,0.7
58769,0.5
74585,0.3333
33294,0.2667
93240,0.6
27238,0.8
2569,0.6333
51644,0.6
48318,0.2
9421,0.4667
77916,0.4
11814,0.4667
61073,0.6667
64158,0.7333
2805,0.1667
72093,0.7333
48104,0.2333
20668,0.6333
68085,0.3667
63923,0.1667
53517,0.7333
3104,0.8667
99805,0.2
39359,0.7
18783,0.7333
15511,0.6667
77153,0.2
45019,0.7333
85462,0.6667
96718,0.3667
34821,0.4333
22810,0.6333
93544,0.7
35535,0.4667
65259,0.4667
75047,0.2
58877,0.5
64070,0.5
41996,0.8
71713,0.5333
38718,0.3667
17155,0.7
24713,0.3
62892,0.2333
29011,0.3667
6645,0.5333
41304,0.6
58739,0.7
23285,0.7667
48191,0.4
97795,0.7667
6696,0.6333
64069,0.5667
82691,0.7333
18615,0.8333
62684,0.5667
9287,0.4
6874,0.1667
22369,0.5667
92953,0.1667
84842,0.6667
28468,0.3333
30792,0.5333
13171,0.6667
17252,0.4333
40297,0.5667
98009,0.4667
