ID_CORRELATIVO,ATTRITION
47411,0.0
39861,0.2667
38898,0.0
50927,0.0667
32969,0.1333
89661,0.2
12197,0.1333
71520,0.0
59759,0.0
36743,0.0
10736,0.0667
5106,0.0
44506,0.2
47767,0.2
74686,0.0
63023,0.0
13584,0.0667
317,0.0
62570,0.0667
68244,0.1333
72881,0.0
18280,0.0
70682,0.0
79902,0.1333
35073,0.0667
84331,0.0
70921,0.0667
82245,0.2667
17714,0.1333
13993,0.0
658,0.6
33916,0.3333
92737,0.1333
22844,0.1333
93339,0.2
29572,0.0
24751,0.5333
37862,0.1333
26676,0.1333
8675,0.1333
64245,0.0
57248,0.1333
3531,0.0
9834,0.0667
74246,0.1333
56683,0.2667
16847,0.0667
96617,0.1333
94167,0.0
42800,0.3333
70106,0.2
42486,0.0
78076,0.2667
85819,0.0667
15786,0.2667
61483,0.0
25630,0.0
22501,0.1333
92447,0.0667
13795,0.0
57101,0.0667
55077,0.0
47600,0.2
5924,0.0667
34900,0.0
91990,0.0667
50268,0.2667
66401,0.2
18014,0.0
20006,0.0667
55391,0.2506
40304,0.8667
12832,0.2667
41746,0.0667
69384,0.1333
56225,0.0133
46522,0.0
59922,0.0667
48609,0.0667
77235,0.2667
8082,0.1333
65539,0.0667
39769,0.2889
96098,0.2
86925,0.8
53370,0.0667
60773,0.1333
47138,0.1333
44098,0.2
61301,0.0667
38956,0.1333
7585,0.1333
14240,0.0
49732,0.0667
48849,0.0
72202,0.0
14480,0.0
33035,0.1333
43985,0.1333
85217,0.0
8121,0.2667
95484,0.0
57781,0.0
85281,0.4
71928,0.0
79044,0.0
54020,0.3333
46617,0.0667
3924,0.1333
76379,0.0667
62379,0.0
80390,0.2667
95214,0.0
24624,0.0667
89328,0.0667
85616,0.0667
84393,0.2
63954,0.4
20998,0.0667
42995,0.0
67212,0.0667
95562,0.0667
1869,0.0
81929,0.2053
72552,0.4
34425,0.0
83123,0.2667
90228,0.0667
27741,0.1333
53991,0.0
15167,0.1333
29006,0.0667
86461,0.2411
22615,0.6667
90108,0.1333
12561,0.0667
18306,0.1333
78913,0.1667
38785,0.2667
13919,0.1535
59619,0.2
17801,0.2
11683,0.0
50393,0.2667
1414,0.3333
49705,0.0
11495,0.0
74515,0.1333
87870,0.4
18347,0.0
3854,0.1333
19733,0.0607
44194,0.0
80652,0.1333
22356,0.2
56887,0.3333
54654,0.0
81154,0.0667
60139,0.0
49481,0.0
13027,0.0
6073,0.0
21221,0.0
78849,0.0667
98453,0.0667
43204,0.6
49495,0.0667
50040,0.0667
62238,0.0667
96941,0.0667
51613,0.3333
28840,0.3333
88334,0.0667
40679,0.2
91906,0.2
61997,0.2667
96234,0.0667
35191,0.1333
99214,0.0
94474,0.0
70794,0.3333
96104,0.0
63209,0.0667
78212,0.7333
9699,0.0
89800,0.0
52248,0.0667
48960,0.0
77980,0.0
58769,0.3333
74585,0.1333
33294,0.0667
93240,0.2667
27238,0.5333
2569,0.2
51644,0.0
48318,0.0
9421,0.2
77916,0.0
11814,0.2667
61073,0.0
64158,0.0
2805,0.0667
72093,0.1333
48104,0.2
20668,0.0667
68085,0.2
63923,0.0667
53517,0.2
3104,0.0667
99805,0.2
39359,0.1333
18783,0.0
15511,0.2
77153,0.0
45019,0.3333
85462,0.1333
96718,0.1333
34821,0.0667
22810,0.0667
93544,0.0667
35535,0.0667
65259,0.4
75047,0.0667
58877,0.2667
64070,0.1276
41996,0.1333
71713,0.2
38718,0.0
17155,0.0667
24713,0.0
62892,0.0667
29011,0.1333
6645,0.0
41304,0.2
58739,0.0
23285,0.1333
48191,0.0667
97795,0.0
6696,0.3333
64069,0.2667
82691,0.2
18615,0.1333
62684,0.4
9287,0.0667
6874,0.0
22369,0.4
92953,0.0
84842,0.1333
28468,0.0
30792,0.1333
13171,0.5333
17252,0.1333
40297,0.0667
98009,0.0667
15527,0.0
7383,0.2667
5269,0.1333
31169,0.0
23713,0.1333
93782,0.3333
33652,0.0667
50852,0.2
62065,0.0
58026,0.0
75285,0.0
14705,0.2667
47071,0.0
37161,0.0
77239,0.0
24989,0.1333
90966,0.0667
76360,0.0
94753,0.0
84592,0.0667
67471,0.2
41794,0.5883
31485,0.2667
91545,0.1333
53221,0.0
8201,0.1333
60467,0.0
68016,0.0
38784,0.0667
55226,0.2
65209,0.0667
75408,0.0667
85243,0.2
79788,0.2667
61994,0.0
79195,0.4667
46240,0.2
22216,0.0
70954,0.2
84807,0.0
46536,0.4
36753,0.0
97859,0.0
23760,0.1333
85723,0.2
64710,0.2667
27733,0.0
81034,0.2667
12401,0.0
62556,0.2667
93553,0.0667
95020,0.0667
89411,0.0
49025,0.3333
175,0.0667
41587,0.1333
95452,0.0667
66833,0.0667
35540,0.1333
27054,0.0667
73979,0.0
86206,0.0
44847,0.2
3840,0.1
61419,0.0667
41064,0.4
3234,0.1333
48912,0.2
14659,0.6
95329,0.4
48199,0.3333
57661,0.0
91561,0.1333
98545,0.0
64053,0.0
44127,0.2667
19986,0.0667
50281,0.2
23864,0.0667
10807,0.1333
46633,0.0833
22081,0.2
58024,0.0667
43243,0.0
87491,0.1333
8098,0.0
15691,0.1333
92195,0.0667
89981,0.3333
61666,0.2
59887,0.1333
72746,0.0667
97844,0.0667
66080,0.2
35864,0.0
91618,0.0667
63875,0.0
12653,0.1333
82407,0.0667
60272,0.1333
45986,0.2667
40088,0.4
30671,0.0
47115,0.8
87106,0.1333
18985,0.0
78531,0.0667
99309,0.0667
30856,0.0
57429,0.0667
90844,0.2667
61193,0.2
61960,0.0
27310,0.0667
85688,0.0
13849,0.0667
20923,0.0
81184,0.7711
92660,0.0667
52780,0.0667
58352,0.0
84217,0.1333
18894,0.3333
2060,0.0
49450,0.1333
16422,0.1333
63949,0.0
14806,0.2
54228,0.1333
47189,0.0667
52562,0.1333
87245,0.0
37544,0.0667
30325,0.0667
27069,0.0
65802,0.0
64416,0.2667
22027,0.0
65273,0.2
28436,0.0
61160,0.1333
32883,0.0
64263,0.0667
3036,0.0
1394,0.1333
15909,0.2667
33028,0.2118
94431,0.2
54780,0.2
43674,0.0
73620,0.5
75024,0.0667
98242,0.1333
8382,0.1333
9870,0.2
77482,0.0
93661,0.2667
61203,0.0
65157,0.0667
6978,0.0
17470,0.0
53031,0.9028
37506,0.0667
5012,0.1333
2994,0.1333
17970,0.0
78783,0.1333
20016,0.2667
12503,0.7333
61154,0.2667
12861,0.0
67373,0.1333
48455,0.0
6505,0.0
61490,0.2667
54247,0.2
5795,0.4667
28306,0.2
85714,0.0667
82657,0.0
44030,0.4
65255,0.0
64927,0.1333
75324,0.1333
6857,0.0
11287,0.0
35241,0.1333
34242,0.5333
69085,0.2667
71311,0.0667
36269,0.3333
14738,0.1
549,0.0667
3479,0.0333
80866,0.2
92323,0.0667
43887,0.6
85023,0.0
97922,0.1333
16440,0.2
69117,0.0667
25539,0.1333
12828,0.0667
89828,0.2
25600,0.0
24291,0.2
63983,0.2
67518,0.0
82104,0.0
29260,0.1333
40004,0.2
65199,0.0
76117,0.0667
93827,0.4667
29395,0.0
86252,0.2
40938,0.5333
24209,0.0
24037,0.0667
80880,0.0
33040,0.0667
52215,0.0667
38125,0.1333
13173,0.0
65774,0.0667
16691,0.0
71372,0.2
33821,0.2
90285,0.1333
8425,0.1333
36687,0.2667
78613,0.0
23269,0.2
65699,0.0
99079,0.2667
45348,0.0667
40929,0.3333
3792,0.2
46357,0.0
62600,0.1333
23863,0.1333
77937,0.0667
335,0.2
60070,0.0667
13973,0.0
45656,0.0
18176,0.0
5930,0.1333
86954,0.0
64225,0.0
72124,0.0
2108,0.0667
44109,0.2
16923,0.0667
70941,0.0094
83294,0.0667
78522,0.2971
95018,0.0
96818,0.1333
27237,0.1333
84772,0.1333
41563,0.0
73476,0.0
72352,0.1333
79414,0.2
60076,0.0667
80745,0.5333
86202,0.2667
16667,0.0
61215,0.1333
3297,0.0667
3700,0.2667
70352,0.0
72752,0.8667
16377,0.0
455,0.0
16803,0.0
45698,0.0
13350,0.0667
76081,0.2
77878,0.16
72854,0.0091
36377,0.8
64828,0.2
5048,0.0
20341,0.0667
93214,0.0667
70114,0.0667
22778,0.2231
24111,0.2667
91002,0.0667
41036,0.0667
84784,0.1333
77981,0.0
62877,0.0
75883,0.0
65815,0.4667
9256,0.0667
43407,0.0
2531,0.0
27887,0.1333
12062,0.0451
20044,0.2
65756,0.0667
93096,0.1333
22795,0.0
87212,0.4667
35969,0.1333
16574,0.1333
86765,0.0
15941,0.1333
90109,0.1333
48087,0.2
58303,0.2667
94111,0.0667
58882,0.0
68501,0.5333
15523,0.0
32550,0.2
66142,0.0
34097,0.0667
65169,0.0
97085,0.6
56165,0.0667
86685,0.0667
70155,0.0667
94728,0.0667
18780,0.1111
94486,0.4667
39723,0.0333
53398,0.0667
49177,0.0667
61923,0.0
72622,0.0
78582,0.4667
55627,0.2667
52808,0.5333
26623,0.0
68723,0.0
15319,0.1333
33747,0.0
73915,0.0667
92776,0.0
49883,0.4
98556,0.0667
88865,0.0
97115,0.0
54132,0.0
9554,0.0
70701,0.2
5627,0.1333
80129,0.0
8134,0.0
69401,0.0667
27103,0.6667
30747,0.0
83422,0.0667
3842,0.1333
2394,0.1333
6597,0.0667
11139,0.3333
57217,0.0
3953,0.0667
79429,0.0667
60795,0.0
56610,0.0667
81632,0.0667
69638,0.0667
86896,0.0
75514,0.0
66956,0.5333
70023,0.8667
14775,0.4667
63656,0.0
86171,0.0
53818,0.1333
75659,0.0889
60135,0.7333
3003,0.2667
62748,0.0
48871,0.0
68081,0.0
10715,0.0667
18278,0.4667
11112,0.0
10680,0.1333
39089,0.6
92019,0.0222
23820,0.2
28533,0.1333
61946,0.2
68786,0.2667
50374,0.3333
32563,0.4667
91650,0.0
54629,0.0667
38213,0.0667
23419,0.0667
5647,0.0
25369,0.0
61117,0.2
90892,0.4
56964,0.2
73556,0.1333
21316,0.0
57187,0.0667
50543,0.1333
92908,0.2667
76663,0.2667
50791,0.1333
42964,0.7333
36473,0.0
41795,0.0667
3005,0.0667
92387,0.2
90232,0.0667
87360,0.0667
72062,0.0667
29388,0.0
90178,0.0
1090,0.2
22898,0.0
994,0.2667
74120,0.1333
82594,0.2667
45211,0.0
83526,0.4667
77504,0.2
77357,0.0
94837,0.0667
75345,0.0667
33825,0.0
67688,0.0
43567,0.0
90096,0.0667
84103,0.0667
89217,0.0667
11035,0.0
73782,0.2
61029,0.0
22253,0.0
71770,0.0
14851,0.1333
48543,0.0
53375,0.1333
9239,0.0
50910,0.2667
7752,0.0
14390,0.0667
38461,0.2667
29014,0.0
17962,0.0
56755,0.0667
82489,0.0
61481,0.1333
21066,0.2667
38231,0.2667
76306,0.2
32221,0.2667
86030,0.0
76070,0.0
81782,0.0
43513,0.0
46218,0.3333
41215,0.0667
88994,0.1333
83879,0.0667
55133,0.0
97682,0.0667
2168,0.0
32212,0.0667
73618,0.0
10805,0.0667
48944,0.0
37538,0.0
69219,0.1333
99284,0.0667
17593,0.2
83733,0.0
3224,0.0
19283,0.0667
18719,0.0667
96329,0.1333
47823,0.7333
16869,0.2
60538,0.2667
49291,0.0
71079,0.4667
25632,0.2667
62251,0.4
72780,0.0
13003,0.0667
40002,0.0
98765,0.0667
86688,0.1333
58320,0.0667
84383,0.0667
76245,0.0667
93031,0.2667
54534,0.1333
58723,0.1333
36529,0.1333
77541,0.2
49677,0.0
76734,0.2
99838,0.1333
1529,0.0667
30528,0.3333
11220,0.1333
93804,0.5333
58259,0.0
20339,0.4667
42577,0.0
23740,0.2
7391,0.2
94300,0.2
81918,0.0
25894,0.0
37142,0.0667
88486,0.0667
17974,0.4667
23522,0.2
60666,0.8
2482,0.0667
88646,0.0
82150,0.0667
86468,0.0667
75758,0.2667
35498,0.0
86662,0.0
48888,0.3333
86890,0.0667
80800,0.0
21045,0.1333
2799,0.0667
10916,0.0
77435,0.0333
27846,0.0667
9054,0.1333
19538,0.0667
19587,0.0
92929,0.0667
91755,0.0667
35661,0.2
60771,0.0667
40120,0.2
889,0.2
23531,0.0
16672,0.0667
10823,0.0667
80285,0.1333
81029,0.0
44604,0.2667
39242,0.4667
26560,0.0
46806,0.1333
96785,0.0
24706,0.4
88480,0.0
57315,0.2
3446,0.2
12090,0.3333
97040,0.0
65462,0.4
5241,0.0667
97418,0.0667
13258,0.1333
89719,0.2213
68834,0.0
91152,0.0
48913,0.1333
3626,0.2667
91685,0.2667
8691,0.4
30925,0.0
56825,0.1333
3830,0.0667
30378,0.0667
77994,0.0667
33864,0.0667
2796,0.0
46336,0.7333
6057,0.0
14343,0.2
97320,0.2667
36178,0.0667
53255,0.4667
80715,0.1333
45459,0.0
14349,0.0
81802,0.0
22939,0.0
46890,0.1333
70172,0.0
98942,0.2
69473,0.2
60799,0.1333
96623,0.0667
66047,0.3333
22722,0.2
89798,0.2
52528,0.1333
4092,0.0
21782,0.0
98723,0.1
83686,0.2
84689,0.0
50369,0.0
76171,0.0
77288,0.4
46229,0.3333
56531,0.0667
93788,0.0
25213,0.0
14288,0.1333
17576,0.0
72959,0.2
37382,0.0667
24649,0.1333
62269,0.0
26285,0.1333
50918,0.6667
21401,0.0
6804,0.1333
